losses/old_approx_kl,losses/policy_loss,charts/episodic_length,losses/clipfrac,charts/learning_rate,charts/SPS,_runtime,losses/explained_variance,global_step,losses/entropy,_step,losses/value_loss,charts/episodic_return,_timestamp,losses/approx_kl
,,,,,,24.40650701522827,,0,,0,,,1763260055.112089,
0.0007176902145147324,-0.0007737576961517334,,0.0,0.0003000000142492354,738.0,26.282058715820312,0.017403781414031982,128,0.6929628849029541,7,30.12578582763672,,1763260056.9876406,0.0001964811235666275
,,23.0,,,,26.820800065994263,,721,,33,,23.0,1763260057.526382,
,,13.0,,,,27.04319453239441,,939,,41,,13.0,1763260057.7487764,
-0.00940210185945034,-0.0025758668780326843,,0.0,0.00029938557418063283,1003.0,27.25633454322815,-0.02423226833343506,1152,0.6513499617576599,47,51.68159484863281,,1763260057.9619164,0.0010060984641313553
-0.011616500094532967,-0.006971197202801704,,0.0,0.00029907835414633155,1009.0,27.757567882537842,-0.04080832004547119,1664,0.5874435901641846,64,35.067039489746094,,1763260058.4631498,0.0015070624649524689
,,193.0,,,,28.23628330230713,,2244,,74,,193.0,1763260058.9418652,
,,37.0,,,,28.353100061416626,,2347,,77,,37.0,1763260059.058682,
,,117.0,,,,28.900432586669922,,2853,,88,,117.0,1763260059.6060145,
,,31.0,,,,29.835433959960938,,3905,,102,,31.0,1763260060.5410159,
0.0031048711389303207,0.005333468317985535,,0.0,0.00029761905898340046,1042.0,30.03825092315674,-0.2858774662017822,4096,0.6000141501426697,104,54.435123443603516,,1763260060.7438328,0.00017892755568027496
0.001562441699206829,-0.005776882171630859,,0.0,0.0002962365688290447,1067.0,32.10209321975708,0.051571667194366455,6400,0.579822838306427,133,38.60578918457031,,1763260062.8076751,0.00015009846538305283
,,120.0,,,,32.914390087127686,,7300,,147,,120.0,1763260063.619972,
,,164.0,,,,33.03981852531433,,7464,,149,,164.0,1763260063.7454004,
0.004663369618356228,0.0015492215752601624,,0.0,0.0002955453237518668,1074.0,33.13768935203552,0.11806309223175049,7552,0.5733693242073059,150,35.06301498413086,,1763260063.8432713,0.00030773598700761795
,,306.0,,,,33.48745632171631,,7971,,155,,306.0,1763260064.1930382,
,,94.0,,,,33.587538957595825,,8065,,157,,94.0,1763260064.2931209,
0.0006629759445786476,-0.0006674230098724365,,0.0,0.0002947004686575383,1079.0,34.405529260635376,0.38719338178634644,8960,0.6085208058357239,172,29.731889724731445,,1763260065.1111112,4.374422132968903e-06
0.0054962364956736565,0.0015242565423250198,,0.0,0.00029370200354605913,998.0,36.74854326248169,0.8570153117179871,10624,0.5270334482192993,195,25.275020599365234,,1763260067.4541252,0.00020118709653615952
,,113.0,,,,37.63716435432434,,11173,,203,,113.0,1763260068.3427463,
,,134.0,,,,39.10308361053467,,12021,,213,,134.0,1763260069.8086655,
,,58.0,,,,39.65424847602844,,12244,,217,,58.0,1763260070.3598304,
-0.001902635209262371,-0.0020851902663707733,,0.0,0.0002921659033745527,851.0,41.59305167198181,0.09104275703430176,13184,0.5897778272628784,228,29.56770896911621,,1763260072.2986336,0.0004952838644385338
,,111.0,,,,42.28158259391785,,13578,,233,,111.0,1763260072.9871645,
,,110.0,,,,44.12410259246826,,15060,,251,,110.0,1763260074.8296845,
0.0032902853563427925,0.004581740126013756,,0.0,0.0002906298032030463,843.0,44.78233790397644,0.8514670133590698,15744,0.5767202973365784,259,21.80730628967285,,1763260075.4879198,0.00043574441224336624
,,296.0,,,,45.19990396499634,,16137,,265,,296.0,1763260075.9054859,
0.0019419388845562935,-0.00018534809350967407,,0.0,0.00029001536313444376,847.0,45.9009428024292,0.5135086178779602,16768,0.5867151618003845,273,24.015823364257812,,1763260076.6065247,2.9246322810649872e-05
0.00515285599976778,0.0025726966559886932,,0.0,0.00028993855812586844,848.0,46.013399839401245,-0.4950268268585205,16896,0.6092342138290405,274,25.950481414794922,,1763260076.7189817,0.0009145503863692284
0.0026789354160428047,-0.0006729289889335632,,0.0,0.0002890937030315399,860.0,47.39124298095703,0.0001806020736694336,18304,0.5807117223739624,292,45.79164505004883,,1763260078.096825,0.00011073146015405655
-0.0005195559933781624,-0.005410974845290184,,0.0,0.00028778801788575947,880.0,49.377633571624756,0.12303942441940308,20480,0.580735445022583,321,47.88909149169922,,1763260080.0832155,0.00010702665895223618
,,199.0,,,,49.74715805053711,,20875,,327,,199.0,1763260080.45274,
-0.001931934617459774,-0.001939930021762848,,0.0,0.00028740399284288287,883.0,50.00790619850159,0.09378379583358765,21120,0.5427587628364563,330,39.814456939697266,,1763260080.713488,0.0001296447589993477
0.00043232645839452744,-0.0003864467144012451,,0.0,0.00028732718783430755,883.0,50.148113489151,0.4750593304634094,21248,0.527617871761322,332,16.763498306274414,,1763260080.8536954,1.4024786651134491e-05
,,172.0,,,,50.478195905685425,,21612,,337,,172.0,1763260081.1837778,
0.005615696310997009,-0.005141332745552063,,0.0,0.00028701996780000627,884.0,50.69634771347046,0.5453438758850098,21760,0.5367305874824524,340,61.97816848754883,,1763260081.4019296,0.0002619680017232895
,,100.0,,,,53.02058410644531,,23810,,370,,100.0,1763260083.726166,
,,252.0,,,,53.440248012542725,,24198,,375,,252.0,1763260084.14583,
0.000298316590487957,-0.00036239810287952423,,0.0,0.0002844854025170207,888.0,55.361183404922485,0.23678594827651978,25984,0.5804823040962219,396,11.183520317077637,,1763260086.0667653,4.749279469251633e-05
,,199.0,,,,57.748589277267456,,28240,,425,,199.0,1763260088.4541712,
,,168.0,,,,59.23534870147705,,29495,,441,,168.0,1763260089.9409306,
0.0015017762780189514,-0.0035663992166519165,,0.0,0.0002818740322254598,890.0,60.15873098373413,-0.34246504306793213,30336,0.6055002808570862,450,12.142744064331055,,1763260090.864313,0.00014988332986831665
-0.003292214125394821,0.00047313328832387924,,0.0,0.00028087556711398065,883.0,62.321064472198486,0.5845798254013062,32000,0.5970298647880554,471,20.491474151611328,,1763260093.0266464,7.197260856628418e-05
0.0008492451161146164,-0.0029003843665122986,,0.0,0.0002802611270453781,880.0,63.619464635849,-0.08188521862030029,33024,0.5913224220275879,481,7.044478416442871,,1763260094.3250465,0.00010736659169197083
-0.0006611151620745659,0.0004130750894546509,,0.0,0.00027972349198535085,879.0,64.68226099014282,0.006968021392822266,33920,0.6152398586273193,490,7.08961296081543,,1763260095.387843,2.9830262064933777e-06
0.0320463590323925,-0.009193889796733856,,0.005859375,0.00027903224690817297,873.0,66.24071621894836,0.4639677405357361,35072,0.5775632858276367,504,76.51397705078125,,1763260096.9462981,0.004579340107738972
0.00018217042088508606,-0.0005833804607391357,,0.0,0.00027857141685672104,862.0,67.65618348121643,0.2953713536262512,35840,0.5951327085494995,515,5.080504417419434,,1763260098.3617654,8.231028914451599e-06
,,250.0,,,,69.56062746047974,,36893,,530,,250.0,1763260100.2662094,
,,105.0,,,,70.9329924583435,,37678,,539,,105.0,1763260101.6385744,
,,134.0,,,,71.90030360221863,,38234,,547,,134.0,1763260102.6058855,
-0.0022645732387900352,-0.0043676383793354034,,0.0,0.00027672809665091336,824.0,73.2888035774231,0.6149663925170898,38912,0.6196271777153015,555,64.2217788696289,,1763260103.9943855,0.00013092439621686935
-0.00019848346710205078,0.0022901371121406555,,0.0,0.0002764976816251874,821.0,73.95026397705078,0.6914228200912476,39296,0.6003743410110474,559,3.7580978870391846,,1763260104.6558459,4.13060188293457e-05
0.0019320221617817879,-0.004228375852108002,,0.0,0.00027611368568614125,814.0,75.15592670440674,0.7983301281929016,39936,0.5832438468933105,568,32.59002685546875,,1763260105.8615086,0.0007491642609238625
0.0016692820936441422,0.0004593208432197571,,0.0,0.00027465439052321017,776.0,80.69541263580322,-0.4245288372039795,42368,0.5764453411102295,595,2.7395074367523193,,1763260111.4009945,8.853524923324585e-05
-0.0032204175367951393,0.003971852362155914,,0.0,0.00027380953542888165,763.0,83.40994024276733,0.8850903511047363,43776,0.5677054524421692,612,32.632301330566406,,1763260114.1155221,0.000146389938890934
,,277.0,,,,83.69398784637451,,44004,,614,,277.0,1763260114.3995697,
0.0043407585471868515,0.006116941571235657,,0.0,0.0002729646803345531,752.0,86.14221906661987,0.9453748464584351,45184,0.535756528377533,630,13.05907917022705,,1763260116.847801,0.0004926901310682297
0.004041402600705624,0.008356962352991104,,0.0,0.00027265746030025184,749.0,87.09100246429443,0.949457049369812,45696,0.5378075242042542,636,17.949512481689453,,1763260117.7965844,0.001011035405099392
,,226.0,,,,87.61541986465454,,46012,,640,,226.0,1763260118.3210018,
,,355.0,,,,89.27149820327759,,46963,,650,,355.0,1763260119.97708,
,,225.0,,,,91.60879230499268,,48147,,664,,225.0,1763260122.3143742,
,,500.0,,,,95.02574157714844,,50172,,684,,500.0,1763260125.7313235,
