global_step,_step,losses/clipfrac,losses/approx_kl,losses/old_approx_kl,charts/learning_rate,losses/policy_loss,charts/episodic_length,_runtime,charts/SPS,losses/value_loss,charts/episodic_return,losses/explained_variance,_timestamp,losses/entropy
34816,504,0.0,1.5739351511001587e-06,0.0003708507865667343,0.0002791858569253236,-0.00017853174358606339,,63.42030119895935,933.0,5.457930088043213,,0.041509926319122314,1763260094.1206112,0.6093897223472595
35840,515,0.0,0.0009388048201799393,0.00550306960940361,0.00027857141685672104,0.001232396811246872,,64.65589904785156,929.0,4.188910484313965,,0.7625029683113098,1763260095.356209,0.6363943815231323
37120,530,0.0,5.6438148021698e-06,-0.0008169375360012054,0.00027780336677096784,-0.000529993325471878,,66.12867951393127,927.0,4.564754009246826,,0.010141551494598389,1763260096.8289895,0.6054211258888245
37888,539,0.021484375,0.006171506829559803,0.015590245835483074,0.0002773425367195159,-0.0205993689596653,,67.70112562179565,911.0,155.9312286376953,,-0.0011227130889892578,1763260098.4014356,0.560706615447998
38656,547,0.0,0.00012019556015729904,-0.003302573226392269,0.000276881706668064,0.00012336298823356628,,69.21654009819031,896.0,4.015751838684082,,0.28931283950805664,1763260099.91685,0.5670788288116455
39296,555,0.0,0.0001957705244421959,-0.003773988224565983,0.0002764976816251874,-0.0016769766807556152,,70.56889700889587,883.0,4.417761325836182,,0.26821643114089966,1763260101.269207,0.5573391914367676
39610,559,,,,,,222.0,71.13272428512573,,,222.0,,1763260101.8330343,
40320,568,0.001953125,0.001675221137702465,-0.018677152693271637,0.0002758832706604153,0.007488902658224106,,72.76048350334167,864.0,87.466064453125,,0.02346712350845337,1763260103.4607935,0.5797401070594788
42752,595,0.0,0.0005332408472895622,0.001077297143638134,0.0002744239754974842,-0.00761895626783371,,78.53811740875244,815.0,16.50994110107422,,0.9074175357818604,1763260109.2384274,0.5569170713424683
44416,612,0.037109375,0.010949457064270973,0.043864697217941284,0.00027342551038600504,-0.0052348896861076355,,82.52213335037231,787.0,29.62738037109375,,0.9376572370529175,1763260113.2224433,0.5288210511207581
44554,614,,,,,,148.0,82.78712368011475,,,148.0,,1763260113.4874337,
46080,630,0.017578125,0.007997953332960606,0.024057241156697273,0.0002724270452745259,0.009072504937648773,,85.99682283401489,769.0,0.9461723566055298,,0.9514258503913879,1763260116.6971328,0.5453553199768066
46717,636,,,,,,500.0,87.14178276062012,,,500.0,,1763260117.8420928,
47054,640,,,,,,337.0,87.96444845199585,,,337.0,,1763260118.6647584,
48000,650,0.0,0.0001490861177444458,0.001423744484782219,0.0002712749701458961,0.00044446811079978943,,90.0934751033783,750.0,1.4904329776763916,,-0.5199377536773682,1763260120.793785,0.5788790583610535
49280,664,0.0,1.8310733139514923e-05,-0.0014839498326182365,0.0002705069200601429,0.000975191593170166,,92.80884838104248,738.0,0.888057291507721,,-0.06227982044219971,1763260123.5091584,0.5698606371879578
50944,684,0.001953125,0.002634994685649872,0.0006082355976104736,0.0002695084549486637,-0.014942307025194168,,96.37930798530579,725.0,218.42092895507812,,0.07906264066696167,1763260127.079618,0.5501347780227661
51328,689,0.0,5.454476922750473e-05,0.0030176909640431404,0.00026927803992293775,0.0015401095151901245,,97.21755838394165,721.0,63.32194137573242,,0.0007087588310241699,1763260127.9178684,0.582164466381073
52096,698,0.0,0.0004223436117172241,0.0008245836943387985,0.00026881720987148583,-0.0114152692258358,,98.81909847259521,716.0,253.61009216308594,,0.0873708724975586,1763260129.5194085,0.570965588092804
52480,702,0.0,3.854464739561081e-05,0.0004936819896101952,0.00026858679484575987,0.0002802237868309021,,99.57312893867493,714.0,1.0655200481414795,,-0.7923473119735718,1763260130.273439,0.5398831963539124
52992,707,0.0,1.6854144632816315e-05,-0.0010536210611462593,0.0002682795748114586,-0.0012357160449028015,,100.533278465271,712.0,1.1450846195220947,,0.6441725492477417,1763260131.2335885,0.5596250891685486
55296,729,0.0,0.00015135854482650757,0.007313249632716179,0.0002668970846571028,0.00412090215831995,,104.90390467643738,701.0,0.315059632062912,,-0.20598530769348145,1763260135.6042147,0.48803019523620605
58120,757,,,,,,500.0,110.02972054481506,,,500.0,,1763260140.7300305,
58752,762,0.0,0.0013016359880566597,0.00748078990727663,0.0002648233494255692,-0.011960051953792572,,111.26013588905334,690.0,0.09658873826265335,,0.029987692832946777,1763260141.960446,0.5697791576385498
59264,767,0.005859375,0.004055257886648178,-0.019635086879134178,0.0002645161293912679,0.02562113106250763,,112.33716940879822,687.0,0.0897921547293663,,0.8220760226249695,1763260143.0374794,0.4539848566055298
60032,775,0.0,0.002122783102095127,0.0050560487434268,0.000264055299339816,-0.012617852538824081,,113.92919969558716,683.0,260.9535827636719,,0.0055043697357177734,1763260144.6295097,0.5353231430053711
61440,788,0.0078125,0.0058585405349731445,0.017560873180627823,0.00026321044424548745,-0.0032340586185455322,,116.62641978263855,678.0,0.007664104923605919,,-0.9737181663513184,1763260147.3267298,0.5400837063789368
61496,789,,,,,,500.0,116.67795038223267,,,500.0,,1763260147.3782604,
62336,797,0.0,0.0010026786476373672,-0.002864902839064598,0.0002626728091854602,0.009112365543842316,,118.41240525245667,675.0,0.0038205075543373823,,0.63181471824646,1763260149.1127152,0.4990747570991516
63232,806,0.0,0.0005110828205943108,0.00924424733966589,0.00026213517412543297,-0.0029878467321395874,,120.13079810142517,672.0,0.007821332663297653,,-1.120079755783081,1763260150.831108,0.5396018624305725
64082,815,,,,,,500.0,121.62447953224182,,,500.0,,1763260152.3247895,
68864,863,0.0,0.0005327500402927399,-0.007042113691568375,0.0002587557537481189,-0.004866849631071091,,130.73204064369202,658.0,0.0037392110098153353,,0.0172884464263916,1763260161.4323506,0.49031537771224976
69760,872,0.0,2.8721988201141357e-06,-3.2359734177589417e-05,0.00025821811868809164,-0.000452626496553421,,132.43901920318604,656.0,159.47654724121094,,-0.0001125335693359375,1763260163.1393292,0.49358683824539185
70226,876,,,,,,500.0,133.1717393398285,,,500.0,,1763260163.8720493,
74240,916,0.0,0.0006768191233277321,-0.0025124838575720787,0.00025552994338795543,-0.0036232471466064453,,140.88858914375305,646.0,345.6339111328125,,2.7418136596679688e-06,1763260171.5888991,0.5391090512275696
74880,922,0.0,0.0016994066536426544,0.0010648313909769058,0.0002551459183450788,0.00443364679813385,,142.07221603393555,645.0,0.004827541299164295,,-0.03209400177001953,1763260172.772526,0.3918655812740326
75726,930,,,,,,500.0,143.54071283340454,,,500.0,,1763260174.2410228,
76544,938,0.0,4.558730870485306e-05,0.0006595207378268242,0.00025414745323359966,0.000858161598443985,,145.2309799194336,642.0,0.0005469726747833192,,-0.28210318088531494,1763260175.93129,0.5388153791427612
76800,941,0.0,0.0010886313393712044,0.0019828667864203453,0.000253993843216449,0.007481761276721954,,145.77161836624146,641.0,429.2860107421875,,3.55839729309082e-05,1763260176.4719284,0.5845174789428711
76928,942,0.0,0.001809251494705677,0.01571713760495186,0.0002539170382078737,0.0038210246711969376,,146.00895500183105,641.0,0.00387799134477973,,-0.16244661808013916,1763260176.709265,0.46560823917388916
77568,948,0.005859375,0.001218041405081749,0.01568792760372162,0.0002535330131649971,-0.003726918250322342,,147.26634311676025,640.0,0.00046057626605033875,,0.051572203636169434,1763260177.966653,0.4964364469051361
80226,974,,,,,,500.0,152.4101231098175,,,500.0,,1763260183.110433,
80768,980,0.0,0.0003634747117757797,0.012297157198190689,0.00025161291705444455,0.004859607666730881,,153.58383107185364,633.0,106.06977081298828,,-0.00016760826110839844,1763260184.284141,0.5364243984222412
81280,985,0.0,3.737024962902069e-05,0.00044313445687294006,0.00025130569702014327,-0.0003835093230009079,,154.56047558784485,632.0,321.7175598144531,,0.00016421079635620117,1763260185.2607856,0.5219128727912903
82304,995,0.0,0.0002606566995382309,0.0013010501861572266,0.0002506912569515407,0.0036752140149474144,,156.58398938179016,630.0,247.7282257080078,,0.00011712312698364258,1763260187.2842994,0.4931737184524536
82560,997,0.0,0.00014767330139875412,0.0001952359452843666,0.00025053764693439007,-0.0005133301019668579,,157.05988883972168,630.0,0.0005748581606894732,,0.5090183019638062,1763260187.7601988,0.5068023204803467
84352,1015,0.0,0.00041715148836374283,-0.002089659683406353,0.0002494623768143356,0.00477861613035202,,160.5163493156433,627.0,0.003525224979966879,,0.0005201101303100586,1763260191.2166593,0.5247502326965332
84864,1020,0.0,0.001829727552831173,0.020616736263036728,0.0002491551567800343,-0.005754787474870682,,161.4555151462555,627.0,0.005546338856220245,,0.44499754905700684,1763260192.1558251,0.5294374227523804
86016,1031,0.0,3.816373646259308e-05,-0.00026182085275650024,0.0002484639117028564,-0.000569906085729599,,163.5673565864563,625.0,0.0003483527689240873,,-0.33630597591400146,1763260194.2676666,0.5266109704971313
87936,1050,0.001953125,0.0018869461491703987,0.00496890302747488,0.0002473118365742266,-0.017703428864479065,,167.10077095031738,623.0,0.005359288305044174,,-0.04250907897949219,1763260197.801081,0.5018549561500549
88226,1053,,,,,,500.0,167.5725224018097,,,500.0,,1763260198.2728324,
88726,1058,,,,,,500.0,168.52193450927734,,,500.0,,1763260199.2222445,
91226,1082,,,,,,500.0,172.94913053512573,,,500.0,,1763260203.6494405,
91264,1083,0.0,0.00020058080554008484,0.001828005537390709,0.0002453149063512683,-0.001542855054140091,,173.185950756073,620.0,328.8648681640625,,-4.267692565917969e-05,1763260203.8862607,0.5795596241950989
92160,1091,0.001953125,0.002456056885421276,0.0033078109845519066,0.00024477727129124105,0.009686516597867012,,174.8083474636078,619.0,5.556790711125359e-05,,-0.23359549045562744,1763260205.5086575,0.4903833866119385
93696,1106,0.0,0.001964268274605274,0.020651236176490784,0.0002438556111883372,-0.007000632584095001,,177.64544558525085,618.0,0.00027090960065834224,,-0.432888388633728,1763260208.3457556,0.4746660888195038
94848,1118,0.0,0.0006472654640674591,-0.009721333160996437,0.00024316436611115932,-0.001573130488395691,,179.86908769607544,616.0,219.9752655029297,,-3.5881996154785156e-05,1763260210.5693977,0.5233235955238342
95616,1125,0.0,0.0005825161933898926,-0.004543015733361244,0.0002427035360597074,0.0009152814745903015,,181.25529193878174,616.0,0.00018303230172023177,,0.1568152904510498,1763260211.955602,0.46909940242767334
96384,1133,0.0,0.0002888031303882599,-0.005685655400156975,0.00024224270600825548,-0.004092305898666382,,182.74949383735657,615.0,0.004492600914090872,,0.11866742372512817,1763260213.4498038,0.4614543616771698
97664,1145,0.0,5.534756928682327e-05,0.0009473348036408424,0.00024147465592250228,0.00179387629032135,,185.15143036842346,614.0,0.00016037517343647778,,0.12185066938400269,1763260215.8517404,0.5374563932418823
99584,1164,0.009765625,0.0053313253447413445,0.010933511890470982,0.00024032258079387248,-0.020719079300761223,,188.79166436195374,612.0,0.0006004624301567674,,0.4025653004646301,1763260219.4919744,0.44392210245132446
99712,1165,0.009765625,0.002189711667597294,0.00935553852468729,0.00024024577578529716,-0.00782005488872528,,189.02442407608032,612.0,9.313668124377728e-05,,-0.700634241104126,1763260219.724734,0.4802832007408142
100352,1172,0.0,0.0006280411034822464,-0.0001672934740781784,0.00023986175074242055,-0.007886379957199097,,190.30710768699646,611.0,0.0023519869428128004,,9.649991989135742e-05,1763260221.0074177,0.5089802742004395
101248,1181,0.0,0.0002483958378434181,0.002298329956829548,0.0002393241156823933,-0.001078817993402481,,192.045752286911,610.0,134.29345703125,,1.7285346984863281e-06,1763260222.7460623,0.49355819821357727
101760,1186,0.0,6.389804184436798e-06,-0.0003406340256333351,0.00023901689564809203,1.7229467630386353e-05,,193.01716470718384,609.0,88.91785430908203,,-3.0040740966796875e-05,1763260223.7174747,0.46182915568351746
102912,1197,0.0,1.3101845979690552e-05,0.00209922157227993,0.00023832565057091415,-0.0005666092038154602,,195.19596409797668,608.0,0.005880804732441902,,0.09296572208404541,1763260225.896274,0.5758219957351685
104576,1213,0.009765625,0.0024070795625448227,-0.014231497421860695,0.00023732718545943499,-0.006525404751300812,,198.3506956100464,607.0,0.0004376471333671361,,-1.324836254119873,1763260229.0510056,0.5052595138549805
104726,1215,,,,,,500.0,198.64874839782715,,,500.0,,1763260229.3490584,
105856,1226,0.0,4.1292980313301086e-05,0.001470133662223816,0.00023655913537368178,-0.001075269654393196,,200.73031902313232,606.0,0.003989892080426216,,-0.0019184350967407227,1763260231.430629,0.5632895827293396
106240,1230,0.0,0.000774855725467205,-0.011388602666556835,0.00023632872034795582,-0.0015815123915672302,,201.4507656097412,605.0,162.36582946777344,,-7.092952728271484e-05,1763260232.1510756,0.5230380892753601
106726,1234,,,,,,500.0,202.2281858921051,,,500.0,,1763260232.928496,
107776,1245,0.05078125,0.007401498965919018,0.019445639103651047,0.00023540706024505198,-0.010397590696811676,,204.42590188980103,604.0,0.00033321435330435634,,-0.2028675079345703,1763260235.126212,0.48220646381378174
108672,1254,0.0,0.0023537231609225273,-0.0019537387415766716,0.00023486942518502474,-0.008181197568774223,,206.20994520187378,603.0,0.0005109834019094706,,-0.07286405563354492,1763260236.9102552,0.5170776844024658
110336,1271,0.0,8.689984679222107e-05,-0.001978401094675064,0.0002338709746254608,-0.001773422583937645,,209.51579070091248,601.0,188.00123596191406,,8.26716423034668e-05,1763260240.2161007,0.5805882811546326
113152,1299,0.0,0.000638243742287159,0.003040931187570095,0.00023218126443680376,-0.010771911591291428,,214.79095816612244,599.0,0.005192442797124386,,-0.04059255123138428,1763260245.4912682,0.5817866325378418
117120,1339,0.001953125,0.0033743251115083694,0.0042472220957279205,0.00022980030917096883,-0.00873313844203949,,221.78780102729797,598.0,186.81878662109375,,-6.604194641113281e-05,1763260252.488111,0.5592036843299866
117248,1340,0.0,0.0011536981910467148,0.008581507951021194,0.0002297235041623935,-0.0021607540547847748,,222.01569056510925,598.0,0.006896836217492819,,-0.17452752590179443,1763260252.7160006,0.5582771301269531
118144,1349,0.0,0.0014922339469194412,0.010112278163433075,0.00022918586910236627,-0.013740405440330505,,223.66793632507324,598.0,318.2747802734375,,0.0002067089080810547,1763260254.3682463,0.49788039922714233
119296,1363,0.0,0.0010704966261982918,0.009450565092265606,0.00022849462402518839,0.008108215406537056,,225.8948516845703,597.0,108.6559066772461,,-0.0011026859283447266,1763260256.5951617,0.49163001775741577
119552,1365,0.0,0.00010168366134166718,-0.002689346671104431,0.00022834101400803775,-0.002218080684542656,,226.29830813407898,597.0,0.0008359047351405025,,0.06469029188156128,1763260256.9986181,0.5174746513366699
120064,1370,0.01953125,0.0037944456562399864,-0.01203067135065794,0.00022803379397373646,-0.01037152111530304,,227.24395942687988,596.0,0.0010778764262795448,,-1.0587213039398193,1763260257.9442694,0.49111127853393555
121088,1380,0.0,0.0019678492099046707,0.004371974617242813,0.0002274193539051339,-0.018311437219381332,,229.16120672225952,596.0,0.0004144111881032586,,-0.42997777462005615,1763260259.8615167,0.5140402913093567
121208,1381,,,,,,500.0,229.22528076171875,,,500.0,,1763260259.9255908,
121856,1388,0.00390625,0.003125934861600399,0.01724132150411606,0.00022695852385368198,-0.01823330670595169,,230.59740447998047,595.0,0.0046304138377308846,,0.3779481053352356,1763260261.2977145,0.4808340072631836
122624,1395,0.0,0.000645127147436142,-0.006524130702018738,0.00022649769380223006,-5.8785080909729004e-05,,232.0063087940216,595.0,0.0002897147787734866,,-0.05634653568267822,1763260262.7066188,0.4469490051269531
123008,1399,0.0,0.0003313617780804634,-0.002607290633022785,0.0002262672787765041,0.0011710822582244873,,232.718190908432,595.0,0.0006589971599169075,,-0.11822402477264404,1763260263.418501,0.5202441215515137
123648,1405,0.0,0.0015286654233932495,0.013502029702067375,0.0002258832537336275,-0.015056982636451721,,233.88288187980652,595.0,0.0002270116820000112,,0.12378358840942383,1763260264.5831919,0.4193808436393738
126464,1432,0.0,0.001567087136209011,0.009186643175780773,0.00022419354354497045,0.014183077961206436,,239.02476286888123,593.0,0.00050699757412076,,-0.752367377281189,1763260269.7250729,0.3796054422855377
126592,1433,0.0,0.00040024053305387497,0.004786658100783825,0.00022411673853639513,-0.00555313378572464,,239.22933411598206,594.0,0.00025685300352051854,,-0.6493679285049438,1763260269.929644,0.503723680973053
128768,1455,0.0,0.00013402104377746582,-0.002212824299931526,0.0002228110533906147,0.0035822466015815735,,241.80358147621155,597.0,270.7872619628906,,-0.00021922588348388672,1763260272.5038915,0.40499764680862427
128896,1456,0.0,0.0002827392891049385,-0.0012910859659314156,0.00022273424838203937,0.006170094013214111,,241.9562749862671,597.0,0.00348958233371377,,0.03673583269119263,1763260272.656585,0.4276120066642761
129024,1457,0.0,0.0009083300828933716,0.003280753269791603,0.00022265744337346405,0.003374718129634857,,242.07390117645264,597.0,0.0009728161967359483,,0.2840046286582947,1763260272.7742112,0.3924727737903595
134784,1514,0.0,0.0010546809062361717,0.005397808738052845,0.00021920123253948987,-0.01724814996123314,,251.36422109603882,598.0,194.5507049560547,,-0.00042438507080078125,1763260282.064531,0.4701724052429199
135552,1521,0.0,8.841138333082199e-05,-0.002911302261054516,0.00021874040248803794,0.00010147690773010254,,252.15315103530884,599.0,0.0002959769044537097,,-0.0798107385635376,1763260282.853461,0.5012571811676025
135936,1525,0.0,0.0010384535416960716,0.0009585553780198097,0.00021850998746231198,-0.017102986574172974,,252.5888671875,600.0,0.005004661623388529,,0.26596003770828247,1763260283.2891772,0.4274952709674835
136192,1527,0.0,0.0003301529213786125,-0.008238415233790874,0.00021835637744516134,-0.0015622517094016075,,252.8475353717804,600.0,0.0001279470307053998,,-0.3725779056549072,1763260283.5478454,0.40742573142051697
136320,1529,0.0,0.00019454117864370346,-0.002885150723159313,0.00021827957243658602,0.003402799367904663,,253.02736616134644,600.0,365.15869140625,,-0.0003173351287841797,1763260283.7276762,0.4381864368915558
136832,1534,0.0,0.00013948511332273483,-0.0021418584510684013,0.00021797235240228474,-0.0033902302384376526,,253.61121726036072,601.0,371.30078125,,-1.8715858459472656e-05,1763260284.3115273,0.43911314010620117
137088,1536,0.0,0.0010386090725660324,0.004698401317000389,0.0002178187423851341,-0.015911180526018143,,253.87383484840393,601.0,0.0004063319065608084,,-0.16578781604766846,1763260284.5741448,0.4519751965999603
137728,1543,0.0,0.00013254676014184952,1.1718831956386566e-05,0.0002174347173422575,0.0023178942501544952,,254.91226744651794,601.0,373.2058410644531,,2.4974346160888672e-05,1763260285.6125774,0.4305603802204132
137984,1545,0.013671875,0.0029603559523820877,-0.009142279624938965,0.00021728110732510686,-0.0029799863696098328,,255.3213186264038,602.0,0.000536174513399601,,-0.1526961326599121,1763260286.0216286,0.4616284966468811
138112,1546,0.0,0.0019643884152173996,0.028021153062582016,0.00021720430231653154,-0.01928848586976528,,255.5543622970581,601.0,0.0001706564798951149,,0.04347646236419678,1763260286.2546723,0.46649181842803955
139264,1558,0.0,0.000928330235183239,-0.0035948874428868294,0.00021651305723935366,0.003967814147472382,,257.7069296836853,601.0,139.46575927734375,,-0.00012362003326416016,1763260288.4072397,0.3348972797393799
139392,1559,0.009765625,0.0032156314700841904,0.016228020191192627,0.00021643625223077834,-0.010736750438809395,,257.9082398414612,601.0,0.0045882719568908215,,-0.06052112579345703,1763260288.6085498,0.46494683623313904
139776,1563,0.0,5.485396832227707e-05,-0.00330920796841383,0.00021620583720505238,-0.00041750818490982056,,258.5862891674042,601.0,204.09622192382812,,0.0003108382225036621,1763260289.2865992,0.4589565694332123
140160,1566,0.0,0.00032806023955345154,-0.0034171156585216522,0.00021597542217932642,0.0012165196239948273,,259.19815850257874,601.0,4.3436273699626327e-05,,0.0028246641159057617,1763260289.8984685,0.5046822428703308
142464,1588,0.001953125,0.0010913359001278877,0.0001554163172841072,0.00021459293202497065,-0.008058447390794754,,263.1073441505432,601.0,0.0003993747814092785,,-0.061596035957336426,1763260293.8076541,0.47268685698509216
142592,1589,0.0,0.00029298849403858185,0.009398000314831734,0.00021451612701639533,0.002883613109588623,,263.3100345134735,601.0,0.00010759886936284602,,-0.528363823890686,1763260294.0103445,0.417101114988327
143360,1597,0.001953125,0.0023526865988969803,0.024289727210998535,0.0002140552969649434,-0.024280060082674026,,264.1894383430481,602.0,0.00665439385920763,,-0.2784057855606079,1763260294.8897483,0.4051707684993744
144384,1607,0.0,2.8328970074653625e-05,0.0024202708154916763,0.00021344085689634085,-0.0007011741399765015,,265.3066167831421,603.0,0.0048900474794209,,0.05966717004776001,1763260296.0069268,0.42203211784362793
144640,1609,0.0,0.0009145168587565422,0.001414998434484005,0.0002132872468791902,-0.01413508877158165,,265.5578227043152,604.0,0.00016690550546627492,,0.3978201150894165,1763260296.2581327,0.4598561227321625
144708,1610,,,,,,500.0,265.58618235588074,,,500.0,,1763260296.2864923,
144896,1612,0.0,0.001554960384964943,-0.004300752654671669,0.00021313363686203957,-0.01355760544538498,,265.8318762779236,604.0,0.006526954006403685,,-0.43851399421691895,1763260296.5321863,0.4415852427482605
146304,1626,0.00390625,0.0005777245387434959,-0.004899780265986919,0.00021228878176771104,0.009801387786865234,,267.35901856422424,606.0,198.73939514160156,,0.0016161203384399414,1763260298.0593286,0.3566420376300812
147584,1638,0.00390625,0.002176571637392044,0.004601344466209412,0.00021152073168195784,-0.011743104085326195,,268.78079891204834,608.0,0.0004920070641674101,,0.10465919971466064,1763260299.481109,0.4390375018119812
152576,1687,0.0,0.0022552991285920143,0.019684741273522377,0.00020852535089943558,-0.029998118057847023,,276.23308515548706,610.0,0.00046799395931884646,,-0.18884706497192383,1763260306.9333951,0.3016344904899597
