global_step,charts/episodic_return,losses/entropy,losses/old_approx_kl,_step,losses/value_loss,charts/episodic_length,_runtime,charts/SPS,losses/approx_kl,losses/policy_loss,charts/learning_rate,losses/explained_variance,_timestamp,losses/clipfrac
32128,,0.5219035744667053,-0.0006898064166307449,481,33.64676284790039,,61.383604764938354,910.0,3.986246883869171e-05,-0.00029618293046951294,0.00028079876210540533,0.787800133228302,1763260092.0842698,0.0
32896,,0.5322690606117249,0.027797387912869453,490,14.025296211242676,,62.39378499984741,906.0,0.004160979762673378,0.02239976078271866,0.0002803379320539534,0.8556011915206909,1763260093.09445,0.001953125
34048,,0.5589075684547424,-0.005890136584639549,504,50.83476638793945,,63.957815408706665,899.0,0.00045549310743808746,0.0003915727138519287,0.0002796466869767755,0.8491923809051514,1763260094.6584804,0.0
34944,,0.5256631374359131,-0.0025898246094584465,515,5.75065803527832,,65.06016135215759,897.0,0.00032907072454690933,-0.005441058427095413,0.0002791090519167483,-0.23985540866851807,1763260095.7608263,0.0
36224,,0.5509413480758667,-0.0033127767965197563,530,24.387123107910156,,66.98952770233154,886.0,0.000713997520506382,0.009874291718006134,0.0002783410018309951,0.8851386308670044,1763260097.6901927,0.0
36864,,0.5860426425933838,-0.0006057769060134888,539,18.587234497070312,,68.1695876121521,876.0,8.181482553482056e-05,0.0020633265376091003,0.0002779569767881185,0.2742128372192383,1763260098.8702526,0.0
37456,114.0,,,547,,114.0,69.22366261482239,,,,,,1763260099.9243276,
38016,,0.5816542506217957,-0.0017026299610733986,555,2.6304094791412354,,70.43061447143555,857.0,8.006487041711807e-05,-0.0010726302862167358,0.0002772657317109406,0.5903943181037903,1763260101.1312795,0.0
38275,171.0,,,559,,171.0,70.97708582878113,,,,,,1763260101.6777508,
39168,,0.5534089207649231,0.007845168001949787,568,6.00356912612915,,72.64150738716125,841.0,0.00036382023245096207,0.006612994708120823,0.0002765744866337627,0.9532667398452759,1763260103.3421724,0.0
41472,,0.5717077851295471,-0.00036386214196681976,595,127.78933715820312,,77.51565957069397,806.0,9.194575250148773e-05,-0.003533747047185898,0.0002751920255832374,0.005158543586730957,1763260108.2163246,0.0
43008,,0.5917878150939941,0.0001376485452055931,612,144.6947021484375,,81.3170976638794,779.0,0.00010448973625898361,-0.0053174495697021484,0.00027427036548033357,0.22648757696151733,1763260112.0177627,0.0
43162,167.0,,,614,,167.0,81.602285861969,,,,,,1763260112.3029509,
44416,,0.6055914759635925,0.005131949670612812,630,1.1253948211669922,,84.22729349136353,764.0,0.0016121035441756248,0.007349066436290741,0.00027342551038600504,0.9287974834442139,1763260114.9279585,0.0
44928,,0.5997050404548645,-0.003025786019861698,636,1.352396845817566,,85.26060557365417,759.0,6.740633398294449e-05,6.609037518501282e-05,0.00027311829035170376,-0.18801212310791016,1763260115.9612706,0.0
45312,,0.5685189962387085,0.02073267102241516,640,4.938096046447754,,85.98109269142151,756.0,0.0029186056926846504,-0.004754672758281231,0.0002728878753259778,0.9672133922576904,1763260116.6817577,0.0
46080,,0.5401157140731812,0.0024897539988160133,650,18.39309310913086,,87.60705280303955,749.0,0.002804863266646862,-0.03274602070450783,0.0002724270452745259,0.9461269974708557,1763260118.3077178,0.0
47104,,0.5520409941673279,-0.010833014734089375,664,22.76628875732422,,89.78400111198425,739.0,0.0017517069354653358,-0.006219301372766495,0.0002718126052059233,0.9293047189712524,1763260120.484666,0.0
49024,,0.5787671208381653,0.00963454321026802,684,0.5398679971694946,,93.460862159729,727.0,0.0005133077502250671,-0.009380603209137917,0.0002706605300772935,0.8939630389213562,1763260124.1615272,0.001953125
49408,,0.6030922532081604,-0.007508661597967148,689,5.6093597412109375,,94.22476577758789,725.0,0.0012686029076576233,-0.01918764039874077,0.00027043011505156755,0.16623789072036743,1763260124.9254308,0.0
50282,149.0,,,698,,149.0,95.75474524497986,,,,,,1763260126.4554102,
50554,160.0,,,702,,160.0,96.29744148254395,,,,,,1763260126.9981065,
50944,,0.5919943451881409,0.0020996276289224625,707,47.644683837890625,,97.22185802459717,716.0,8.757784962654114e-05,-0.0007481537759304047,0.0002695084549486637,0.8745861053466797,1763260127.922523,0.0
52829,70.0,,,729,,70.0,100.63493871688843,,,,,,1763260131.3356037,
55191,201.0,,,757,,201.0,105.12883973121643,,,,,,1763260135.8295047,
55680,,0.623558759689331,0.0020189564675092697,762,0.3330381214618683,,106.00572085380554,696.0,0.0008790604770183563,-0.006206586956977844,0.00026666666963137686,-0.5690838098526001,1763260136.7063859,0.0
55977,109.0,,,767,,109.0,106.58517670631409,,,,,,1763260137.2858417,
56576,,0.6020306348800659,0.0033956198021769524,775,0.33802878856658936,,107.8650131225586,692.0,0.0002019023522734642,0.004988916218280792,0.0002661290345713496,0.23670971393585205,1763260138.5656781,0.0
57728,,0.5653366446495056,-0.003473019227385521,788,0.29008519649505615,,110.12331581115723,687.0,0.00032449327409267426,-0.005494330078363419,0.00026543778949417174,0.14395564794540405,1763260140.8239808,0.0
58624,,0.5724025964736938,-0.0022950461134314537,797,268.9368591308594,,111.99831700325012,682.0,0.00033607427030801773,-0.0011913701891899109,0.0002649001544341445,-0.0024662017822265625,1763260142.698982,0.0
59559,500.0,,,806,,500.0,113.91008305549622,,,,,,1763260144.610748,
60416,,0.6117805242538452,0.010809792205691338,815,0.10485939681529999,,115.79260039329529,673.0,0.0017326809465885162,0.010996103286743164,0.00026382488431409,-1.473024606704712,1763260146.4932654,0.0
64896,,0.5187585949897766,0.005624372512102127,863,0.0012368193129077554,,124.8742356300354,657.0,0.0006051640957593918,-0.014227494597434998,0.0002611367090139538,-1.089848518371582,1763260155.5749006,0.0
65792,,0.47239360213279724,0.010417476296424866,872,0.010384456254541874,,126.61272168159485,654.0,0.006535310298204422,-0.03197624906897545,0.00026059907395392656,0.5255885124206543,1763260157.3133867,0.017578125
66176,,0.5945210456848145,0.0026161232963204384,876,54.23982238769531,,127.37559509277344,653.0,0.0002711126580834389,0.011569980531930923,0.0002603686589282006,-0.00013780593872070312,1763260158.07626,0.0
70912,,0.4608665108680725,0.022174358367919922,922,0.0005133263766765594,,136.73278498649597,641.0,0.006845065392553806,-0.03447991609573364,0.00025752687361091375,-0.6885333061218262,1763260167.43345,0.02734375
71680,,0.5439624190330505,0.0029125018045306206,930,198.39450073242188,,138.27152562141418,639.0,0.00022906344383955002,-0.00020044296979904175,0.00025706604355946183,-0.00031113624572753906,1763260168.9721906,0.0
72561,500.0,,,938,,500.0,139.84302496910095,,,,,,1763260170.54369,
72832,,0.48520341515541077,0.0020134132355451584,941,0.0004254502709954977,,140.56812000274658,636.0,5.749240517616272e-05,-0.00038556382060050964,0.00025637479848228395,-0.06000053882598877,1763260171.268785,0.0
72960,,0.5118608474731445,0.011462951079010963,942,0.00022176874335855246,,140.7791759967804,636.0,0.013994279317557812,-0.013037309050559998,0.00025629799347370863,0.19314032793045044,1763260171.479841,0.046875
73561,500.0,,,948,,500.0,141.85633516311646,,,,,,1763260172.5570002,
76160,,0.46179819107055664,0.006161859259009361,974,219.5953826904297,,147.26615643501282,628.0,0.00048522651195526123,0.004577763378620148,0.0002543778682593256,-0.0003286600112915039,1763260177.9668214,0.0
76800,,0.5210451483726501,0.018955811858177185,980,0.006466527469456196,,148.5852038860321,627.0,0.0013363147154450417,-0.001287560909986496,0.000253993843216449,0.04851645231246948,1763260179.285869,0.0
77312,,0.5140672922134399,-0.00196075439453125,985,0.0023208409547805786,,149.65726828575134,625.0,0.000940205529332161,-0.009226437658071518,0.00025368662318214774,-0.2223111391067505,1763260180.3579333,0.0
78336,,0.47021201252937317,-0.0006080586463212967,995,0.00038156838854774833,,151.78192353248596,623.0,0.005610799416899681,-0.005651913583278656,0.0002530721831135452,-0.033365488052368164,1763260182.4825885,0.009765625
78561,500.0,,,997,,500.0,152.09699726104736,,,,,,1763260182.7976623,
80384,,0.3947242796421051,-0.0012001143768429756,1015,0.0003230473375879228,,155.9578628540039,619.0,0.003808734007179737,-0.0012637004256248474,0.0002518433320801705,0.14181435108184814,1763260186.6585279,0.00390625
80896,,0.45541056990623474,0.009263211861252785,1020,0.0006472977693192661,,157.01715397834778,617.0,0.0021152161061763763,-0.009413287043571472,0.00025153611204586923,0.20418107509613037,1763260187.717819,0.0
82048,,0.42211824655532837,0.03215554729104042,1031,0.00021833258506376296,,159.35199975967407,615.0,0.006492191925644875,-0.022154733538627625,0.00025084486696869135,0.5751231908798218,1763260190.0526648,0.01171875
83968,,0.4114827513694763,0.003959008492529392,1050,0.00017859616491477937,,163.16300988197327,612.0,0.0009179795160889626,-0.0024664290249347687,0.00024969279184006155,-0.16201019287109375,1763260193.8636749,0.001953125
84224,,0.42499250173568726,-0.006806006655097008,1053,0.006465130019932985,,163.6988968849182,612.0,0.0003295149654150009,0.0011756308376789093,0.0002495391818229109,-0.25562191009521484,1763260194.399562,0.0
84736,,0.4083908796310425,0.03637228161096573,1058,0.009456109255552292,,164.69682955741882,611.0,0.0059080906212329865,0.004653215408325195,0.0002492319617886096,0.3532981872558594,1763260195.3974946,0.0234375
87296,,0.4315046966075897,0.0005476083606481552,1083,0.007270885165780783,,169.62710452079773,608.0,0.00031327269971370697,0.0022620800882577896,0.0002476958616171032,-0.16134238243103027,1763260200.3277695,0.0
88064,,0.5110621452331543,-0.0023351144045591354,1091,104.57634735107422,,171.10846066474915,607.0,0.0013391319662332535,0.012064002454280853,0.0002472350315656513,-0.00020575523376464844,1763260201.8091257,0.0
89600,,0.5104211568832397,0.011792746372520924,1106,73.12681579589844,,174.11221575737,605.0,0.0014167698100209236,-3.1441450119018555e-05,0.00024631337146274745,-0.00015866756439208984,1763260204.8128808,0.0
90880,,0.5027551054954529,0.04133825749158859,1118,0.0003878495190292597,,176.64528393745422,603.0,0.010945700109004974,0.014233038760721684,0.00024554532137699425,-0.12305903434753418,1763260207.345949,0.033203125
91561,500.0,,,1125,,500.0,177.98746299743652,,,,,,1763260208.688128,
92416,,0.4626099467277527,0.004970656707882881,1133,0.0003203972883056849,,179.72412538528442,601.0,0.0002599526196718216,-0.00540558248758316,0.0002446236612740904,0.07167518138885498,1763260210.4247904,0.0
93568,,0.43420279026031494,0.001667235977947712,1145,378.49365234375,,182.02582049369812,600.0,0.0018887212499976158,0.01103045605123043,0.00024393241619691253,-7.426738739013672e-05,1763260212.7264855,0.0
95561,500.0,,,1164,,500.0,185.843323469162,,,,,,1763260216.5439885,
95616,,0.48504313826560974,0.010906887240707874,1165,254.1690673828125,,186.0459442138672,597.0,0.0008402327075600624,-0.0037065744400024414,0.0002427035360597074,0.00021463632583618164,1763260216.7466092,0.0
96384,,0.4913860559463501,0.02214171551167965,1172,0.0004336004494689405,,187.5655825138092,596.0,0.006060967221856117,-0.01882246509194374,0.00024224270600825548,0.03408867120742798,1763260218.2662475,0.013671875
97280,,0.46907898783683777,0.00967152789235115,1181,0.009725966490805149,,189.39506340026855,595.0,0.0023985039442777634,-0.020968575030565262,0.00024170507094822824,-0.10948836803436279,1763260220.0957284,0.00390625
97792,,0.4382251799106598,0.014840333722531796,1186,0.009766758419573307,,190.42830514907837,595.0,0.0013941479846835136,-0.01039356179535389,0.00024139785091392696,0.0716238021850586,1763260221.1289701,0.0
98944,,0.5140241980552673,-0.008074801415205002,1197,0.00017555186059325933,,192.7229940891266,593.0,0.001570301130414009,0.007947360165417194,0.00024070660583674908,-0.44861745834350586,1763260223.423659,0.0
100561,500.0,,,1213,,500.0,195.792138338089,,,,,,1763260226.4928033,
100736,,0.5144550204277039,-0.014839204028248787,1215,0.009631717577576637,,196.25438261032104,592.0,0.0025968337431550026,-0.008251624181866646,0.0002396313357166946,-0.3977932929992676,1763260226.9550476,0.00390625
101888,,0.4917150139808655,0.01965765655040741,1226,0.0004684745508711785,,198.574476480484,590.0,0.004916609264910221,-0.024176038801670074,0.0002389400906395167,-0.3198319673538208,1763260229.2751415,0.015625
102272,,0.5120425224304199,0.01312150526791811,1230,0.008724282495677471,,199.37151622772217,590.0,0.0028256289660930634,-0.015074661001563072,0.00023870967561379075,-0.8409185409545898,1763260230.0721812,0.001953125
102656,,0.477538138628006,0.008127463981509209,1234,171.95736694335938,,200.12721467018127,589.0,0.0012329742312431335,-0.00010544341057538986,0.0002384792605880648,-0.0002276897430419922,1763260230.8278797,0.009765625
103808,,0.46229109168052673,-0.001306968741118908,1245,0.008071345277130604,,202.38988423347473,588.0,0.00025464314967393875,-0.005947895348072052,0.0002377880155108869,-0.06027805805206299,1763260233.0905492,0.0
104704,,0.4519972801208496,-0.00022245850414037704,1254,0.009136169217526913,,204.23431706428528,587.0,8.422974497079849e-05,-0.003542773425579071,0.00023725038045085967,-0.2840423583984375,1763260234.934982,0.0
106496,,0.5228517055511475,-0.0012247012928128242,1271,0.00022535628522746265,,207.90863394737244,585.0,0.0008051125332713127,-0.002887565642595291,0.00023617511033080518,-0.21321964263916016,1763260238.609299,0.0
109312,,0.42832106351852417,-0.0020359400659799576,1299,0.0015106453793123364,,213.56083917617798,583.0,0.0013946201652288437,-0.009389717131853104,0.00023448540014214814,-0.3880726099014282,1763260244.2615042,0.0
113408,,0.49195078015327454,-0.004054485820233822,1339,0.00044375250581651926,,220.99863529205322,581.0,0.0003416137769818306,0.004373833537101746,0.00023202765441965312,0.06379199028015137,1763260251.6993003,0.0
113536,,0.5103933811187744,0.00414932519197464,1340,8.947771129896864e-05,,221.239319562912,581.0,0.0006799623370170593,0.0095304474234581,0.0002319508494110778,-0.2918386459350586,1763260251.9399846,0.00390625
114432,,0.5512575507164001,-0.008375538513064384,1349,0.0005172553355805576,,223.01846647262573,581.0,0.000883081927895546,-0.0011041834950447083,0.00023141321435105056,-0.0313112735748291,1763260253.7191315,0.0
115840,,0.4607745110988617,-0.030814165249466896,1363,0.0005647951038554311,,225.74603843688965,580.0,0.004055667668581009,-0.030637234449386597,0.00023056835925672203,-1.234581708908081,1763260256.4467034,0.01171875
116061,500.0,,,1365,,500.0,226.04378485679626,,,,,,1763260256.7444499,
116561,500.0,,,1370,,500.0,227.03880620002747,,,,,,1763260257.7394712,
117561,500.0,,,1380,,500.0,228.9109411239624,,,,,,1763260259.6116061,
117632,,0.46570757031440735,-0.00507244560867548,1381,181.60165405273438,,229.14400506019592,579.0,5.187559872865677e-05,-0.0006859749555587769,0.00022949308913666755,-0.00010764598846435547,1763260259.84467,0.0
118400,,0.3500582277774811,-4.081055521965027e-05,1388,0.00035479420330375433,,230.51410794258118,579.0,0.00010005012154579163,-0.0016337372362613678,0.00022903225908521563,0.21013063192367554,1763260261.214773,0.0
119061,500.0,,,1395,,500.0,231.73361015319824,,,,,,1763260262.4342752,
119552,,0.4193061888217926,-0.006060067564249039,1399,5.376871922635473e-05,,232.63066744804382,578.0,0.00020465627312660217,-0.002156228758394718,0.00022834101400803775,0.061997413635253906,1763260263.3313324,0.0
120064,,0.45061182975769043,-0.005273781716823578,1405,197.86700439453125,,233.60714840888977,578.0,0.0005849134176969528,-0.002129383385181427,0.00022803379397373646,-0.0003216266632080078,1763260264.3078134,0.0
122880,,0.5066114068031311,-0.0171501487493515,1432,0.00031402555759996176,,238.72940731048584,577.0,0.002758014015853405,-0.0033181235194206238,0.00022634408378507942,-0.11339366436004639,1763260269.4300723,0.0
123008,,0.49876129627227783,-0.0011983094736933708,1433,0.00013741437578573823,,238.94541382789612,577.0,5.8778561651706696e-05,0.000535501167178154,0.0002262672787765041,0.05048877000808716,1763260269.6460788,0.0
125184,,0.5389562249183655,0.011666729114949703,1455,150.93142700195312,,241.7435712814331,580.0,0.0006232848390936852,0.0027569103986024857,0.00022496159363072366,-0.00010132789611816406,1763260272.4442363,0.0
125312,,0.5578055381774902,-0.01046973466873169,1456,0.002177698537707329,,241.88854503631592,580.0,0.0029898174107074738,-0.016849130392074585,0.00022488478862214833,-0.06376302242279053,1763260272.58921,0.009765625
125440,,0.5477290153503418,0.01516013778746128,1457,0.00012875879474449903,,242.0218870639801,580.0,0.002978408709168434,-0.012195419520139694,0.00022480798361357301,-0.14662528038024902,1763260272.722552,0.025390625
131200,,0.5270166993141174,-0.0002625994384288788,1514,0.0069368090480566025,,251.4637589454651,582.0,2.8969720005989075e-05,-0.0007147304713726044,0.00022135177277959883,0.0353240966796875,1763260282.164424,0.0
131968,,0.47517749667167664,0.017289474606513977,1521,0.00010994243348250166,,252.3723714351654,583.0,0.0011858278885483742,-0.0029620211571455,0.0002208909427281469,-0.3210439682006836,1763260283.0730364,0.0
132352,,0.5501223802566528,0.01645798236131668,1525,0.0005184757173992693,,252.79999470710754,583.0,0.005131867714226246,-0.0037853755056858063,0.00022066052770242095,-0.09505605697631836,1763260283.5006597,0.0234375
132561,500.0,,,1527,,500.0,252.9717173576355,,,,,,1763260283.6723824,
132736,,0.5584990978240967,-0.0022598830983042717,1529,0.0052579669281840324,,253.27241683006287,584.0,0.002765270881354809,-0.009174211882054806,0.000220430112676695,0.1273195743560791,1763260283.9730818,0.001953125
133248,,0.5439122319221497,-0.0003531482070684433,1534,0.005049862898886204,,253.88718938827515,585.0,0.002788705751299858,0.0005161166191101074,0.0002201228926423937,-0.049237728118896484,1763260284.5878544,0.001953125
133504,,0.48101484775543213,0.005859646946191788,1536,6.900036532897502e-05,,254.1732485294342,585.0,0.001408630982041359,-0.0012312978506088257,0.00021996928262524307,0.09637713432312012,1763260284.8739135,0.005859375
134144,,0.5161542892456055,-0.0009984076023101807,1543,215.52761840820312,,255.35743188858032,585.0,1.7995014786720276e-05,-0.0007580891251564026,0.00021958525758236647,-7.927417755126953e-05,1763260286.058097,0.0
134400,,0.5036437511444092,-0.03839739412069321,1545,0.00028478572494350374,,255.82784152030945,585.0,0.009697286412119865,-0.029461683705449104,0.00021943164756521583,-0.02241504192352295,1763260286.5285065,0.017578125
134528,,0.5206277370452881,-0.0012895120307803154,1546,0.0001207240202347748,,256.04696464538574,585.0,0.000794622115790844,-0.006967967376112938,0.0002193548425566405,0.12236487865447998,1763260286.7476296,0.0
135680,,0.481248140335083,0.00036059319972991943,1558,150.85401916503906,,258.1433050632477,584.0,0.0001165829598903656,-0.0004719048738479614,0.00021866359747946262,-9.47713851928711e-05,1763260288.84397,0.0
135808,,0.5258287787437439,0.0009091012179851532,1559,0.0044644298031926155,,258.35770177841187,584.0,0.0004960391670465469,-0.005347095429897308,0.0002185867924708873,-0.10842025279998779,1763260289.0583668,0.0
136192,,0.5274000763893127,0.026538720354437828,1563,0.006554106250405312,,259.0470094680786,584.0,0.0020777620375156403,0.0028456803411245346,0.00021835637744516134,0.20448333024978638,1763260289.7476745,0.0
136561,500.0,,,1566,,500.0,259.5044643878937,,,,,,1763260290.2051294,
138752,,0.4516562521457672,0.009069656953215599,1588,0.006177024450153112,,263.33729434013367,584.0,0.005057532340288162,-0.018516644835472107,0.00021682027727365494,0.5997019410133362,1763260294.0379593,0.017578125
138880,,0.4562147259712219,0.006565278396010399,1589,0.0004989017616026103,,263.5117828845978,585.0,0.003495011478662491,-0.03800992667675018,0.00021674347226507962,0.051878929138183594,1763260294.212448,0.0078125
139648,,0.5379758477210999,-0.022552594542503357,1597,55.61410140991211,,264.3978786468506,586.0,0.0014409041032195091,-0.014401031658053398,0.0002162826422136277,-5.125999450683594e-06,1763260295.0985436,0.0
140672,,0.5271625518798828,-0.003437785431742668,1607,235.04904174804688,,265.64573550224304,587.0,0.0006421692669391632,-0.0028335116803646088,0.00021566820214502513,-7.605552673339844e-05,1763260296.3464005,0.0
140928,,0.564988911151886,0.014212517067790031,1609,0.0004074705939274281,,265.941290140152,587.0,0.0008745342493057251,-0.00447840616106987,0.0002155145921278745,-0.002801179885864258,1763260296.6419551,0.0
141056,,0.5297536253929138,-0.011427273973822594,1610,7.212057244032621e-05,,266.08123207092285,587.0,0.0020507611334323883,0.01975686475634575,0.00021543778711929917,-0.19675767421722412,1763260296.781897,0.0078125
141184,,0.5172501802444458,0.00240910891443491,1612,151.19229125976562,,266.2596287727356,587.0,1.8843449652194977e-05,2.7120113372802734e-05,0.00021536098211072385,-7.95125961303711e-05,1763260296.9602938,0.0
142592,,0.49143508076667786,-0.007062869146466255,1626,18.783893585205078,,267.9624876976013,589.0,0.0006217453628778458,-0.004638209939002991,0.00021451612701639533,-0.0004347562789916992,1763260298.6631527,0.0
143872,,0.5251073241233826,0.003614368848502636,1638,0.0006957054720260203,,269.40386295318604,591.0,0.0019653020426630974,0.010107539594173431,0.00021374807693064213,-0.03235268592834473,1763260300.104528,0.0
148864,,0.46489304304122925,0.008646252565085888,1687,0.00030411279294639826,,277.571311712265,592.0,0.0005845138803124428,-0.012465808540582657,0.00021075268159620464,-0.1518714427947998,1763260308.2719767,0.0
153472,,0.47314468026161194,-0.02151663973927498,1732,0.00022588497085962445,,284.26822209358215,594.0,0.0029297005385160446,0.0005032718181610107,0.00020798771583940834,-0.05218625068664551,1763260314.968887,0.0
154752,,0.47207632660865784,0.0009124791249632835,1745,0.004107240121811628,,285.8356304168701,595.0,0.0006101792678236961,0.007602229714393616,0.00020721966575365514,-0.05303800106048584,1763260316.5362954,0.0
155561,500.0,,,1753,,500.0,286.78069829940796,,,,,,1763260317.4813633,
155648,,0.4145214855670929,-0.002955246716737747,1754,194.7399444580078,,286.93682765960693,596.0,0.0006120074540376663,0.00799994170665741,0.0002066820306936279,-0.00019276142120361328,1763260317.6374927,0.0
