global_step,charts/episodic_length,losses/policy_loss,losses/entropy,charts/learning_rate,losses/clipfrac,losses/value_loss,charts/episodic_return,_runtime,_step,charts/SPS,losses/old_approx_kl,losses/explained_variance,_timestamp,losses/approx_kl
22400,,0.0002782084047794342,0.5455812215805054,0.00028663594275712967,0.0,22.654577255249023,,51.092814207077026,337,906.0,0.0014884648844599724,0.17618930339813232,1763260081.5253882,2.414267510175705e-05
22656,,-0.005949072539806366,0.5344123244285583,0.00028648233273997903,0.00390625,46.213748931884766,,51.34547662734985,340,907.0,-0.01388847827911377,-0.004763007164001465,1763260081.7780507,0.00158674456179142
25361,500.0,,,,,,500.0,53.95476984977722,370,,,,1763260084.387344,
25728,,-0.0020329412072896957,0.4839628338813782,0.00028463901253417134,0.0,97.07351684570312,,54.35114097595215,375,920.0,0.010892241261899471,0.055905938148498535,1763260084.783715,0.0004131672903895378
27733,264.0,,,,,,264.0,56.22642660140991,396,,,,1763260086.6590006,
30080,,0.002086438238620758,0.5856313705444336,0.00028202764224261045,0.0,25.312286376953125,,58.845609188079834,425,926.0,-0.004664234817028046,0.22056782245635986,1763260089.2781832,0.0002036355435848236
31360,,-0.0031276699155569077,0.5628784894943237,0.00028125959215685725,0.001953125,26.849979400634766,,60.226378440856934,441,926.0,-0.0010859528556466103,0.7818923592567444,1763260090.6589525,0.003753731958568096
32030,184.0,,,,,,184.0,60.97854948043823,450,,,,1763260091.4111235,
33553,126.0,,,,,,126.0,63.12421798706055,471,,,,1763260093.556792,
34304,,-0.0036015063524246216,0.545415997505188,0.0002794930769596249,0.0,4.797061920166016,,64.14177060127258,481,908.0,0.003946777433156967,0.9980170726776123,1763260094.5743446,0.0001914575695991516
35072,,-0.0019809529185295105,0.539497435092926,0.00027903224690817297,0.0,4.692752361297607,,65.07160449028015,490,906.0,0.0007434114813804626,0.6123796701431274,1763260095.5041785,6.068311631679535e-05
36224,,-0.002581162378191948,0.5708522796630859,0.0002783410018309951,0.0,109.77015686035156,,66.61581635475159,504,900.0,0.009296885691583157,0.04896664619445801,1763260097.0483904,0.00022772792726755142
37120,,-0.029170222580432892,0.5594682097434998,0.00027780336677096784,0.0,49.8163948059082,,68.44095396995544,515,882.0,0.008478871546685696,0.4905049204826355,1763260098.873528,0.001640421338379383
38272,,-0.0040861330926418304,0.578138530254364,0.00027711212169378996,0.0,58.56671905517578,,70.86748743057251,530,860.0,0.002125455066561699,0.5637465119361877,1763260101.3000615,0.0001125093549489975
