_timestamp,charts/SPS,global_step,losses/entropy,losses/old_approx_kl,charts/episodic_length,losses/clipfrac,charts/learning_rate,losses/explained_variance,_step,_runtime,charts/episodic_return,losses/policy_loss,losses/value_loss,losses/approx_kl
1763260054.8576887,,0,,,,,,,0,24.289151668548584,,,,
1763260056.9011333,,112,,,19.0,,,,7,26.33259630203247,19.0,,,
1763260057.3782837,,527,,,17.0,,,,33,26.809746742248535,17.0,,,
1763260057.5097363,,675,,,15.0,,,,41,26.94119930267334,15.0,,,
1763260057.6357036,,806,,,15.0,,,,47,27.067166566848755,15.0,,,
1763260057.8941462,,1082,,,29.0,,,,64,27.32560920715332,29.0,,,
1763260058.1626184,,1322,,,28.0,,,,74,27.59408140182495,28.0,,,
1763260058.261185,974.0,1408,0.6617026925086975,-0.0009309528395533562,,0.0,0.0002992319641634822,0.0421525239944458,77,27.69264793395996,,-0.018579281866550446,33.84587478637695,0.0013931477442383766
1763260058.513553,,1699,,,23.0,,,,88,27.945015907287598,23.0,,,
1763260059.001584,,2295,,,87.0,,,,102,28.43304705619812,87.0,,,
1763260059.0894852,,2345,,,50.0,,,,104,28.5209481716156,50.0,,,
1763260060.5056145,,3877,,,208.0,,,,133,29.937077522277832,208.0,,,
1763260061.206776,,4622,,,150.0,,,,147,30.63823890686035,150.0,,,
1763260061.3727517,,4850,,,228.0,,,,149,30.80421471595764,228.0,,,
1763260061.4476354,1050.0,4864,0.5954127311706543,-0.0029884502291679382,,0.0,0.00029715822893194854,0.2781890630722046,150,30.879098415374756,,-0.0035140737891197205,41.71074676513672,9.80030745267868e-05
1763260061.7842588,1056.0,5248,0.62488853931427,0.006405150517821312,,0.0,0.0002969278139062226,0.1626092791557312,155,31.21572184562683,,-0.003183368593454361,44.9438362121582,0.00020147114992141724
1763260061.8966312,1058.0,5376,0.6094045042991638,0.00018361490219831467,,0.0,0.00029685100889764726,0.04428970813751221,157,31.328094244003296,,-0.012253917753696442,40.82133102416992,0.0006006425246596336
1763260062.8163102,1066.0,6400,0.539247989654541,-0.010646822862327099,,0.0,0.0002962365688290447,0.053353309631347656,172,32.24777317047119,,0.001991715282201767,39.82634735107422,0.0010280078276991844
1763260064.1012306,,7889,,,43.0,,,,195,33.53269362449646,43.0,,,
1763260064.5784283,,8420,,,122.0,,,,203,34.00989127159119,122.0,,,
1763260065.404156,1043.0,8960,0.5648014545440674,0.006109676323831081,,0.0,0.0002947004686575383,0.5364667177200317,213,34.83561897277832,,-0.002995271235704422,22.49724578857422,0.00020694825798273087
1763260065.75894,1030.0,9216,0.5563971996307373,0.005640632472932339,,0.0,0.00029454685864038765,0.09023815393447876,217,35.19040298461914,,0.002647038549184799,33.75420379638672,0.0006261179223656654
1763260066.6658766,1026.0,10112,0.5700770020484924,-0.0015315618366003036,,0.0,0.0002940092235803604,0.18424630165100098,228,36.09733963012695,,0.0009797774255275726,29.02681541442871,3.773905336856842e-05
1763260067.106666,,10444,,,157.0,,,,233,36.53812909126282,157.0,,,
1763260069.2284338,938.0,11648,0.5452542304992676,0.006682221777737141,,0.0,0.00029308756347745657,0.12252724170684814,251,38.65989685058594,,-0.009612422436475754,45.67829132080078,0.00032310280948877335
1763260070.4245045,903.0,12288,0.5959853529930115,0.015496240928769112,,0.0,0.00029270353843457997,-0.3630847930908203,259,39.85596752166748,,-0.009850654751062393,40.68124008178711,0.0016691256314516068
1763260071.283603,,12738,,,241.0,,,,265,40.71506595611572,241.0,,,
1763260072.3184848,,13219,,,123.0,,,,273,41.74994778633118,123.0,,,
1763260072.4953768,849.0,13312,0.5617673993110657,0.002770697697997093,,0.0,0.0002920890983659774,0.7822908759117126,274,41.92683982849121,,-0.0048190876841545105,21.678586959838867,4.406459629535675e-05
1763260074.4480915,827.0,14592,0.5551623106002808,-0.0017302501946687698,,0.0,0.0002913210482802242,0.0028249025344848633,292,43.87955451011658,,0.005686625838279724,28.922500610351562,6.165169179439545e-05
1763260076.4035354,,16677,,,132.0,,,,321,45.83499836921692,132.0,,,
1763260076.9065113,853.0,17152,0.5280433893203735,-0.00295828003436327,,0.0,0.0002897849481087178,0.6312565803527832,327,46.337974309921265,,0.004348106682300568,21.29693031311035,2.388935536146164e-05
1763260077.1290443,857.0,17408,0.512067437171936,0.002403079532086849,,0.0,0.00028963133809156716,0.05125772953033447,330,46.56050729751587,,-0.002845924347639084,23.234054565429688,0.00012896116822957993
1763260077.242539,858.0,17536,0.5717306137084961,-0.0005551567301154137,,0.0,0.00028955453308299184,0.09036761522293091,332,46.674001932144165,,-0.0020599663257598877,42.3140754699707,4.325341433286667e-05
1763260077.6745706,859.0,17920,0.5981329679489136,0.008981569670140743,,0.0,0.0002893241180572659,0.19023358821868896,337,47.10603356361389,,-0.015722714364528656,22.582904815673828,0.0017514200881123543
1763260077.904851,861.0,18176,0.5476775169372559,0.005136932246387005,,0.0,0.00028917050804011524,-0.06928825378417969,340,47.3363139629364,,-0.0015755034983158112,21.71955108642578,0.000299978069961071
1763260079.904797,881.0,20352,0.5699400901794434,-0.010437333956360817,,0.0,0.0002878648228943348,0.9730437397956848,370,49.336260080337524,,0.010768420994281769,8.1826753616333,0.0009112656116485596
1763260080.1631112,,20641,,,141.0,,,,375,49.594574213027954,141.0,,,
1763260081.6670783,,22129,,,186.0,,,,396,51.098541259765625,186.0,,,
1763260084.0947855,,24440,,,163.0,,,,425,53.52624845504761,163.0,,,
