losses/clipfrac,losses/explained_variance,losses/approx_kl,losses/value_loss,charts/learning_rate,charts/episodic_return,losses/policy_loss,_step,global_step,losses/entropy,charts/SPS,losses/old_approx_kl,_timestamp,charts/episodic_length,_runtime
0.0,0.7852452397346497,0.0002899486571550369,44.35509490966797,0.0002822580572683364,,0.00891546905040741,481,29696,0.5884852409362793,584.0,0.003987021744251251,1763260132.6849375,,76.12988948822021
0.00390625,0.8066418766975403,0.002041749656200409,9.037814140319824,0.0002818740322254598,,-0.0001643262803554535,490,30336,0.6043416261672974,583.0,0.006972970440983772,1763260133.897111,,77.34206295013428
,,,,,173.0,,504,31392,,,,1763260135.63483,173.0,79.07978200912476
0.0,0.10101497173309326,0.00010289344936609268,106.4940185546875,0.00028072195709683,,-0.0037622228264808655,515,32256,0.5889163613319397,584.0,0.0006969189271330833,1763260137.0955737,,80.54052567481995
,,,,,500.0,,530,33581,,,,1763260139.2105532,500.0,82.65550518035889
0.0,0.8067200183868408,2.585630863904953e-05,4.81842041015625,0.0002794930769596249,,0.0006551966071128845,539,34304,0.6207049489021301,585.0,-0.0012404238805174828,1763260140.5347927,,83.97974467277527
,,,,,138.0,,547,34838,,,,1763260141.5261385,138.0,84.97109055519104
,,,,,192.0,,555,35452,,,,1763260142.6005135,192.0,86.04546546936035
0.0,0.9903607368469238,0.00012128707021474838,3.8027124404907227,0.00027864822186529636,,-0.004546564072370529,559,35712,0.565706729888916,581.0,0.0009044734761118889,1763260143.284836,,86.72978806495667
0.00390625,0.9858391880989075,0.006751519627869129,3.2491984367370605,0.00027826419682241976,,-0.0016331635415554047,568,36352,0.5849830508232117,580.0,0.018321607261896133,1763260144.5885398,,88.03349184989929
0.0,0.9597938060760498,0.00014713313430547714,2.4938621520996094,0.0002769585116766393,,0.0030510015785694122,595,38528,0.5283011198043823,577.0,-0.0004988508298993111,1763260148.622961,,92.06791305541992
0.0,-0.15309882164001465,0.0012948838993906975,4.462743759155273,0.0002759600756689906,,-0.0024025700986385345,612,40192,0.5849732756614685,578.0,0.012158007360994816,1763260151.4470944,,94.8920464515686
,,,,,500.0,,614,40421,,,,1763260151.7043657,500.0,95.14931774139404
0.001953125,0.03109222650527954,0.002581406384706497,3.447577476501465,0.00027488480554893613,,0.005234997719526291,630,41984,0.5090567469596863,579.0,0.0010062791407108307,1763260154.381381,,97.82633304595947
,,,,,500.0,,636,42556,,,,1763260155.2628272,500.0,98.70777916908264
,,,,,338.0,,640,42894,,,,1763260155.8815665,338.0,99.32651853561401
,,,,,498.0,,650,43809,,,,1763260157.3879373,498.0,100.83288931846619
,,,,,500.0,,664,45309,,,,1763260159.7846346,500.0,103.22958660125732
0.0,-0.5666199922561646,6.684102118015289e-05,1.9887958765029907,0.0002718126052059233,,0.0009943097829818726,684,47104,0.596265435218811,580.0,0.003239791840314865,1763260163.0466576,,106.49160957336426
0.0,0.0008423924446105957,0.00016869697719812393,158.93359375,0.00027158219018019736,,-0.003782002255320549,689,47488,0.5806615948677063,580.0,-0.003217763267457485,1763260163.7136688,,107.15862083435059
,,,,,243.0,,698,48261,,,,1763260165.1373785,243.0,108.58233046531677
0.0,0.11076480150222778,0.0005239443853497505,218.06802368164062,0.0002708909451030195,,-0.01752479001879692,702,48640,0.5725754499435425,580.0,0.010404146276414394,1763260165.7567637,,109.20171570777893
0.0,0.798193633556366,0.0021524541079998016,1.8612170219421387,0.0002705837250687182,,0.007177181541919708,707,49152,0.5043901801109314,580.0,0.005157683044672012,1763260166.6303153,,110.07526731491089
0.0,-0.009982943534851074,2.945493906736374e-05,1.0706543922424316,0.00026935484493151307,,-0.0003674700856208801,729,51200,0.5536858439445496,579.0,0.0017058877274394035,1763260170.2076378,,113.65258979797363
0.0,0.13953202962875366,8.21966677904129e-05,0.6820211410522461,0.000267665134742856,,0.006218865513801575,757,54016,0.5059589147567749,579.0,-0.0015351641923189163,1763260175.0725446,,118.51749658584595
0.0,-0.048056840896606445,4.767905920743942e-05,0.6220971345901489,0.00026735791470855474,,0.0006708316504955292,762,54528,0.5976550579071045,579.0,0.0008809966966509819,1763260175.9522874,,119.39723944664001
0.0,0.006886780261993408,0.00029689352959394455,134.27291870117188,0.0002671274996828288,,-0.005108669400215149,767,54912,0.5358884930610657,579.0,-0.0020161112770438194,1763260176.6632752,,120.1082272529602
0.0,0.047957539558410645,7.341057062149048e-05,141.93035888671875,0.00026666666963137686,,-0.0026386193931102753,775,55680,0.5185895562171936,579.0,0.0009300690144300461,1763260177.983242,,121.42819404602051
0.0,-0.16067683696746826,0.00022599659860134125,0.26507335901260376,0.00026589861954562366,,-0.001822054386138916,788,56960,0.528159499168396,579.0,-0.005360865965485573,1763260180.1726468,,123.61759877204895
0.0,-0.42190051078796387,4.527997225522995e-05,0.2986524701118469,0.0002653609844855964,,0.0008860304951667786,797,57856,0.5160765647888184,579.0,-0.0005313558503985405,1763260181.7397656,,125.18471765518188
0.01171875,-0.23118305206298828,0.0012225070968270302,0.26967769861221313,0.0002648233494255692,,0.0013115964829921722,806,58752,0.5330049395561218,579.0,-0.0001142425462603569,1763260183.2753863,,126.72033834457397
0.0,0.7478629946708679,1.4884397387504578e-05,0.07309561222791672,0.00026428571436554193,,-0.0009413734078407288,815,59648,0.47196164727211,579.0,-0.0004647374153137207,1763260184.8492322,,128.29418420791626
0.0,0.37493616342544556,0.0003116447478532791,0.008617567829787731,0.00026136712403967977,,-0.004730049520730972,863,64512,0.5239070653915405,580.0,0.006702428683638573,1763260193.1027343,,136.54768633842468
0.0,-4.172325134277344e-05,0.00031456444412469864,224.63528442382812,0.0002608294889796525,,-0.011461119167506695,872,65408,0.5521318912506104,580.0,0.0032618558034300804,1763260194.56894,,138.0138919353485
,,,,,500.0,,876,65858,,,,1763260195.217203,500.0,138.6621549129486
0.0,-0.0014241933822631836,0.0005980664864182472,0.002918160753324628,0.0002577572886366397,,-0.008824588730931282,922,70528,0.5065559148788452,582.0,0.004365195520222187,1763260202.993631,,146.43858289718628
,,,,,500.0,,930,71358,,,,1763260204.2962065,500.0,147.7411584854126
0.0,0.383536159992218,0.00100050400942564,0.0003811037458945066,0.00025675882352516055,,0.00031309202313423157,938,72192,0.5906795263290405,582.0,-0.000402781181037426,1763260205.7857623,,149.23071432113647
0.0,0.00021600723266601562,0.00022851768881082535,166.96932983398438,0.0002566052135080099,,-0.0032853931188583374,941,72448,0.5613966584205627,582.0,-0.0012596352025866508,1763260206.2446141,,149.6895661354065
0.0,-0.5784388780593872,0.0006943298503756523,0.004668144509196281,0.0002565284084994346,,-0.0051321834325790405,942,72576,0.5114482641220093,582.0,0.008329310454428196,1763260206.448322,,149.8932740688324
0.0,0.5209542512893677,0.0005838442593812943,0.0003314966452307999,0.000256144383456558,,0.0004397779703140259,948,73216,0.5749589800834656,582.0,0.0049156080931425095,1763260207.5427322,,150.98768424987793
,,,,,500.0,,974,75858,,,,1763260211.8837101,500.0,155.32866215705872
0.0,-4.088878631591797e-05,4.342850297689438e-05,467.96893310546875,0.000254224258242175,,0.0007585324347019196,980,76416,0.5671380162239075,583.0,0.0029674554243683815,1763260212.9405863,,156.38553833961487
0.0,-6.556510925292969e-05,0.0015022829174995422,298.2452697753906,0.0002539170382078737,,-0.0096309594810009,985,76928,0.570328414440155,583.0,-0.0011095460504293442,1763260213.7868085,,157.23176050186157
0.0,9.256601333618164e-05,0.00045435503125190735,475.9712219238281,0.00025330259813927114,,-0.00021389871835708618,995,77952,0.5673571228981018,583.0,0.004787743091583252,1763260215.4840586,,158.92901062965393
0.0,0.2632203698158264,0.0023686671629548073,0.00025124778039753437,0.0002531489881221205,,0.0033775828778743744,997,78208,0.6178615093231201,583.0,0.012997073121368885,1763260215.8893967,,159.33434867858887
0.0,-0.7778797149658203,0.0013656709343194962,0.005056543275713921,0.0002520737471058965,,-0.003148839343339205,1015,80000,0.4392802119255066,583.0,0.009210901334881783,1763260218.9781704,,162.42312240600586
0.0,-0.3310941457748413,0.0010629873722791672,0.003257176373153925,0.0002517665270715952,,-0.0045006126165390015,1020,80512,0.5895416736602783,583.0,-0.006282471120357513,1763260219.8688247,,163.3137767314911
0.001953125,0.43304699659347534,0.001927466131746769,0.0006268619326874614,0.0002510752819944173,,-0.008490346372127533,1031,81664,0.6146429181098938,583.0,-0.0005503697320818901,1763260221.8630047,,165.30795669555664
0.0,0.7463001012802124,0.0005033416673541069,0.003422299399971962,0.0002499232068657875,,-0.010332304984331131,1050,83584,0.5438766479492188,583.0,-0.008581663481891155,1763260225.1374438,,168.58239579200745
,,,,,500.0,,1053,83858,,,,1763260225.6087666,500.0,169.05371856689453
,,,,,500.0,,1058,84358,,,,1763260226.464349,500.0,169.90930104255676
0.0,-9.429454803466797e-05,0.0006586620584130287,100.55045318603516,0.0002479262766428292,,-0.004033513367176056,1083,86912,0.5244700908660889,583.0,-1.41095370054245e-06,1763260230.839437,,174.28438901901245
0.0,-0.19820952415466309,0.0008442196995019913,0.0001174605349660851,0.00024738864158280194,,-0.0021796822547912598,1091,87808,0.5314694046974182,583.0,0.000461433082818985,1763260232.3271742,,175.77212619781494
0.0,0.37760668992996216,0.0022145183756947517,2.1185429432080127e-05,0.0002464669814798981,,-0.00790407508611679,1106,89344,0.5279874205589294,583.0,-0.00634694192558527,1763260234.9972563,,178.4422082901001
0.001953125,-0.1264045238494873,0.0013822335749864578,0.004449591040611267,0.0002457757364027202,,-0.0019859634339809418,1118,90496,0.5629754066467285,583.0,0.015867024660110474,1763260237.0141375,,180.45908951759338
0.0,-0.10193228721618652,0.0010795975103974342,7.983909745234996e-05,0.0002453149063512683,,-0.011423498392105103,1125,91264,0.5335646867752075,583.0,0.01630295440554619,1763260238.3135722,,181.75852417945862
0.001953125,-0.023108959197998047,0.0007954193279147148,0.0038681067526340485,0.00024485407629981637,,-0.007381642237305641,1133,92032,0.5771663188934326,583.0,0.009228120557963848,1763260239.6700644,,183.1150164604187
0.001953125,-0.017394423484802246,0.002384880557656288,9.981211769627407e-05,0.00024408602621406317,,-0.0029883980751037598,1145,93312,0.576603889465332,583.0,-0.009002631530165672,1763260241.8238914,,185.2688434123993
0.0,0.029438257217407227,0.0006454987451434135,0.00040922625339590013,0.00024293395108543336,,0.0029371455311775208,1164,95232,0.5694735050201416,583.0,0.002086595632135868,1763260245.0376666,,188.48261857032776
,,,,,500.0,,1165,95358,,,,1763260245.0930774,500.0,188.53802943229675
0.0,-0.0059081315994262695,0.0008129449561238289,0.006232662592083216,0.00024247312103398144,,-0.005635175853967667,1172,96000,0.5325130820274353,584.0,0.0034611718729138374,1763260246.084299,,189.5292510986328
0.0,0.0005218982696533203,0.0010566972196102142,290.90972900390625,0.0002419354859739542,,0.0032413527369499207,1181,96896,0.5372135639190674,584.0,-0.003745902329683304,1763260247.5554402,,191.00039219856262
0.0,5.0067901611328125e-05,0.0011919429525732994,447.77764892578125,0.00024162826593965292,,0.00477084144949913,1186,97408,0.5810723900794983,585.0,0.001657324843108654,1763260248.398971,,191.84392309188843
0.0,0.053347229957580566,0.0009070755913853645,0.006118993274867535,0.00024093702086247504,,-0.0010315999388694763,1197,98560,0.5267544984817505,585.0,0.006571068428456783,1763260250.1646094,,193.60956144332886
0.005859375,-0.38385796546936035,0.00258046668022871,0.0004985592677257955,0.00023993855575099587,,-0.022822245955467224,1213,100224,0.48443958163261414,587.0,0.00918902549892664,1763260252.5373087,,195.98226070404053
,,,,,500.0,,1215,100358,,,,1763260252.7785215,500.0,196.22347354888916
0.0,0.024138152599334717,5.989056080579758e-05,0.005812052171677351,0.00023917050566524267,,-0.0010952316224575043,1226,101504,0.583082914352417,587.0,-0.0004113567993044853,1763260254.6677868,,198.11273884773254
0.0,-0.00023567676544189453,0.0011268528178334236,128.25271606445312,0.0002389400906395167,,-0.0032095760107040405,1230,101888,0.5187011361122131,587.0,-0.0179305262863636,1763260255.3076944,,198.75264644622803
,,,,,500.0,,1234,102358,,,,1763260255.9239478,500.0,199.3688998222351
0.0,-7.772445678710938e-05,0.00028379447758197784,203.7681121826172,0.00023801843053661287,,-0.0036319848150014877,1245,103424,0.5594503879547119,588.0,-0.002065017819404602,1763260257.7476523,,201.19260430335999
,,,,,500.0,,1254,104358,,,,1763260259.249915,500.0,202.69486689567566
0.015625,0.5790283679962158,0.008761285804212093,0.0007049005944281816,0.00023640552535653114,,-0.01859273761510849,1271,106112,0.467628538608551,588.0,0.05138672888278961,1763260262.193998,,205.6389501094818
0.0,0.00014978647232055664,4.950910806655884e-06,506.408203125,0.0002347158151678741,,0.00010047480463981628,1299,108928,0.5275189280509949,589.0,-0.0001311320811510086,1763260266.7692251,,210.21417713165283
0.001953125,-0.05198407173156738,0.0014980519190430641,0.004020902328193188,0.00023225806944537908,,-0.005475670099258423,1339,113024,0.5021666288375854,593.0,0.0012967484071850777,1763260272.4991593,,215.9441113471985
0.01953125,-0.08107829093933105,0.004503466188907623,0.00012175354640930891,0.00023218126443680376,,0.0031602513045072556,1340,113152,0.5766793489456177,593.0,-0.018555691465735435,1763260272.6369011,,216.0818531513214
0.0,-0.11427891254425049,0.0002169804647564888,0.004713727161288261,0.00023164362937677652,,0.0032830294221639633,1349,114048,0.5003260970115662,594.0,-0.0018598558381199837,1763260273.7914486,,217.23640060424805
0.0,0.0002429485321044922,0.0002957293763756752,33.01380157470703,0.000230798774282448,,-0.0019662417471408844,1363,115456,0.5532673001289368,595.0,0.0012131938710808754,1763260275.9521413,,219.39709329605103
0.001953125,0.2621183395385742,0.00260026752948761,0.0002911000046879053,0.00023064516426529735,,-0.044640615582466125,1365,115712,0.550692081451416,595.0,0.02596600167453289,1763260276.3440602,,219.7890121936798
0.0,-0.1606818437576294,0.00022430066019296646,0.0005223622429184616,0.00023033794423099607,,0.0016141310334205627,1370,116224,0.5231846570968628,595.0,-0.006829847581684589,1763260277.1229036,,220.56785559654236
0.0,0.053740859031677246,0.0010531088337302208,7.809569069650024e-05,0.0002297235041623935,,0.005908802151679993,1380,117248,0.5685873627662659,595.0,-0.007675654254853725,1763260278.711011,,222.15596294403076
,,,,,500.0,,1381,117358,,,,1763260278.768342,500.0,222.21329402923584
0.0,0.0997612476348877,0.0003064805641770363,0.003471190808340907,0.0002292626741109416,,-0.006648018956184387,1388,118016,0.563765287399292,596.0,0.003461546264588833,1763260279.8898866,,223.33483862876892
0.0,-0.038329482078552246,0.0002472708001732826,0.00015435942623298615,0.00022880184405948967,,-0.0014460161328315735,1395,118784,0.5365049242973328,596.0,0.010904672555625439,1763260281.0321636,,224.47711563110352
0.0,0.38640111684799194,0.0005558980628848076,0.00048529927153140306,0.0002285714290337637,,-0.008789882063865662,1399,119168,0.5584492683410645,596.0,0.0032773027196526527,1763260281.6451144,,225.09006643295288
0.0,0.29292744398117065,0.002572331577539444,0.00010559366637608036,0.0002281874039908871,,-0.01654474064707756,1405,119808,0.567754864692688,597.0,0.014329178258776665,1763260282.3672059,,225.812157869339
0.0,0.0013575553894042969,5.330517888069153e-05,317.625732421875,0.0002266513038193807,,-0.0038737691938877106,1432,122368,0.5940471887588501,600.0,0.0011448618024587631,1763260285.538938,,228.9838900566101
,,,,,105.0,,1433,122449,,,,1763260285.5870717,105.0,229.03202366828918
0.0,-0.39956557750701904,0.0009472668170928955,0.0062282877042889595,0.00022526881366502494,,-0.008811723440885544,1455,124672,0.5813523530960083,601.0,0.0047993846237659454,1763260289.221729,,232.66668105125427
0.0,-0.3369433879852295,0.001466807909309864,0.0006245129625312984,0.00022519200865644962,,0.008870426565408707,1456,124800,0.5806902050971985,601.0,0.007613423280417919,1763260289.4030228,,232.84797477722168
0.0,-1.6828296184539795,0.0012996839359402657,0.00039690567064099014,0.0002251152036478743,,-0.017807655036449432,1457,124928,0.46825048327445984,601.0,0.007129593752324581,1763260289.5917742,,233.03672623634338
0.0,-0.13558173179626465,0.000286860391497612,0.004887419752776623,0.0002216589928139001,,-0.0021480992436408997,1514,130688,0.5509727001190186,606.0,0.010192332789301872,1763260297.2287107,,240.6736626625061
,,,,,500.0,,1521,131449,,,,1763260298.0207486,500.0,241.4657006263733
0.0,-0.35631394386291504,0.0019791312515735626,0.0001569862215546891,0.00022096774773672223,,-0.011510677635669708,1525,131840,0.5128864049911499,608.0,0.004057703539729118,1763260298.521469,,241.96642112731934
0.0,-2.968311309814453e-05,0.00034690462052822113,157.5146942138672,0.0002208909427281469,,-0.0005818754434585571,1527,131968,0.5086469054222107,608.0,-0.0035233162343502045,1763260298.7162292,,242.16118121147156
0.001953125,-0.25301945209503174,0.0027419663965702057,0.00027119231526739895,0.00022073733271099627,,-0.00859833974391222,1529,132224,0.5255790948867798,609.0,0.019096894189715385,1763260299.0240154,,242.46896743774414
0.0,0.10726314783096313,0.0015997793525457382,0.0002929276670329273,0.000220430112676695,,-0.019275829195976257,1534,132736,0.5397726893424988,609.0,0.025968043133616447,1763260299.5780036,,243.02295565605164
,,,,,500.0,,1536,132949,,,,1763260299.7596037,500.0,243.2045557498932
0.0,-0.10013937950134277,0.0005476363003253937,0.005265090614557266,0.00021989247761666775,,-0.011559771373867989,1543,133632,0.536753237247467,611.0,0.005424056202173233,1763260300.5584102,,244.0033621788025
0.0078125,-0.21117901802062988,0.0029100244864821434,0.00010280462447553873,0.0002197388675995171,,0.00642191618680954,1545,133888,0.4650929570198059,611.0,-0.012052437290549278,1763260300.8263137,,244.27126574516296
,,,,,500.0,,1546,133949,,,,1763260300.860406,500.0,244.30535793304443
0.009765625,0.03929024934768677,0.002458750270307064,0.003938818816095591,0.0002189708175137639,,-0.009702399373054504,1558,135168,0.5213292241096497,612.0,-0.012350105680525303,1763260302.728462,,246.1734139919281
0.0,-0.18334221839904785,0.0005602352321147919,0.0002891301701311022,0.00021889401250518858,,0.005369409918785095,1559,135296,0.5175929069519043,612.0,0.006256924942135811,1763260302.9124358,,246.3573877811432
0.0,-0.10701179504394531,0.0002617882564663887,0.0059160757809877396,0.00021866359747946262,,-0.003905225545167923,1563,135680,0.5252068638801575,612.0,-0.0012522535398602486,1763260303.5144854,,246.9594373703003
,,,,,500.0,,1566,135949,,,,1763260303.9410658,500.0,247.38601779937744
0.005859375,-0.14043092727661133,0.0031125936657190323,0.00041632913053035736,0.00021712749730795622,,-0.011245382949709892,1588,138240,0.5626049637794495,613.0,0.010623831301927567,1763260307.3633587,,250.8083107471466
0.0,0.08583444356918335,0.00010282546281814575,4.364943742984906e-05,0.0002170506922993809,,0.00016327574849128723,1589,138368,0.5713051557540894,613.0,0.002108519896864891,1763260307.558418,,251.0033700466156
0.0,-0.11075091361999512,2.455431967973709e-05,0.003873373381793499,0.00021658986224792898,,0.001572687178850174,1597,139136,0.5665305256843567,613.0,-0.0015808967873454094,1763260308.7453215,,252.1902735233307
0.0,-0.026990175247192383,7.266085594892502e-05,0.0025705862790346146,0.00021597542217932642,,-0.002084651030600071,1607,140160,0.5745568871498108,613.0,-0.0035933228209614754,1763260310.2453182,,253.69027018547058
0.001953125,0.6823922991752625,0.0030737295746803284,0.0001200201440951787,0.00021582181216217577,,-0.016097605228424072,1609,140416,0.4626022279262543,613.0,0.026055440306663513,1763260310.6296463,,254.07459831237793
,,,,,500.0,,1610,140449,,,,1763260310.6618783,500.0,254.10683035850525
0.001953125,-0.11914896965026855,0.0011145714670419693,0.003663372714072466,0.00021566820214502513,,-0.00776851549744606,1612,140672,0.5580811500549316,613.0,-0.0003675781190395355,1763260311.049168,,254.4941201210022
0.0,0.06716424226760864,0.0010089175775647163,0.006496382877230644,0.0002148233470506966,,0.000754011794924736,1626,142080,0.47050225734710693,614.0,-0.005754333920776844,1763260313.1095097,,256.5544617176056
0.0,0.0030308961868286133,0.00027810316532850266,0.00014086194278206676,0.0002140552969649434,,-0.00040226057171821594,1638,143360,0.5463579893112183,616.0,-0.006199643947184086,1763260314.5288236,,257.9737756252289
0.0,0.040729820728302,0.0016953274607658386,329.8822021484375,0.00021144392667338252,,-0.00926552526652813,1687,147712,0.5047751069068909,621.0,0.009515542536973953,1763260319.7150877,,263.1600396633148
0.0,-0.03388357162475586,0.00013205315917730331,2.544083595275879,0.0002089861809508875,,-0.0012170188128948212,1732,151808,0.4701754152774811,625.0,0.0013212068006396294,1763260324.4954166,,267.94036865234375
0.0,-0.32249724864959717,0.00022776611149311066,0.11185138672590256,0.0002082181308651343,,-0.0015195943415164948,1745,153088,0.4481515884399414,627.0,-0.00028701312839984894,1763260325.9227788,,269.3677308559418
0.0,-1.121668815612793,0.0001601865515112877,0.010591051541268826,0.00020775730081368238,,-0.006688171997666359,1753,153856,0.5128153562545776,628.0,-6.285589188337326e-05,1763260326.7439406,,270.18889260292053
0.00390625,-1.3286046981811523,0.003347332589328289,0.005764761473983526,0.00020768049580510706,,-0.029512006789445877,1754,153984,0.5067145228385925,628.0,-0.019832251593470573,1763260326.8721554,,270.31710743904114
0.00390625,-2.1369879245758057,0.0020661838352680206,0.017333021387457848,0.00020698925072792917,,0.002684047445654869,1765,155136,0.49658331274986267,629.0,-0.00414125993847847,1763260328.5407443,,271.9856963157654
0.0,-1.9565632343292236,8.069537580013275e-05,0.0012569921091198921,0.00020683564071077853,,-0.0017511523328721523,1768,155392,0.5168973207473755,628.0,-0.00019278563559055328,1763260328.968858,,272.41381001472473
0.0,-0.5679649114608765,0.00047302618622779846,0.005200499668717384,0.0002062980056507513,,-0.004955269396305084,1777,156288,0.5194773077964783,629.0,0.0039185769855976105,1763260330.314965,,273.75991702079773
0.0,-0.03764641284942627,0.0017791958525776863,0.00023905886337161064,0.00020376344036776572,,-0.002044428139925003,1818,160512,0.5003401041030884,630.0,0.014367320574820042,1763260336.5887377,,280.03368973731995
0.0,-0.0011020898818969727,0.0009628115221858025,6.775501242373139e-05,0.00020345622033346444,,0.0030064359307289124,1823,161024,0.57978355884552,630.0,0.0018534017726778984,1763260337.2582386,,280.70319056510925
