losses/clipfrac,losses/explained_variance,losses/approx_kl,losses/value_loss,charts/learning_rate,charts/episodic_return,losses/policy_loss,_step,global_step,losses/entropy,charts/SPS,losses/old_approx_kl,_timestamp,charts/episodic_length,_runtime
,,,,,,,0,0,,,,1763260081.0878494,,24.532801389694214
,,,,,20.0,,7,159,,,,1763260082.0517144,20.0,25.496666431427002
,,,,,23.0,,33,688,,,,1763260082.9639175,23.0,26.40886950492859
0.0,0.003127455711364746,4.735589027404785e-05,38.3237419128418,0.00029953918419778347,,-0.0010398998856544495,41,896,0.6733712553977966,643.0,-0.0011757556349039078,1763260083.3083835,,26.75333547592163
,,,,,53.0,,47,1038,,,,1763260083.5453393,53.0,26.990291357040405
,,,,,32.0,,64,1605,,,,1763260084.356718,32.0,27.80167007446289
,,,,,54.0,,74,1949,,,,1763260084.8783453,54.0,28.323297262191772
0.0,-0.07641816139221191,0.00019128620624542236,32.9381103515625,0.0002988479391206056,,-0.002877175807952881,77,2048,0.6545811891555786,658.0,0.004166735336184502,1763260085.0245752,,28.46952724456787
,,,,,57.0,,88,2441,,,,1763260085.5597663,57.0,29.00471830368042
,,,,,118.0,,102,2985,,,,1763260086.2660716,118.0,29.711023569107056
0.0,-0.04339456558227539,0.000409834086894989,46.48008728027344,0.000298233499052003,,0.0023108646273612976,104,3072,0.6218706369400024,687.0,0.010562300682067871,1763260086.3808835,,29.825835466384888
0.0,-0.060523033142089844,0.0002195863053202629,50.88105773925781,0.0002973118389490992,,0.0022601373493671417,133,4608,0.6112630367279053,724.0,0.0015214728191494942,1763260088.27652,,31.721472024917603
0.0,0.018376588821411133,7.700454443693161e-05,45.07524871826172,0.00029677420388907194,,-0.0012089833617210388,147,5504,0.6159509420394897,735.0,-0.0034130318090319633,1763260089.4021287,,32.84708070755005
0.0,0.18288767337799072,0.00038215145468711853,39.45573806762695,0.0002966973988804966,,-0.004924144595861435,149,5632,0.5978967547416687,736.0,0.002771912142634392,1763260089.5648787,,33.009830713272095
0.0,0.2895718812942505,1.3032928109169006e-05,55.017738342285156,0.0002966205938719213,,-0.0006472524255514145,150,5760,0.6169782876968384,740.0,0.000368339940905571,1763260089.689101,,33.134052991867065
,,,,,220.0,,155,6188,,,,1763260090.1005702,220.0,33.54552221298218
,,,,,103.0,,157,6291,,,,1763260090.230832,103.0,33.67578411102295
,,,,,171.0,,172,7295,,,,1763260091.6002812,171.0,35.04523324966431
0.0,0.1411912441253662,0.0001539178192615509,47.83619689941406,0.0002947772736661136,,0.0030659660696983337,195,8832,0.5226474404335022,743.0,-0.002673313021659851,1763260093.791446,,37.23639798164368
0.0,0.3987123966217041,5.289912223815918e-06,41.71894073486328,0.00029454685864038765,,0.0007043033838272095,203,9216,0.5651161074638367,742.0,-0.0005471725016832352,1763260094.3240526,,37.769004583358765
,,,,,74.0,,213,9860,,,,1763260095.1942906,74.0,38.63924264907837
,,,,,34.0,,217,10121,,,,1763260095.5058737,34.0,38.950825691223145
0.0,0.15958064794540405,0.0010129204019904137,42.40452575683594,0.00029347158852033317,,0.0009953081607818604,228,11008,0.5896795392036438,748.0,-0.008911353535950184,1763260096.6271043,,40.07205629348755
0.0,0.16528993844985962,0.00017581600695848465,38.30917739868164,0.0002932411734946072,,-0.0016691610217094421,233,11392,0.5735945701599121,743.0,-0.001071297563612461,1763260097.2411556,,40.68610763549805
,,,,,345.0,,251,12765,,,,1763260099.5634778,345.0,43.008429765701294
0.0,0.02990543842315674,0.00015153735876083374,33.169883728027344,0.0002920122933574021,,0.002457059919834137,259,13440,0.5713942646980286,712.0,0.0022506676614284515,1763260100.766591,,44.21154308319092
0.0,0.31550222635269165,0.0008319364860653877,40.41545104980469,0.0002917050733231008,,-0.020995333790779114,265,13952,0.5886093974113464,705.0,0.008885345421731472,1763260101.6895719,,45.13452386856079
,,,,,248.0,,273,14625,,,,1763260102.8531308,248.0,46.29808282852173
0.0,-0.006414294242858887,0.00024097319692373276,26.159990310668945,0.0002912442432716489,,0.003527868539094925,274,14720,0.6140294671058655,696.0,0.0038848118856549263,1763260103.0557964,,46.5007483959198
,,,,,215.0,,292,16070,,,,1763260105.524203,215.0,48.969155073165894
,,,,,105.0,,321,18180,,,,1763260110.5844934,105.0,54.02944540977478
0.0,0.08229941129684448,5.6784600019454956e-05,29.90460777282715,0.00028886328800581396,,-0.0011270344257354736,327,18688,0.600531280040741,626.0,-0.0016975942999124527,1763260111.7316942,,55.17664623260498
,,,,,175.0,,330,18900,,,,1763260112.0715396,175.0,55.516491651535034
,,,,,132.0,,332,19032,,,,1763260112.340729,132.0,55.7856810092926
,,,,,219.0,,337,19399,,,,1763260113.0619385,219.0,56.506890535354614
0.0,0.014007985591888428,0.00022724363952875137,26.670392990112305,0.0002883256529457867,,-0.0016502421349287033,340,19584,0.5727382898330688,619.0,-0.001580958254635334,1763260113.5144904,,56.959442377090454
,,,,,94.0,,370,21543,,,,1763260117.401797,94.0,60.84674906730652
0.0,0.5838841199874878,0.0006484789773821831,34.67110824584961,0.00028694316279143095,,-0.00947028398513794,375,21888,0.5702827572822571,604.0,0.004444270394742489,1763260118.1229131,,61.56786513328552
0.0,0.7261651754379272,0.0007130121812224388,17.60288429260254,0.00028586789267137647,,0.01087840273976326,396,23680,0.5884058475494385,598.0,-0.0022796550765633583,1763260121.4954562,,64.94040822982788
0.0,0.24178457260131836,0.00012134760618209839,50.14337158203125,0.00028471581754274666,,2.948567271232605e-05,425,25600,0.5844422578811646,590.0,0.002210596576333046,1763260125.2834587,,68.7284107208252
,,,,,216.0,,441,26960,,,,1763260127.6100514,216.0,71.05500340461731
0.0,0.2757309675216675,0.001938655972480774,11.039144515991211,0.00028348693740554154,,0.01178908720612526,450,27648,0.6345027685165405,588.0,-0.00441913865506649,1763260128.9100528,,72.35500478744507
,,,,,125.0,,471,28936,,,,1763260131.3273137,125.0,74.77226567268372
