global_step,losses/approx_kl,_runtime,charts/SPS,_step,losses/old_approx_kl,_timestamp,losses/value_loss,charts/learning_rate,losses/explained_variance,charts/episodic_return,losses/clipfrac,losses/policy_loss,charts/episodic_length,losses/entropy
73216,0.00015270430594682693,158.18845796585083,550.0,974,0.0035949787124991417,1763260214.702983,0.014950189739465714,0.000256144383456558,7.802248001098633e-05,,0.0,-0.0013281125575304031,,0.56760174036026
73856,0.0005607409402728081,159.32956457138062,550.0,980,-0.006854512728750706,1763260215.8440895,0.00029496155912056565,0.0002557603584136814,-0.04253113269805908,,0.0,0.001495949923992157,,0.5641722679138184
74368,0.0030330223962664604,160.26690435409546,550.0,985,0.006849824450910091,1763260216.7814293,0.0004950982984155416,0.0002554531383793801,0.00843656063079834,,0.013671875,-0.003994930535554886,,0.5661713480949402
75392,0.006286513060331345,162.1176118850708,550.0,995,-0.0024863332509994507,1763260218.6321368,0.0004163099220022559,0.00025483869831077754,0.20106065273284912,,0.009765625,-0.030161060392856598,,0.5234169960021973
75594,,162.39199995994568,,997,,1763260218.906525,,,,500.0,,,500.0,
77440,0.0014512129127979279,165.8865303993225,550.0,1015,0.009633656591176987,1763260222.4010553,0.0005279560573399067,0.0002536098181735724,-0.31109893321990967,,0.0,-0.0074768103659152985,,0.48519909381866455
77952,0.00823602732270956,166.83314108848572,550.0,1020,0.021151475608348846,1763260223.347666,0.00014185892359819263,0.00025330259813927114,0.01825183629989624,,0.021484375,-0.008162438869476318,,0.5289455056190491
79094,,168.80556058883667,,1031,,1763260225.3200855,,,,500.0,,,500.0,
81024,0.0012609725818037987,172.48579692840576,550.0,1050,-0.019541960209608078,1763260229.0003219,0.0004954887554049492,0.0002514593070372939,0.17737972736358643,,0.001953125,-0.011014696210622787,,0.5583467483520508
81280,0.002250724472105503,172.9826419353485,550.0,1053,0.018343908712267876,1763260229.4971669,0.007071490399539471,0.00025130569702014327,0.01819777488708496,,0.0078125,-0.00971607118844986,,0.4295044541358948
81792,8.704699575901031e-05,173.91593527793884,549.0,1058,-0.0008215997368097305,1763260230.4304602,0.0034055409487336874,0.000250998476985842,0.13957619667053223,,0.0,-0.0010032691061496735,,0.51358562707901
84352,0.0005068639293313026,178.63172006607056,549.0,1083,-0.002901763655245304,1763260235.146245,0.0006213877350091934,0.0002494623768143356,-0.18675601482391357,,0.0,5.9291720390319824e-05,,0.5625975131988525
85120,0.002290310338139534,180.08243012428284,549.0,1091,-0.007083527743816376,1763260236.596955,113.1704330444336,0.00024900154676288366,4.708766937255859e-06,,0.001953125,-0.01649915799498558,,0.5470898151397705
86656,3.926083445549011e-05,182.93834257125854,549.0,1106,-0.0006697513163089752,1763260239.4528675,310.94677734375,0.0002480798866599798,0.00011307001113891602,,0.0,-0.000851854681968689,,0.5696995854377747
