losses/clipfrac,charts/episodic_length,charts/episodic_return,losses/policy_loss,losses/value_loss,_step,losses/explained_variance,losses/entropy,losses/approx_kl,_runtime,charts/SPS,global_step,_timestamp,losses/old_approx_kl,charts/learning_rate
,,,,,0,,,,5.635223865509033,,0,1763260017.391948,,
0.0,29.0,29.0,-0.008694406598806381,2.433487892150879,7,0.05125910043716431,0.6924257278442383,0.0008141025900840759,6.547556161880493,1007.0,128,1763260018.3042803,0.001182548701763153,0.0003000000142492354
0.0,11.0,11.0,0.0032846294343471527,2.265866994857788,33,0.24539703130722046,0.6870936155319214,9.60957258939743e-05,7.055157661437988,1008.0,640,1763260018.8118818,-0.0007701106369495392,0.0002996927942149341
,56.0,56.0,,,41,,,,7.1980626583099365,,808,1763260018.9547868,,
0.0,,,0.0054320357739925385,2.087799072265625,47,0.050739288330078125,0.6896030902862549,0.00033030472695827484,7.305487155914307,1012.0,896,1763260019.0622113,-0.00473363883793354,0.00029953918419778347
,34.0,34.0,,,64,,,,7.580166816711426,,1204,1763260019.336891,,
,16.0,16.0,,,74,,,,7.812214136123657,,1443,1763260019.5689383,,
,12.0,12.0,,,77,,,,7.836086988449097,,1499,1763260019.592811,,
0.0,,,-0.009551472030580044,2.059250831604004,88,0.2368571162223816,0.6625573635101318,0.0016540633514523506,8.187551259994507,1014.0,1792,1763260019.9442754,0.006764181889593601,0.00029900154913775623
,30.0,30.0,,,102,,,,8.55782675743103,,2217,1763260020.3145509,,
,50.0,50.0,,,104,,,,8.586808681488037,,2294,1763260020.3435328,,
,36.0,36.0,,,133,,,,9.416694641113281,,3127,1763260021.1734188,,
,30.0,30.0,,,147,,,,9.795258045196533,,3568,1763260021.5519822,,
,21.0,21.0,,,149,,,,9.872612714767456,,3589,1763260021.6293368,,
,46.0,46.0,,,150,,,,9.889971494674683,,3635,1763260021.6466956,,
,30.0,30.0,,,155,,,,10.026971817016602,,3817,1763260021.783696,,
,82.0,82.0,,,157,,,,10.158361911773682,,3899,1763260021.915086,,
,23.0,23.0,,,195,,,,11.458894491195679,,5302,1763260023.2156186,,
,41.0,41.0,,,203,,,,11.68356442451477,,5520,1763260023.4402885,,
,56.0,56.0,,,213,,,,12.052135705947876,,5966,1763260023.8088598,,
0.0,,,-0.015324756503105164,1.95255708694458,217,0.8512331247329712,0.5723299980163574,0.0008679889142513275,12.27658200263977,1049.0,6144,1763260024.0333061,-0.0004932284355163574,0.00029639017884619534
,210.0,210.0,,,228,,,,12.767939329147339,,6763,1763260024.5246634,,
0.0,,,0.006026826798915863,1.6851478815078735,233,-0.019417285919189453,0.48616665601730347,0.0011864183470606804,13.068735837936401,1058.0,7040,1763260024.82546,0.003990010358393192,0.0002958525437861681
0.0,,,-0.003031555563211441,7.411113262176514,251,-0.0392378568649292,0.5568829774856567,0.00030993204563856125,14.163082838058472,1058.0,8192,1763260025.919807,0.005094313062727451,0.0002951612987089902
0.0,,,-0.017908558249473572,1.5017485618591309,259,-0.030469298362731934,0.5500827431678772,0.001964869908988476,14.524462223052979,1058.0,8576,1763260026.2811863,0.010815051384270191,0.00029493088368326426
,127.0,127.0,,,265,,,,14.781512260437012,,8912,1763260026.5382364,,
0.0,,,0.0016095824539661407,1.3403990268707275,273,-0.03022468090057373,0.5066870450973511,0.00035263877362012863,15.31475830078125,1064.0,9472,1763260027.0714824,-0.0032638562843203545,0.000294393248623237
,175.0,175.0,,,274,,,,15.358681917190552,,9595,1763260027.115406,,
0.0,,,0.00391794927418232,4.225464820861816,292,-0.018964648246765137,0.5268005132675171,0.003166024573147297,16.85454273223877,1018.0,10624,1763260028.6112669,0.013938463293015957,0.00029370200354605913
,114.0,114.0,,,327,,,,18.8580801486969,,12739,1763260030.6148043,,
0.0,,,-0.0030716434121131897,19.442352294921875,330,-0.008033156394958496,0.5613312721252441,0.0006805742159485817,19.056896924972534,1023.0,12928,1763260030.813621,-0.0029778843745589256,0.00029231951339170337
0.06640625,,,0.04893067851662636,6.645704746246338,332,-0.012284994125366211,0.5290163159370422,0.015740318223834038,19.17084527015686,1023.0,13056,1763260030.9275694,0.026737142354249954,0.00029224270838312805
