global_step,losses/clipfrac,charts/learning_rate,losses/old_approx_kl,losses/approx_kl,_step,charts/episodic_return,_timestamp,losses/policy_loss,charts/episodic_length,losses/entropy,_runtime,charts/SPS,losses/value_loss,losses/explained_variance
0,,,,,0,,1763260017.157202,,,,5.386770963668823,,,
128,0.0,0.0003000000142492354,0.00016289018094539642,2.0693987607955933e-06,7,,1763260018.0666864,-1.3306736946105957e-05,,0.6931460499763489,6.296255350112915,1010.0,2.5507431030273438,0.0915190577507019
660,,,,,33,19.0,1763260018.583756,,19.0,,6.813324928283691,,,
807,,,,,41,15.0,1763260018.719533,,15.0,,6.94910192489624,,,
953,,,,,47,25.0,1763260018.847619,,25.0,,7.077188014984131,,,
1395,,,,,64,55.0,1763260019.2328906,,55.0,,7.462459564208984,,,
1630,,,,,74,30.0,1763260019.496769,,30.0,,7.726337909698486,,,
1697,,,,,77,34.0,1763260019.5926282,,34.0,,7.822197198867798,,,
2169,,,,,88,34.0,1763260019.9726703,,34.0,,8.202239274978638,,,
2645,,,,,102,72.0,1763260020.4289677,,72.0,,8.658536672592163,,,
2688,0.0,0.000298463914077729,-0.0004430757835507393,2.3837201297283173e-05,104,,1763260020.5384848,0.0008101519197225571,,0.6207702159881592,8.768053770065308,1034.0,2.5331039428710938,0.4623028635978699
3840,0.0,0.0002977726690005511,0.00021647289395332336,5.070120096206665e-06,133,,1763260021.6086667,0.00038880109786987305,,0.624622642993927,9.83823561668396,1046.0,1.9554659128189087,0.5845632553100586
4480,0.0,0.0002973886439576745,-0.0018461449071764946,0.0004691788926720619,147,,1763260022.184451,0.011586982756853104,,0.5839349627494812,10.41402006149292,1055.0,1.8718671798706055,-0.04073500633239746
4600,,,,,149,64.0,1763260022.2271974,,64.0,,10.456766366958618,,,
4608,0.0,0.0002973118389490992,0.008976006880402565,0.002085220068693161,150,,1763260022.2978559,-0.02288082242012024,,0.5456821918487549,10.527424812316895,1057.0,1.7505357265472412,0.7526827454566956
4965,,,,,155,39.0,1763260022.557645,,39.0,,10.787214040756226,,,
5105,,,,,157,140.0,1763260022.6951582,,140.0,,10.924727201461792,,,
6016,0.009765625,0.00029646698385477066,0.0023114532232284546,0.0067953504621982574,172,,1763260023.5616033,-0.027233032509684563,,0.5392649173736572,11.79117226600647,1070.0,3.0892038345336914,0.18044936656951904
7296,0.029296875,0.00029569893376901746,-0.004539143294095993,0.008121713995933533,195,,1763260024.7337246,-0.04105273634195328,,0.5075128078460693,12.963293552398682,1073.0,1.6048517227172852,0.7769674062728882
7931,,,,,203,156.0,1763260025.2277017,,156.0,,13.457270622253418,,,
8551,,,,,213,107.0,1763260025.8064559,,107.0,,14.036024808883667,,,
8808,,,,,217,131.0,1763260026.0845366,,131.0,,14.31410551071167,,,
9472,0.029296875,0.000294393248623237,0.009577794931828976,0.0051011620089411736,228,,1763260026.7358859,0.0009991712868213654,,0.4827713966369629,14.965454816818237,1076.0,2.086491346359253,-0.044647216796875
9728,0.0,0.0002942396386060864,0.00030530989170074463,0.0002583470195531845,233,,1763260026.9683166,0.001362040638923645,,0.5242204666137695,15.197885513305664,1077.0,1.4303107261657715,-0.024133682250976562
10779,,,,,251,112.0,1763260028.364845,,112.0,,16.594413995742798,,,
11271,,,,,259,119.0,1763260028.8926644,,119.0,,17.122233390808105,,,
11648,0.0,0.00029308756347745657,0.004827207885682583,5.378667265176773e-05,265,,1763260029.2342317,-0.0037594521418213844,,0.49222639203071594,17.46380066871643,1031.0,1.267928123474121,-0.007923603057861328
12125,,,,,273,70.0,1763260029.6154091,,70.0,,17.844978094100952,,,
12160,0.0,0.0002927803434431553,-0.005911136977374554,0.0002947552129626274,274,,1763260029.6950634,0.009990718215703964,,0.5059620141983032,17.92463231086731,1034.0,11.732996940612793,0.021330654621124268
