global_step,losses/clipfrac,charts/learning_rate,losses/old_approx_kl,losses/approx_kl,_step,charts/episodic_return,_timestamp,losses/policy_loss,charts/episodic_length,losses/entropy,_runtime,charts/SPS,losses/value_loss,losses/explained_variance
13184,0.0,0.0002921659033745527,-0.006118726916611195,0.0008127177134156227,292,,1763260030.6574285,0.0035476740449666977,,0.44716817140579224,18.88699746131897,1036.0,3.9565296173095703,0.37324774265289307
15104,0.0,0.0002910138282459229,-0.0066140927374362946,0.002656256780028343,327,,1763260032.4563475,-0.01879775896668434,,0.48469769954681396,20.685916423797607,1040.0,0.7662614583969116,0.709618330001831
15289,,,,,330,72.0,1763260032.5929248,,72.0,,20.8224937915802,,,
15360,0.0,0.0002908602182287723,-0.00475538894534111,0.00014954060316085815,332,,1763260032.6847353,0.0025798119604587555,,0.5067260265350342,20.91430425643921,1041.0,1.620692491531372,0.013358891010284424
15671,,,,,337,129.0,1763260032.9320393,,129.0,,21.16160821914673,,,
15846,,,,,340,71.0,1763260033.096469,,71.0,,21.326037883758545,,,
17416,,,,,370,91.0,1763260034.6118948,,91.0,,22.841463804244995,,,
18816,0.0078125,0.00028878648299723864,-0.026286615058779716,0.005079392343759537,396,,1763260035.9102256,0.00996316596865654,,0.539535641670227,24.13979458808899,1047.0,1.444785237312317,0.7879359722137451
20610,,,,,425,129.0,1763260037.6510074,,129.0,,25.880576372146606,,,
21589,,,,,441,152.0,1763260038.516735,,152.0,,26.746304035186768,,,
22141,,,,,450,116.0,1763260038.9848433,,116.0,,27.214412212371826,,,
23292,,,,,471,71.0,1763260040.0591412,,71.0,,28.288710117340088,,,
23764,,,,,481,72.0,1763260040.5076227,,72.0,,28.737191677093506,,,
24242,,,,,490,79.0,1763260040.9976804,,79.0,,29.22724938392639,,,
24994,,,,,504,89.0,1763260041.7239203,,89.0,,29.953489303588867,,,
25638,,,,,515,81.0,1763260042.2924736,,81.0,,30.522042512893677,,,
26623,,,,,530,127.0,1763260043.152873,,127.0,,31.382441997528076,,,
27136,0.0,0.0002837941574398428,0.0024191495031118393,0.00019938312470912933,539,,1763260043.6731448,0.0033259671181440353,,0.5355512499809265,31.902713775634766,1054.0,0.39541536569595337,0.9969390034675598
27648,0.0,0.00028348693740554154,0.0010092416778206825,0.0005120644345879555,547,,1763260044.1566606,0.013023454695940018,,0.5287083983421326,32.386229515075684,1054.0,0.9196535348892212,0.9963355660438538
28032,0.005859375,0.0002832565223798156,0.01010998897254467,0.002241985872387886,555,,1763260044.4970114,-0.02834095060825348,,0.42824941873550415,32.72658038139343,1055.0,0.559099555015564,0.9626322388648987
28288,0.0,0.00028310291236266494,0.003532877191901207,0.0001750849187374115,559,,1763260044.7208853,-0.006061175838112831,,0.519306480884552,32.950454235076904,1056.0,0.3136596381664276,0.9980359673500061
28857,,,,,568,127.0,1763260045.2318585,,127.0,,33.461427450180054,,,
30691,,,,,595,30.0,1763260046.7987254,,30.0,,35.02829432487488,,,
31780,,,,,614,104.0,1763260047.831799,,104.0,,36.061367988586426,,,
32615,,,,,630,29.0,1763260048.5703409,,29.0,,36.799909830093384,,,
32769,,,,,636,38.0,1763260048.7664945,,38.0,,36.996063470840454,,,
32923,,,,,640,26.0,1763260048.8929913,,26.0,,37.122560262680054,,,
33280,0.0,0.00028010751702822745,0.016467995941638947,0.0013376101851463318,650,,1763260049.2727227,-0.0061954837292432785,,0.47106024622917175,37.502291679382324,1062.0,59.84455871582031,0.6620128154754639
33983,,,,,664,111.0,1763260049.8687668,,111.0,,38.09833574295044,,,
35328,0.0,0.0002788786368910223,-0.0005342215299606323,0.0004948694258928299,684,,1763260051.21323,-0.004981182515621185,,0.46722203493118286,39.44279885292053,1061.0,0.6141001582145691,0.9910772442817688
35686,,,,,689,131.0,1763260051.4732683,,131.0,,39.702837228775024,,,
36224,0.0,0.0002783410018309951,-0.006842432543635368,0.0035065189003944397,698,,1763260052.0003147,-0.005852751433849335,,0.5434852838516235,40.229883670806885,1063.0,0.3685922622680664,0.9973666667938232
36864,0.0,0.0002779569767881185,-0.013233447447419167,0.0013828594237565994,707,,1763260052.5917,-0.009580209851264954,,0.4811748266220093,40.821269035339355,1063.0,0.23074369132518768,0.9984573721885681
38400,0.046875,0.00027703531668521464,0.027880892157554626,0.007141860201954842,729,,1763260054.0322948,0.007217559963464737,,0.5091411471366882,42.261863708496094,1063.0,0.197257861495018,0.9983938336372375
40357,,,,,757,171.0,1763260055.8804376,,171.0,,44.11000657081604,,,
40640,,,,,762,100.0,1763260056.1457963,,100.0,,44.375365257263184,,,
40960,0.009765625,0.0002754992456175387,0.032329361885786057,0.0070196762681007385,767,,1763260056.5287135,-0.03266839310526848,,0.44782835245132446,44.75828242301941,1061.0,23.907798767089844,0.06780093908309937
41535,,,,,775,171.0,1763260057.0399363,,171.0,,45.26950526237488,,,
42617,,,,,788,172.0,1763260058.0527408,,172.0,,46.282309770584106,,,
43264,0.009765625,0.0002741167554631829,-0.0015048505738377571,0.005589730106294155,797,,1763260058.7832732,-0.019530244171619415,,0.5772725343704224,47.01284217834473,1059.0,2.7095773220062256,0.4837650656700134
43904,0.009765625,0.0002737327304203063,-0.007979431189596653,0.003511139191687107,806,,1763260059.3525727,-0.034915633499622345,,0.5754167437553406,47.582141637802124,1060.0,50.36531066894531,0.5616288185119629
44672,0.115234375,0.0002732719003688544,0.04031774029135704,0.02528064325451851,815,,1763260060.067082,-0.03052040934562683,,0.5597885251045227,48.296650886535645,1060.0,0.06835927814245224,0.9890643358230591
48768,0.0,0.00027081414009444416,0.022495724260807037,0.002929510548710823,863,,1763260063.788555,0.021525852382183075,,0.5568941831588745,52.01812386512756,1063.0,0.04009050130844116,0.8917263746261597
49664,0.0,0.0002702765050344169,0.03192208707332611,0.0032917698845267296,872,,1763260064.5847433,-0.03252401947975159,,0.4986437261104584,52.81431221961975,1064.0,0.03411246836185455,0.021240651607513428
50048,0.001953125,0.00027004609000869095,0.04896619915962219,0.005850199609994888,876,,1763260064.9549813,-0.03544463962316513,,0.5123804211616516,53.184550285339355,1064.0,0.05320366472005844,-0.00728154182434082
54528,0.00390625,0.00026735791470855474,-0.008113747462630272,0.002491546794772148,922,,1763260068.9522893,-0.023250501602888107,,0.46564775705337524,57.18185830116272,1068.0,0.025453612208366394,0.9464350938796997
55296,0.017578125,0.0002668970846571028,-0.013436777517199516,0.00464332289993763,930,,1763260069.6592348,0.01662086322903633,,0.3759392499923706,57.88880372047424,1069.0,0.00598160270601511,-0.03162944316864014
56064,0.0,0.0002664362546056509,0.0005798395723104477,0.0013320967555046082,938,,1763260070.357746,-0.004702111706137657,,0.4378897547721863,58.58731484413147,1069.0,0.0213400237262249,0.6747373342514038
56428,,,,,941,500.0,1763260070.6150353,,500.0,,58.84460425376892,,,
56448,0.00390625,0.00026620583957992494,0.014097213745117188,0.001373153179883957,942,,1763260070.6907501,-0.012958463281393051,,0.4562167525291443,58.92031908035278,1070.0,121.30815887451172,-0.00037360191345214844
57088,0.005859375,0.00026582181453704834,0.014584608376026154,0.0019902046769857407,948,,1763260071.2811918,0.0020423755049705505,,0.456809401512146,59.51076078414917,1070.0,0.0022967085242271423,0.05168938636779785
59520,0.0,0.00026436251937411726,-0.02560085617005825,0.0032648425549268723,974,,1763260073.4682424,0.006946694105863571,,0.522922158241272,61.69781136512756,1071.0,1.9133061170578003,0.002509772777557373
60154,,,,,980,500.0,1763260073.9559715,,500.0,,62.185540437698364,,,
60622,,,,,985,468.0,1763260074.4059324,,468.0,,62.63550138473511,,,
61440,0.017578125,0.00026321044424548745,-0.01173902116715908,0.008508050814270973,995,,1763260075.159928,0.018363788723945618,,0.4977027475833893,63.38949704170227,1073.0,80.57766723632812,0.5851995944976807
61644,,,,,997,299.0,1763260075.3388088,,299.0,,63.56837773323059,,,
63232,0.10546875,0.00026213517412543297,0.06120375543832779,0.039551522582769394,1015,,1763260076.805786,-0.04082218557596207,,0.5514350533485413,65.03535485267639,1074.0,0.00036357392673380673,-0.05519735813140869
64301,,,,,1031,56.0,1763260077.770034,,56.0,,65.9996030330658,,,
65840,,,,,1050,412.0,1763260079.154088,,412.0,,67.38365697860718,,,
66075,,,,,1053,235.0,1763260079.3679266,,235.0,,67.59749555587769,,,
66560,0.001953125,0.00026013824390247464,0.03002224490046501,0.002546379342675209,1058,,1763260079.842816,-0.010679710656404495,,0.5017521977424622,68.07238507270813,1075.0,0.00040798791451379657,0.9180463552474976
68636,,,,,1083,500.0,1763260081.71414,,500.0,,69.94370889663696,,,
69376,0.0,0.0002584485337138176,0.004339620471000671,0.00017052888870239258,1091,,1763260082.372883,0.000598762184381485,,0.40268030762672424,70.60245203971863,1076.0,2.27064847946167,-0.002513408660888672
70912,0.0,0.00025752687361091375,0.01666126772761345,0.0012340042740106583,1106,,1763260083.7718453,0.00014432985335588455,,0.4591605067253113,72.00141429901123,1077.0,5.1354178140172735e-05,0.8122525811195374
72064,0.0,0.00025683562853373587,-0.003561972640454769,0.0004483787342905998,1118,,1763260084.8041732,0.008309755474328995,,0.492061048746109,73.03374218940735,1077.0,51.15386199951172,-4.7326087951660156e-05
72832,0.0859375,0.00025637479848228395,0.0663108378648758,0.01701582968235016,1125,,1763260085.479644,-0.019903667271137238,,0.45773354172706604,73.70921301841736,1078.0,9.279620280722156e-05,0.42566758394241333
73600,0.0,0.00025591396843083203,0.0018325261771678925,0.0004099123179912567,1133,,1763260086.190413,0.0024946480989456177,,0.4849655032157898,74.41998195648193,1078.0,0.004567051772028208,0.6777054071426392
74752,0.0,0.00025522272335365415,-0.0010811137035489082,0.0009181024506688118,1145,,1763260087.234643,0.010836541652679443,,0.40184059739112854,75.46421194076538,1078.0,0.004854387603700161,0.6842777729034424
76288,0.0,0.0002543010632507503,-0.0006448589265346527,1.691281795501709e-05,1164,,1763260088.6182697,-0.002618446946144104,,0.4981285333633423,76.84783864021301,1079.0,71.28099822998047,0.0006301999092102051
76416,0.0,0.000254224258242175,0.0008913325145840645,0.0001807762309908867,1165,,1763260088.7276945,0.0017526987940073013,,0.4814828634262085,76.95726346969604,1079.0,0.0012174636358395219,0.8593964576721191
76928,0.0,0.0002539170382078737,0.010121049359440804,0.000702960416674614,1172,,1763260089.2273507,0.0022870078682899475,,0.4093570411205292,77.45691967010498,1079.0,154.75978088378906,0.00013887882232666016
77824,0.005859375,0.00025337940314784646,0.015213262289762497,0.003247649408876896,1181,,1763260090.0307012,0.006405359599739313,,0.4057884216308594,78.26027011871338,1079.0,0.001507217762991786,0.9442126154899597
78208,0.0,0.0002531489881221205,-0.01679433137178421,0.0016184477135539055,1186,,1763260090.3791625,-0.0020640939474105835,,0.4103224575519562,78.608731508255,1079.0,139.18023681640625,-0.0013322830200195312
79104,0.0,0.00025261135306209326,-0.002560601569712162,0.0001236824318766594,1197,,1763260091.209287,-0.001302812248468399,,0.4042615592479706,79.43885588645935,1079.0,0.004189112689346075,0.9397819638252258
80384,0.0,0.0002518433320801705,0.000253249891102314,0.00021954160183668137,1213,,1763260092.3669384,0.005110517144203186,,0.3714020550251007,80.59650731086731,1080.0,5.030482292175293,0.12001693248748779
80607,,,,,1215,301.0,1763260092.5098867,,301.0,,80.73945569992065,,,
81463,,,,,1226,201.0,1763260093.3241093,,201.0,,81.55367827415466,,,
81792,0.001953125,0.000250998476985842,-0.011381869204342365,0.0022879643365740776,1230,,1763260093.6419034,-0.002959325909614563,,0.41800639033317566,81.87147235870361,1080.0,0.027522381395101547,-0.00229489803314209
82176,0.0,0.00025076806196011603,-0.0018753977492451668,0.00013996567577123642,1234,,1763260093.9755578,0.0010060369968414307,,0.3700297474861145,82.20512676239014,1080.0,0.7468345761299133,-0.006025433540344238
83128,,,,,1245,500.0,1763260094.817987,,500.0,,83.04755592346191,,,
83840,0.0,0.00024976959684863687,0.0027395738288760185,0.00024035107344388962,1254,,1763260095.5132,0.0010678060352802277,,0.4032418429851532,83.74276900291443,1080.0,48.943416595458984,-0.0018137693405151367
85376,0.00390625,0.000248847936745733,-0.004962528124451637,0.0023874733597040176,1271,,1763260096.8954477,-0.010851126164197922,,0.3375020921230316,85.12501668930054,1081.0,0.008534949272871017,0.9678112268447876
87936,0.0,0.0002473118365742266,0.0037309369072318077,0.0004752231761813164,1299,,1763260099.213876,0.004331231117248535,,0.39073440432548523,87.4434449672699,1081.0,0.4245302677154541,0.9938499927520752
91136,0.0,0.0002453917113598436,0.0031119491904973984,0.00088493712246418,1339,,1763260102.1477246,-0.021501842886209488,,0.3008608818054199,90.37729358673096,1082.0,4.84468936920166,0.32327800989151
91264,0.0078125,0.0002453149063512683,0.0015355302020907402,0.003883679397404194,1340,,1763260102.2579832,-0.0014979164116084576,,0.3154364228248596,90.48755216598511,1082.0,0.4740503132343292,0.9867273569107056
92055,,,,,1349,491.0,1763260102.9777164,,491.0,,91.20728540420532,,,
93440,0.005859375,0.00024400922120548785,-0.008127713575959206,0.0030290335416793823,1363,,1763260104.2353961,-0.04565524682402611,,0.37904685735702515,92.46496510505676,1082.0,35.63006591796875,0.6279828548431396
93684,,,,,1365,333.0,1763260104.3859327,,333.0,,92.61550164222717,,,
94080,0.173828125,0.00024362519616261125,0.0009496966376900673,0.01631069742143154,1370,,1763260104.8171628,0.028554005548357964,,0.4571297764778137,93.04673171043396,1082.0,34.148521423339844,0.6436620950698853
94754,,,,,1380,120.0,1763260105.396055,,120.0,,93.62562394142151,,,
94848,0.0625,0.00024316436611115932,-0.005786946043372154,0.01694823056459427,1381,,1763260105.4964113,-0.005266211926937103,,0.3371701240539551,93.72598028182983,1083.0,0.14287906885147095,0.7693952322006226
95264,,,,,1388,116.0,1763260105.8960512,,116.0,,94.12562012672424,,,
95742,,,,,1395,112.0,1763260106.2684038,,112.0,,94.4979727268219,,,
95994,,,,,1399,121.0,1763260106.491138,,121.0,,94.72070693969727,,,
96366,,,,,1405,124.0,1763260106.876885,,124.0,,95.10645389556885,,,
98304,0.0,0.00024109063087962568,0.006637148559093475,0.0006189942359924316,1432,,1763260108.689371,-0.008101236075162888,,0.47966641187667847,96.91894006729126,1083.0,0.23320165276527405,0.6935718059539795
98409,,,,,1433,140.0,1763260108.7263756,,140.0,,96.95594453811646,,,
100224,0.109375,0.00023993855575099587,0.05073656514286995,0.007860332727432251,1455,,1763260110.4551554,0.023021182045340538,,0.4287700355052948,98.6847243309021,1083.0,89.38168334960938,0.4868488311767578
100352,0.0703125,0.00023986175074242055,0.06904017925262451,0.025305312126874924,1456,,1763260110.5651128,-0.03634563088417053,,0.462655633687973,98.79468178749084,1083.0,0.013041402213275433,0.9842386245727539
100480,0.03515625,0.00023978494573384523,0.018764443695545197,0.011011413298547268,1457,,1763260110.6762862,-0.03513898700475693,,0.5573812127113342,98.90585517883301,1083.0,0.03908465802669525,0.9733866453170776
106240,0.0,0.00023632872034795582,0.0011590924113988876,0.0008987691253423691,1514,,1763260115.9095125,-0.012629970908164978,,0.4821191430091858,104.1390814781189,1084.0,0.0012541947653517127,0.7618257999420166
106880,0.0,0.00023594469530507922,0.001549113541841507,0.0006595645099878311,1521,,1763260116.5002437,0.009946530684828758,,0.4187745749950409,104.72981262207031,1084.0,51.86528015136719,-0.004606366157531738
107349,,,,,1525,500.0,1763260116.8625045,,500.0,,105.09207344055176,,,
107520,0.03125,0.00023556067026220262,0.01617009937763214,0.010565243661403656,1527,,1763260117.057273,-0.03136468306183815,,0.46036234498023987,105.28684186935425,1084.0,0.0010462123900651932,0.3944389820098877
107776,0.09375,0.00023540706024505198,0.023486223071813583,0.012108983471989632,1529,,1763260117.3120801,-0.036024414002895355,,0.3451336622238159,105.54164910316467,1084.0,0.0009402803261764348,0.8584193587303162
108288,0.1875,0.0002350998402107507,0.07642751932144165,0.045405156910419464,1534,,1763260117.758484,-0.06282870471477509,,0.41025876998901367,105.98805284500122,1084.0,0.0008985924650914967,0.27929407358169556
108416,0.0,0.00023502303520217538,-0.000868593342602253,0.00024636369198560715,1536,,1763260117.8721802,0.001067090779542923,,0.4339310824871063,106.10174918174744,1084.0,0.804378092288971,-0.002754688262939453
109184,0.001953125,0.00023456220515072346,0.023856977000832558,0.003730466589331627,1543,,1763260118.5789576,-0.004414629191160202,,0.46883416175842285,106.8085265159607,1084.0,0.0010013305582106113,0.6139465570449829
109349,,,,,1545,500.0,1763260118.704546,,500.0,,106.93411493301392,,,
109440,0.0,0.00023440859513357282,0.004395908676087856,0.00020834337919950485,1546,,1763260118.803722,0.001705896109342575,,0.4868090748786926,107.03329086303711,1085.0,213.31236267089844,-0.007409095764160156
110720,0.0703125,0.00023364055959973484,0.014336828142404556,0.01208693627268076,1558,,1763260119.951343,-0.006500791758298874,,0.41113898158073425,108.18091201782227,1085.0,0.0008383901440538466,0.3637876510620117
110848,0.1171875,0.00023356375459115952,0.07936130464076996,0.02417554333806038,1559,,1763260120.0609283,-0.058116763830184937,,0.30588841438293457,108.29049730300903,1085.0,0.0012419003760442138,0.516051173210144
111232,0.044921875,0.00023333333956543356,0.027714945375919342,0.015534655191004276,1563,,1763260120.4298358,-0.06532923877239227,,0.3797709047794342,108.65940475463867,1085.0,0.0007288684137165546,-0.04139983654022217
111488,0.0,0.00023317972954828292,0.005649427883327007,0.0004493473097681999,1566,,1763260120.6551232,-0.005989544093608856,,0.33833855390548706,108.88469219207764,1085.0,0.00042539447895251215,0.6784398555755615
113792,0.046875,0.00023179723939392716,0.013832680881023407,0.007388430647552013,1588,,1763260122.7329204,-0.007736267521977425,,0.28069838881492615,110.96248936653137,1085.0,0.0003775740915443748,-1.1128206253051758
113849,,,,,1589,500.0,1763260122.7545133,,500.0,,110.98408222198486,,,
114688,0.09765625,0.00023125960433389992,-0.027529824525117874,0.018183231353759766,1597,,1763260123.549542,0.004262849688529968,,0.3525489270687103,111.7791109085083,1085.0,0.001057009445503354,0.697498083114624
115712,0.0,0.00023064516426529735,0.0017333347350358963,0.0006197653710842133,1607,,1763260124.444427,-0.006472468376159668,,0.2948666512966156,112.67399597167969,1086.0,0.001201752689667046,0.33769285678863525
115849,,,,,1609,500.0,1763260124.5923655,,500.0,,112.82193446159363,,,
115968,0.00390625,0.0002304915542481467,0.00212293304502964,0.0045037902891635895,1610,,1763260124.7055845,-0.005594484508037567,,0.3554065227508545,112.93515348434448,1086.0,0.07269551604986191,0.0034580230712890625
116224,0.06640625,0.00023033794423099607,0.08834788203239441,0.019754869863390923,1612,,1763260124.9275064,-0.03772055357694626,,0.2922809422016144,113.15707540512085,1086.0,0.000720267416909337,-0.7900590896606445
117632,0.001953125,0.00022949308913666755,0.015905464068055153,0.0023830868303775787,1626,,1763260126.1920824,-0.01167905144393444,,0.365267813205719,114.4216513633728,1086.0,0.0013137947535142303,0.44442492723464966
118849,,,,,1638,500.0,1763260127.2582886,,500.0,,115.48785758018494,,,
123849,,,,,1687,500.0,1763260131.7193077,,500.0,,119.94887661933899,,,
128384,0.009765625,0.00022304146841634065,-0.0037697358056902885,0.0043698446825146675,1732,,1763260135.8682911,-0.008450383320450783,,0.2555093765258789,124.09786009788513,1088.0,149.64453125,-0.00048542022705078125
129792,0.005859375,0.00022219661332201213,0.016975795850157738,0.0017014062032103539,1745,,1763260137.1551087,-0.013448931276798248,,0.28788700699806213,125.38467764854431,1088.0,6.305602437350899e-05,0.17013758420944214
130560,0.07421875,0.00022173579782247543,0.05509037524461746,0.023225143551826477,1753,,1763260137.827347,-0.03229285776615143,,0.19562526047229767,126.05691599845886,1089.0,0.0034649933222681284,0.4996827244758606
130688,0.13671875,0.0002216589928139001,0.0750194638967514,0.038105353713035583,1754,,1763260137.9367917,-0.025387797504663467,,0.3862491250038147,126.16636061668396,1089.0,0.0009579327888786793,-0.27303898334503174
131840,0.009765625,0.00022096774773672223,0.018910691142082214,0.0030347108840942383,1765,,1763260138.9761965,-0.013658195734024048,,0.23414914309978485,127.20576548576355,1089.0,0.00013480897177942097,-1.4526891708374023
132096,0.033203125,0.0002208141377195716,0.030037926509976387,0.009883980266749859,1768,,1763260139.2362792,-0.009326193481683731,,0.30852073431015015,127.46584820747375,1089.0,0.003338784445077181,-1.4327189922332764
132992,0.09765625,0.00022027650265954435,0.0950639545917511,0.0255570150911808,1777,,1763260140.0171878,-0.04347669333219528,,0.2783523499965668,128.24675679206848,1089.0,0.0027193690184503794,0.07870453596115112
137216,0.0,0.00021774193737655878,0.0016877781599760056,0.0021757706999778748,1818,,1763260143.831968,-0.00610390305519104,,0.23762792348861694,132.061537027359,1089.0,0.00046032178215682507,-4.041839122772217
137728,0.06640625,0.0002174347173422575,0.01632719486951828,0.00875711441040039,1823,,1763260144.2768116,-0.014977900311350822,,0.29113107919692993,132.50638055801392,1090.0,0.000650957168545574,-4.37023401260376
140544,0.02734375,0.00021574500715360045,0.020711321383714676,0.006235264241695404,1851,,1763260146.835814,-0.0072877779603004456,,0.24208766222000122,135.0653829574585,1090.0,0.0013883898500353098,0.16151171922683716
141056,0.029296875,0.00021543778711929917,-0.0265507735311985,0.00730583630502224,1856,,1763260147.2839687,0.01775798574090004,,0.25984862446784973,135.51353764533997,1090.0,0.0016853291308507323,0.08486360311508179
142336,0.048828125,0.00021466973703354597,0.015157394111156464,0.006844119168817997,1868,,1763260148.433182,-0.0026990100741386414,,0.2042589783668518,136.66275095939636,1090.0,0.0001853744761319831,0.2268989086151123
142848,0.0,0.0002143625169992447,-0.00018001999706029892,1.6381964087486267e-06,1873,,1763260148.9158618,-0.0003157369792461395,,0.28438600897789,137.14543080329895,1090.0,0.00018375195213593543,-0.11400806903839111
143232,0.0,0.00021413210197351873,0.012871501967310905,0.0018969513475894928,1877,,1763260149.2514107,-2.9671937227249146e-05,,0.21656152606010437,137.48097968101501,1090.0,0.0003563793725334108,-0.8063170909881592
144128,0.080078125,0.0002135944669134915,0.05118226632475853,0.008157378993928432,1886,,1763260150.0966048,-0.03795190155506134,,0.2201690673828125,138.32617378234863,1090.0,0.00012141743354732171,0.2710922956466675
145024,0.0,0.00021305683185346425,-0.0005102325230836868,0.000761229544878006,1895,,1763260150.9114413,-0.0028015300631523132,,0.30067890882492065,139.14101028442383,1090.0,0.0007170906756073236,-0.5410671234130859
145849,,,,,1903,500.0,1763260151.5998864,,500.0,,139.8294553756714,,,
146176,0.0,0.00021236558677628636,0.0065843695774674416,0.0011116964742541313,1906,,1763260151.952981,-0.005576923489570618,,0.17813663184642792,140.1825499534607,1090.0,0.0004574551130644977,0.8747145533561707
147349,,,,,1918,500.0,1763260152.9986777,,500.0,,141.22824668884277,,,
147584,0.080078125,0.00021152073168195784,-0.01977793499827385,0.0154200354591012,1920,,1763260153.21669,0.015754148364067078,,0.19157275557518005,141.44625902175903,1090.0,0.00833167228847742,-0.012587428092956543
150144,0.064453125,0.00020998464606236666,0.038161300122737885,0.01703604869544506,1945,,1763260155.5221362,-0.032878320664167404,,0.19213911890983582,143.75170516967773,1091.0,0.0003110026300419122,0.7326000928878784
151552,0.083984375,0.00020913979096803814,0.03951399400830269,0.025730011984705925,1959,,1763260156.7878346,-0.003912224434316158,,0.19953742623329163,145.0174036026001,1091.0,0.0031388774514198303,-1.3456852436065674
152960,0.017578125,0.00020829493587370962,-0.02362680248916149,0.008710921742022038,1973,,1763260158.083612,0.03386443853378296,,0.26230552792549133,146.3131809234619,1091.0,0.041617706418037415,0.010194599628448486
154240,0.05078125,0.00020752688578795642,0.03369077295064926,0.0066617876291275024,1985,,1763260159.2362294,-0.006852366030216217,,0.20312419533729553,147.46579837799072,1091.0,0.0005234201089479029,0.7031641006469727
154849,,,,,1991,500.0,1763260159.7009013,,500.0,,147.9304702281952,,,
155904,0.0,0.00020652842067647725,0.003375466912984848,0.0006190314888954163,2002,,1763260160.709322,0.00043691135942935944,,0.19081415235996246,148.93889093399048,1091.0,17.60231590270996,-0.0025786161422729492
156416,0.001953125,0.00020622120064217597,0.003834608942270279,0.00021183118224143982,2007,,1763260161.2198184,0.002776164561510086,,0.23527678847312927,149.44938731193542,1091.0,20.624361038208008,0.0008730292320251465
