charts/learning_rate,charts/episodic_return,charts/SPS,losses/old_approx_kl,_timestamp,losses/value_loss,_step,_runtime,global_step,charts/episodic_length,losses/clipfrac,losses/policy_loss,losses/explained_variance,losses/entropy,losses/approx_kl
,,,,1763260017.1472287,,0,5.461901664733887,0,,,,,,
0.0003000000142492354,,996.0,0.00899697095155716,1763260018.0619812,2.40677547454834,7,6.376654148101807,128,,0.0,-0.017914365977048874,-0.009356260299682617,0.6924787163734436,0.0006299037486314774
0.0002996927942149341,,1001.0,0.0037385448813438416,1763260018.5726805,2.1366732120513916,33,6.887353420257568,640,,0.0,-0.006991889327764511,-0.14490866661071777,0.6883196830749512,0.00036406703293323517
,15.0,,,1763260018.7146084,,41,7.029281377792358,797,15.0,,,,,
,21.0,,,1763260018.8450072,,47,7.159680128097534,946,21.0,,,,,
,19.0,,,1763260019.411831,,64,7.726503849029541,1541,19.0,,,,,
,20.0,,,1763260019.6082196,,74,7.9228925704956055,1779,20.0,,,,,
,20.0,,,1763260019.699802,,77,8.014474868774414,1827,20.0,,,,,
,13.0,,,1763260019.8519619,,88,8.166634798049927,2015,13.0,,,,,
,24.0,,,1763260020.1848469,,102,8.49951982498169,2322,24.0,,,,,
,15.0,,,1763260020.2007842,,104,8.515457153320312,2355,15.0,,,,,
0.00029831030406057835,,1018.0,0.0011054528877139091,1763260020.8229406,2.4731245040893555,133,9.137613534927368,2944,,0.0,0.0024169646203517914,0.047815918922424316,0.6124539375305176,8.540693670511246e-05
,22.0,,,1763260021.0828888,,147,9.39756178855896,3227,22.0,,,,,
,23.0,,,1763260021.10042,,149,9.415092945098877,3269,23.0,,,,,
,21.0,,,1763260021.1093688,,150,9.424041748046875,3290,21.0,,,,,
,32.0,,,1763260021.2203422,,155,9.535015106201172,3388,32.0,,,,,
,30.0,,,1763260021.2429192,,157,9.557592153549194,3449,30.0,,,,,
,20.0,,,1763260021.6135485,,172,9.928221464157104,3750,20.0,,,,,
,15.0,,,1763260022.0878127,,195,10.402485609054565,4225,15.0,,,,,
,28.0,,,1763260022.2241523,,203,10.538825273513794,4378,28.0,,,,,
,17.0,,,1763260022.3808398,,213,10.695512771606445,4589,17.0,,,,,
,28.0,,,1763260022.488964,,217,10.803637027740479,4675,28.0,,,,,
,26.0,,,1763260022.7501123,,228,11.064785242080688,4888,26.0,,,,,
0.0002970814239233732,,1013.0,-0.0014129327610135078,1763260022.8609388,3.8081462383270264,233,11.175611734390259,4992,,0.0,-6.57886266708374e-06,0.44063079357147217,0.5704420804977417,1.7539598047733307e-05
,29.0,,,1763260023.2508814,,251,11.56555438041687,5433,29.0,,,,,
,30.0,,,1763260023.4832153,,259,11.797888278961182,5666,30.0,,,,,
,51.0,,,1763260023.621641,,265,11.93631386756897,5836,51.0,,,,,
,84.0,,,1763260023.9485013,,273,12.263174295425415,6113,84.0,,,,,
0.00029639017884619534,,1008.0,-0.006027234718203545,1763260024.0273795,2.1189897060394287,274,12.342052459716797,6144,,0.0,0.0074859559535980225,0.944288432598114,0.5316584706306458,0.0035638678818941116
0.00029562212876044214,,1024.0,0.03601119667291641,1763260025.179254,1.663996696472168,292,13.493927001953125,7424,,0.06640625,0.009503677487373352,0.7780135869979858,0.5381492972373962,0.01105179451406002
,124.0,,,1763260027.7448711,,327,16.0595440864563,9865,124.0,,,,,
,114.0,,,1763260027.9409926,,330,16.25566554069519,10095,114.0,,,,,
,119.0,,,1763260028.1163952,,332,16.431068181991577,10214,119.0,,,,,
,135.0,,,1763260028.4928803,,337,16.8075532913208,10503,135.0,,,,,
,96.0,,,1763260028.6734586,,340,16.988131523132324,10724,96.0,,,,,
,106.0,,,1763260030.4473736,,370,18.762046575546265,12495,106.0,,,,,
