losses/approx_kl,losses/clipfrac,charts/SPS,_timestamp,_step,losses/policy_loss,charts/episodic_return,charts/learning_rate,losses/value_loss,losses/old_approx_kl,losses/explained_variance,_runtime,global_step,charts/episodic_length,losses/entropy
,,,1763260016.6561978,0,,,,,,,4.892576694488525,0,,
0.0004288945347070694,0.0,1003.0,1763260017.5652978,7,-0.008895788341760635,,0.0003000000142492354,2.4029431343078613,-0.00033045001327991486,0.46655774116516113,5.8016767501831055,128,,0.6927676796913147
,,,1763260018.0030863,33,,20.0,,,,,6.239465236663818,605,20.0,
0.00015451014041900635,0.0,995.0,1763260018.209148,41,-0.0037926025688648224,,0.0002996159892063588,2.2366981506347656,0.0008468683809041977,0.2242140769958496,6.445526838302612,768,,0.690300464630127
,,,1763260018.3500874,47,,34.0,,,,,6.586466312408447,949,34.0,
,,,1763260018.73949,64,,17.0,,,,,6.9758689403533936,1402,17.0,
,,,1763260018.9866853,74,,13.0,,,,,7.223064184188843,1584,13.0,
,,,1763260019.011543,77,,11.0,,,,,7.247921943664551,1644,11.0,
,,,1763260019.2177503,88,,16.0,,,,,7.454129219055176,1797,16.0,
,,,1763260019.4688995,102,,39.0,,,,,7.705278396606445,2063,39.0,
,,,1763260019.4870994,104,,18.0,,,,,7.723478317260742,2105,18.0,
,,,1763260019.8729773,133,,13.0,,,,,8.109356164932251,2497,13.0,
6.74007460474968e-05,0.0,995.0,1763260020.1366415,147,-0.0011958926916122437,,0.000298463914077729,2.094855785369873,0.0007528001442551613,-0.06702649593353271,8.37302041053772,2688,,0.6126309633255005
,,,1763260020.1487455,149,,13.0,,,,,8.385124444961548,2710,13.0,
,,,1763260020.153662,150,,10.0,,,,,8.390040874481201,2720,10.0,
,,,1763260020.186406,155,,13.0,,,,,8.422784805297852,2794,13.0,
0.0005423193797469139,0.0,996.0,1763260020.2634926,157,-0.011720633134245872,,0.00029838710906915367,2.0607147216796875,0.004448964260518551,0.047443389892578125,8.499871492385864,2816,,0.6266879439353943
,,,1763260020.4168751,172,,11.0,,,,,8.65325403213501,2987,11.0,
,,,1763260020.7093294,195,,20.0,,,,,8.945708274841309,3323,20.0,
,,,1763260020.8304625,203,,15.0,,,,,9.06684136390686,3438,15.0,
,,,1763260020.9618728,213,,18.0,,,,,9.198251724243164,3576,18.0,
,,,1763260021.0588093,217,,25.0,,,,,9.295188188552856,3641,25.0,
,,,1763260021.2542362,228,,15.0,,,,,9.490615129470825,3830,15.0,
,,,1763260021.360723,233,,19.0,,,,,9.597101926803589,3914,19.0,
,,,1763260021.721694,251,,15.0,,,,,9.958072900772095,4282,15.0,
0.003303052857518196,0.001953125,996.0,1763260021.935769,259,0.010534040629863739,,0.0002973886439576745,3.15341854095459,0.006636995822191238,0.5161545276641846,10.172147989273071,4480,,0.5571585893630981
,,,1763260022.0833445,265,,49.0,,,,,10.31972336769104,4690,49.0,
,,,1763260022.3556669,273,,24.0,,,,,10.592045783996582,4981,24.0,
