losses/clipfrac,losses/entropy,_step,losses/explained_variance,losses/approx_kl,losses/old_approx_kl,charts/episodic_return,global_step,losses/policy_loss,_runtime,charts/SPS,charts/learning_rate,charts/episodic_length,_timestamp,losses/value_loss
,,0,,,,,0,,6.007857084274292,,,,1763260017.8316941,
0.0,0.6930442452430725,7,0.22114014625549316,9.771063923835754e-05,-0.0026556774973869324,,128,-0.002996504306793213,6.93066143989563,1028.0,0.0003000000142492354,,1763260018.7544985,2.4211809635162354
,,33,,,,18.0,579,,7.3510496616363525,,,18.0,1763260019.1748867,
0.0,0.6911486387252808,41,-0.018555402755737305,8.065253496170044e-06,-0.0002523418515920639,,768,0.001097172498703003,7.562684774398804,1015.0,0.0002996159892063588,,1763260019.3865218,2.2637689113616943
0.0,0.6901137828826904,47,0.1420217752456665,6.945431232452393e-05,0.0007318481802940369,,896,-0.0014779232442378998,7.684996604919434,1019.0,0.00029953918419778347,,1763260019.5088336,2.358591079711914
,,64,,,,23.0,1227,,7.968489408493042,,,23.0,1763260019.7923265,
,,74,,,,26.0,1477,,8.20616340637207,,,26.0,1763260020.0300004,
,,77,,,,63.0,1559,,8.329784870147705,,,63.0,1763260020.153622,
,,88,,,,43.0,1969,,8.697571516036987,,,43.0,1763260020.5214086,
,,102,,,,31.0,2493,,9.16820240020752,,,31.0,1763260020.9920394,
,,104,,,,99.0,2592,,9.271231412887573,,,99.0,1763260021.0950685,
,,133,,,,32.0,3913,,10.476965427398682,,,32.0,1763260022.3008025,
,,147,,,,60.0,4568,,11.061309576034546,,,60.0,1763260022.8851466,
,,149,,,,57.0,4625,,11.151602983474731,,,57.0,1763260022.97544,
,,150,,,,68.0,4693,,11.175113439559937,,,68.0,1763260022.9989505,
,,155,,,,29.0,4881,,11.378978252410889,,,29.0,1763260023.2028153,
0.0,0.5354373455047607,157,0.525085985660553,0.0019340934231877327,0.02015458419919014,,4992,-0.002158384770154953,11.50749945640564,1061.0,0.0002970814239233732,,1763260023.3313365,2.9911341667175293
0.0,0.541529655456543,172,0.9863306283950806,0.0009974036365747452,0.006213707849383354,,5760,0.004150371998548508,12.193673849105835,1069.0,0.0002966205938719213,,1763260024.017511,1.481867790222168
,,195,,,,144.0,7021,,13.278313636779785,,,144.0,1763260025.1021507,
,,203,,,,143.0,7467,,13.730491161346436,,,143.0,1763260025.5543282,
0.0,0.5701254606246948,213,-0.0273514986038208,0.0006643179804086685,-0.001220211386680603,,8064,-0.003917869180440903,14.283139705657959,1078.0,0.00029523810371756554,,1763260026.1069767,3.4383277893066406
0.021484375,0.520446240901947,217,0.9836078882217407,0.007824764586985111,-0.021754201501607895,,8320,0.004025205969810486,14.50808334350586,1080.0,0.0002950844937004149,,1763260026.3319204,3.192920207977295
,,228,,,,90.0,9122,,15.271442174911499,,,90.0,1763260027.0952792,
0.0,0.4974899888038635,233,-0.0170820951461792,0.00030247587710618973,-0.0006748167797923088,,9472,0.0007408373057842255,15.612874746322632,1075.0,0.000294393248623237,,1763260027.4367118,2.282137393951416
0.0546875,0.5007278323173523,251,-0.0032476186752319336,0.013515361584722996,-0.001612793654203415,,10496,-0.0371413417160511,16.96005892753601,1033.0,0.00029377880855463445,,1763260028.783896,1.2704297304153442
,,259,,,,39.0,10905,,17.401414394378662,,,39.0,1763260029.2252514,
0.01953125,0.4841611981391907,265,0.03610348701477051,0.0034236907958984375,-0.0077397990971803665,,11264,-0.01668660156428814,17.774574995040894,1026.0,0.00029331797850318253,,1763260029.598412,2.248478412628174
0.00390625,0.4958866536617279,273,0.09977024793624878,0.0035035042092204094,0.0009653111919760704,,11776,0.006293293088674545,18.226253747940063,1031.0,0.00029301075846888125,,1763260030.0500908,1.1182305812835693
,,274,,,,121.0,11811,,18.241684436798096,,,121.0,1763260030.0655215,
,,292,,,,114.0,12813,,19.203088521957397,,,114.0,1763260031.0269256,
