global_step,losses/approx_kl,charts/episodic_return,_step,losses/old_approx_kl,charts/episodic_length,_timestamp,charts/SPS,losses/value_loss,losses/entropy,charts/learning_rate,losses/clipfrac,_runtime,losses/explained_variance,losses/policy_loss
0,,,0,,,1763260082.066393,,,,,,26.03978180885315,,
128,0.0005287341773509979,,7,-0.0006272811442613602,,1763260083.8245656,744.0,49.91184616088867,0.6926735043525696,0.0003000000142492354,0.0,27.797954559326172,0.04464060068130493,-0.003154691308736801
667,,52.0,33,,52.0,1763260084.4024968,,,,,,28.375885725021362,,
880,,14.0,41,,14.0,1763260084.557785,,,,,,28.531173944473267,,
1019,,40.0,47,,40.0,1763260084.68458,,,,,,28.657968997955322,,
1432,,75.0,64,,75.0,1763260085.232959,,,,,,29.206347942352295,,
1833,,61.0,74,,61.0,1763260085.6656141,,,,,,29.639003038406372,,
1944,,51.0,77,,51.0,1763260085.7754946,,,,,,29.748883485794067,,
2481,,119.0,88,,119.0,1763260086.454895,,,,,,30.42828392982483,,
3194,,31.0,102,,31.0,1763260087.626379,,,,,,31.599767923355103,,
3321,,127.0,104,,127.0,1763260087.838698,,,,,,31.812086820602417,,
5120,6.331317126750946e-05,,133,-0.0012333355844020844,,1763260090.896871,706.0,175.631591796875,0.5947818756103516,0.0002970046189147979,0.0,34.87026000022888,0.029916107654571533,-0.0016268715262413025
5965,,105.0,147,,105.0,1763260092.4018006,,,,,,36.375189542770386,,
6088,,123.0,149,,123.0,1763260092.6267333,,,,,,36.60012221336365,,
6144,0.0023447107523679733,,150,-0.0025368984788656235,,1763260092.8342767,669.0,148.06085205078125,0.5891813635826111,0.00029639017884619534,0.005859375,36.80766558647156,0.3364229202270508,-0.00521559314802289
6528,0.00017878785729408264,,155,0.0023978278040885925,,1763260093.6068258,655.0,257.2287902832031,0.5739724040031433,0.0002961597638204694,0.0,37.580214738845825,0.2197040319442749,0.0003083646297454834
6656,5.271285772323608e-07,,157,-0.00011619739234447479,,1763260093.9190361,648.0,126.79905700683594,0.6142563819885254,0.00029608295881189406,0.0,37.89242506027222,0.30945008993148804,-5.885213613510132e-05
7680,4.0275976061820984e-05,,172,-0.0014275405555963516,,1763260096.2011526,612.0,125.23666381835938,0.5766691565513611,0.0002954685187432915,0.0,40.17454147338867,0.052818357944488525,0.00056510791182518
9088,0.0012300563976168633,,195,0.008198079653084278,,1763260099.2342994,583.0,84.22488403320312,0.5506417751312256,0.000294623663648963,0.0,43.207688331604004,0.10151827335357666,-0.0031220316886901855
9600,1.7017126083374023e-05,,203,-0.0010864250361919403,,1763260100.1708212,581.0,178.99557495117188,0.617887020111084,0.0002943164436146617,0.0,44.14421010017395,0.44370800256729126,-0.0001579076051712036
10368,1.0261312127113342e-05,,213,0.00015841424465179443,,1763260101.4028866,584.0,247.5587158203125,0.6284410953521729,0.00029385561356320977,0.0,45.37627553939819,-0.0015522241592407227,-2.2076070308685303e-05
10664,,132.0,217,,132.0,1763260101.8412209,,,,,,45.81460976600647,,
