losses/value_loss,charts/learning_rate,losses/old_approx_kl,charts/episodic_return,_step,charts/SPS,global_step,losses/clipfrac,losses/approx_kl,losses/explained_variance,losses/policy_loss,charts/episodic_length,losses/entropy,_timestamp,_runtime
,,,,0,,0,,,,,,,1763260084.2029974,28.025818347930908
,,,15.0,7,,126,,,,,15.0,,1763260085.07269,28.89551091194153
,,,27.0,33,,592,,,,,27.0,,1763260085.777351,29.6001718044281
85.15033721923828,0.0002996159892063588,-0.015957608819007874,,41,715.0,768,0.0,0.0017812550067901611,-0.005109906196594238,0.008542738854885101,,0.6685965061187744,1763260086.092633,29.915453910827637
,,,29.0,47,,913,,,,,29.0,,1763260086.455965,30.278785943984985
,,,74.0,64,,1553,,,,,74.0,,1763260087.9101555,31.73297643661499
198.2393341064453,0.0002989247441291809,0.011730872094631195,,74,507.0,1920,0.0,0.0018156059086322784,0.027111709117889404,0.0006611719727516174,,0.6155674457550049,1763260088.7984393,32.62126016616821
134.26405334472656,0.0002988479391206056,-0.003112019971013069,,77,505.0,2048,0.0,0.0007505360990762711,0.003195464611053467,-0.00017349421977996826,,0.5855499505996704,1763260089.0675,32.890321016311646
65.8526611328125,0.00029861752409487963,-0.001151885837316513,,88,488.0,2432,0.0,2.1534040570259094e-05,-0.015059709548950195,-0.0003384072333574295,,0.5313131213188171,1763260089.9943905,33.817211389541626
,,,69.0,102,,3097,,,,,69.0,,1763260091.3488336,35.17165446281433
388.8316955566406,0.0002980798890348524,-0.0008490830659866333,,104,495.0,3328,0.0,0.00013540126383304596,0.0423741340637207,0.0020734667778015137,,0.5901654958724976,1763260091.7394907,35.56231164932251
339.2816467285156,0.0002970046189147979,-0.0027234982699155807,,133,476.0,5120,0.0,0.00038324855268001556,0.1474759578704834,0.013627618551254272,,0.5923922657966614,1763260095.7621863,39.585007190704346
,,,219.0,147,,6044,,,,,219.0,,1763260097.9180083,41.74082922935486
,,,158.0,149,,6202,,,,,158.0,,1763260098.2092698,42.03209066390991
155.34352111816406,0.00029631337383762,-0.005595436319708824,,150,466.0,6272,0.0,0.0002883598208427429,0.26439470052719116,0.00177747942507267,,0.5747227072715759,1763260098.4561813,42.27900218963623
236.22874450683594,0.00029608295881189406,-0.0016477042809128761,,155,470.0,6656,0.0,0.00022416096180677414,0.2563785910606384,-0.00666944682598114,,0.567495584487915,1763260099.1662602,42.989081144332886
,,,55.0,157,,6728,,,,,55.0,,1763260099.259402,43.0822229385376
,,,36.0,172,,7629,,,,,36.0,,1763260101.000016,44.82283687591553
64.64505004882812,0.000294623663648963,0.006236748769879341,,195,484.0,9088,0.0,0.0006665736436843872,0.27036309242248535,-0.0064884331077337265,,0.6095278263092041,1763260103.7664747,47.589295625686646
245.43038940429688,0.0002942396386060864,-0.0005389824509620667,,203,490.0,9728,0.0,2.004392445087433e-05,0.03695744276046753,0.0007058437913656235,,0.5508766770362854,1763260104.8536727,48.676493644714355
,,,102.0,213,,10480,,,,,102.0,,1763260106.0485117,49.87133264541626
,,,201.0,217,,10728,,,,,201.0,,1763260106.513819,50.33663988113403
137.90811157226562,0.0002932411734946072,-0.0015309583395719528,,228,498.0,11392,0.0,3.4961849451065063e-05,0.20295864343643188,0.0018639229238033295,,0.6037675738334656,1763260107.8633668,51.686187744140625
111.30606842041016,0.00029301075846888125,-0.003506995737552643,,233,501.0,11776,0.0,0.00011511705815792084,0.057603657245635986,0.003191426396369934,,0.5668131113052368,1763260108.5093894,52.332210302352905
,,,174.0,251,,12892,,,,,174.0,,1763260110.521162,54.34398293495178
92.00663757324219,0.0002920890983659774,0.006379713304340839,,259,504.0,13312,0.0,0.00015607941895723343,0.01645725965499878,-0.003603558987379074,,0.5714994072914124,1763260111.417735,55.24055600166321
,,,230.0,265,,13751,,,,,230.0,,1763260112.1004622,55.923283100128174
109.31559753417969,0.00029147465829737484,-0.0003936244174838066,,273,509.0,14336,0.0,0.0005780896171927452,0.8118601441383362,0.002041054889559746,,0.5686558485031128,1763260113.1423337,56.96515464782715
,,,172.0,274,,14338,,,,,172.0,,1763260113.1805336,57.00335454940796
190.7735137939453,0.0002906298032030463,-0.001372750848531723,,292,514.0,15744,0.0,1.8086284399032593e-05,0.04534721374511719,0.0014817602932453156,,0.5611470937728882,1763260115.6193326,59.442153453826904
,,,59.0,321,,17921,,,,,59.0,,1763260119.5548508,63.37767171859741
93.00714111328125,0.0002890168980229646,-0.0005788486450910568,,327,521.0,18432,0.0,6.180070340633392e-05,0.03380179405212402,0.0008235685527324677,,0.5892743468284607,1763260120.3854725,64.20829343795776
,,,286.0,330,,18711,,,,,286.0,,1763260120.8006818,64.62350273132324
44.287174224853516,0.00028878648299723864,0.007111246697604656,,332,522.0,18816,0.0,0.00030448008328676224,0.6172544956207275,-0.0001236163079738617,,0.5641058087348938,1763260121.0322618,64.85508275032043
147.09056091308594,0.00028847926296293736,-0.0014365073293447495,,337,524.0,19328,0.0,8.786097168922424e-05,-0.001948237419128418,-0.001223921775817871,,0.5952429175376892,1763260121.8723009,65.69512176513672
146.37831115722656,0.0002883256529457867,-0.003047201782464981,,340,525.0,19584,0.0,0.00014297477900981903,0.006620526313781738,0.0005006119608879089,,0.592126727104187,1763260122.266186,66.08900690078735
188.92140197753906,0.00028701996780000627,0.0016513736918568611,,370,533.0,21760,0.0,3.0248425900936127e-05,0.010587573051452637,-0.0021834317594766617,,0.5307862162590027,1763260125.7803497,69.60317063331604
