global_step,losses/entropy,losses/clipfrac,_timestamp,losses/approx_kl,losses/policy_loss,_runtime,charts/SPS,_step,losses/value_loss,losses/explained_variance,losses/old_approx_kl,charts/episodic_return,charts/learning_rate,charts/episodic_length
34419,,,1763260144.3523018,,,88.09437775611877,,530,,,,180.0,,180.0
35072,0.6129215955734253,0.0,1763260145.561714,0.0008308747783303261,0.002791721373796463,89.30378985404968,566.0,539,28.41410255432129,0.7452236413955688,-0.0012958711013197899,,0.00027903224690817297,
35712,0.5906513929367065,0.0,1763260146.6362548,0.0008672410622239113,-0.017803408205509186,90.37833070755005,567.0,547,32.574771881103516,0.8288068771362305,0.004643411375582218,,0.00027864822186529636,
36351,,,1763260147.5479808,,,91.29005670547485,,555,,,,145.0,,145.0
36576,,,1763260148.026304,,,91.76837992668152,,559,,,,162.0,,162.0
37152,,,1763260149.1307085,,,92.87278437614441,,568,,,,127.0,,127.0
39262,,,1763260152.638969,,,96.38104486465454,,595,,,,168.0,,168.0
40576,0.5702993273735046,0.0,1763260154.9772313,0.0009436691179871559,0.0011866912245750427,98.71930718421936,568.0,612,8.158413887023926,0.9636257886886597,0.01927296444773674,,0.00027572966064326465,
40793,,,1763260155.2322366,,,98.97431254386902,,614,,,,219.0,,219.0
42240,0.6250486373901367,0.0,1763260157.7161753,1.2696720659732819e-05,0.001100623980164528,101.45825123786926,570.0,630,13.085470199584961,0.9426611065864563,-0.0001847716048359871,,0.0002747311955317855,
42752,0.5269179940223694,0.0,1763260158.5096116,8.668564260005951e-05,-0.0012630783021450043,102.25168752670288,571.0,636,10.363112449645996,0.8660869598388672,-0.0035695675760507584,,0.0002744239754974842,
43136,0.5331907272338867,0.0,1763260159.1259162,6.340164691209793e-05,0.0009258687496185303,102.86799216270447,571.0,640,14.48266887664795,0.8335596323013306,0.0015144599601626396,,0.00027419356047175825,
44157,,,1763260160.5912578,,,104.33333373069763,,650,,,,500.0,,500.0
45440,0.5491867065429688,0.0,1763260162.8177207,0.0013800766319036484,-0.025198495015501976,106.55979657173157,573.0,664,380.10345458984375,-0.002342700958251953,0.007329942658543587,,0.0002728110703174025,
47360,0.48906031250953674,0.0,1763260165.8645384,9.189266711473465e-05,-0.0012719854712486267,109.60661435127258,576.0,684,634.281494140625,0.01270592212677002,1.4374963939189911e-05,,0.0002716589951887727,
47872,0.5541263818740845,0.0,1763260166.6405966,0.000911317765712738,-0.019605912268161774,110.38267254829407,576.0,689,15.317048072814941,-0.6397790908813477,0.006970267742872238,,0.0002713517751544714,
48640,0.5199631452560425,0.00390625,1763260167.9441507,0.0009210370481014252,0.0005681067705154419,111.68622660636902,577.0,698,302.58355712890625,0.025201737880706787,0.010203974321484566,,0.0002708909451030195,
49118,,,1763260168.5466328,,,112.28870868682861,,702,,,,500.0,,500.0
49618,,,1763260169.374371,,,113.11644697189331,,707,,,,500.0,,500.0
51840,0.5579968690872192,0.0,1763260173.144463,0.0008334890007972717,-0.010691951960325241,116.88653898239136,579.0,729,8.474836349487305,0.4093616008758545,-0.013629605993628502,,0.00026897081988863647,
54404,,,1763260177.3380477,,,121.08012366294861,,757,,,,406.0,,406.0
