losses/clipfrac,losses/approx_kl,losses/policy_loss,losses/old_approx_kl,charts/episodic_return,charts/SPS,_step,losses/explained_variance,charts/learning_rate,losses/value_loss,_timestamp,global_step,_runtime,charts/episodic_length,losses/entropy
,,,,,,0,,,,1763260082.8197656,0,26.64339852333069,,
,,,,21.0,,7,,,,1763260083.7287223,102,27.55235528945923,21.0,
,,,,47.0,,33,,,,1763260084.3796227,619,28.203255653381348,47.0,
,,,,34.0,,41,,,,1763260084.6164935,869,28.440126419067383,34.0,
0.0,0.0005032112821936607,-0.007379963994026184,-0.0017992323264479637,,877.0,47,-0.020897269248962402,0.00029946237918920815,120.12385559082031,1763260084.819446,1024,28.643079042434692,,0.6765127182006836
,,,,28.0,,64,,,,1763260085.3305795,1423,29.154212474822998,28.0,
0.0,0.00023529678583145142,-0.012021102011203766,-0.0029111988842487335,,840.0,74,-0.003049015998840332,0.00029900154913775623,331.510986328125,1763260085.7848215,1792,29.60845446586609,,0.654456615447998
,,,,19.0,,77,,,,1763260085.8336122,1905,29.65724515914917,19.0,
,,,,76.0,,88,,,,1763260086.6969147,2379,30.52054762840271,76.0,
0.0,0.0007289126515388489,-0.005891865119338036,0.005358073860406876,,660.0,102,0.0026072263717651367,0.00029831030406057835,78.51863098144531,1763260088.1115932,2944,31.93522620201111,,0.5359112620353699
,,,,46.0,,104,,,,1763260088.2097394,3027,32.03337240219116,46.0,
,,,,113.0,,133,,,,1763260091.6931453,4589,35.516778230667114,113.0,
,,,,173.0,,147,,,,1763260093.8381698,5478,37.661802768707275,173.0,
0.0,9.296461939811707e-06,0.0006882473826408386,-0.001186821609735489,,524.0,149,0.0372084379196167,0.0002966973988804966,335.7835998535156,1763260094.387276,5632,38.21090888977051,,0.5709547996520996
,,,,186.0,,150,,,,1763260094.4486854,5664,38.2723183631897,186.0,
,,,,181.0,,155,,,,1763260095.4343464,6126,39.25797939300537,181.0,
,,,,72.0,,157,,,,1763260095.7713628,6198,39.594995737075806,72.0,
0.0,4.46271151304245e-05,-0.004097761586308479,-0.0009036865085363388,,487.0,172,0.007207512855529785,0.0002957757387775928,138.5727081298828,1763260098.3516226,7168,42.17525553703308,,0.5804363489151001
0.0,1.1301599442958832e-05,-0.002849884331226349,0.0016351183876395226,,484.0,195,0.02931612730026245,0.00029485407867468894,111.16956329345703,1763260101.6269972,8704,45.45063018798828,,0.5834577083587646
,,,,128.0,,203,,,,1763260102.6372647,9298,46.46089768409729,128.0,
0.0,0.0004071854054927826,0.0017657354474067688,-0.00030927546322345734,,486.0,213,0.052587926387786865,0.00029416283359751105,57.08422088623047,1763260103.928781,9856,47.7524139881134,,0.581884503364563
,,,,121.0,,217,,,,1763260104.3012905,10097,48.12492346763611,121.0,
,,,,194.0,,228,,,,1763260105.792876,10839,49.61650896072388,194.0,
0.0,0.00021336320787668228,-0.010522664524614811,0.0027906475588679314,,486.0,233,0.29448121786117554,0.00029339478351175785,103.84148406982422,1763260106.5252223,11136,50.3488552570343,,0.611633837223053
0.0,4.41279262304306e-05,-0.000782649964094162,0.000960109755396843,,488.0,251,0.11751961708068848,0.00029270353843457997,95.52713775634766,1763260108.8289351,12288,52.652568101882935,,0.5903780460357666
,,,,193.0,,259,,,,1763260109.7396681,12757,53.56330108642578,193.0,
,,,,70.0,,265,,,,1763260110.5149343,13163,54.33856725692749,70.0,
0.0,4.4764019548892975e-05,-0.0035880133509635925,0.0007740659639239311,,488.0,273,0.031172335147857666,0.00029185868334025145,114.43354797363281,1763260111.7067366,13696,55.53036952018738,,0.6010711193084717
,,,,103.0,,274,,,,1763260111.757658,13781,55.58129096031189,103.0,
0.0,0.001312457025051117,-0.004110284149646759,-0.0008286070078611374,,493.0,292,-0.0013477802276611328,0.0002908602182287723,217.22640991210938,1763260114.7513423,15360,58.57497525215149,,0.5754402279853821
,,,,104.0,,321,,,,1763260118.6728098,17219,62.496442794799805,104.0,
,,,,104.0,,327,,,,1763260119.4737139,17589,63.29734683036804,104.0,
,,,,88.0,,330,,,,1763260119.8009238,17763,63.62455677986145,88.0,
0.0,4.292372614145279e-05,-0.0016886591911315918,-0.0006782812997698784,,490.0,332,0.03225255012512207,0.0002893241180572659,154.66781616210938,1763260120.202029,17920,64.02566194534302,,0.5929427742958069
,,,,140.0,,337,,,,1763260120.760022,18195,64.58365488052368,140.0,
,,,,96.0,,340,,,,1763260121.0551286,18329,64.87876152992249,96.0,
,,,,172.0,,370,,,,1763260124.9152994,20465,68.73893237113953,172.0,
0.0,9.295623749494553e-05,0.0010708533227443695,-0.002219296060502529,,494.0,375,-0.0023883581161499023,0.00028763440786860883,106.38825988769531,1763260125.5478156,20736,69.3714485168457,,0.5498558282852173
0.0,0.0006072595715522766,0.002787340432405472,-0.004614613950252533,,499.0,396,0.202689528465271,0.00028655913774855435,122.11546325683594,1763260128.7168126,22528,72.54044556617737,,0.5828384757041931
,,,,168.0,,425,,,,1763260133.3372707,24715,77.16090369224548,168.0,
0.0,0.00019663851708173752,-0.00358551274985075,-0.0028767650946974754,,492.0,441,-0.08270382881164551,0.000284562207525596,94.78845977783203,1763260136.1107385,25856,79.93437147140503,,0.5497874021530151
0.0,6.660167127847672e-05,0.002008313313126564,-4.103872925043106e-05,,492.0,450,0.8866639733314514,0.0002841781824827194,22.19760513305664,1763260137.455085,26496,81.27871799468994,,0.6105178594589233
0.0,0.000943351536989212,-0.015554286539554596,0.01100839301943779,,492.0,471,0.9097391963005066,0.0002833333273883909,33.72810745239258,1763260140.2990537,27904,84.12268662452698,,0.6341456770896912
0.0,0.0014393851161003113,-0.002265677787363529,-0.009140463545918465,,493.0,481,0.6200532913208008,0.000282872497336939,82.33349609375,1763260141.798122,28672,85.62175488471985,,0.577164888381958
,,,,162.0,,490,,,,1763260143.0796416,29366,86.90327453613281,162.0,
0.0,0.0016619805246591568,-0.007964197546243668,-0.022766467183828354,,494.0,504,0.8995113372802734,0.0002818740322254598,35.33466339111328,1763260145.0219357,30336,88.84556865692139,,0.5940496325492859
,,,,108.0,,515,,,,1763260146.5043223,31152,90.32795524597168,108.0,
0.0,1.410115510225296e-05,-0.00018564891070127487,0.0005772290751338005,,497.0,530,0.42019373178482056,0.00028056834707967937,69.58992004394531,1763260149.0045574,32512,92.82819032669067,,0.5859405994415283
,,,,121.0,,539,,,,1763260150.245703,33200,94.0693359375,121.0,
0.03515625,0.003635890781879425,0.013781536370515823,-0.004674296826124191,,498.0,547,0.8937915563583374,0.00027980029699392617,32.44976806640625,1763260151.438538,33792,95.26217103004456,,0.5365155935287476
0.044921875,0.007805182598531246,-0.0276128351688385,0.032297004014253616,,499.0,555,0.8325710892677307,0.00027933946694247425,60.03818893432617,1763260152.7869558,34560,96.6105887889862,,0.6127340793609619
,,,,355.0,,559,,,,1763260153.309959,34920,97.13359189033508,355.0,
0.01171875,0.008849531412124634,-0.010851554572582245,0.001076502725481987,,501.0,568,0.8692178130149841,0.00027864822186529636,51.085052490234375,1763260154.8961484,35712,98.7197813987732,,0.6228924989700317
0.0,0.0009179478511214256,0.01143123209476471,-0.015207733027637005,,503.0,595,0.9398758411407471,0.0002772657317109406,23.006763458251953,1763260159.108028,38016,102.93166089057922,,0.5500262379646301
,,,,208.0,,612,,,,1763260161.9107063,39597,105.73433923721313,208.0,
0.0,0.0016515254974365234,0.000557485967874527,0.01082422025501728,,505.0,614,0.9670897126197815,0.00027619049069471657,16.76984214782715,1763260162.3351831,39808,106.15881609916687,,0.592077374458313
,,,,500.0,,630,,,,1763260164.9343333,41320,108.75796627998352,500.0,
0.0,3.7997961044311523e-07,0.00010356307029724121,0.0004421025514602661,,508.0,636,-0.022618412971496582,0.00027496161055751145,33.328006744384766,1763260166.0196698,41856,109.8433027267456,,0.5404719710350037
0.0,0.00022541172802448273,-0.006956759840250015,-0.0036297738552093506,,508.0,640,0.05300217866897583,0.0002747311955317855,30.220802307128906,1763260166.7102406,42240,110.53387355804443,,0.5967903137207031
,,,,285.0,,650,,,,1763260168.2079816,43133,112.03161454200745,285.0,
0.0,0.00048450008034706116,-0.008043713867664337,0.005101785063743591,,509.0,664,0.685368001461029,0.00027342551038600504,12.992030143737793,1763260170.7522786,44416,114.57591152191162,,0.5278998017311096
0.0,3.1478703022003174e-07,6.0170888900756836e-05,0.0002609323710203171,,511.0,684,-0.00724029541015625,0.00027227343525737524,16.70388412475586,1763260174.2610621,46336,118.0846951007843,,0.45450878143310547
0.0,4.376005381345749e-05,-0.00011273473501205444,0.001161147840321064,,511.0,689,0.9612534642219543,0.00027196621522307396,8.190322875976562,1763260175.1671205,46848,118.9907534122467,,0.504402756690979
