losses/approx_kl,losses/value_loss,losses/entropy,losses/clipfrac,losses/policy_loss,charts/learning_rate,global_step,losses/old_approx_kl,charts/episodic_length,losses/explained_variance,charts/SPS,_timestamp,charts/episodic_return,_step,_runtime
3.263354301452637e-05,97.01811218261719,0.5836167335510254,0.0,0.0033683739602565765,0.0002932411734946072,11392,-4.6016648411750793e-05,,0.03701859712600708,564.0,1763260103.9343061,,217,47.67387318611145
,,,,,,12103,,147.0,,,1763260105.1633372,147.0,228,48.90290427207947
0.001446496695280075,178.55740356445312,0.5874963998794556,0.0,-0.003613445907831192,0.00029262673342600465,12416,0.017646025866270065,,0.007268846035003662,562.0,1763260105.8008325,,233,49.5403995513916
,,,,,,13684,,95.0,,,1763260107.9594102,95.0,251,51.69897723197937
,,,,,,14073,,36.0,,,1763260108.737606,36.0,259,52.47717308998108
0.00219525583088398,84.75686645507812,0.5842422842979431,0.0,-0.015109792351722717,0.0002913978532887995,14464,0.029773708432912827,,0.020600616931915283,558.0,1763260109.644809,,265,53.38437604904175
8.578971028327942e-05,68.73174285888672,0.5484692454338074,0.0,0.003535868600010872,0.00029109063325449824,14976,-0.0011092331260442734,,0.16499680280685425,557.0,1763260110.616058,,273,54.35562515258789
,,,,,,15040,,123.0,,,1763260110.6578975,123.0,274,54.39746451377869
0.0006695939227938652,182.8419189453125,0.52574223279953,0.0,0.013951584696769714,0.0002901689731515944,16512,-0.010717825032770634,,0.053313612937927246,561.0,1763260113.162174,,292,56.90174102783203
2.0099803805351257e-05,107.97720336914062,0.5002536773681641,0.0,-0.0019109845161437988,0.0002890168980229646,18432,0.0014273785054683685,,0.20539122819900513,557.0,1763260116.7809086,,321,60.52047562599182
2.5034882128238678e-05,113.81745910644531,0.5543954968452454,0.0,0.0014601126313209534,0.00028878648299723864,18816,-0.0005631623789668083,,0.23855412006378174,556.0,1763260117.522445,,327,61.262012004852295
,,,,,,18985,,149.0,,,1763260117.824679,149.0,330,61.56424593925476
0.002441451884806156,88.42250061035156,0.5655407309532166,0.0,0.0011122077703475952,0.000288632872980088,19072,-0.0043262699618935585,,0.4971218705177307,555.0,1763260118.0580056,,332,61.79757261276245
,,,,,,19427,,127.0,,,1763260118.5832725,127.0,337,62.3228394985199
0.0021019289270043373,47.275577545166016,0.6007086038589478,0.0,-0.016073990613222122,0.0002883256529457867,19584,0.0006757462397217751,,0.9405924677848816,554.0,1763260119.0267715,,340,62.76633858680725
0.002540680579841137,24.316213607788086,0.5675210356712341,0.0078125,0.012839149683713913,0.0002870967728085816,21632,0.0022665029391646385,,0.7576302886009216,554.0,1763260122.7494714,,370,66.48903846740723
,,,,,,21931,,183.0,,,1763260123.2539487,183.0,375,66.99351572990417
0.0002246461808681488,48.388999938964844,0.5848618149757385,0.0,-0.003651503473520279,0.0002859446976799518,23552,0.002441486343741417,,0.48723548650741577,559.0,1763260125.853226,,396,69.59279298782349
0.0018656319007277489,87.8791732788086,0.5758861899375916,0.0,-0.008187606930732727,0.00028433179249987006,26240,-0.0014601396396756172,,0.18612629175186157,564.0,1763260130.2422109,,425,73.98177790641785
0.004656235687434673,171.68104553222656,0.5137004852294922,0.0078125,0.010474875569343567,0.0002834101323969662,27776,0.03469735011458397,,0.05874890089035034,563.0,1763260133.003938,,441,76.74350500106812
3.1649135053157806e-05,38.0531005859375,0.6104381084442139,0.0,-0.0012371372431516647,0.000282872497336939,28672,-0.0039840033277869225,,0.7156211137771606,561.0,1763260134.8056679,,450,78.54523491859436
0.00037762708961963654,61.778907775878906,0.5542162656784058,0.0,-0.0008529052138328552,0.0002818740322254598,30336,0.0015479587018489838,,0.36583054065704346,558.0,1763260138.054447,,471,81.79401397705078
0.013950309716165066,72.70511627197266,0.5362886786460876,0.091796875,0.04424784332513809,0.00028133639716543257,31232,0.02965705841779709,,0.5808485746383667,558.0,1763260139.6348877,,481,83.3744547367096
0.0003263624384999275,51.37152099609375,0.5857760310173035,0.0,0.007505333051085472,0.00028087556711398065,32000,-0.007434907369315624,,0.3235175609588623,559.0,1763260140.9664912,,490,84.70605826377869
4.287064075469971e-05,52.31852340698242,0.541403591632843,0.0,-0.002076912671327591,0.00028010751702822745,33280,-0.0024988222867250443,,0.17032629251480103,560.0,1763260143.1324375,,504,86.87200450897217
0.0007307678461074829,48.43235778808594,0.5387913584709167,0.0,-0.0026802271604537964,0.0002794930769596249,34304,0.00923340767621994,,0.45313185453414917,562.0,1763260144.7758942,,515,88.51546120643616
8.93324613571167e-06,114.0208740234375,0.5198078155517578,0.0,-0.000754334032535553,0.00027864822186529636,35712,0.0006694216281175613,,0.48226940631866455,564.0,1763260147.0475547,,530,90.78712177276611
0.00017428025603294373,51.883460998535156,0.5786992311477661,0.0,-0.0017105378210544586,0.0002781105868052691,36608,0.001851692795753479,,-0.6536837816238403,565.0,1763260148.484346,,539,92.22391295433044
,,,,,,37335,,160.0,,,1763260149.6033506,160.0,547,93.34291768074036
,,,,,,38049,,214.0,,,1763260150.8490536,214.0,555,94.58862066268921
