charts/episodic_length,_runtime,losses/clipfrac,losses/explained_variance,_step,_timestamp,losses/approx_kl,losses/value_loss,losses/policy_loss,charts/SPS,charts/learning_rate,charts/episodic_return,global_step,losses/entropy,losses/old_approx_kl
,45.3091561794281,0.0,-0.01286470890045166,217,1763260101.5567071,0.0004472527652978897,100.512451171875,-0.005397818982601166,500.0,0.0002947004686575383,,8960,0.5896884799003601,0.004412401467561722
,46.81413221359253,0.02734375,-0.02878248691558838,228,1763260103.0616832,0.0006009172648191452,251.0159454345703,0.004443492740392685,507.0,0.00029416283359751105,,9856,0.5732635259628296,0.005282346159219742
47.0,47.18774724006653,,,233,1763260103.4352982,,,,,,47.0,10085,,
75.0,49.327380657196045,,,251,1763260105.5749316,,,,,,75.0,11202,,
,50.27659583091736,0.0,0.030880510807037354,259,1763260106.5241468,0.00024510081857442856,90.66350555419922,-0.0010405462235212326,509.0,0.00029308756347745657,,11648,0.5564088225364685,-0.00444007758051157
,50.965147972106934,0.0,0.23254656791687012,265,1763260107.212699,8.411798626184464e-05,115.47517395019531,0.005091287195682526,510.0,0.0002928571484517306,,12032,0.6049286127090454,-0.004714748822152615
,51.7590217590332,0.0,0.026786744594573975,273,1763260108.0065727,5.346164107322693e-05,121.87096405029297,-0.00295189768075943,509.0,0.00029262673342600465,,12416,0.5905318260192871,-0.00018529221415519714
127.0,51.80245065689087,,,274,1763260108.0500016,,,,,,127.0,12474,,
27.0,54.116581201553345,,,292,1763260110.3641322,,,,,,27.0,13797,,
88.0,58.04646873474121,,,327,1763260114.2940197,,,,,,88.0,15775,,
257.0,58.46531319618225,,,330,1763260114.7128642,,,,,,257.0,16032,,
147.0,58.71319580078125,,,332,1763260114.9607468,,,,,,147.0,16179,,
176.0,59.254239320755005,,,337,1763260115.5017903,,,,,,176.0,16497,,
,59.83767771720886,0.0,0.0034169554710388184,340,1763260116.0852287,0.00030333641916513443,182.11131286621094,-0.00018081814050674438,517.0,0.00029001536313444376,,16768,0.6223150491714478,0.0043422756716609
136.0,63.531965255737305,,,370,1763260119.7795162,,,,,,136.0,18756,,
44.0,66.44516587257385,,,396,1763260122.6927168,,,,,,44.0,20249,,
,69.8964056968689,0.0,0.06064939498901367,425,1763260126.1439567,9.27625223994255e-05,105.02423095703125,0.0032311566174030304,527.0,0.00028663594275712967,,22400,0.6008951663970947,-1.254212111234665e-05
238.0,71.86638164520264,,,441,1763260128.1139326,,,,,,238.0,23611,,
283.0,73.02239918708801,,,450,1763260129.2699502,,,,,,283.0,24286,,
296.0,76.02557039260864,,,471,1763260132.2731214,,,,,,296.0,25887,,
,77.74414777755737,0.0,0.8044061064720154,481,1763260133.9916987,0.00015552155673503876,79.43800354003906,0.00328759104013443,531.0,0.0002840245724655688,,26752,0.5463764667510986,-0.002228718250989914
,79.18808460235596,0.0,0.8724185228347778,490,1763260135.4356356,0.001760365441441536,20.75859260559082,-0.004881709814071655,528.0,0.0002836405474226922,,27392,0.6038082242012024,0.010680070146918297
,81.54028940200806,0.0,0.24420100450515747,504,1763260137.7878404,0.0019804993644356728,106.59278106689453,0.007547348737716675,529.0,0.000282872497336939,,28672,0.5722475647926331,-0.007428375072777271
,83.11866855621338,0.0,0.921033501625061,515,1763260139.3662195,9.359046816825867e-05,21.64655303955078,-0.0023658648133277893,530.0,0.00028233486227691174,,29568,0.6220177412033081,-0.0004989597946405411
,85.49613118171692,0.00390625,0.6701720952987671,530,1763260141.7436821,0.002170155756175518,30.833633422851562,0.006231080740690231,533.0,0.0002814900071825832,,30976,0.6161573529243469,-0.006974591873586178
319.0,86.65695881843567,,,539,1763260142.9045098,,,,,,319.0,31678,,
239.0,87.75818061828613,,,547,1763260144.0057316,,,,,,239.0,32337,,
,88.99020528793335,0.0,0.8952450752258301,555,1763260145.2377563,0.00035124458372592926,15.396671295166016,-0.00015375763177871704,536.0,0.0002802611270453781,,33024,0.6089557409286499,-0.003614356741309166
,89.45218682289124,0.0,0.9763230681419373,559,1763260145.6997378,0.00037999730557203293,30.10146713256836,-0.011461332440376282,536.0,0.00028010751702822745,,33280,0.639884889125824,0.007941472344100475
,90.88280415534973,0.0,-0.5403672456741333,568,1763260147.1303551,0.00011423323303461075,73.25619506835938,0.0012906193733215332,538.0,0.0002795698819682002,,34176,0.5709846615791321,0.0013549989089369774
,94.38829350471497,0.0,0.10725575685501099,595,1763260150.6358445,0.0003437381237745285,174.97567749023438,-0.0010487660765647888,540.0,0.0002783410018309951,,36224,0.5991164445877075,-0.0023604650050401688
,96.4726333618164,0.0,0.001757800579071045,612,1763260152.7201843,4.134979099035263e-05,324.3365173339844,-0.00034824199974536896,541.0,0.0002776497567538172,,37376,0.5430096983909607,0.0007192390039563179
285.0,96.7103021144867,,,614,1763260152.957853,,,,,,285.0,37629,,
61.0,98.7787036895752,,,630,1763260155.0262547,,,,,,61.0,38781,,
,99.81484055519104,0.0,0.12628042697906494,636,1763260156.0623915,9.556114673614502e-05,51.45797348022461,-0.0008638426661491394,542.0,0.0002764976816251874,,39296,0.6070939898490906,0.0008389502763748169
194.0,100.30852246284485,,,640,1763260156.5560734,,,,,,194.0,39579,,
283.0,101.7733747959137,,,650,1763260158.0209258,,,,,,283.0,40550,,
171.0,103.56342697143555,,,664,1763260159.810978,,,,,,171.0,41587,,
460.0,106.68250799179077,,,684,1763260162.930059,,,,,,460.0,43438,,
87.0,107.17536306381226,,,689,1763260163.422914,,,,,,87.0,43667,,
,108.61586809158325,0.0,0.09296119213104248,698,1763260164.863419,6.901100277900696e-07,41.55255889892578,-0.00031508132815361023,548.0,0.0002733487053774297,,44544,0.6507236957550049,1.5129335224628448e-05
,109.240407705307,0.0,0.8531146049499512,702,1763260165.4879587,0.00016997847706079483,40.45625686645508,-0.0022246763110160828,549.0,0.00027311829035170376,,44928,0.6096292734146118,-0.0031091878190636635
357.0,109.91147947311401,,,707,1763260166.1590304,,,,,,357.0,45427,,
,113.14255619049072,0.0,0.02495032548904419,729,1763260169.3901072,2.9121525585651398e-05,25.924823760986328,-0.0034289024770259857,550.0,0.000271735800197348,,47232,0.5980136394500732,0.00152676273137331
,117.2445297241211,0.001953125,-0.0014011859893798828,757,1763260173.4920807,0.0025784699246287346,27.87244987487793,-0.0025574862957000732,552.0,0.0002702765050344169,,49664,0.5485681295394897,0.004291473887860775
,118.08253979682922,0.0,5.6862831115722656e-05,762,1763260174.3300908,3.459397703409195e-05,22.652681350708008,-0.0020145410671830177,553.0,0.00026996928500011563,,50176,0.5843556523323059,0.0016133962199091911
,118.92386722564697,0.0,-0.0011042356491088867,767,1763260175.1714182,2.3759901523590088e-05,21.230436325073242,0.0005403906106948853,553.0,0.00026966206496581435,,50688,0.5274807810783386,0.0008860155940055847
500.0,120.15017652511597,,,775,1763260176.3977275,,,,,,500.0,51503,,
,122.36677074432373,0.0,0.48811012506484985,788,1763260178.6143217,0.00012632552534341812,32.04381561279297,0.0019522011280059814,556.0,0.0002683563798200339,,52864,0.5627554655075073,0.005936506204307079
,123.80415749549866,0.0,0.045726895332336426,797,1763260180.0517085,3.4440308809280396e-05,16.084693908691406,0.0011861100792884827,557.0,0.00026781874476000667,,53760,0.5054119229316711,-0.0004083216190338135
,125.17500901222229,0.0,0.009909272193908691,806,1763260181.42256,8.044857531785965e-05,16.878978729248047,-0.005284082144498825,559.0,0.0002672811096999794,,54656,0.5208221077919006,0.001959742046892643
,126.53762221336365,0.0,-0.006898999214172363,815,1763260182.7851732,0.00041902437806129456,346.7626037597656,0.0025635994970798492,560.0,0.0002667434746399522,,55552,0.5732084512710571,-0.0022775717079639435
,133.92178058624268,0.0,0.10800212621688843,863,1763260190.1693316,8.90018418431282e-05,7.805928707122803,-0.0005416609346866608,565.0,0.00026390168932266533,,60288,0.5773285031318665,0.0002608606591820717
,135.30475211143494,0.0,0.015263378620147705,872,1763260191.552303,0.00033745449036359787,264.5092468261719,-0.003124415874481201,567.0,0.0002633640542626381,,61184,0.5667567253112793,0.00552565511316061
500.0,135.899653673172,,,876,1763260192.1472046,,,,,,500.0,61575,,
,142.91535139083862,0.0,-0.12755703926086426,922,1763260199.1629024,0.0014325929805636406,1.8207728862762451,-0.007559545338153839,574.0,0.0002602918539196253,,66304,0.5445247888565063,0.011668660677969456
,144.09701323509216,0.0,0.15904182195663452,930,1763260200.3445642,0.00014101993292570114,1.8672444820404053,-0.0036134980618953705,574.0,0.00025983102386817336,,67072,0.4778020679950714,0.0020543737336993217
500.0,145.24936509132385,,,938,1763260201.496916,,,,,,500.0,67866,,
,145.80053639411926,0.0,-0.04928779602050781,941,1763260202.0480874,0.00010429881513118744,0.888568639755249,0.0005022063851356506,576.0,0.0002591397787909955,,68224,0.5427666902542114,-0.004122830927371979
,145.981520652771,0.0,-0.00847470760345459,942,1763260202.2290716,0.0005502942949533463,0.899202287197113,0.00013360381126403809,576.0,0.00025906297378242016,,68352,0.5094742774963379,-0.0037166979163885117
500.0,146.72422552108765,,,948,1763260202.9717765,,,,,,500.0,68866,,
,150.63599801063538,0.0,-0.0057610273361206055,974,1763260206.883549,0.0006472775712609291,0.10258396714925766,-0.0017812103033065796,580.0,0.00025714284856803715,,71552,0.5551270842552185,0.0010769525542855263
500.0,151.4239158630371,,,980,1763260207.6714668,,,,,,500.0,72092,,
500.0,152.17113733291626,,,985,1763260208.4186883,,,,,,500.0,72592,,
,153.66743111610413,0.0,0.0001558065414428711,995,1763260209.914982,0.0003571445122361183,845.1976928710938,0.0029167011380195618,582.0,0.00025591396843083203,,73600,0.5785949230194092,1.8683262169361115e-05
,154.0231876373291,0.046875,0.43553656339645386,997,1763260210.2707386,0.006144915707409382,0.00032572480267845094,-0.0027222875505685806,583.0,0.0002557603584136814,,73856,0.5114954710006714,-0.00993048120290041
,156.6354455947876,0.0,0.005113482475280762,1015,1763260212.8829966,8.183438330888748e-05,582.4435424804688,-0.0020515024662017822,585.0,0.0002546850882936269,,75648,0.5820577144622803,-0.003307153470814228
,157.3731827735901,0.0,0.002142488956451416,1020,1763260213.6207337,7.214024662971497e-06,650.6770629882812,0.0011976845562458038,585.0,0.0002543778682593256,,76160,0.5834072232246399,-0.0008670948445796967
,159.01471590995789,0.00390625,0.5789021253585815,1031,1763260215.2622669,0.003298046998679638,0.027527455240488052,-0.002891071140766144,587.0,0.00025368662318214774,,77312,0.5548130869865417,0.007622190751135349
,162.0046191215515,0.025390625,0.08952939510345459,1050,1763260218.25217,0.007123347371816635,0.0007348181097768247,-0.008651718497276306,589.0,0.0002524577430449426,,79360,0.49177590012550354,-0.02259528636932373
,162.38836860656738,0.0,-0.0003352165222167969,1053,1763260218.6359196,0.0005477378144860268,728.5805053710938,0.0009328015148639679,589.0,0.000252304133027792,,79616,0.5374314188957214,0.0021159620955586433
,163.1261923313141,0.009765625,0.0028339624404907227,1058,1763260219.3737433,0.0007647285237908363,642.8511962890625,-0.00016698241233825684,590.0,0.00025199694209732115,,80128,0.5368486642837524,-0.010135053656995296
,166.81782841682434,0.0,0.0003603696823120117,1083,1763260223.0653794,0.0008026091381907463,618.0188598632812,-0.007458582520484924,593.0,0.00025046084192581475,,82688,0.5683202743530273,0.005152764730155468
406.0,167.9105384349823,,,1091,1763260224.1580894,,,,,,406.0,83498,,
,170.1687879562378,0.005859375,-0.024701714515686035,1106,1763260226.416339,0.0011419085785746574,0.00042513629887253046,-0.0013090688735246658,595.0,0.000249078351771459,,84992,0.6003209352493286,0.010801485739648342
,171.68435382843018,0.0,-0.010115265846252441,1118,1763260227.9319048,0.0011697262525558472,0.0017571528442203999,0.002754724584519863,596.0,0.0002484639117028564,,86016,0.5324686765670776,5.424022674560547e-05
,172.50546669960022,0.0,0.0747188925743103,1125,1763260228.7530177,0.0013910876587033272,0.002017152728512883,-0.004497881978750229,596.0,0.00024815669166855514,,86528,0.5784120559692383,-0.0007657809183001518
,173.47738218307495,0.04296875,-0.1479330062866211,1133,1763260229.7249331,0.011758512817323208,0.0017822482623159885,-0.016176193952560425,596.0,0.00024777266662567854,,87168,0.5515480041503906,0.026785405352711678
,175.43012690544128,0.0,7.289648056030273e-05,1145,1763260231.6776779,0.00010782573372125626,257.25274658203125,-0.000707089900970459,596.0,0.00024708142154850066,,88320,0.5766326785087585,-0.0016366345807909966
,178.359712600708,0.0,-0.06822800636291504,1164,1763260234.6072636,4.6467408537864685e-05,0.0009659690549597144,-0.0004052966833114624,598.0,0.00024585254141129553,,90368,0.53389972448349,0.002234984189271927
,178.53430008888245,0.0,-0.054433584213256836,1165,1763260234.781851,0.002976532094180584,0.00014901015674695373,0.021924344822764397,598.0,0.0002457757364027202,,90496,0.5892568230628967,-0.02472946234047413
,179.46172738075256,0.0,0.0006499290466308594,1172,1763260235.7092783,0.0011671707034111023,344.7469482421875,-0.001352459192276001,599.0,0.0002453917113598436,,91136,0.5644096732139587,-0.003115512430667877
500.0,180.73573756217957,,,1181,1763260236.9832885,,,,,,500.0,92037,,
,181.43108320236206,0.0,-1.6570091247558594e-05,1186,1763260237.6786342,0.0009194482117891312,697.9559326171875,-0.007997028529644012,600.0,0.0002445468562655151,,92544,0.4715792238712311,-0.004317145794630051
,183.0491600036621,0.0,0.1060934066772461,1197,1763260239.296711,0.00011638924479484558,0.004754619672894478,-0.003842901438474655,601.0,0.0002438556111883372,,93696,0.513598620891571,0.0008481591939926147
,185.32874584197998,0.00390625,0.036675453186035156,1213,1763260241.5762968,0.002952289767563343,0.0009771367767825723,-0.01305466890335083,603.0,0.00024285714607685804,,95360,0.5356974005699158,-0.007440178655087948
500.0,185.5460968017578,,,1215,1763260241.7936478,,,,,,500.0,95537,,
,187.26939415931702,0.0,6.592273712158203e-05,1226,1763260243.5169451,0.00029105693101882935,595.8028564453125,-0.0029190517961978912,604.0,0.00024208909599110484,,96640,0.4959713816642761,0.004592893645167351
500.0,188.06840181350708,,,1230,1763260244.3159528,,,,,,500.0,97037,,
,188.74005913734436,0.00390625,0.06454569101333618,1234,1763260244.98761,0.0051071979105472565,0.00018178310710936785,-0.015235573053359985,604.0,0.0002415514609310776,,97536,0.48372071981430054,0.007583457976579666
,190.20629405975342,0.0,0.00010198354721069336,1245,1763260246.453845,0.00014395639300346375,834.2227172851562,0.0018723532557487488,605.0,0.00024093702086247504,,98560,0.5385298728942871,0.002669474110007286
500.0,191.466392993927,,,1254,1763260247.713944,,,,,,500.0,99537,,
,194.0205340385437,0.0,-0.03874838352203369,1271,1763260250.268085,8.223950862884521e-05,0.004517088178545237,-0.0014344453811645508,607.0,0.0002393241156823933,,101248,0.565428614616394,-0.002047240734100342
,197.9304506778717,0.0,5.364418029785156e-06,1299,1763260254.1780016,9.201653301715851e-05,1061.5977783203125,-0.0018747299909591675,609.0,0.0002377112105023116,,103936,0.5310885906219482,0.0015570465475320816
,203.28512024879456,0.0,-0.0002359151840209961,1339,1763260259.5326712,0.0008054468780755997,809.4592895507812,0.004837609827518463,612.0,0.00023540706024505198,,107776,0.5402668714523315,0.003869209438562393
,203.44079065322876,0.013671875,-0.021237611770629883,1340,1763260259.6883416,0.003011893481016159,0.00472158333286643,-0.00292365625500679,612.0,0.00023533025523647666,,107904,0.5776478052139282,0.012515129521489143
500.0,204.24751949310303,,,1349,1763260260.4950705,,,,,,500.0,108722,,
,205.50086879730225,0.0,-0.3024897575378418,1363,1763260261.7484198,0.00014704372733831406,0.0031064327340573072,0.004456035792827606,618.0,0.00023402458464261144,,110080,0.5797470211982727,-0.003086802549660206
,205.75150752067566,0.0,0.05317866802215576,1365,1763260261.9990585,0.0021397247910499573,0.0001568044099258259,-0.00515187531709671,618.0,0.0002338709746254608,,110336,0.5912843942642212,0.007989127188920975
,206.21806955337524,0.04296875,0.15907520055770874,1370,1763260262.4656205,0.012259303592145443,0.0005441420362330973,-0.04320624843239784,619.0,0.00023356375459115952,,110848,0.5490992665290833,0.009081846103072166
,207.3413486480713,0.0,0.05947357416152954,1380,1763260263.5888996,0.0020206058397889137,0.0001967159187188372,-0.0037140771746635437,621.0,0.00023294931452255696,,111872,0.5800166130065918,0.013002888299524784
500.0,207.38057494163513,,,1381,1763260263.628126,,,,,,500.0,111941,,
,208.31612300872803,0.0,-0.1666712760925293,1388,1763260264.563674,0.00020302273333072662,0.0049127996899187565,-0.00010920176282525063,622.0,0.00023248848447110504,,112640,0.514965295791626,-0.0075368862599134445
,209.24765539169312,0.0,-0.6963415145874023,1395,1763260265.4952064,0.0006962483748793602,0.0004009967087768018,-0.0030116625130176544,623.0,0.00023202765441965312,,113408,0.5682372450828552,0.007721493951976299
,209.71828770637512,0.001953125,0.06753367185592651,1399,1763260265.9658387,0.0029752664268016815,0.0010138815268874168,0.014749433845281601,624.0,0.00023179723939392716,,113792,0.5513730645179749,0.010632125660777092
,210.51440143585205,0.001953125,-0.16192805767059326,1405,1763260266.7619524,0.0012849504128098488,0.0002193822874687612,0.016916878521442413,624.0,0.00023141321435105056,,114432,0.57368004322052,-0.009880504570901394
,213.84889221191406,0.0,-0.14617455005645752,1432,1763260270.0964432,6.892438977956772e-05,0.004787565674632788,0.0028238408267498016,628.0,0.00022980030917096883,,117120,0.5369704365730286,0.0008688466623425484
,213.98478055000305,0.0,0.07752227783203125,1433,1763260270.2323315,0.0015155449509620667,0.0006000087596476078,-0.01425333321094513,628.0,0.0002297235041623935,,117248,0.5612215399742126,-0.006302636116743088
,216.1676423549652,0.0,-0.07000839710235596,1455,1763260272.4151933,0.00023575685918331146,0.0037019734736531973,-0.0006353333592414856,632.0,0.00022841781901661307,,119424,0.5422250032424927,0.003559783101081848
,216.27901363372803,0.0,0.0705767273902893,1456,1763260272.5265646,0.0005759857594966888,0.0006905589834786952,-0.0028738118708133698,632.0,0.00022834101400803775,,119552,0.5618343949317932,-0.005410302430391312
,216.3897180557251,0.00390625,-0.3189176321029663,1457,1763260272.637269,0.004045787267386913,0.00021201324125286192,-0.034282319247722626,633.0,0.00022826420899946243,,119680,0.5922008752822876,0.0017208131030201912
,223.0547890663147,0.0,-0.1753075122833252,1514,1763260279.30234,0.002856992185115814,0.00043571650166995823,0.01636970043182373,641.0,0.00022480798361357301,,125440,0.5772590637207031,0.008252464234828949
500.0,223.86735033988953,,,1521,1763260280.1149013,,,,,,500.0,126187,,
,224.47749066352844,0.0,0.5084238052368164,1525,1763260280.7250416,0.001367701217532158,0.00020748372480738908,-0.01584021933376789,642.0,0.00022411673853639513,,126592,0.4705754816532135,0.0032166633754968643
,224.63580298423767,0.0,-0.0003311634063720703,1527,1763260280.883354,0.001749594695866108,720.4103393554688,0.0016750693321228027,642.0,0.0002240399335278198,,126720,0.5033884048461914,-0.0036752307787537575
,224.9304554462433,0.001953125,-0.05863332748413086,1529,1763260281.1780064,0.0026199519634246826,0.0012498486321419477,-0.005040612071752548,642.0,0.00022388632351066917,,126976,0.48681414127349854,0.017835455015301704
,225.5685043334961,0.00390625,0.07256108522415161,1534,1763260281.8160553,0.0022261831909418106,0.0008585838950239122,0.004991117864847183,643.0,0.0002235791034763679,,127488,0.47836416959762573,0.008294520899653435
500.0,225.75633096694946,,,1536,1763260282.003882,,,,,,500.0,127687,,
,226.68080401420593,0.001953125,-0.008942842483520508,1543,1763260282.928355,0.002583528868854046,0.007225558161735535,-0.01777065545320511,644.0,0.00022304146841634065,,128384,0.515707790851593,0.008313304744660854
,226.95355248451233,0.0,0.040486693382263184,1545,1763260283.2011034,0.0022185752168297768,0.00033723696833476424,0.0029716752469539642,644.0,0.00022288785839919,,128640,0.452262282371521,-0.0011894991621375084
500.0,226.98712730407715,,,1546,1763260283.2346783,,,,,,500.0,128687,,
,228.19817757606506,0.0,0.09768110513687134,1558,1763260284.4457285,0.00042635295540094376,0.004722951911389828,0.006287679076194763,647.0,0.00022211982286535203,,129920,0.524244487285614,0.0002002893015742302
,228.31544089317322,0.001953125,0.11984097957611084,1559,1763260284.5629919,0.0007841428741812706,0.0005460553802549839,-0.006405137479305267,647.0,0.00022204301785677671,,130048,0.4708377718925476,-0.0039194682613015175
,228.68813180923462,0.0,-0.2435663938522339,1563,1763260284.9356828,0.0005760081112384796,0.006385750137269497,0.0002838149666786194,648.0,0.00022181260283105075,,130432,0.49231040477752686,-0.006421152502298355
,228.91201066970825,0.0,-0.0001512765884399414,1566,1763260285.1595616,0.00044456496834754944,672.7989501953125,-0.0017819292843341827,648.0,0.0002216589928139001,,130688,0.5157485008239746,-0.0031911451369524
,231.00307440757751,0.0,-0.12955200672149658,1588,1763260287.2506254,0.00019169505685567856,0.0005855490453541279,-0.0004803761839866638,653.0,0.00022027650265954435,,132992,0.49813732504844666,-0.005388000048696995
,231.11525321006775,0.0,-0.09075915813446045,1589,1763260287.3628042,0.00023623835295438766,0.00022995835752226412,-0.0007135926280170679,653.0,0.00022019969765096903,,133120,0.4175417721271515,0.0015276586636900902
,231.8816590309143,0.0,0.33435362577438354,1597,1763260288.12921,0.0005940385162830353,0.005769202020019293,0.00024223513901233673,654.0,0.0002197388675995171,,133888,0.5235012173652649,0.0011382699012756348
,232.8232626914978,0.0,0.05082225799560547,1607,1763260289.0708137,0.00041168276220560074,0.005193408112972975,0.002047717571258545,656.0,0.00021912442753091455,,134912,0.5141130685806274,-0.007696988992393017
,233.04724073410034,0.0,-0.04432952404022217,1609,1763260289.2947917,0.0003009587526321411,8.58286366565153e-05,-0.0016368180513381958,657.0,0.0002189708175137639,,135168,0.5089877247810364,-0.0077092330902814865
500.0,233.05582904815674,,,1610,1763260289.30338,,,,,,500.0,135187,,
,233.27253556251526,0.0,0.17521220445632935,1612,1763260289.5200865,7.558614015579224e-06,0.0034874477423727512,-0.00043701380491256714,657.0,0.00021881720749661326,,135424,0.5239529013633728,0.001179661601781845
,234.76143431663513,0.0,0.0974624752998352,1626,1763260291.0089853,0.0006248056888580322,0.0052971444092690945,-0.006568510085344315,659.0,0.00021797235240228474,,136832,0.5484496355056763,0.007772620767354965
,236.38802790641785,0.00390625,0.02773571014404297,1638,1763260292.6355789,0.002087019383907318,0.00014937201922293752,-0.008532393723726273,660.0,0.00021720430231653154,,138112,0.5187112092971802,-0.008077351376414299
275.0,242.2136218547821,,,1687,1763260298.4611728,,,,,,275.0,142729,,
,246.91859197616577,0.0,0.11670136451721191,1732,1763260303.166143,0.0003834627568721771,0.004020465072244406,-0.002347927540540695,668.0,0.00021205836674198508,,146688,0.46615278720855713,-0.003123437985777855
,248.08021998405457,0.0,-0.03546023368835449,1745,1763260304.327771,0.00030483491718769073,0.0018744576955214143,-0.004437603056430817,670.0,0.00021129031665623188,,147968,0.4848547875881195,-0.0017276201397180557
,248.79713463783264,0.0,5.3048133850097656e-05,1753,1763260305.0446856,0.0010609328746795654,729.2623901367188,0.013227913528680801,671.0,0.00021082948660477996,,148736,0.4467483162879944,0.0007184240967035294
,248.90949010849,0.00390625,-47.63752365112305,1754,1763260305.157041,0.002023688517510891,0.04115619882941246,0.0034014619886875153,672.0,0.00021075268159620464,,148864,0.43855199217796326,-0.005176779814064503
,249.9569103717804,0.001953125,-0.16491413116455078,1765,1763260306.2044613,0.003322404809296131,0.00045318988850340247,0.007633492350578308,674.0,0.00021006145107094198,,150016,0.40870368480682373,0.017072252929210663
,250.29600024223328,0.0234375,-0.4696230888366699,1768,1763260306.5435512,0.005403095856308937,0.0006717212963849306,-0.005154602229595184,674.0,0.00020983103604521602,,150400,0.4608265459537506,-0.015999285504221916
,251.12024903297424,0.005859375,0.008260130882263184,1777,1763260307.3678,0.004740014672279358,0.004590553231537342,-0.010125350207090378,676.0,0.00020929340098518878,,151296,0.46722814440727234,0.010166686959564686
,254.98667860031128,0.0,-0.0033092498779296875,1818,1763260311.2342296,0.00090843066573143,0.00030723412055522203,0.0009938590228557587,683.0,0.00020675883570220321,,155520,0.49861741065979004,0.001542791724205017
,255.43688225746155,0.0,-0.1382756233215332,1823,1763260311.6844332,0.0005265194922685623,0.0002193398104282096,0.001258770003914833,684.0,0.00020645161566790193,,156032,0.49415457248687744,0.006141200661659241
500.0,257.93847012519836,,,1851,1763260314.186021,,,,,,500.0,158826,,
500.0,258.38662123680115,,,1856,1763260314.6341722,,,,,,500.0,159326,,
,259.51334404945374,0.009765625,-0.06582236289978027,1868,1763260315.760895,0.004561693407595158,0.005527786444872618,0.00389658659696579,691.0,0.00020376344036776572,,160512,0.4455360174179077,0.043721336871385574
,259.9999885559082,0.0,0.01914578676223755,1873,1763260316.2475395,0.00124383345246315,0.006514421664178371,-0.009302608668804169,692.0,0.00020345622033346444,,161024,0.48692774772644043,-0.01626182347536087
,260.3394966125488,0.0,-1.811981201171875e-05,1877,1763260316.5870476,0.0003932211548089981,849.4391479492188,-0.00030400604009628296,692.0,0.00020322580530773848,,161408,0.506939709186554,0.0029373783618211746
500.0,261.38656759262085,,,1886,1763260317.6341186,,,,,,500.0,162326,,
500.0,262.5042631626129,,,1895,1763260318.7518141,,,,,,500.0,163326,,
,263.5650107860565,0.0,-0.008708715438842773,1903,1763260319.8125618,3.142561763525009e-05,0.000612107862252742,-0.0007525533437728882,694.0,0.00020161290012765676,,164096,0.4983132481575012,-0.001615210436284542
,263.8778598308563,0.0,-2.086162567138672e-05,1906,1763260320.1254108,0.0006161695346236229,819.058837890625,-0.0020258110016584396,695.0,0.00020145929011050612,,164352,0.49154341220855713,0.00043018441647291183
