losses/value_loss,losses/old_approx_kl,global_step,charts/episodic_return,losses/clipfrac,_timestamp,losses/explained_variance,losses/policy_loss,_step,charts/SPS,charts/learning_rate,charts/episodic_length,losses/entropy,_runtime,losses/approx_kl
1.2304718494415283,0.008642553351819515,79232,,0.025390625,1763260217.188063,-10.617339134216309,-0.016810305416584015,1020,593.0,0.00025253454805351794,,0.47141769528388977,161.01098799705505,0.00688279140740633
699.1461791992188,-0.006348885595798492,80256,,0.0,1763260218.7327793,-0.0002015829086303711,-0.009734667837619781,1031,594.0,0.00025192013708874583,,0.48231783509254456,162.55570435523987,0.0008703749626874924
0.053771693259477615,0.003211881034076214,82176,,0.0,1763260221.495042,-13.209183692932129,0.0005187951028347015,1050,596.0,0.00025076806196011603,,0.44475477933883667,165.31796717643738,0.00160293560475111
771.8936157226562,-0.004269704222679138,82432,,0.0,1763260221.9061115,0.0708271861076355,-0.0026373155415058136,1053,596.0,0.0002506144519429654,,0.45892536640167236,165.72903656959534,0.00019931048154830933
0.010924856178462505,-0.003735932521522045,82944,,0.0,1763260222.6597903,-0.5236042737960815,-0.007440030574798584,1058,596.0,0.0002503072319086641,,0.43013855814933777,166.48271536827087,0.0006288280710577965
0.0027045030146837234,-0.0002604592591524124,85504,,0.0,1763260226.3989484,-0.302911639213562,0.001345861703157425,1083,598.0,0.0002487711317371577,,0.43663668632507324,170.2218735218048,0.00041827745735645294
,,86278,500.0,,1763260227.4971058,,,1091,,,500.0,,171.32003092765808,
849.4077758789062,-8.054077625274658e-05,87808,,0.0,1763260229.68851,-0.0001289844512939453,-0.0017624832689762115,1106,601.0,0.00024738864158280194,,0.5416387319564819,173.51143503189087,6.588920950889587e-05
0.0011877024080604315,-0.007317796349525452,89088,,0.0,1763260231.79978,-0.47125911712646484,-0.008347654715180397,1118,601.0,0.00024662059149704874,,0.39814940094947815,175.62270498275757,0.0008129961788654327
,,89778,500.0,,1763260232.7390864,,,1125,,,500.0,,176.56201148033142,
0.0013657137751579285,-0.005043244920670986,90624,,0.0,1763260233.9874935,-0.055063724517822266,-0.0006755907088518143,1133,602.0,0.0002456989313941449,,0.5369167923927307,177.81041860580444,0.0004933429881930351
,,91778,500.0,,1763260235.6172504,,,1145,,,500.0,,179.44017553329468,
,,93778,500.0,,1763260238.320704,,,1164,,,500.0,,182.14362907409668,
639.085205078125,0.004127616062760353,93824,,0.0,1763260238.4936342,0.00031876564025878906,-0.005092287436127663,1165,605.0,0.0002437788061797619,,0.4901077449321747,182.31655931472778,0.0005668606609106064
0.0011071059852838516,-8.318573236465454e-06,94592,,0.0,1763260239.541861,-0.02668452262878418,-0.0016389153897762299,1172,606.0,0.00024331797612830997,,0.5232886672019958,183.3647861480713,4.8566609621047974e-05
0.005164507310837507,-0.0025353794917464256,95488,,0.0,1763260240.7827268,0.060546159744262695,-0.01892680861055851,1181,607.0,0.00024278034106828272,,0.5680668354034424,184.60565185546875,0.0017855176702141762
0.0059073306620121,0.010906505398452282,96000,,0.0,1763260241.4933531,-0.1267385482788086,-0.004400378093123436,1186,608.0,0.00024247312103398144,,0.5314851403236389,185.31627821922302,0.00037011969834566116
0.0006898742285557091,0.014801423996686935,97152,,0.0,1763260243.128355,0.027631938457489014,-0.01037624478340149,1197,609.0,0.00024178187595680356,,0.564507782459259,186.9512801170349,0.0008803810924291611
0.0006733089685440063,-0.004997900687158108,98688,,0.0,1763260245.6848202,0.18344157934188843,-0.0031377989798784256,1213,609.0,0.00024086021585389972,,0.5840857028961182,189.5077452659607,0.0016504833474755287
,,98897,500.0,,1763260245.9004145,,,1215,,,500.0,,189.7233395576477,
510.0391845703125,0.0029594600200653076,99968,,0.0,1763260247.5144234,-0.0001342296600341797,-0.0025832578539848328,1226,610.0,0.00024009216576814651,,0.5893798470497131,191.33734846115112,0.00010200217366218567
812.094970703125,0.00015338324010372162,100352,,0.0,1763260248.0499938,0.0008699893951416016,-0.0004958398640155792,1230,610.0,0.00023986175074242055,,0.4894063174724579,191.87291884422302,3.1596049666404724e-05
0.0017382355872541666,0.013193180784583092,100736,,0.01953125,1763260248.588357,-0.3184274435043335,-0.003384716808795929,1234,610.0,0.0002396313357166946,,0.5843287110328674,192.41128206253052,0.005479991436004639
0.0005511699127964675,0.022089067846536636,101760,,0.00390625,1763260250.0960472,-0.2800564765930176,-0.008703086525201797,1245,611.0,0.00023901689564809203,,0.5439164042472839,193.91897225379944,0.005044747143983841
0.004172182641923428,0.0023651951923966408,102656,,0.0,1763260251.3819325,-0.17559003829956055,-0.0104251429438591,1254,612.0,0.0002384792605880648,,0.5484955906867981,195.20485758781433,0.0008878065273165703
0.00017250071687158197,-0.003816835582256317,104448,,0.0,1763260253.9276454,0.27119284868240356,-0.0004094596952199936,1271,613.0,0.0002374039904680103,,0.5069771409034729,197.7505705356598,0.00025346316397190094
0.0029521428514271975,-0.0004775179550051689,107136,,0.0,1763260257.735321,-0.04766488075256348,0.0018400941044092178,1299,615.0,0.00023579108528792858,,0.6182041168212891,201.55824613571167,0.0002616913989186287
0.005878652445971966,0.00654235202819109,111104,,0.001953125,1763260262.054191,0.13338792324066162,0.00868280604481697,1339,622.0,0.00023341014457400888,,0.5834271907806396,205.8771162033081,0.0026944922283291817
,,111211,263.0,,1763260262.092048,,,1340,,,263.0,,205.9149730205536,
0.0004221429699100554,8.98921862244606e-05,112128,,0.015625,1763260263.0356674,-0.07855784893035889,-0.042170051485300064,1349,625.0,0.00023279570450540632,,0.4826144576072693,206.8585925102234,0.006330917589366436
0.0010918244952335954,0.01708827167749405,113536,,0.0,1763260264.832806,-0.9680964946746826,0.014108970761299133,1363,626.0,0.0002319508494110778,,0.521323561668396,208.65573120117188,0.0016385652124881744
,,113711,500.0,,1763260265.0180376,,,1365,,,500.0,,208.84096264839172,
,,114211,500.0,,1763260265.6671925,,,1370,,,500.0,,209.49011754989624,
,,115211,500.0,,1763260266.9559143,,,1380,,,500.0,,210.7788393497467,
603.0779418945312,0.003654906526207924,115328,,0.00390625,1763260267.1134646,-0.0003147125244140625,-0.00010676681995391846,1381,628.0,0.00023087557929102331,,0.5406399965286255,210.93638968467712,0.0012408997863531113
,,116063,352.0,,1763260267.9591298,,,1388,,,352.0,,211.78205490112305,
0.005077599547803402,0.002133496105670929,116736,,0.0,1763260268.8785958,-0.057975172996520996,-0.0007698573172092438,1395,630.0,0.0002300307241966948,,0.6044086813926697,212.7015209197998,2.028234302997589e-05
860.2869262695312,7.899291813373566e-05,117120,,0.0,1763260269.345974,-0.0002008676528930664,-0.00040695443749427795,1399,630.0,0.00022980030917096883,,0.5584642887115479,213.16889905929565,4.384666681289673e-06
0.00589152192696929,-0.005835414864122868,117760,,0.0,1763260270.1394668,-0.8361548185348511,-0.0086447075009346,1405,631.0,0.00022941628412809223,,0.5869151949882507,213.96239185333252,0.0005843089893460274
,,120563,500.0,,1763260272.8380198,,,1432,,,500.0,,216.66094493865967,
554.1881103515625,0.0012527722865343094,120576,,0.0,1763260272.9131296,-5.257129669189453e-05,0.0002344232052564621,1433,637.0,0.00022772657393943518,,0.5244462490081787,216.73605465888977,6.541609764099121e-05
0.0008064607973210514,0.005941653624176979,122880,,0.001953125,1763260275.3259473,-0.21092689037322998,-0.002619430422782898,1455,641.0,0.00022634408378507942,,0.5511699318885803,219.14887237548828,0.0030738282948732376
0.0003625157696660608,-0.005025986582040787,123008,,0.0,1763260275.48458,-3.4823269844055176,-0.023020245134830475,1456,641.0,0.0002262672787765041,,0.5005977749824524,219.30750513076782,0.0010681264102458954
,,123063,500.0,,1763260275.5215397,,,1457,,,500.0,,219.34446477890015,
0.0007015349110588431,-0.007076338864862919,128896,,0.0,1763260282.9800735,0.08334958553314209,-0.012184901162981987,1514,646.0,0.00022273424838203937,,0.6062431335449219,226.80299854278564,0.001015963964164257
,,129563,500.0,,1763260283.73065,,,1521,,,500.0,,227.5535750389099,
0.00017050435417331755,-0.009464088827371597,130048,,0.0,1763260284.1691732,-0.08505475521087646,-0.0002926550805568695,1525,648.0,0.00022204301785677671,,0.5674006938934326,227.99209833145142,0.000996740534901619
152.31939697265625,0.0039015663787722588,130176,,0.0,1763260284.2838695,-2.6941299438476562e-05,-0.0005305241793394089,1527,648.0,0.0002219662128482014,,0.5880013704299927,228.10679459571838,5.7083554565906525e-05
0.0007505673565901816,-0.0012652315199375153,130432,,0.0,1763260284.5067146,-0.12897372245788574,-0.009133209474384785,1529,649.0,0.00022181260283105075,,0.4955042898654938,228.32963967323303,0.00016470998525619507
0.00020878537907265127,0.001961134374141693,130944,,0.0,1763260284.9962687,-0.04471242427825928,-0.003952551633119583,1534,650.0,0.00022150538279674947,,0.5848776698112488,228.81919384002686,0.00037422962486743927
578.3882446289062,-0.004684954881668091,131072,,0.0,1763260285.1097014,5.227327346801758e-05,-0.00033143162727355957,1536,650.0,0.00022142857778817415,,0.5866725444793701,228.93262648582458,0.0002181418240070343
0.00101087789516896,-0.00011581648141145706,131840,,0.0,1763260285.8132393,-0.07902467250823975,-0.0016000568866729736,1543,652.0,0.00022096774773672223,,0.4949811100959778,229.6361644268036,0.0002735098823904991
,,132063,500.0,,1763260285.9628446,,,1545,,,500.0,,229.78576970100403,
627.2144165039062,-0.0027073295786976814,132096,,0.0,1763260286.045284,0.00012224912643432617,-0.007321402430534363,1546,652.0,0.0002208141377195716,,0.5567145943641663,229.86820912361145,0.0003153262659907341
0.00042694120202213526,0.0011191284283995628,133376,,0.0,1763260287.2103088,0.05903208255767822,0.004083424806594849,1558,655.0,0.0002200460876338184,,0.556359589099884,231.0332338809967,0.00012839864939451218
0.00016878716996870935,0.014419852755963802,133504,,0.0,1763260287.3214505,-0.11330699920654297,-0.011418744921684265,1559,655.0,0.00021996928262524307,,0.5486332774162292,231.14437556266785,0.0010475078597664833
0.0005910532781854272,0.04185681790113449,133888,,0.001953125,1763260287.6589277,-0.1344975233078003,-0.026731224730610847,1563,656.0,0.0002197388675995171,,0.5231423377990723,231.48185276985168,0.005587710067629814
388.84832763671875,0.0017289677634835243,134144,,0.0,1763260287.920734,5.245208740234375e-06,-0.0048295315355062485,1566,656.0,0.00021958525758236647,,0.5894277095794678,231.74365901947021,0.0013890238478779793
0.00036815766361542046,0.0008343728259205818,136448,,0.0,1763260290.0256066,-0.057823777198791504,0.0028071445412933826,1588,661.0,0.0002182027674280107,,0.5839779376983643,233.84853172302246,0.00023597944527864456
,,136563,500.0,,1763260290.0657444,,,1589,,,500.0,,233.8886694908142,
735.6080932617188,0.0019282177090644836,137216,,0.0,1763260290.8683586,-0.0001361370086669922,-0.0018404535949230194,1597,662.0,0.00021774193737655878,,0.514698326587677,234.69128370285034,0.00018266402184963226
0.007406781427562237,0.00048405490815639496,138240,,0.0,1763260292.2420547,-0.0856090784072876,0.0014664530754089355,1607,662.0,0.00021712749730795622,,0.5966354608535767,236.06497979164124,0.0003766752779483795
,,138494,500.0,,1763260292.4575381,,,1609,,,500.0,,236.28046321868896,
734.4781494140625,0.0038084061816334724,138496,,0.0,1763260292.5960624,-6.9141387939453125e-06,-0.001385534182190895,1610,662.0,0.00021697388729080558,,0.5988233089447021,236.4189875125885,0.0008505871519446373
,,138689,195.0,,1763260292.785003,,,1612,,,195.0,,236.60792803764343,
0.00020120557746849954,0.01564815454185009,140160,,0.0,1763260294.7365112,-0.15017962455749512,0.0014318302273750305,1626,664.0,0.00021597542217932642,,0.47484126687049866,238.55943632125854,0.00150236114859581
0.010850999504327774,0.0007754582911729813,141312,,0.0,1763260296.2465732,-0.0001633167266845703,0.00020142272114753723,1638,664.0,0.00021528417710214853,,0.5010924935340881,240.06949830055237,9.49222594499588e-05
0.0007765916525386274,0.009431484155356884,146304,,0.0,1763260302.5218513,-0.2390608787536621,-0.006535670720040798,1687,668.0,0.00021228878176771104,,0.5880737900733948,246.34477639198303,0.0004212232306599617
9.975627472158521e-05,0.006989740766584873,150912,,0.0,1763260306.693982,-0.20394372940063477,0.003330424427986145,1732,676.0,0.00020952381601091474,,0.5486676096916199,250.51690697669983,0.0003691660240292549
0.005045292433351278,-0.0017759669572114944,152192,,0.0,1763260307.8523262,-0.6449238061904907,0.0012480765581130981,1745,678.0,0.00020875576592516154,,0.5424121022224426,251.67525124549866,0.0002134721726179123
,,152962,500.0,,1763260308.5585487,,,1753,,,500.0,,252.38147377967834,
0.0016380203887820244,0.030689507722854614,153088,,0.017578125,1763260308.6692073,3.0338764190673828e-05,-0.019292593002319336,1754,680.0,0.0002082181308651343,,0.5503684282302856,252.49213242530823,0.0054908860474824905
0.0008828092250041664,0.007302144542336464,154240,,0.0,1763260309.7096865,0.24463891983032227,-0.019376114010810852,1765,682.0,0.00020752688578795642,,0.5480673313140869,253.53261160850525,0.0006471686065196991
723.5376586914062,-0.0020905612036585808,154496,,0.0,1763260309.935454,0.00018841028213500977,0.00036035478115081787,1768,682.0,0.00020737327577080578,,0.5870856642723083,253.75837898254395,2.7383677661418915e-05
,,155462,500.0,,1763260310.7835715,,,1777,,,500.0,,254.6064965724945,
0.0006851680227555335,0.0004558209329843521,159616,,0.0,1763260314.6040418,-0.11230945587158203,0.0056518614292144775,1818,691.0,0.00020430107542779297,,0.590054988861084,258.4269669055939,0.00029208697378635406
0.0023447643034160137,0.0021925270557403564,160128,,0.0,1763260315.0521333,-4.619515419006348,-0.002438656985759735,1823,691.0,0.00020399385539349169,,0.5621738433837891,258.8750584125519,0.00013512931764125824
0.001035303808748722,-0.018128110095858574,162816,,0.001953125,1763260317.86205,0.16425102949142456,-0.03179634362459183,1851,695.0,0.00020238095021340996,,0.5433989763259888,261.6849751472473,0.0022929590195417404
,,163149,86.0,,1763260318.254945,,,1856,,,86.0,,262.07787013053894,
,,163884,150.0,,1763260319.3627365,,,1868,,,150.0,,263.18566155433655,
462.3075866699219,-0.0019031325355172157,164224,,0.0,1763260319.9114099,0.0054454803466796875,0.002354554831981659,1873,695.0,0.00020153609511908144,,0.48895230889320374,263.7343349456787,0.0011945674195885658
0.10339213907718658,0.00363004207611084,164608,,0.0,1763260320.3883123,-0.7346200942993164,-0.010791093111038208,1877,695.0,0.00020130568009335548,,0.5802904963493347,264.2112374305725,0.0004102662205696106
0.03253839910030365,-0.0018905345350503922,165504,,0.0,1763260321.3228033,0.1627129316329956,-0.00710291787981987,1886,696.0,0.00020076804503332824,,0.6038209795951843,265.14572834968567,0.0005615409463644028
268.7153625488281,0.004857701249420643,166400,,0.0,1763260322.311087,0.0004715919494628906,-0.020041465759277344,1895,697.0,0.000200230409973301,,0.5639488697052002,266.13401198387146,0.0006368057802319527
0.00023604270245414227,0.004729723557829857,167296,,0.0,1763260323.4394279,-0.5217219591140747,-0.007836580276489258,1903,697.0,0.00019969277491327375,,0.5244272947311401,267.2623529434204,0.0019113346934318542
