charts/episodic_return,_step,charts/SPS,losses/old_approx_kl,losses/approx_kl,losses/policy_loss,_timestamp,global_step,losses/value_loss,charts/learning_rate,_runtime,losses/entropy,charts/episodic_length,losses/explained_variance,losses/clipfrac
,729,586.0,-0.025811556726694107,0.013179088942706585,0.001309908926486969,1763260173.060953,52480,6.016623497009277,0.00026858679484575987,116.80737280845642,0.5632182359695435,,0.9816144108772278,0.037109375
,757,588.0,0.0012632990255951881,0.00030031148344278336,-0.0002659261226654053,1763260177.2172704,55040,26.74624252319336,0.00026705069467425346,120.9636902809143,0.5362980365753174,,0.9499408006668091,0.0
,762,588.0,0.00041749048978090286,0.001090765930712223,-0.0007195174694061279,1763260177.9994204,55552,220.5937957763672,0.0002667434746399522,121.74584031105042,0.5387269258499146,,0.7073949575424194,0.0
,767,589.0,-0.008500064723193645,0.0007450608536601067,0.014744602143764496,1763260178.7682009,56064,277.54541015625,0.0002664362546056509,122.51462078094482,0.5677117705345154,,-0.057466864585876465,0.0
,775,590.0,-0.003604419529438019,0.00026497989892959595,0.005109649151563644,1763260180.1233413,56960,10.619882583618164,0.00026589861954562366,123.8697612285614,0.5361476540565491,,-0.01739811897277832,0.0
394.0,788,,,,,1763260181.9681199,58206,,,125.71453976631165,,394.0,,
,797,591.0,0.011029194109141827,0.001001100055873394,-0.004617435857653618,1763260183.3593304,59008,6.204261302947998,0.00026466973940841854,127.10575032234192,0.5217673182487488,,0.6560618877410889,0.0
,806,591.0,-0.005752743221819401,0.0004963679239153862,0.007990438491106033,1763260184.4399455,59648,657.4185791015625,0.00026428571436554193,128.18636536598206,0.5166569352149963,,0.024342358112335205,0.0
,815,592.0,0.007210432551801205,0.000573781318962574,-0.0060846880078315735,1763260185.6319637,60416,311.683837890625,0.00026382488431409,129.3783836364746,0.5627238154411316,,0.3361888527870178,0.0
,863,595.0,-0.003788366913795471,0.0005011130124330521,0.0110398530960083,1763260192.4312036,64768,508.99261474609375,0.0002612135140225291,136.17762351036072,0.4992814064025879,,0.12164217233657837,0.0
272.0,872,,,,,1763260193.6129467,65541,,,137.35936665534973,,272.0,,
,876,596.0,0.003062799572944641,0.0008690189570188522,-0.010096482932567596,1763260194.2023985,65920,490.6297302246094,0.00026052226894535124,137.9488184452057,0.5281389355659485,,0.00416719913482666,0.0
,922,601.0,-0.0006443848833441734,2.60891392827034e-05,0.0006554294377565384,1763260201.129666,70656,0.4032820463180542,0.0002576804836280644,144.8760859966278,0.546551525592804,,-0.11267197132110596,0.0
,930,602.0,-0.00031668320298194885,9.373947978019714e-05,-0.0047160554677248,1763260202.2748551,71424,0.3308137059211731,0.00025721965357661247,146.02127504348755,0.5516831874847412,,-0.09699094295501709,0.0
500.0,938,,,,,1763260203.415044,72293,,,147.16146397590637,,500.0,,
,941,603.0,-0.0011003809049725533,0.0004414701834321022,0.00587746687233448,1763260203.9053037,72576,0.07774399220943451,0.0002565284084994346,147.65172362327576,0.4312800168991089,,-0.44531941413879395,0.0
,942,603.0,-0.0008316272869706154,0.00034022610634565353,0.00010875612497329712,1763260204.080684,72704,0.04664351046085358,0.00025645160349085927,147.8271038532257,0.5209053158760071,,-0.37875258922576904,0.0
500.0,948,,,,,1763260204.8521786,73293,,,148.5985984802246,,500.0,,
,974,606.0,0.00389740988612175,0.00017434358596801758,-0.0018217656761407852,1763260208.5799718,75776,919.8743286132812,0.0002546082832850516,152.32639169692993,0.4655855894088745,,8.183717727661133e-05,0.0
,980,607.0,-0.009291206486523151,0.0014981674030423164,0.0038808993995189667,1763260209.5058153,76416,0.003049613907933235,0.000254224258242175,153.25223517417908,0.4826515018939972,,-20.730854034423828,0.0
,985,607.0,-0.025978978723287582,0.01945445127785206,-0.057478681206703186,1763260210.2122853,76928,0.001397131010890007,0.0002539170382078737,153.95870518684387,0.47807028889656067,,-17.59583282470703,0.083984375
,995,608.0,0.0020683249458670616,0.003326370380818844,0.017168305814266205,1763260211.5372849,77824,714.1741333007812,0.00025337940314784646,155.28370475769043,0.5182934403419495,,0.003673732280731201,0.00390625
,997,608.0,0.0040247561410069466,0.0003142682835459709,-0.0011116266250610352,1763260211.8805108,78080,0.0005535523523576558,0.0002532257931306958,155.62693071365356,0.4667240083217621,,0.11354905366897583,0.0
,1015,610.0,-0.005852190777659416,0.00025095604360103607,0.001155555248260498,1763260214.4485033,79872,731.574951171875,0.0002521505521144718,158.19492316246033,0.5306241512298584,,-0.0003407001495361328,0.0
,1020,611.0,-0.0011584646999835968,0.0003066789358854294,-0.004611670970916748,1763260215.171097,80384,112.5799331665039,0.0002518433320801705,158.9175169467926,0.5648540258407593,,0.00015789270401000977,0.0
,1031,612.0,0.0035210782662034035,0.002209325321018696,-0.011983271688222885,1763260216.7907357,81536,0.0009656971087679267,0.00025115208700299263,160.53715562820435,0.5249353647232056,,0.21578818559646606,0.01171875
,1050,613.0,-0.003973513841629028,0.0006538890302181244,-0.009969927370548248,1763260219.4784262,83328,0.00948682427406311,0.00025007681688293815,163.22484612464905,0.5155303478240967,,-1.8488399982452393,0.0
500.0,1053,,,,,1763260219.8615158,83627,,,163.60793566703796,,500.0,,
500.0,1058,,,,,1763260220.5618289,84127,,,164.30824875831604,,500.0,,
,1083,616.0,-0.0014683939516544342,0.0008027516305446625,0.0010914672166109085,1763260224.1997278,86656,519.088623046875,0.0002480798866599798,167.9461476802826,0.5510357618331909,,3.3736228942871094e-05,0.0
,1091,617.0,0.011805840767920017,0.00841223169118166,-0.061551257967948914,1763260225.4276133,87552,0.0003360765695106238,0.0002475422515999526,169.17403316497803,0.5499045252799988,,-0.6485539674758911,0.01953125
,1106,618.0,-0.007465764880180359,0.0017210692167282104,-0.03277180343866348,1763260227.5908742,89088,0.0012547500664368272,0.00024662059149704874,171.3372941017151,0.5687364935874939,,0.18330156803131104,0.001953125
,1118,619.0,0.0018014460802078247,0.0004504956305027008,-0.018702387809753418,1763260229.2309349,90240,210.27955627441406,0.00024592934641987085,172.97735476493835,0.49874347448349,,-9.5367431640625e-05,0.0
,1125,620.0,0.007636236026883125,0.0012081246823072433,0.00742499902844429,1763260230.2962089,91008,0.00027603236958384514,0.00024546851636841893,174.0426287651062,0.5370341539382935,,0.37271761894226074,0.0
,1133,619.0,-0.00861289817839861,0.00035273749381303787,-0.0061181336641311646,1763260231.6993542,91776,0.005128657445311546,0.000245007686316967,175.44577407836914,0.5524945855140686,,-0.13280880451202393,0.0
,1145,620.0,-0.02073012664914131,0.002365552820265293,0.0021670740097761154,1763260233.524308,93056,0.00016107395640574396,0.0002442396362312138,177.2707278728485,0.506635308265686,,0.033692359924316406,0.005859375
,1164,622.0,-0.0017635403200984001,0.006595726124942303,-0.010113902390003204,1763260236.194963,94976,0.0011937685776501894,0.000243087561102584,179.94138288497925,0.5770696401596069,,-0.21445715427398682,0.015625
,1165,622.0,-0.007241819053888321,0.002925848588347435,-0.007231138646602631,1763260236.3555481,95104,0.00023538011009804904,0.00024301075609400868,180.10196805000305,0.5648773312568665,,-0.7196930646896362,0.01171875
134.0,1172,,,,,1763260237.1390529,95711,,,180.88547277450562,,134.0,,
500.0,1181,,,,,1763260238.222433,96449,,,181.96885299682617,,500.0,,
,1186,624.0,-0.002298547886312008,0.0016220035031437874,-0.02265474945306778,1763260238.9151003,96896,0.0032863805536180735,0.0002419354859739542,182.66152024269104,0.5310209393501282,,-0.31154918670654297,0.0
,1197,625.0,0.021725915372371674,0.0034563755616545677,-0.023209284991025925,1763260240.4779694,98048,0.0004583100671879947,0.00024124424089677632,184.2243893146515,0.5293505191802979,,0.15921670198440552,0.001953125
500.0,1213,,,,,1763260242.6423867,99606,,,186.3888065814972,,500.0,,
,1215,626.0,0.01928390935063362,0.0011501507833600044,0.0006683394312858582,1763260242.9800029,99840,0.006478010211139917,0.00024016897077672184,186.72642278671265,0.5649232268333435,,0.1318722367286682,0.0
,1226,625.0,0.005466381087899208,0.0009646061807870865,-0.005886055529117584,1763260244.839113,100864,0.005047603975981474,0.00023955453070811927,188.58553290367126,0.5504429340362549,,0.08760964870452881,0.0
,1230,626.0,-0.002132156863808632,2.3694708943367004e-05,-0.001000046730041504,1763260245.3648891,101248,684.6238403320312,0.0002393241156823933,189.11130905151367,0.5944641828536987,,-4.8041343688964844e-05,0.0
500.0,1234,,,,,1763260245.8779461,101672,,,189.62436604499817,,500.0,,
,1245,627.0,0.009555465541779995,0.00036561954766511917,-0.005963414907455444,1763260247.4821372,102784,289.71661376953125,0.00023840245557948947,191.22855710983276,0.5276021361351013,,-8.368492126464844e-05,0.0
,1254,628.0,-0.003275638446211815,0.0018518995493650436,0.008403375744819641,1763260248.7309322,103680,693.5558471679688,0.00023786482051946223,192.47735214233398,0.49861639738082886,,9.268522262573242e-05,0.00390625
,1271,629.0,0.01914108172059059,0.0005768323317170143,-0.007644396275281906,1763260251.2397575,105472,0.0011242014588788152,0.00023678955039940774,194.986177444458,0.5316691994667053,,-0.022202372550964355,0.0
,1299,631.0,-0.006185799837112427,0.0010429732501506805,-0.010344576090574265,1763260255.2123122,108288,96.5905532836914,0.0002350998402107507,198.9587321281433,0.6140531301498413,,5.990266799926758e-05,0.0
,1339,635.0,0.004554525017738342,0.0011762920767068863,0.00026576779782772064,1763260260.5737169,112512,0.000656109768897295,0.00023256528947968036,204.3201367855072,0.5256679058074951,,0.04967367649078369,0.001953125
,1340,636.0,0.003758728504180908,0.00558994896709919,-0.002203095704317093,1763260260.6859279,112640,0.00027310228324495256,0.00023248848447110504,204.43234777450562,0.5262250900268555,,-0.6148983240127563,0.0078125
,1349,638.0,0.0006796717643737793,0.0005327202379703522,-0.008468680083751678,1763260261.5041635,113536,0.000912221847102046,0.0002319508494110778,205.25058341026306,0.5544832944869995,,-0.098793625831604,0.0
,1363,641.0,-0.0004659956321120262,0.0006278669461607933,-0.0005791652947664261,1763260262.7821481,114944,0.00041583029087632895,0.00023110599431674927,206.5285680294037,0.5786197185516357,,0.15068906545639038,0.0
500.0,1365,,,,,1763260262.9330244,115172,,,206.67944431304932,,500.0,,
500.0,1370,,,,,1763260263.6082947,115672,,,207.3547146320343,,500.0,,
500.0,1380,,,,,1763260264.8247564,116672,,,208.57117629051208,,500.0,,
,1381,643.0,-0.0014156308025121689,0.0003238637000322342,-0.006209723651409149,1763260264.9661999,116736,452.4522399902344,0.0002300307241966948,208.71261978149414,0.500783383846283,,0.00021606683731079102,0.0
,1388,644.0,0.003353353589773178,0.00051836296916008,-0.0003843456506729126,1763260265.8465047,117504,0.000494267325848341,0.00022956989414524287,209.59292459487915,0.5936761498451233,,0.00938570499420166,0.0
500.0,1395,,,,,1763260266.6338055,118172,,,210.38022541999817,,500.0,,
,1399,646.0,0.008973227813839912,0.0039588045328855515,-0.009039685130119324,1763260267.2231374,118656,0.0004975839401595294,0.000228878649068065,210.96955728530884,0.5105097889900208,,-0.17122268676757812,0.00390625
500.0,1405,,,,,1763260267.8794324,119172,,,211.6258523464203,,500.0,,
,1432,650.0,0.011103893630206585,0.004170862026512623,-0.013648482039570808,1763260271.1897364,121984,0.0008954055956564844,0.00022688171884510666,214.93615627288818,0.46533089876174927,,-0.06700015068054199,0.00390625
,1433,650.0,0.0030335253104567528,0.0003841286525130272,0.008939296007156372,1763260271.3013513,122112,0.0002966634929180145,0.00022680491383653134,215.04777121543884,0.4676758348941803,,-0.04568970203399658,0.0
,1455,655.0,-0.0005677379667758942,0.0003394056111574173,0.004107516258955002,1763260273.2830248,124288,697.8609619140625,0.0002254992286907509,217.02944469451904,0.47740671038627625,,-0.00017702579498291016,0.0
,1456,655.0,0.0029950179159641266,0.0006568077951669693,-0.0034962426871061325,1763260273.393927,124416,0.00727211544290185,0.00022542242368217558,217.14034700393677,0.5301212072372437,,0.03353613615036011,0.0
,1457,656.0,0.006712985225021839,0.004868128336966038,-0.02584889717400074,1763260273.503792,124544,0.0006966307992115617,0.00022534561867360026,217.25021195411682,0.4814075827598572,,0.23067468404769897,0.01953125
,1514,662.0,0.013571223244071007,0.0013359971344470978,0.008271146565675735,1763260280.4551713,130432,0.000596029800362885,0.00022181260283105075,224.20159125328064,0.397625595331192,,0.20030736923217773,0.0
500.0,1521,,,,,1763260281.2409756,131172,,,224.98739552497864,,500.0,,
,1525,664.0,-0.00014392100274562836,1.3772398233413696e-05,0.003147020936012268,1763260281.813346,131584,0.0002780620416160673,0.00022112135775387287,225.55976581573486,0.4218495488166809,,-0.10540771484375,0.0
,1527,664.0,-0.00013915728777647018,4.695076495409012e-05,0.0006908401846885681,1763260281.9885924,131712,558.0516357421875,0.00022104455274529755,225.73501229286194,0.4787028431892395,,9.1552734375e-05,0.0
,1529,664.0,-0.0055420976132154465,9.566731750965118e-05,-0.00036085769534111023,1763260282.2716892,131968,0.0011293769348412752,0.0002208909427281469,226.01810908317566,0.4474892020225525,,0.07069075107574463,0.0
,1534,664.0,0.006223172880709171,0.0003592567518353462,-0.009267143905162811,1763260282.8910317,132480,0.0009106551297008991,0.00022058372269384563,226.63745164871216,0.43632128834724426,,0.2836797833442688,0.0
500.0,1536,,,,,1763260283.0534344,132672,,,226.79985427856445,,500.0,,
,1543,666.0,-0.0057501886039972305,0.002520924434065819,-0.006148353219032288,1763260283.8429632,133376,0.007692287210375071,0.0002200460876338184,227.58938312530518,0.4658225476741791,,-0.015353918075561523,0.0
,1545,666.0,-0.0030356328934431076,0.0013599395751953125,-0.015786340460181236,1763260284.0675032,133632,0.00030382766271941364,0.00021989247761666775,227.81392312049866,0.4739566445350647,,-0.06868934631347656,0.0
500.0,1546,,,,,1763260284.0834365,133672,,,227.82985639572144,,500.0,,
,1558,669.0,0.0011904276907444,0.001102358102798462,-0.012614965438842773,1763260285.227583,134912,0.005904728081077337,0.00021912442753091455,228.97400283813477,0.4918798804283142,,-0.03572499752044678,0.0
,1559,669.0,0.016886048018932343,0.0005266321823000908,-0.0019654016941785812,1763260285.3392937,135040,0.0006398289115168154,0.00021904762252233922,229.08571362495422,0.5090717673301697,,-0.08322572708129883,0.009765625
,1563,670.0,-0.001141207292675972,0.0003471504896879196,-0.006990149617195129,1763260285.7014306,135424,0.0014630021760240197,0.00021881720749661326,229.44785046577454,0.569966197013855,,0.010006606578826904,0.0
,1566,670.0,0.00280039943754673,0.00030962564051151276,-0.009516937658190727,1763260285.934505,135680,673.8511962890625,0.00021866359747946262,229.68092489242554,0.5481889247894287,,0.00019824504852294922,0.0
,1588,675.0,0.00300507340580225,0.0007970323786139488,-0.011080339550971985,1763260288.0278857,137984,0.0008345302194356918,0.00021728110732510686,231.7743055820465,0.4623103737831116,,-0.1019049882888794,0.0
,1589,675.0,0.024272849783301353,0.0033088764175772667,-0.020482543855905533,1763260288.1416266,138112,0.00029095003264956176,0.00021720430231653154,231.88804650306702,0.47832560539245605,,0.05747467279434204,0.0
,1597,676.0,0.005305087193846703,0.00018428079783916473,-0.005861004814505577,1763260288.8523786,138880,0.005605973303318024,0.00021674347226507962,232.59879851341248,0.529209315776825,,-0.023816227912902832,0.0
,1607,678.0,2.8977170586586e-05,8.044764399528503e-06,0.0003865286707878113,1763260289.7489038,139904,0.0060424646362662315,0.00021612903219647706,233.4953236579895,0.6051260232925415,,-0.0556638240814209,0.0
,1609,679.0,0.025856008753180504,0.004195531830191612,-0.029978446662425995,1763260290.063264,140160,0.00027171956025995314,0.00021597542217932642,233.80968379974365,0.6022384166717529,,0.10724437236785889,0.00390625
500.0,1610,,,,,1763260290.0689895,140172,,,233.81540942192078,,500.0,,
,1612,679.0,0.007184360176324844,0.0010863952338695526,-0.0015345960855484009,1763260290.3030674,140416,0.00891947653144598,0.00021582181216217577,234.04948735237122,0.4794931709766388,,0.037350356578826904,0.0
,1626,680.0,-0.012226542457938194,0.002408154308795929,-0.005474790930747986,1763260292.2408636,141952,0.0005052420892752707,0.00021490015205927193,235.98728346824646,0.5185546875,,0.1593012809753418,0.001953125
,1638,680.0,-0.001382206566631794,0.0003717346116900444,-0.0033959131687879562,1763260293.6245055,142976,0.022966686636209488,0.00021428571199066937,237.37092542648315,0.5970829725265503,,0.0118827223777771,0.0
,1687,684.0,0.007728699594736099,0.0005081798881292343,0.0011702850461006165,1763260299.5801501,147712,0.00640297494828701,0.00021144392667338252,243.3265700340271,0.5059908628463745,,-0.2783069610595703,0.0
,1732,690.0,-0.0020497431978583336,0.0005545532330870628,0.00212014839053154,1763260304.359058,152320,0.0007784788613207638,0.00020867896091658622,248.105477809906,0.497151255607605,,-1.0386006832122803,0.0
,1745,692.0,0.005725296214222908,0.0002911388874053955,0.00636976957321167,1763260305.5169713,153600,582.5556640625,0.00020791091083083302,249.2633912563324,0.49156227707862854,,-0.00013506412506103516,0.0
,1753,693.0,-0.007018642500042915,0.0005114171653985977,-0.005152173340320587,1763260306.3352575,154496,0.0004395287251099944,0.00020737327577080578,250.0816774368286,0.5233194231987,,-1.1719870567321777,0.0
500.0,1754,,,,,1763260306.355141,154548,,,250.10156083106995,,500.0,,
,1765,695.0,-0.0013618972152471542,0.00012647174298763275,-0.0016069673001766205,1763260307.3782256,155648,599.6610717773438,0.0002066820306936279,251.12464547157288,0.5656666159629822,,-7.867813110351562e-05,0.0
,1768,696.0,0.02589460462331772,0.0021608341485261917,0.006312564015388489,1763260307.7101398,156032,0.00024503192980773747,0.00020645161566790193,251.45655965805054,0.44145920872688293,,0.2568548321723938,0.0
,1777,697.0,-0.001900017261505127,0.00044662319123744965,-0.0006615519523620605,1763260308.5268664,156928,0.00039025413570925593,0.0002059139806078747,252.27328634262085,0.5675420165061951,,-0.015773534774780273,0.0
500.0,1818,,,,,1763260312.2267032,161048,,,255.97312307357788,,500.0,,
500.0,1823,,,,,1763260312.704228,161548,,,256.45064783096313,,500.0,,
500.0,1851,,,,,1763260315.3628,164548,,,259.109219789505,,500.0,,
500.0,1856,,,,,1763260315.8399794,165048,,,259.5863993167877,,500.0,,
,1868,712.0,0.0028434451669454575,0.00022353790700435638,-0.0018120035529136658,1763260317.060339,166272,0.005410218145698309,0.00020030721498187631,260.80675888061523,0.5554853081703186,,-0.022691965103149414,0.0
,1873,712.0,0.006591503508388996,0.0015516607090830803,-0.00835980474948883,1763260317.70481,166784,0.004994862712919712,0.00019999999494757503,261.4512298107147,0.5173205733299255,,0.051892220973968506,0.001953125
