_runtime,global_step,losses/approx_kl,losses/value_loss,charts/SPS,losses/clipfrac,losses/explained_variance,_step,losses/policy_loss,charts/episodic_length,charts/episodic_return,losses/entropy,charts/learning_rate,losses/old_approx_kl,_timestamp
26.575811862945557,0,,,,,,0,,,,,,,1763260082.752879
27.552334308624268,107,,,,,,7,,10.0,10.0,,,,1763260083.7294014
28.239360809326172,715,,,,,,33,,20.0,20.0,,,,1763260084.4164279
28.4658625125885,896,0.0016914820298552513,66.73739624023438,904.0,0.0,-0.02090299129486084,41,-0.007334001362323761,,,0.6459957361221313,0.00029953918419778347,-0.0016957437619566917,1763260084.6429296
28.528048515319824,1017,,,,,,47,,20.0,20.0,,,,1763260084.7051156
29.0580575466156,1419,,,,,,64,,55.0,55.0,,,,1763260085.2351246
29.38360834121704,1772,,,,,,74,,12.0,12.0,,,,1763260085.5606754
29.58747959136963,1920,0.0009481580927968025,200.4893035888672,909.0,0.0,-0.00031828880310058594,77,-0.011337891221046448,,,0.5774887800216675,0.0002989247441291809,0.002311927266418934,1763260085.7645466
30.032212495803833,2322,,,,,,88,,115.0,115.0,,,,1763260086.2092795
31.251742601394653,3040,,,,,,102,,42.0,42.0,,,,1763260087.4288096
31.470054626464844,3157,,,,,,104,,117.0,117.0,,,,1763260087.6471217
34.89494585990906,5120,0.0006843870505690575,164.057861328125,690.0,0.0,0.12859338521957397,133,0.0036533502861857414,,,0.555783748626709,0.0002970046189147979,0.007319101132452488,1763260091.072013
36.846497774124146,6251,,,,,,147,,213.0,213.0,,,,1763260093.0235648
37.28050470352173,6400,1.5968456864356995e-05,244.59967041015625,652.0,0.0,0.06179463863372803,149,0.0008154474198818207,149.0,149.0,0.5676050186157227,0.0002962365688290447,0.0002552885562181473,1763260093.4575717
37.53575015068054,6528,0.0005767829716205597,329.10723876953125,648.0,0.0,-0.014504194259643555,150,-0.0015539228916168213,,,0.5442437529563904,0.0002961597638204694,-0.007529009133577347,1763260093.7128172
38.40753674507141,6979,,,,,,155,,186.0,186.0,,,,1763260094.5846038
38.705015420913696,7140,,,,,,157,,161.0,161.0,,,,1763260094.8820825
41.18955111503601,8272,,,,,,172,,126.0,126.0,,,,1763260097.3666182
44.36096501350403,9865,,,,,,195,,138.0,138.0,,,,1763260100.538032
45.28942537307739,10482,,,,,,203,,153.0,153.0,,,,1763260101.4664924
46.50135684013367,11168,,,,,,213,,153.0,153.0,,,,1763260102.678424
47.08911633491516,11520,0.0015463130548596382,139.34153747558594,587.0,0.001953125,0.5624147653579712,217,0.015772797167301178,,,0.5698714852333069,0.0002931643684860319,-0.0043901121243834496,1763260103.2661834
48.74197483062744,12544,1.599825918674469e-05,236.64163208007812,589.0,0.0,0.007922589778900146,228,0.0020505189895629883,,,0.5430328845977783,0.00029254992841742933,-0.0019663311541080475,1763260104.9190419
49.20995855331421,12846,,,,,,233,,181.0,181.0,,,,1763260105.3870256
51.40791368484497,14111,,,,,,251,,226.0,226.0,,,,1763260107.5849807
52.41685724258423,14827,,,,,,259,,325.0,325.0,,,,1763260108.5939243
53.22849178314209,15232,0.0008134897798299789,117.23843383789062,591.0,0.0,0.006042003631591797,265,-0.010860754176974297,,,0.45774897933006287,0.0002909370232373476,0.015288321301341057,1763260109.4055588
54.18260383605957,15744,0.00016890186816453934,137.74839782714844,589.0,0.0,0.016832947731018066,273,-0.0010563116520643234,,,0.5200738310813904,0.0002906298032030463,0.0035729678347706795,1763260110.3596709
54.2553346157074,15866,,,,,,274,,126.0,126.0,,,,1763260110.4324017
56.579596757888794,17280,0.0004572998732328415,178.04737854003906,593.0,0.0,-0.22961008548736572,292,-0.0027921125292778015,,,0.5190471410751343,0.0002897081431001425,0.0006635058671236038,1763260112.7566638
60.1789345741272,19328,2.0645558834075928e-05,102.20477294921875,591.0,0.0,0.36109042167663574,321,0.00027854740619659424,,,0.5291242003440857,0.00028847926296293736,0.0009139794856309891,1763260116.3560016
61.02867865562439,19840,2.7788802981376648e-05,138.0250244140625,591.0,0.0,-0.008105635643005371,327,-0.0014054104685783386,,,0.534390926361084,0.0002881720429286361,-0.0014453306794166565,1763260117.2057457
61.490394115448,20096,0.0027083121240139008,58.84463882446289,590.0,0.0078125,0.39187943935394287,330,-0.011826034635305405,,,0.5490005016326904,0.00028801843291148543,-0.0073412517085671425,1763260117.6674612
61.72292375564575,20245,,,,,,332,,181.0,181.0,,,,1763260117.8999908
62.368776082992554,20705,,,,,,337,,190.0,190.0,,,,1763260118.5458431
62.78487014770508,20949,,,,,,340,,244.0,244.0,,,,1763260118.9619372
66.89667797088623,23424,0.0008716080337762833,239.70120239257812,594.0,0.0,-8.003457069396973,370,-0.014868572354316711,,,0.5021603107452393,0.0002860215026885271,-0.0015952903777360916,1763260123.073745
67.4975380897522,23845,,,,,,375,,413.0,413.0,,,,1763260123.6746051
70.12840008735657,25661,,,,,,396,,202.0,202.0,,,,1763260126.3054671
74.33215498924255,28288,8.473452180624008e-05,81.84899139404297,603.0,0.0,0.2950451374053955,425,-0.004569649696350098,,,0.5863568782806396,0.00028310291236266494,0.001335623674094677,1763260130.509222
76.99400973320007,29824,0.00014839507639408112,39.37511444091797,602.0,0.0,0.8679006099700928,441,0.001070648431777954,,,0.5152069330215454,0.0002821812522597611,0.00014176592230796814,1763260133.1710768
78.35443782806396,30515,,,,,,450,,132.0,132.0,,,,1763260134.5315049
81.69543409347534,32304,,,,,,471,,405.0,405.0,,,,1763260137.8725011
83.05521178245544,33135,,,,,,481,,370.0,370.0,,,,1763260139.2322788
