losses/approx_kl,losses/policy_loss,losses/explained_variance,charts/learning_rate,_step,charts/SPS,losses/value_loss,losses/old_approx_kl,_timestamp,_runtime,losses/clipfrac,charts/episodic_length,charts/episodic_return,global_step,losses/entropy
,,,,0,,,,1763260083.0376468,26.789763689041138,,,,0,
,,,,7,,,,1763260084.0010207,27.753137588500977,,37.0,37.0,171,
,,,,33,,,,1763260084.578562,28.330678939819336,,54.0,54.0,767,
,,,,41,,,,1763260084.7909932,28.543110132217407,,18.0,18.0,944,
,,,,47,,,,1763260084.9227254,28.674842357635498,,36.0,36.0,1077,
,,,,64,,,,1763260085.4692056,29.221322536468506,,19.0,19.0,1611,
,,,,74,,,,1763260085.866089,29.618206024169922,,145.0,145.0,2008,
0.00012585055083036423,-0.002298504114151001,-0.05640542507171631,0.00029877113411203027,77,986.0,360.51495361328125,0.00234962347894907,1763260086.0668776,29.818994522094727,0.0,,,2176,0.5968045592308044
,,,,88,,,,1763260086.9745498,30.726666688919067,,81.0,81.0,2702,
,,,,102,,,,1763260088.2205946,31.97271156311035,,93.0,93.0,3435,
,,,,104,,,,1763260088.4546986,32.20681548118591,,77.0,77.0,3512,
0.00010175071656703949,-0.005445800721645355,0.03936809301376343,0.00029723503394052386,133,647.0,114.10070037841797,0.0013578291982412338,1763260091.1729195,34.92503643035889,0.0,,,4736,0.58473801612854
,,,,147,,,,1763260092.586809,36.33892583847046,,93.0,93.0,5462,
,,,,149,,,,1763260092.8530922,36.60520911216736,,104.0,104.0,5566,
0.0002015959471464157,-0.00290040485560894,-0.05287325382232666,0.0002966973988804966,150,606.0,126.97474670410156,0.003110254183411598,1763260093.1492727,36.901389598846436,0.0,66.0,66.0,5632,0.5873309969902039
,,,,155,,,,1763260093.8450665,37.59718346595764,,103.0,103.0,5938,
0.0012257657945156097,0.013381365686655045,0.18297040462493896,0.00029646698385477066,157,584.0,95.01539611816406,0.00812261551618576,1763260094.1480086,37.90012550354004,0.001953125,,,6016,0.6153967380523682
,,,,172,,,,1763260096.6455016,40.397618532180786,,211.0,211.0,7094,
1.0159797966480255e-05,0.001440209336578846,0.08712524175643921,0.0002947004686575383,195,543.0,260.259765625,0.0003208788111805916,1763260100.3589315,44.111048460006714,0.0,,,8960,0.5768440365791321
,,,,203,,,,1763260101.2932472,45.04536414146423,,186.0,186.0,9485,
2.7431175112724304e-05,-0.0011674612760543823,-0.07782506942749023,0.0002939324185717851,213,546.0,203.94696044921875,0.00020107440650463104,1763260102.5971475,46.34926438331604,0.0,,,10240,0.5663331151008606
,,,,217,,,,1763260103.2305508,46.982667684555054,,414.0,414.0,10649,
,,,,228,,,,1763260104.7333024,48.485419273376465,,247.0,247.0,11561,
,,,,233,,,,1763260105.373789,49.125905990600586,,161.0,161.0,11908,
0.0009500160813331604,-0.01253528892993927,0.04456031322479248,0.0002921659033745527,251,555.0,118.53439331054688,0.009879790246486664,1763260107.593152,51.345268964767456,0.0,,,13184,0.5681299567222595
8.333567529916763e-05,-0.004937384277582169,0.10363519191741943,0.00029185868334025145,259,555.0,100.5816879272461,0.003174195997416973,1763260108.5079882,52.26010513305664,0.0,,,13696,0.5184348225593567
0.0006633074954152107,0.008025698363780975,0.01868116855621338,0.00029155146330595016,265,557.0,196.76499938964844,0.007151559926569462,1763260109.340723,53.09283995628357,0.001953125,,,14208,0.5723749399185181
1.3967975974082947e-05,-0.001926921308040619,0.05713653564453125,0.0002912442432716489,273,556.0,71.26861572265625,-0.00015657395124435425,1763260110.3126538,54.06477069854736,0.0,,,14720,0.5723594427108765
,,,,274,,,,1763260110.3535783,54.10569524765015,,110.0,110.0,14782,
0.00030467286705970764,0.007363066077232361,-0.54714035987854,0.00029032258316874504,292,560.0,236.4491424560547,-0.006427450105547905,1763260112.8690906,56.62120747566223,0.005859375,,,16256,0.5282542109489441
,,,,321,,,,1763260116.4436014,60.19571828842163,,145.0,145.0,18295,
0.006979663856327534,-0.009120464324951172,0.7782821655273438,0.00028886328800581396,327,558.0,37.598175048828125,0.027584832161664963,1763260117.3265665,61.078683376312256,0.048828125,,,18688,0.5833360552787781
