losses/value_loss,charts/episodic_return,charts/learning_rate,_runtime,global_step,charts/episodic_length,losses/explained_variance,losses/old_approx_kl,_step,losses/clipfrac,losses/approx_kl,losses/policy_loss,charts/SPS,_timestamp,losses/entropy
,,,26.141098022460938,0,,,,0,,,,,1763260082.401455,
,27.0,,27.584811210632324,174,27.0,,,7,,,,,1763260083.845168,
,16.0,,28.158098459243774,762,16.0,,,33,,,,,1763260084.4184554,
,17.0,,28.39400863647461,920,17.0,,,41,,,,,1763260084.6543655,
,28.0,,28.523194789886475,1058,28.0,,,47,,,,,1763260084.7835517,
,22.0,,29.020293951034546,1547,22.0,,,64,,,,,1763260085.2806509,
,39.0,,29.454753160476685,2009,39.0,,,74,,,,,1763260085.71511,
,49.0,,29.580502033233643,2162,49.0,,,77,,,,,1763260085.840859,
,42.0,,30.07236886024475,2504,42.0,,,88,,,,,1763260086.3327258,
,74.0,,31.371079206466675,3073,74.0,,,102,,,,,1763260087.631436,
217.40472412109375,,0.0002981566940434277,31.585373401641846,3200,,-0.017688512802124023,0.0020321961492300034,104,0.0,0.00019802339375019073,0.0013110172003507614,763.0,1763260087.8457303,0.6062352061271667
91.75395965576172,,0.0002973118389490992,34.427969217300415,4608,,-0.016915202140808105,0.00407613068819046,133,0.0,0.00010635703802108765,-0.0018235743045806885,654.0,1763260090.6883261,0.592296302318573
,21.0,,35.80558919906616,5331,21.0,,,147,,,,,1763260092.065946,
,128.0,,36.05926752090454,5459,128.0,,,149,,,,,1763260092.3196244,
143.26980590820312,,0.00029677420388907194,36.27148723602295,5504,,0.3516271710395813,0.0008200705051422119,150,0.0,9.883008897304535e-05,0.0007180459797382355,619.0,1763260092.5318441,0.5499234795570374
138.20896911621094,,0.0002966205938719213,36.87404489517212,5760,,0.1319177746772766,0.005994509905576706,155,0.0,0.00017925165593624115,-0.005095645785331726,607.0,1763260093.1344018,0.5883123278617859
175.6771240234375,,0.000296543788863346,37.182928800582886,5888,,0.015980839729309082,0.000787440687417984,157,0.0,7.95908272266388e-06,-0.0013748332858085632,601.0,1763260093.4432857,0.5666953325271606
,67.0,,39.221627712249756,6691,67.0,,,172,,,,,1763260095.4819846,
146.04190063476562,,0.0002950844937004149,42.8460910320282,8320,,0.4058259129524231,-0.000188460573554039,195,0.0,0.00012101233005523682,0.0026033595204353333,538.0,1763260099.106448,0.5841855406761169
,86.0,,43.69260096549988,8741,86.0,,,203,,,,,1763260099.9529579,
134.05020141601562,,0.00029447005363181233,44.915913105010986,9344,,0.12744837999343872,0.0015629259869456291,213,0.0,1.4322809875011444e-05,0.0006479239091277122,533.0,1763260101.17627,0.6309452056884766
,135.0,,45.41607999801636,9692,135.0,,,217,,,,,1763260101.676437,
207.6355438232422,,0.00029385561356320977,46.782228231430054,10368,,0.09843069314956665,0.0011207340285182,228,0.0,3.7779100239276886e-05,-0.001296989619731903,534.0,1763260103.0425851,0.5986402630805969
,95.0,,47.29310846328735,10643,95.0,,,233,,,,,1763260103.5534654,
179.03565979003906,,0.0002928571484517306,49.68500113487244,12032,,0.05016237497329712,-0.002842637710273266,251,0.0,0.0005726749077439308,0.0009493008255958557,539.0,1763260105.945358,0.5661824345588684
204.92898559570312,,0.000292473123408854,50.779635190963745,12672,,0.04418373107910156,-0.0028446586802601814,259,0.0,0.0015206700190901756,0.020047098398208618,541.0,1763260107.039992,0.567212700843811
217.22332763671875,,0.0002921659033745527,51.6130576133728,13184,,0.002368927001953125,-0.00026308000087738037,265,0.0,7.726065814495087e-05,-0.004866316914558411,544.0,1763260107.8734145,0.6021847128868103
127.62155151367188,,0.0002917818783316761,52.67847561836243,13824,,0.0865628719329834,0.009476627223193645,273,0.0,0.0007315864786505699,-0.005714938044548035,546.0,1763260108.9388325,0.44323962926864624
215.21282958984375,,0.0002917050733231008,52.876211404800415,13952,,0.010358989238739014,-0.0007174089550971985,274,0.0,1.1920928955078125e-05,-0.00047181546688079834,547.0,1763260109.1365683,0.5792264938354492
,185.0,,55.44228911399841,15565,185.0,,,292,,,,,1763260111.702646,
109.41089630126953,,0.0002893241180572659,59.49323916435242,17920,,0.3423709273338318,0.001620488241314888,321,0.0,0.000293804332613945,-0.005380153656005859,558.0,1763260115.753596,0.526336669921875
36.38006591796875,,0.0002890168980229646,60.41009259223938,18432,,0.8158806562423706,0.0005540680140256882,327,0.0,7.856637239456177e-06,-0.0013239271938800812,558.0,1763260116.6704495,0.5609126687049866
159.25059509277344,,0.00028886328800581396,60.85735869407654,18688,,0.5466384887695312,-0.009164603427052498,330,0.017578125,0.0013114959001541138,0.01921732723712921,558.0,1763260117.1177156,0.551957368850708
,256.0,,61.10940480232239,18825,256.0,,,332,,,,,1763260117.3697617,
135.39564514160156,,0.00028847926296293736,61.949312925338745,19328,,0.03009432554244995,-0.0010549155995249748,337,0.0,8.926447480916977e-05,0.0010220631957054138,559.0,1763260118.2096698,0.5384376645088196
123.74169921875,,0.0002883256529457867,62.385316610336304,19584,,0.0018374323844909668,0.0004041846841573715,340,0.0,9.188614785671234e-05,0.003354335203766823,559.0,1763260118.6456735,0.5621796250343323
,308.0,,66.44396162033081,22034,308.0,,,370,,,,,1763260122.7043185,
24.902456283569336,,0.00028663594275712967,67.07673931121826,22400,,0.837931752204895,0.004819831810891628,375,0.0,0.00047742854803800583,-0.002037256956100464,564.0,1763260123.3370962,0.5555504560470581
20.245912551879883,,0.0002856374776456505,69.64363098144531,24064,,0.8477720022201538,0.0022124359384179115,396,0.0,6.206240504980087e-05,0.001026839017868042,569.0,1763260125.903988,0.5632228255271912
