losses/entropy,_runtime,losses/approx_kl,_timestamp,losses/value_loss,losses/old_approx_kl,charts/episodic_length,charts/learning_rate,losses/explained_variance,losses/policy_loss,_step,charts/SPS,global_step,losses/clipfrac,charts/episodic_return
,6.572688579559326,,1763260048.7021265,,,12.0,,,,228,,3337,,12.0
,6.6090803146362305,,1763260048.7385182,,,13.0,,,,233,,3418,,13.0
,7.122591733932495,,1763260049.2520297,,,29.0,,,,251,,3903,,29.0
,7.386056661605835,,1763260049.5154946,,,34.0,,,,259,,4097,,34.0
,7.621386289596558,,1763260049.7508242,,,44.0,,,,265,,4364,,44.0
,7.907347679138184,,1763260050.0367856,,,50.0,,,,273,,4682,,50.0
0.5293288230895996,7.994982957839966,0.009879077784717083,1763260050.124421,1.928938388824463,0.03046720288693905,,0.00029723503394052386,0.06328237056732178,-0.008164466358721256,274,975.0,4736,0.03125,
,8.394845724105835,,1763260050.5242836,,,35.0,,,,292,,5212,,35.0
,9.354660987854004,,1763260051.484099,,,34.0,,,,327,,6169,,34.0
0.4504907429218292,9.461845636367798,0.0015822770074009895,1763260051.5912836,0.27166205644607544,-0.0023760097101330757,,0.00029631337383762,0.1497541069984436,-0.01616864651441574,330,991.0,6272,0.001953125,
,9.484596490859985,,1763260051.6140344,,,26.0,,,,332,,6323,,26.0
0.49099987745285034,9.703120231628418,0.0002553025260567665,1763260051.8325582,0.24614061415195465,0.001468307338654995,,0.0002961597638204694,0.22222226858139038,0.0031907260417938232,340,994.0,6528,0.0,
,10.988330125808716,,1763260053.117768,,,52.0,,,,370,,7934,,52.0
,12.170316457748413,,1763260054.2997544,,,71.0,,,,396,,9155,,71.0
,13.7171471118927,,1763260055.846585,,,38.0,,,,425,,10445,,38.0
,14.39664602279663,,1763260056.526084,,,50.0,,,,441,,11033,,50.0
0.3465737998485565,14.776337623596191,0.004326106980443001,1763260056.9057755,4.061650276184082,0.011359808966517448,,0.0002932411734946072,0.880098283290863,-0.013239089399576187,450,978.0,11392,0.0078125,
,15.507445096969604,,1763260057.636883,,,48.0,,,,471,,12034,,48.0
,15.828651905059814,,1763260057.9580898,,,42.0,,,,481,,12384,,42.0
,16.108182907104492,,1763260058.2376208,,,34.0,,,,490,,12663,,34.0
,16.593252182006836,,1763260058.72269,,,25.0,,,,504,,13054,,25.0
,16.935922384262085,,1763260059.0653603,,,45.0,,,,515,,13397,,45.0
,17.412121772766113,,1763260059.5415597,,,48.0,,,,530,,13909,,48.0
,17.7177574634552,,1763260059.8471954,,,34.0,,,,539,,14147,,34.0
,18.20841932296753,,1763260060.3378572,,,38.0,,,,555,,14707,,38.0
,18.329416275024414,,1763260060.4588542,,,49.0,,,,559,,14842,,49.0
0.36606401205062866,18.7052743434906,3.86163592338562e-05,1763260060.8347123,3.0011837482452393,-0.001141941174864769,,0.0002910138282459229,0.9476145505905151,-0.00074048712849617,568,970.0,15104,0.0,
,19.440396070480347,,1763260061.569834,,,33.0,,,,595,,15894,,33.0
,19.994146823883057,,1763260062.1235847,,,29.0,,,,614,,16420,,29.0
,20.377193927764893,,1763260062.5066319,,,31.0,,,,630,,16870,,31.0
0.33606722950935364,20.574291944503784,0.0009243553504347801,1763260062.7037299,1.2761074304580688,-0.009618652053177357,,0.0002898617531172931,0.9703044295310974,-0.009038060903549194,636,976.0,17024,0.0,
,20.623087406158447,,1763260062.7525253,,,27.0,,,,640,,17145,,27.0
,21.383850812911987,,1763260063.5132887,,,50.0,,,,664,,17803,,50.0
0.29393628239631653,22.045838832855225,7.129926234483719e-05,1763260064.1752768,0.7556465864181519,-0.0008118143305182457,,0.0002890168980229646,0.984599769115448,-0.0010471232235431671,684,974.0,18432,0.0,
0.3581070899963379,22.166722774505615,0.0003729797899723053,1763260064.2961607,0.6442887783050537,0.009269589558243752,,0.0002889400930143893,0.9908018708229065,-0.006937090307474136,689,975.0,18560,0.0,
,22.423938989639282,,1763260064.553377,,,46.0,,,,698,,18875,,46.0
,22.675238370895386,,1763260064.8046763,,,28.0,,,,707,,19178,,28.0
,23.4280526638031,,1763260065.5574906,,,41.0,,,,729,,19865,,41.0
,24.8062686920166,,1763260066.9357066,,,51.0,,,,767,,21364,,51.0
0.28140854835510254,25.285338401794434,0.001579667441546917,1763260067.4147763,0.09760096669197083,-0.019575253129005432,,0.00028701996780000627,-0.007878661155700684,-0.0021599680185317993,775,982.0,21760,0.0,
,25.67935037612915,,1763260067.8087883,,,69.0,,,,788,,22267,,69.0
,26.033841609954834,,1763260068.1632795,,,42.0,,,,797,,22648,,42.0
,26.409344911575317,,1763260068.5387828,,,36.0,,,,806,,22944,,36.0
,28.619664669036865,,1763260070.7491026,,,28.0,,,,863,,25255,,28.0
,28.882728576660156,,1763260071.0121665,,,30.0,,,,872,,25593,,30.0
,28.989808320999146,,1763260071.1192462,,,25.0,,,,876,,25686,,25.0
0.3417110741138458,30.491071224212646,0.0008413158357143402,1763260072.6205091,64.48825073242188,0.001290399581193924,,0.0002837941574398428,0.4904886484146118,0.001757647842168808,922,992.0,27136,0.0,
0.41687455773353577,30.72718334197998,0.0002650199458003044,1763260072.8566213,32.19131088256836,-0.0006251810118556023,,0.0002836405474226922,-0.013622760772705078,-0.004754317924380302,930,992.0,27392,0.0,
,30.894636154174805,,1763260073.024074,,,34.0,,,,938,,27646,,34.0
,31.00312042236328,,1763260073.1325583,,,42.0,,,,941,,27751,,42.0
0.41840660572052,31.079835653305054,0.0005653006955981255,1763260073.2092736,0.4414139986038208,-0.01325435470789671,,0.0002834101323969662,-0.01213061809539795,0.002675004303455353,942,994.0,27776,0.0,
,31.234660625457764,,1763260073.3640985,,,52.0,,,,948,,27995,,52.0
,32.062034130096436,,1763260074.191472,,,82.0,,,,974,,28789,,82.0
,32.27633571624756,,1763260074.4057736,,,96.0,,,,980,,28986,,96.0
,32.39561176300049,,1763260074.5250497,,,33.0,,,,985,,29115,,33.0
,33.36943483352661,,1763260075.4988728,,,41.0,,,,1015,,30111,,41.0
0.39623701572418213,33.87949800491333,0.0002236776053905487,1763260076.008936,0.20186962187290192,-0.0017004888504743576,,0.0002817204222083092,-0.0097121000289917,0.006612084805965424,1031,995.0,30592,0.0,
,34.37037777900696,,1763260076.4998157,,,28.0,,,,1050,,31128,,28.0
0.33413177728652954,34.47699785232544,0.0021452344954013824,1763260076.6064358,0.2337338626384735,-0.00041680410504341125,,0.00028133639716543257,-0.002376556396484375,-0.007197262719273567,1053,996.0,31232,0.0,
,34.60294699668884,,1763260076.732385,,,30.0,,,,1058,,31366,,30.0
,35.482903718948364,,1763260077.6123416,,,41.0,,,,1083,,32296,,41.0
,35.731679916381836,,1763260077.8611178,,,34.0,,,,1091,,32591,,34.0
,36.34429430961609,,1763260078.4737322,,,77.0,,,,1106,,33205,,77.0
,36.81059288978577,,1763260078.9400308,,,55.0,,,,1118,,33732,,55.0
,37.33624863624573,,1763260079.4656866,,,56.0,,,,1133,,34295,,56.0
,37.77178764343262,,1763260079.9012256,,,39.0,,,,1145,,34720,,39.0
,38.43217468261719,,1763260080.5616126,,,65.0,,,,1164,,35438,,65.0
