losses/explained_variance,losses/old_approx_kl,losses/clipfrac,losses/value_loss,losses/policy_loss,_timestamp,losses/entropy,_runtime,charts/episodic_return,losses/approx_kl,charts/learning_rate,_step,global_step,charts/SPS,charts/episodic_length
,,,,,1763260089.761198,,47.617016077041626,89.0,,,1299,46534,,89.0
,,,,,1763260091.8071582,,49.66297626495361,110.0,,,1339,48510,,110.0
0.7674639225006104,0.007350500673055649,0.0,52.458953857421875,-0.004412487149238586,1763260091.8858652,0.5128345489501953,49.7416832447052,,0.0003020595759153366,0.0002709677501115948,1340,48512,1021.0,
,,,,,1763260092.9229712,,50.77878928184509,14.0,,,1363,49520,,14.0
,,,,,1763260093.0541449,,50.90996289253235,120.0,,,1365,49640,,120.0
,,,,,1763260093.3618658,,51.21768379211426,108.0,,,1370,49880,,108.0
,,,,,1763260093.731725,,51.58754301071167,115.0,,,1380,50253,,115.0
,,,,,1763260093.7402213,,51.59603929519653,20.0,,,1381,50273,,20.0
,,,,,1763260093.9739673,,51.82978534698486,13.0,,,1388,50533,,13.0
0.9544697999954224,-0.006179130636155605,0.0,0.10329792648553848,-0.004180185496807098,1763260094.2813253,0.620947003364563,52.13714337348938,,0.0006859404966235161,0.00026958525995723903,1395,50816,1018.0,
,,,,,1763260094.4528759,,52.30869388580322,97.0,,,1399,50960,,97.0
,,,,,1763260094.720504,,52.576322078704834,136.0,,,1405,51246,,136.0
0.854036808013916,0.0027919700369238853,0.0,0.027253352105617523,-0.014642558991909027,1763260095.900953,0.5538442730903625,53.756771087646484,,0.0014091664925217628,0.00026858679484575987,1432,52480,1018.0,
,,,,,1763260095.9283056,,53.78412365913391,100.0,,,1433,52549,,100.0
,,,,,1763260096.51751,,54.37332797050476,85.0,,,1455,53177,,85.0
,,,,,1763260096.5542336,,54.410051584243774,67.0,,,1456,53244,,67.0
0.1910400390625,0.008099422790110111,0.00390625,0.06745452433824539,-0.03213227167725563,1763260096.6739686,0.5188620686531067,54.529786586761475,,0.002573150210082531,0.00026812596479430795,1457,53248,1018.0,
