charts/learning_rate,global_step,losses/old_approx_kl,charts/SPS,charts/episodic_return,_step,_runtime,losses/policy_loss,losses/explained_variance,_timestamp,losses/entropy,losses/approx_kl,losses/clipfrac,losses/value_loss,charts/episodic_length
,41978,,,12.0,1877,46.21153473854065,,,1763260088.3225687,,,,,12.0
,42588,,,10.0,1920,46.929107427597046,,,1763260089.0401413,,,,,10.0
,43182,,,26.0,1959,47.55522871017456,,,1763260089.6662626,,,,,26.0
0.0002740399504546076,43392,-0.0064594559371471405,953.0,,1973,47.79241967201233,0.0009615737944841385,-0.00032258033752441406,1763260089.9034536,0.6448879241943359,0.0002537183463573456,0.0,8.74353313446045,
,43585,,,21.0,1985,48.03244066238403,,,1763260090.1434746,,,,,21.0
0.00027350231539458036,44288,-0.0009203581139445305,952.0,,2024,48.758686542510986,0.0015599951148033142,-0.0009158849716186523,1763260090.8697205,0.6349533796310425,0.0001660594716668129,0.0,8.766497611999512,
,44749,,,14.0,2051,49.246999740600586,,,1763260091.3580337,,,,,14.0
,45084,,,42.0,2070,49.60599184036255,,,1763260091.7170258,,,,,42.0
,45201,,,19.0,2076,49.72396922111511,,,1763260091.8350031,,,,,19.0
,45499,,,12.0,2094,49.9999897480011,,,1763260092.1110237,,,,,12.0
,46554,,,19.0,2155,51.09787106513977,,,1763260093.208905,,,,,19.0
,47076,,,15.0,2185,51.67993664741516,,,1763260093.7909706,,,,,15.0
0.00027158219018019736,47488,-0.021416477859020233,952.0,,2211,52.14177584648132,-0.010805543512105942,-0.00013506412506103516,1763260094.2528098,0.6573488116264343,0.0009414395317435265,0.0,4.545897960662842,
,47529,,,12.0,2214,52.162325859069824,,,1763260094.2733598,,,,,12.0
,47674,,,11.0,2225,52.30070734024048,,,1763260094.4117413,,,,,11.0
,47707,,,33.0,2226,52.3135199546814,,,1763260094.4245539,,,,,33.0
,47839,,,13.0,2235,52.54981064796448,,,1763260094.6608446,,,,,13.0
,48093,,,19.0,2253,52.90356683731079,,,1763260095.0146008,,,,,19.0
,48458,,,17.0,2272,53.27200889587402,,,1763260095.3830428,,,,,17.0
,49099,,,13.0,2312,54.10523962974548,,,1763260096.2162735,,,,,13.0
,49246,,,19.0,2318,54.27188158035278,,,1763260096.3829155,,,,,19.0
,49328,,,24.0,2324,54.40874123573303,,,1763260096.5197752,,,,,24.0
0.00027043011505156755,49408,-0.004057449288666248,945.0,,2329,54.539180278778076,-0.025987133383750916,-0.00031054019927978516,1763260096.6502142,0.640329122543335,0.0022754622623324394,0.0,4.312400817871094,
0.0002702765050344169,49664,0.005229005590081215,944.0,,2339,54.878074645996094,-0.03308199346065521,-0.0004056692123413086,1763260096.9891086,0.6093400716781616,0.0029149986803531647,0.0,4.3357439041137695,
,49915,,,14.0,2348,55.130611181259155,,,1763260097.241645,,,,,14.0
0.00027004609000869095,50048,-0.005259792320430279,942.0,,2354,55.38180184364319,0.013910273090004921,-0.0001729726791381836,1763260097.4928358,0.6338187456130981,0.00039771106094121933,0.0,0.3051346242427826,
,52191,,,16.0,2449,58.07297420501709,,,1763260100.1840081,,,,,16.0
,54171,,,97.0,2514,60.469807863235474,,,1763260102.5808418,,,,,97.0
0.0002675115247257054,54272,-0.0033981865271925926,930.0,,2515,60.57087182998657,0.0003436654806137085,-0.00013709068298339844,1763260102.6819057,0.5865665674209595,0.0001239599660038948,0.0,6.846189975738525,
,55027,,,64.0,2533,61.21461772918701,,,1763260103.3256516,,,,,64.0
,55211,,,23.0,2540,61.486647844314575,,,1763260103.5976818,,,,,23.0
,55455,,,52.0,2547,61.72358584403992,,,1763260103.8346198,,,,,52.0
,57828,,,25.0,2610,64.01142597198486,,,1763260106.12246,,,,,25.0
,58770,,,21.0,2646,65.02254986763,,,1763260107.1335838,,,,,21.0
,58863,,,54.0,2648,65.07127833366394,,,1763260107.1823123,,,,,54.0
,59672,,,62.0,2683,65.97726821899414,,,1763260108.0883021,,,,,62.0
,59843,,,37.0,2689,66.11426758766174,,,1763260108.2253015,,,,,37.0
,61353,,,14.0,2752,67.66072821617126,,,1763260109.7717621,,,,,14.0
,61835,,,15.0,2782,68.25584197044373,,,1763260110.366876,,,,,15.0
,64679,,,16.0,2997,71.61939644813538,,,1763260113.7304304,,,,,16.0
,65578,,,55.0,3051,72.66995620727539,,,1763260114.7809901,,,,,55.0
,65805,,,14.0,3066,72.92133903503418,,,1763260115.032373,,,,,14.0
,66231,,,17.0,3098,73.34219431877136,,,1763260115.4532282,,,,,17.0
,66737,,,15.0,3127,73.96721768379211,,,1763260116.0782516,,,,,15.0
,66951,,,11.0,3141,74.20514988899231,,,1763260116.3161838,,,,,11.0
,67395,,,20.0,3170,74.6221981048584,,,1763260116.733232,,,,,20.0
,67683,,,16.0,3188,75.0729079246521,,,1763260117.1839418,,,,,16.0
,68283,,,18.0,3224,75.71945023536682,,,1763260117.8304842,,,,,18.0
,68666,,,11.0,3247,76.201824426651,,,1763260118.3128583,,,,,11.0
,68837,,,16.0,3255,76.35472321510315,,,1763260118.4657571,,,,,16.0
,70802,,,17.0,3338,78.65819835662842,,,1763260120.7692323,,,,,17.0
,71156,,,74.0,3351,79.38131523132324,,,1763260121.4923491,,,,,74.0
,72067,,,22.0,3398,82.07570314407349,,,1763260124.186737,,,,,22.0
,72689,,,31.0,3426,83.68303537368774,,,1763260125.7940693,,,,,31.0
,73177,,,17.0,3451,85.82160019874573,,,1763260127.932634,,,,,17.0
,74144,,,18.0,3503,91.44699287414551,,,1763260133.5580268,,,,,18.0
,74656,,,49.0,3537,94.28096652030945,,,1763260136.3920004,,,,,49.0
,74926,,,15.0,3555,95.70223879814148,,,1763260137.8132727,,,,,15.0
,75206,,,12.0,3576,97.29877400398254,,,1763260139.409808,,,,,12.0
,76594,,,15.0,3669,104.93507885932922,,,1763260147.0461128,,,,,15.0
,76812,,,14.0,3684,106.19457960128784,,,1763260148.3056135,,,,,14.0
,77272,,,12.0,3711,108.35270810127258,,,1763260150.463742,,,,,12.0
,77348,,,33.0,3715,108.76000905036926,,,1763260150.871043,,,,,33.0
,77580,,,16.0,3731,110.0302083492279,,,1763260152.1412423,,,,,16.0
,77635,,,15.0,3734,110.20051455497742,,,1763260152.3115485,,,,,15.0
,78626,,,12.0,3804,115.3518295288086,,,1763260157.4628634,,,,,12.0
,78697,,,35.0,3807,115.5248429775238,,,1763260157.635877,,,,,35.0
,79676,,,10.0,3879,120.39414668083191,,,1763260162.5051806,,,,,10.0
,79753,,,11.0,3887,120.94645166397095,,,1763260163.0574856,,,,,11.0
,80677,,,17.0,3946,126.14461183547974,,,1763260168.2556458,,,,,17.0
,80911,,,27.0,3963,127.57958269119263,,,1763260169.6906166,,,,,27.0
,81346,,,23.0,3981,129.4814202785492,,,1763260171.5924542,,,,,23.0
,83811,,,53.0,4059,137.7168436050415,,,1763260179.8278775,,,,,53.0
,85791,,,16.0,4115,143.69031238555908,,,1763260185.8013463,,,,,16.0
0.0002479262766428292,86912,-0.003615717403590679,599.0,,4150,147.3211407661438,-0.007264470681548119,-3.7670135498046875e-05,1763260189.4321747,0.6125393509864807,0.001406707800924778,0.001953125,8.479068756103516,
,87384,,,14.0,4168,148.88800859451294,,,1763260190.9990425,,,,,14.0
0.00024662059149704874,89088,0.005495426245033741,583.0,,4224,155.01393914222717,0.00017326325178146362,-7.128715515136719e-05,1763260197.124973,0.6232754588127136,0.00019316468387842178,0.0,0.28861767053604126,
,89226,,,36.0,4229,155.49149560928345,,,1763260197.6025295,,,,,36.0
,89890,,,39.0,4254,158.0250120162964,,,1763260200.136046,,,,,39.0
,90639,,,31.0,4290,161.491464138031,,,1763260203.602498,,,,,31.0
,91157,,,22.0,4314,163.82137537002563,,,1763260205.9324093,,,,,22.0
,92291,,,45.0,4366,168.87146544456482,,,1763260210.9824994,,,,,45.0
,93002,,,32.0,4396,171.7486093044281,,,1763260213.8596432,,,,,32.0
,93307,,,14.0,4415,173.32336974143982,,,1763260215.4344037,,,,,14.0
,94438,,,40.0,4480,179.17582488059998,,,1763260221.2868588,,,,,40.0
,95060,,,17.0,4522,182.7944850921631,,,1763260224.905519,,,,,17.0
,95692,,,45.0,4555,185.94549703598022,,,1763260228.056531,,,,,45.0
,95827,,,12.0,4562,186.58657217025757,,,1763260228.697606,,,,,12.0
,96590,,,23.0,4613,191.09426164627075,,,1763260233.2052956,,,,,23.0
,96851,,,27.0,4626,192.3262162208557,,,1763260234.4372501,,,,,27.0
,97160,,,31.0,4644,194.091153383255,,,1763260236.2021873,,,,,31.0
,97457,,,38.0,4661,195.59551334381104,,,1763260237.7065473,,,,,38.0
,97872,,,13.0,4691,198.13499212265015,,,1763260240.246026,,,,,13.0
,98151,,,18.0,4709,199.65925550460815,,,1763260241.7702894,,,,,18.0
,99246,,,11.0,4786,206.32101726531982,,,1763260248.4320512,,,,,11.0
,99256,,,10.0,4787,206.3850429058075,,,1763260248.4960768,,,,,10.0
,99266,,,10.0,4788,206.44668197631836,,,1763260248.557716,,,,,10.0
,99401,,,22.0,4796,207.12187361717224,,,1763260249.2329075,,,,,22.0
0.00024024577578529716,99712,0.0011216895654797554,482.0,,4813,208.83895683288574,-0.0015936791896820068,-0.00020456314086914062,1763260250.9499907,0.6568149328231812,3.250781446695328e-05,0.0,23.546586990356445,
,100346,,,25.0,4851,211.96681308746338,,,1763260254.077847,,,,,25.0
,100748,,,17.0,4874,214.18129086494446,,,1763260256.2923248,,,,,17.0
,100886,,,15.0,4882,214.88465070724487,,,1763260256.9956846,,,,,15.0
0.00023917050566524267,101504,0.0008440827950835228,470.0,,4920,218.21399188041687,-0.0031093917787075043,-0.0008345842361450195,1763260260.3250258,0.6735907793045044,3.618653863668442e-05,0.0,11.24609375,
,101737,,,16.0,4932,219.1927933692932,,,1763260261.3038273,,,,,16.0
,101749,,,12.0,4933,219.25337409973145,,,1763260261.364408,,,,,12.0
,101931,,,17.0,4946,220.43091201782227,,,1763260262.541946,,,,,17.0
,102026,,,16.0,4953,221.06566214561462,,,1763260263.176696,,,,,16.0
,102477,,,12.0,4981,223.3509087562561,,,1763260265.4619427,,,,,12.0
,103111,,,19.0,5015,226.49665117263794,,,1763260268.607685,,,,,19.0
,103427,,,21.0,5039,228.58948135375977,,,1763260270.7005153,,,,,21.0
,103977,,,11.0,5071,231.36783456802368,,,1763260273.4788685,,,,,11.0
,104844,,,21.0,5122,235.83169198036194,,,1763260277.942726,,,,,21.0
,104927,,,35.0,5127,236.1575779914856,,,1763260278.268612,,,,,35.0
,105112,,,12.0,5140,237.33755350112915,,,1763260279.4485874,,,,,12.0
,105217,,,35.0,5146,237.87680578231812,,,1763260279.9878397,,,,,35.0
,105334,,,17.0,5150,238.13161849975586,,,1763260280.2426524,,,,,17.0
0.0002358678902965039,107008,0.001727246679365635,438.0,,5239,246.52968168258667,-0.0024656765162944794,-0.00013363361358642578,1763260288.6407156,0.6579285860061646,0.0006323708221316338,0.0,10.553264617919922,
,107131,,,35.0,5244,246.83407926559448,,,1763260288.9451132,,,,,35.0
,107595,,,23.0,5267,249.0414412021637,,,1763260291.152475,,,,,23.0
,108347,,,10.0,5300,252.07850766181946,,,1763260294.1895416,,,,,10.0
0.0002347158151678741,108928,0.0018674908205866814,433.0,,5322,253.31243133544922,0.01782825030386448,-4.8160552978515625e-05,1763260295.4234653,0.6636326909065247,0.001038900576531887,0.0,0.3327411413192749,
0.00023463901015929878,109056,0.0017173048108816147,433.0,,5328,253.6398627758026,-0.00858624279499054,-0.00011444091796875,1763260295.7508967,0.6470726728439331,0.0002668909728527069,0.0,6.113265037536621,
,110310,,,14.0,5389,257.8783121109009,,,1763260299.989346,,,,,14.0
0.00023333333956543356,111232,0.0024650655686855316,428.0,,5430,261.6324496269226,-0.0045063551515340805,-0.00011038780212402344,1763260303.7434835,0.645802915096283,0.0004333890974521637,0.0,6.61762809753418,
,111921,,,15.0,5470,264.1341598033905,,,1763260306.2451937,,,,,15.0
,112338,,,14.0,5494,265.24390292167664,,,1763260307.3549368,,,,,14.0
,112726,,,18.0,5509,266.0686056613922,,,1763260308.1796396,,,,,18.0
,112902,,,37.0,5518,266.65518498420715,,,1763260308.766219,,,,,37.0
,113064,,,10.0,5528,267.43214535713196,,,1763260309.5431793,,,,,10.0
,113675,,,25.0,5561,270.32269763946533,,,1763260312.4337316,,,,,25.0
,114413,,,17.0,5591,272.8997130393982,,,1763260315.010747,,,,,17.0
,114595,,,43.0,5600,273.5863559246063,,,1763260315.6973898,,,,,43.0
,115621,,,24.0,5652,276.82058334350586,,,1763260318.9316173,,,,,24.0
,116412,,,21.0,5690,278.6960880756378,,,1763260320.807122,,,,,21.0
,117622,,,18.0,5772,282.31940364837646,,,1763260324.4304376,,,,,18.0
0.00022880184405948967,118784,-0.005010536871850491,414.0,,5864,289.03342628479004,0.008769609034061432,-0.00018978118896484375,1763260331.1444602,0.568276047706604,0.0009019607678055763,0.0,11.377838134765625,
,119203,,,12.0,5897,291.37576699256897,,,1763260333.486801,,,,,12.0
,119267,,,11.0,5902,291.66192054748535,,,1763260333.7729545,,,,,11.0
,119510,,,10.0,5921,293.0005965232849,,,1763260335.1116304,,,,,10.0
,120237,,,12.0,5966,295.6494698524475,,,1763260337.7605038,,,,,12.0
,120411,,,14.0,5977,296.11800026893616,,,1763260338.2290342,,,,,14.0
,120663,,,19.0,5991,296.8108699321747,,,1763260338.9219038,,,,,19.0
0.00022764976893085986,120704,-0.000153309665620327,409.0,,5993,296.98689341545105,-0.002026490867137909,-7.104873657226562e-05,1763260339.0979273,0.6522061228752136,0.00013375375419855118,0.0,15.110365867614746,
0.00022757296392228454,120832,0.0012170979753136635,409.0,,6001,297.40613770484924,-0.0014531947672367096,-0.00426793098449707,1763260339.5171716,0.6447190046310425,7.834751158952713e-05,0.0,10.253331184387207,
,121467,,,21.0,6034,298.9448997974396,,,1763260341.0559337,,,,,21.0
,121615,,,14.0,6043,299.4519217014313,,,1763260341.5629556,,,,,14.0
,122585,,,18.0,6098,302.02280497550964,,,1763260344.133839,,,,,18.0
,123063,,,45.0,6129,303.56888723373413,,,1763260345.6799212,,,,,45.0
,124206,,,12.0,6200,306.90314769744873,,,1763260349.0141816,,,,,12.0
,126161,,,29.0,6301,313.5138375759125,,,1763260355.6248715,,,,,29.0
,126483,,,73.0,6315,314.7418556213379,,,1763260356.8528895,,,,,73.0
,130538,,,22.0,6421,324.28195881843567,,,1763260366.3929927,,,,,22.0
,131116,,,40.0,6434,325.30481910705566,,,1763260367.415853,,,,,40.0
0.00022096774773672223,131840,-0.00014714617282152176,406.0,,6454,326.575012922287,0.0013789087533950806,0.009839415550231934,1763260368.6860468,0.6230694651603699,5.084555596113205e-05,0.0,0.3332599103450775,
,133829,,,22.0,6526,330.5050439834595,,,1763260372.616078,,,,,22.0
,135203,,,18.0,6608,335.9048867225647,,,1763260378.0159206,,,,,18.0
,135907,,,37.0,6645,338.7285053730011,,,1763260380.8395393,,,,,37.0
,136331,,,31.0,6672,340.1813774108887,,,1763260382.2924113,,,,,31.0
0.0002182027674280107,136448,-0.001721239648759365,403.0,,6678,340.44948148727417,0.002503015100955963,-2.4080276489257812e-05,1763260382.5605154,0.629371166229248,7.76899978518486e-05,0.0,0.41617995500564575,
,136531,,,14.0,6683,340.62715125083923,,,1763260382.7381852,,,,,14.0
,136678,,,14.0,6690,340.99143862724304,,,1763260383.1024725,,,,,14.0
,137110,,,18.0,6712,342.098557472229,,,1763260384.2095914,,,,,18.0
,137322,,,10.0,6723,342.5561935901642,,,1763260384.6672275,,,,,10.0
,137373,,,51.0,6725,342.7300887107849,,,1763260384.8411226,,,,,51.0
,137465,,,11.0,6731,342.92251110076904,,,1763260385.033545,,,,,11.0
0.00021751152235083282,137600,0.00050375796854496,403.0,,6740,343.43798542022705,0.0026089027523994446,-3.6597251892089844e-05,1763260385.5490193,0.643651008605957,7.012858986854553e-05,0.0,23.001117706298828,
,137906,,,19.0,6760,344.84022521972656,,,1763260386.9512591,,,,,19.0
,138403,,,29.0,6783,346.7068660259247,,,1763260388.8179,,,,,29.0
,138596,,,22.0,6794,347.4785921573639,,,1763260389.589626,,,,,22.0
,138690,,,16.0,6800,347.8995912075043,,,1763260390.0106251,,,,,16.0
,139858,,,16.0,6850,350.71828389167786,,,1763260392.8293178,,,,,16.0
,141106,,,11.0,6903,353.43319725990295,,,1763260395.5442312,,,,,11.0
0.0002147465420421213,142208,0.003429957665503025,401.0,,6976,356.63143587112427,-0.019210349768400192,-2.205371856689453e-05,1763260398.7424698,0.6532246470451355,0.0007266709581017494,0.0,21.387767791748047,
,142481,,,18.0,6996,357.66398787498474,,,1763260399.7750218,,,,,18.0
,143835,,,12.0,7085,362.6082031726837,,,1763260404.719237,,,,,12.0
,143968,,,10.0,7093,362.9793269634247,,,1763260405.0903609,,,,,10.0
,144711,,,12.0,7143,366.39790987968445,,,1763260408.5089438,,,,,12.0
,144818,,,13.0,7151,366.95269799232483,,,1763260409.063732,,,,,13.0
,144881,,,11.0,7155,367.15674328804016,,,1763260409.2677772,,,,,11.0
0.00021313363686203957,144896,-0.0005028657615184784,396.0,,7157,367.4283940792084,0.0004996694624423981,-8.130073547363281e-05,1763260409.539428,0.6425291299819946,6.754696369171143e-05,0.0,24.130708694458008,
,145231,,,11.0,7180,368.8951222896576,,,1763260411.0061562,,,,,11.0
,145658,,,22.0,7208,370.7079916000366,,,1763260412.8190255,,,,,22.0
,145669,,,11.0,7210,370.94667387008667,,,1763260413.0577078,,,,,11.0
,147001,,,22.0,7283,374.39046239852905,,,1763260416.5014963,,,,,22.0
0.00021129031665623188,147968,-0.002323683351278305,394.0,,7328,377.70709776878357,0.0032784678041934967,-0.00017023086547851562,1763260419.8181317,0.656251072883606,7.568858563899994e-05,0.0,12.036580085754395,
,148872,,,23.0,7370,379.8376021385193,,,1763260421.948636,,,,,23.0
,149082,,,41.0,7382,380.33371329307556,,,1763260422.4447472,,,,,41.0
,151672,,,10.0,7530,387.2275218963623,,,1763260429.3385558,,,,,10.0
,152256,,,25.0,7565,389.78536009788513,,,1763260431.896394,,,,,25.0
,152332,,,14.0,7571,390.26742482185364,,,1763260432.3784587,,,,,14.0
,152455,,,20.0,7578,390.78537678718567,,,1763260432.8964107,,,,,20.0
,152750,,,14.0,7592,391.80294370651245,,,1763260433.9139776,,,,,14.0
,152977,,,13.0,7604,392.80986857414246,,,1763260434.9209025,,,,,13.0
,153573,,,19.0,7635,395.0947690010071,,,1763260437.205803,,,,,19.0
,156940,,,13.0,7833,406.9506583213806,,,1763260449.0616922,,,,,13.0
,157273,,,14.0,7855,408.4791944026947,,,1763260450.5902283,,,,,14.0
,157475,,,12.0,7869,409.573725938797,,,1763260451.6847599,,,,,12.0
0.00020499232050497085,158464,0.007099330425262451,384.0,,7933,414.4724826812744,0.0009026415646076202,-8.14199447631836e-05,1763260456.5835166,0.661970317363739,0.00012463703751564026,0.0,10.448967933654785,
0.00020314900029916316,161536,0.00013707391917705536,381.0,,8112,425.8316841125488,0.0008727293461561203,-3.612041473388672e-05,1763260467.942718,0.6580982208251953,3.0957162380218506e-06,0.0,5.239083766937256,
,162417,,,41.0,8163,428.1904728412628,,,1763260470.3015068,,,,,41.0
,162681,,,13.0,8178,428.87216782569885,,,1763260470.9832017,,,,,13.0
,162734,,,21.0,8182,429.1185402870178,,,1763260471.2295742,,,,,21.0
0.00020122887508478016,164736,0.00012921076267957687,382.0,,8265,433.47538018226624,-0.0019045956432819366,-5.793571472167969e-05,1763260475.586414,0.6046242117881775,3.177579492330551e-05,0.0,11.322134017944336,
0.0001995391648961231,167552,0.008345445618033409,383.0,,8372,439.0857825279236,-0.0022149384021759033,-6.604194641113281e-05,1763260481.1968164,0.6471496820449829,8.406303822994232e-05,0.0,13.988170623779297,
,169028,,,42.0,8445,442.59096479415894,,,1763260484.7019987,,,,,42.0
,170174,,,36.0,8501,445.26451873779297,,,1763260487.3755527,,,,,36.0
,173011,,,25.0,8653,452.66174268722534,,,1763260494.7727766,,,,,25.0
,173553,,,12.0,8688,454.89998602867126,,,1763260497.01102,,,,,12.0
,173866,,,15.0,8706,456.2312219142914,,,1763260498.3422558,,,,,15.0
,174061,,,12.0,8719,456.7596642971039,,,1763260498.8706982,,,,,12.0
,175593,,,13.0,8821,462.8293216228485,,,1763260504.9403555,,,,,13.0
,175880,,,12.0,8840,463.76703810691833,,,1763260505.878072,,,,,12.0
0.00019439324387349188,176128,-2.564024180173874e-05,380.0,,8859,464.6069257259369,-0.0006889328360557556,-3.075599670410156e-05,1763260506.7179596,0.6515445709228516,7.19977542757988e-05,0.0,11.726241111755371,
,176356,,,12.0,8873,465.17178297042847,,,1763260507.282817,,,,,12.0
,176562,,,15.0,8888,465.8752398490906,,,1763260507.9862738,,,,,15.0
,176927,,,12.0,8909,466.8500530719757,,,1763260508.961087,,,,,12.0
,177274,,,21.0,8931,467.78037548065186,,,1763260509.8914094,,,,,21.0
,177398,,,16.0,8940,468.1842882633209,,,1763260510.2953222,,,,,16.0
,178485,,,20.0,9007,471.2173418998718,,,1763260513.3283758,,,,,20.0
,179636,,,11.0,9073,474.21764087677,,,1763260516.3286748,,,,,11.0
,180165,,,11.0,9107,475.7291667461395,,,1763260517.8402007,,,,,11.0
