losses/clipfrac,_step,charts/learning_rate,losses/entropy,losses/policy_loss,_timestamp,_runtime,losses/value_loss,losses/explained_variance,losses/old_approx_kl,global_step,losses/approx_kl,charts/episodic_return,charts/episodic_length,charts/SPS
,539,,,,1763260060.665139,18.535901069641113,,,,15192,,31.0,31.0,
0.0,555,0.0002906298032030463,0.20413465797901154,0.00021079927682876587,1763260061.2311063,19.101868391036987,0.13692672550678253,0.5683038234710693,-0.00017402786761522293,15744,2.370215952396393e-06,,,960.0
,559,,,,1763260061.3519235,19.22268557548523,,,,15876,,44.0,44.0,
,568,,,,1763260061.6763527,19.547114849090576,,,,16177,,45.0,45.0,
,595,,,,1763260062.6900456,20.560807704925537,,,,17177,,67.0,67.0,
,614,,,,1763260063.3093765,21.18013858795166,,,,17875,,53.0,53.0,
,630,,,,1763260063.960523,21.831284999847412,,,,18475,,68.0,68.0,
,636,,,,1763260064.1043446,21.975106716156006,,,,18665,,56.0,56.0,
,640,,,,1763260064.2228568,22.093618869781494,,,,18790,,49.0,49.0,
,664,,,,1763260064.9991086,22.86987066268921,,,,19529,,40.0,40.0,
,684,,,,1763260065.580762,23.451524019241333,,,,20109,,34.0,34.0,
,689,,,,1763260065.7842634,23.655025482177734,,,,20285,,25.0,25.0,
,698,,,,1763260066.0480528,23.91881489753723,,,,20560,,38.0,38.0,
,707,,,,1763260066.2817798,24.152541875839233,,,,20793,,36.0,36.0,
0.001953125,729,0.0002871735778171569,0.28385841846466064,0.013719737529754639,1763260067.0705986,24.94136071205139,0.5350737571716309,0.9775007963180542,0.018850352615118027,21504,0.0014000274240970612,,,967.0
0.00390625,767,0.00028655913774855435,0.3844800591468811,-0.00023536384105682373,1763260068.129883,26.00064516067505,0.5726606845855713,0.9911289811134338,0.027504153549671173,22528,0.005378205329179764,,,967.0
,775,,,,1763260068.2853272,26.156089305877686,,,,22728,,41.0,41.0,
0.009765625,788,0.00028625191771425307,0.33884692192077637,0.00953252986073494,1763260068.6231854,26.493947505950928,1.2640490531921387,0.9830558896064758,0.0006300890818238258,23040,0.0007318770512938499,,,968.0
,797,,,,1763260068.7914999,26.662261962890625,,,,23282,,28.0,28.0,
,806,,,,1763260069.0889325,26.959694623947144,,,,23468,,22.0,22.0,
,863,,,,1763260070.566639,28.437401056289673,,,,24889,,35.0,35.0,
,872,,,,1763260070.7889686,28.659730672836304,,,,25091,,34.0,34.0,
,876,,,,1763260070.9103224,28.781084537506104,,,,25219,,36.0,36.0,
,922,,,,1763260072.3961787,30.26694083213806,,,,26674,,35.0,35.0,
,930,,,,1763260072.6557758,30.526537895202637,,,,26991,,48.0,48.0,
0.029296875,938,0.0002837173524312675,0.3180578947067261,-0.010781694203615189,1763260072.9732103,30.8439724445343,0.19227221608161926,0.997958779335022,0.01622622087597847,27264,0.004493173211812973,,,968.0
0.009765625,941,0.0002836405474226922,0.2995985746383667,-0.014486290514469147,1763260073.0891213,30.959883451461792,0.30628740787506104,0.9368529319763184,-0.01699800416827202,27392,0.0026128729805350304,,,969.0
,942,,,,1763260073.1339014,31.004663467407227,,,,27517,,126.0,126.0,
,948,,,,1763260073.533997,31.404759168624878,,,,27781,,110.0,110.0,
,974,,,,1763260074.6594365,32.53019857406616,,,,28964,,64.0,64.0,
,980,,,,1763260074.9035985,32.77436065673828,,,,29249,,58.0,58.0,
,985,,,,1763260075.0344963,32.90525841712952,,,,29408,,34.0,34.0,
0.0,1015,0.0002817972272168845,0.37046054005622864,-0.011423340067267418,1763260076.1145673,33.985329389572144,0.43269824981689453,-0.015352368354797363,0.005263995379209518,30464,0.0001480448991060257,,,973.0
,1031,,,,1763260076.663132,34.533894062042236,,,,31045,,59.0,59.0,
,1050,,,,1763260077.2489634,35.119725465774536,,,,31656,,53.0,53.0,
0.0078125,1053,0.0002810291771311313,0.3583008050918579,-0.01513424701988697,1763260077.3499248,35.22068691253662,0.4375550448894501,0.0394476056098938,-0.0030617089942097664,31744,0.0016489019617438316,,,976.0
,1058,,,,1763260077.4907079,35.361469984054565,,,,31925,,64.0,64.0,
,1083,,,,1763260078.4830945,36.353856563568115,,,,33023,,111.0,111.0,
0.072265625,1091,0.0002798771020025015,0.4811702072620392,-0.07203782349824905,1763260079.0866768,36.957438945770264,0.8389244675636292,0.9378008246421814,0.03235459327697754,33664,0.007093601860105991,,,982.0
0.0703125,1106,0.00027895544189959764,0.41577354073524475,-0.05316730961203575,1763260080.3721118,38.24287390708923,0.054883137345314026,0.7395399212837219,-0.01274381298571825,35200,0.0214310884475708,,,990.0
0.0,1118,0.00027826419682241976,0.5023818612098694,0.0019277241080999374,1763260081.3859737,39.25673580169678,45.702789306640625,-0.0025131702423095703,0.007789619266986847,36352,0.001339055597782135,,,994.0
0.005859375,1133,0.0002773425367195159,0.4166669249534607,0.0015123039484024048,1763260082.7598703,40.630632400512695,0.48760485649108887,-0.0002886056900024414,0.005087614990770817,37888,0.0020170798525214195,,,999.0
0.173828125,1145,0.0002765744866337627,0.3652521073818207,-0.06051991879940033,1763260083.91288,41.783642053604126,0.03190948814153671,0.800915539264679,0.07091758400201797,39168,0.020254861563444138,,,1002.0
0.0234375,1164,0.00027542244060896337,0.3810364007949829,0.04056712985038757,1763260085.6460814,43.51684355735779,0.024357052519917488,0.672584056854248,-0.02882874757051468,41088,0.013670076616108418,,,1006.0
0.001953125,1172,0.00027496161055751145,0.3395431935787201,-0.0002474505454301834,1763260086.3520012,44.22276329994202,0.04381544142961502,-4.887580871582031e-06,0.010356076993048191,41856,0.0008923551067709923,,,1008.0
,1181,,,,1763260087.2737298,45.14449191093445,,,,42813,,500.0,500.0,
,1186,,,,1763260087.7031317,45.573893785476685,,,,43313,,500.0,500.0,
0.0,1197,0.00027342551038600504,0.2652236223220825,0.0010882229544222355,1763260088.7339299,46.60469198226929,0.029513198882341385,-0.0004589557647705078,-0.0030891327187418938,44416,0.0002401871606707573,,,1011.0
0.0078125,1213,0.0002724270452745259,0.2761323153972626,-0.0019341520965099335,1763260090.2499044,48.12066650390625,0.010008308105170727,0.3350183367729187,-0.007414383813738823,46080,0.000700654461979866,,,1014.0
,1215,,,,1763260090.423198,48.293960094451904,,,,46313,,500.0,500.0,
0.115234375,1226,0.0002716589951887727,0.30510032176971436,0.00230424664914608,1763260091.4611185,49.33188056945801,0.7421795725822449,-0.0004489421844482422,0.022145794704556465,47360,0.011105863377451897,,,1015.0
,1230,,,,1763260091.8309295,49.70169162750244,,,,47813,,500.0,500.0,
0.0,1234,0.00027112136012874544,0.32581618428230286,-0.003236621618270874,1763260092.2637444,50.13450646400452,0.005500243045389652,0.533374547958374,0.0007459605112671852,48256,0.00013955403119325638,,,1017.0
,1245,,,,1763260093.2124822,51.08324432373047,,,,49313,,500.0,500.0,
0.099609375,1271,0.00026889401488006115,0.23378786444664001,-0.04815448820590973,1763260095.688423,53.55918502807617,0.009798914194107056,0.8484863042831421,0.08415044099092484,51968,0.02039777860045433,,,1021.0
,1299,,,,1763260098.571048,56.441810131073,,,,54813,,500.0,500.0,
0.015625,1339,0.00026474654441699386,0.25324583053588867,-0.00010669045150279999,1763260102.3403575,60.211119651794434,1.0342116355895996,-0.00028002262115478516,-0.008007945492863655,58880,0.007782749831676483,,,1023.0
0.09765625,1340,0.00026466973940841854,0.2561591863632202,-0.003697916865348816,1763260102.4516723,60.322434425354004,0.00645066611468792,0.12567955255508423,0.019233565777540207,59008,0.013442430645227432,,,1024.0
,1363,,,,1763260104.5093338,62.38009595870972,,,,61313,,500.0,500.0,
0.0625,1365,0.00026313363923691213,0.20902949571609497,-0.057325199246406555,1763260104.7363846,62.60714673995972,0.0015665916725993156,0.10328102111816406,0.09050190448760986,61568,0.022901343181729317,,,1027.0
0.025390625,1370,0.00026282641920261085,0.2508634328842163,-0.014092754572629929,1763260105.2072985,63.07806062698364,0.0005222286563366652,0.2776326537132263,0.010725298896431923,62080,0.004844394512474537,,,1028.0
0.0,1380,0.0002622119791340083,0.25975149869918823,-0.006099492311477661,1763260106.1498024,64.02056455612183,2.804923860821873e-05,0.21132445335388184,0.002790451981127262,63104,0.00023273658007383347,,,1029.0
0.0078125,1381,0.00026213517412543297,0.20367860794067383,0.007852824404835701,1763260106.2636633,64.13442540168762,0.00045283077633939683,0.012245416641235352,0.002779640257358551,63232,0.002206830307841301,,,1029.0
0.0,1388,0.00026175114908255637,0.23938462138175964,0.000973755493760109,1763260106.8401978,64.71095991134644,0.019540758803486824,-0.00019431114196777344,0.0035401498898863792,63872,0.00018443074077367783,,,1030.0
0.0078125,1395,0.00026129031903110445,0.21855013072490692,-0.0017330031841993332,1763260107.5520768,65.42283892631531,0.0002966390748042613,0.08532720804214478,-0.009793992154300213,64640,0.000783347524702549,,,1030.0
0.046875,1399,0.0002610599040053785,0.20592984557151794,8.912011981010437e-05,1763260107.8928301,65.76359224319458,0.001279217074625194,0.4594455361366272,-0.0013829246163368225,65024,0.0032071899622678757,,,1031.0
0.052734375,1405,0.0002606758789625019,0.22640447318553925,-0.0005024103447794914,1763260108.4939544,66.36471652984619,2.3438660718966275e-06,0.05452680587768555,-0.0062994156032800674,65664,0.0010278429836034775,,,1031.0
0.017578125,1432,0.00025906297378242016,0.20836690068244934,-0.00027841702103614807,1763260110.93259,68.80335211753845,0.018098236992955208,-9.584426879882812e-05,-0.003751380369067192,68352,0.00021061301231384277,,,1034.0
0.001953125,1433,0.00025898616877384484,0.28024178743362427,-0.0015923324972391129,1763260111.0461097,68.91687178611755,0.0018980499589815736,0.7288591861724854,0.004150480031967163,68480,0.00170186348259449,,,1034.0
0.126953125,1455,0.0002576036786194891,0.21534058451652527,-0.060144905000925064,1763260113.1125927,70.98335480690002,4.4395215809345245e-05,0.017309486865997314,0.08886389434337616,70784,0.017233632504940033,,,1036.0
,1456,,,,1763260113.1256027,70.99636483192444,,,,70813,,500.0,500.0,
0.02734375,1457,0.00025752687361091375,0.23309622704982758,0.000934334471821785,1763260113.2285573,71.09931945800781,0.015097479335963726,-0.0002886056900024414,0.00174055527895689,70912,0.002477123402059078,,,1036.0
0.05078125,1514,0.000253993843216449,0.25892341136932373,0.001343458890914917,1763260118.6737304,76.54449248313904,2.4120163288898766e-05,0.032698094844818115,-0.0007763151079416275,76800,2.9066577553749084e-05,,,1040.0
0.017578125,1521,0.0002536098181735724,0.16708306968212128,0.0015977844595909119,1763260119.242596,77.11335802078247,0.002715201349928975,-0.00019991397857666016,0.003288067877292633,77440,0.00118231400847435,,,1040.0
0.0234375,1527,0.0002532257931306958,0.27513226866722107,0.001218344084918499,1763260119.8529632,77.72372531890869,3.247692802688107e-05,0.33131927251815796,0.032442785799503326,78080,0.011966065503656864,,,1040.0
,1529,,,,1763260120.002789,77.8735511302948,,,,78313,,500.0,500.0,
,1534,,,,1763260120.4502058,78.32096791267395,,,,78813,,500.0,500.0,
0.087890625,1536,0.0002526881580706686,0.2867013216018677,-0.043086811900138855,1763260120.6770082,78.54777026176453,0.0008406615816056728,0.7306817770004272,0.05721587687730789,78976,0.013805589638650417,,,1041.0
0.064453125,1543,0.00025222732801921666,0.1683429777622223,0.014789575710892677,1763260121.6750371,79.5457992553711,0.000234283012105152,0.1111268401145935,-0.0051809027791023254,79744,0.004136927425861359,,,1037.0
0.041015625,1545,0.0002521505521144718,0.26851457357406616,0.002497375011444092,1763260121.871119,79.74188113212585,136.6051025390625,-6.592273712158203e-05,0.014777211472392082,79872,0.003860531374812126,,,1036.0
0.0078125,1546,0.0002520737471058965,0.1687389761209488,-0.009235803037881851,1763260122.02611,79.89687204360962,0.0022693518549203873,0.6786266565322876,0.009960637427866459,80000,0.0027953824028372765,,,1036.0
0.095703125,1558,0.00025130569702014327,0.30511248111724854,-0.007426492869853973,1763260123.800361,81.67112302780151,0.00015861276187933981,0.14698559045791626,0.0019100941717624664,81280,0.0002606324851512909,,,1029.0
,1559,,,,1763260123.8451078,81.71586990356445,,,,81313,,500.0,500.0,
0.111328125,1563,0.000250998476985842,0.21219325065612793,-0.042581915855407715,1763260124.5169997,82.38776183128357,1.1107204045401886e-07,0.023961305618286133,0.05352232977747917,81792,0.009001795202493668,,,1026.0
0.041015625,1566,0.00025084486696869135,0.21115189790725708,0.015351936221122742,1763260124.9227083,82.79347038269043,0.0018104392802342772,0.41127222776412964,-0.011976861394941807,82048,0.0027089929208159447,,,1024.0
0.1171875,1589,0.0002494623768143356,0.1570894569158554,0.009189147502183914,1763260129.6450703,87.51583242416382,0.014464185573160648,-0.00011444091796875,0.06934687495231628,84352,0.03916393592953682,,,994.0
0.083984375,1597,0.00024892474175430834,0.28866562247276306,0.0169268399477005,1763260132.2313387,90.10210084915161,2.635993223520927e-05,0.009544134140014648,0.011177773587405682,85248,0.023409448564052582,,,975.0
0.037109375,1607,0.0002483103016857058,0.20881232619285583,-0.011441629379987717,1763260134.9330883,92.80385041236877,5.339286872185767e-06,0.01645052433013916,0.0035201311111450195,86272,0.0013480689376592636,,,957.0
0.03515625,1609,0.00024823349667713046,0.15627634525299072,-0.004221972078084946,1763260135.281197,93.15195918083191,0.009929166175425053,-0.0001436471939086914,0.022413935512304306,86400,0.0027404772117733955,,,955.0
0.048828125,1610,0.00024815669166855514,0.2973608672618866,0.003416687250137329,1763260135.561049,93.43181109428406,0.0003727547882590443,0.5388475656509399,-0.000760556198656559,86528,0.0002028709277510643,,,953.0
0.013671875,1638,0.0002464669814798981,0.3434654176235199,-0.004619501531124115,1763260141.6103368,99.48109889030457,0.007970839738845825,-7.200241088867188e-05,0.012598074041306973,89344,0.0018022535368800163,,,923.0
0.052734375,1687,0.0002434715861454606,0.13725589215755463,0.001063711941242218,1763260152.400661,110.27142310142517,0.004301523789763451,-7.843971252441406e-05,0.005788608454167843,94336,0.0002033757045865059,,,877.0
0.095703125,1732,0.00024070660583674908,0.23023833334445953,-0.017103876918554306,1763260161.3126044,119.18336653709412,8.863557741278782e-05,0.9311293959617615,0.0031684953719377518,98944,0.009492462500929832,,,849.0
,1745,,,,1763260164.1695364,122.04029846191406,,,,100313,,500.0,500.0,
0.115234375,1753,0.00023940092069096863,0.31786423921585083,-0.045288410037755966,1763260166.215588,124.08635020256042,4.413140413817018e-05,0.2616007328033447,0.12343883514404297,101120,0.038018472492694855,,,833.0
0.091796875,1754,0.0002393241156823933,0.19343838095664978,-0.01644141972064972,1763260166.484909,124.35567116737366,2.8903878046548925e-06,0.12313145399093628,0.10208748281002045,101248,0.044428981840610504,,,832.0
0.005859375,1768,0.0002384792605880648,0.19428224861621857,-0.020877733826637268,1763260169.5032258,127.37398791313171,0.00044299205183051527,0.10394513607025146,0.013368049636483192,102656,0.0014534778892993927,,,823.0
0.111328125,1777,0.00023794162552803755,0.22182071208953857,-0.023645546287298203,1763260171.7145028,129.58526492118835,0.0008042557747103274,0.1360839605331421,0.01735767535865307,103552,0.004358574748039246,,,816.0
0.041015625,1818,0.00023540706024505198,0.14595235884189606,0.01758638024330139,1763260180.7546997,138.62546181678772,2.0485131244640797e-06,0.6085665225982666,-0.026961149647831917,107776,0.0066302623599767685,,,792.0
0.005859375,1823,0.0002350998402107507,0.09039837121963501,-0.005989328026771545,1763260181.794879,139.66564106941223,5.554438757826574e-07,0.6286344528198242,-0.00031782127916812897,108288,0.002596229314804077,,,790.0
0.013671875,1851,0.00023341014457400888,0.19461128115653992,-0.007506608963012695,1763260187.6858938,145.55665588378906,1.9269875338068232e-05,0.8534374833106995,0.010391094721853733,111104,0.0028177788481116295,,,777.0
,1868,,,,1763260191.1732457,149.04400777816772,,,,112813,,500.0,500.0,
,1873,,,,1763260192.2153716,150.0861337184906,,,,113313,,500.0,500.0,
0.017578125,1877,0.00023179723939392716,0.22325129806995392,0.005246028304100037,1763260193.2193623,151.0901243686676,0.00023280453751794994,0.9899401664733887,-0.004598207771778107,113792,0.0005838535726070404,,,766.0
0.19140625,1886,0.00023125960433389992,0.15744957327842712,-0.06284977495670319,1763260195.0143232,152.88508534431458,0.0005810968577861786,0.986329197883606,-0.022442039102315903,114688,0.18627256155014038,,,763.0
0.1171875,1903,0.00023026113922242075,0.2471957504749298,-0.024265453219413757,1763260198.5052984,156.37606048583984,1.2514643669128418,0.15735071897506714,0.10201573371887207,116352,0.038134701550006866,,,757.0
,1906,,,,1763260199.0719278,156.94268989562988,,,,116653,,381.0,381.0,
0.021484375,1918,0.00022941628412809223,0.1508687436580658,0.0023671090602874756,1763260201.4619036,159.332665681839,5.403001341619529e-05,0.9989055395126343,-0.010155929252505302,117760,0.0016142111271619797,,,751.0
,1920,,,,1763260201.779407,159.65016913414001,,,,117915,,299.0,299.0,
0.072265625,1945,0.00022803379397373646,0.15317925810813904,0.0026728734374046326,1763260206.6307166,164.5014786720276,0.0032515046186745167,0.9994764924049377,0.12526564300060272,120064,0.04730895161628723,,,742.0
,1959,,,,1763260208.9929712,166.86373329162598,,,,121128,,209.0,209.0,
0.138671875,1973,0.00022672810882795602,0.18230457603931427,-0.042520783841609955,1763260211.5912986,169.46206068992615,0.010952234268188477,0.43204283714294434,0.014912258833646774,122240,0.0410979688167572,,,733.0
,1985,,,,1763260213.6520858,171.52284789085388,,,,123177,,197.0,197.0,
0.07421875,1991,0.0002258832537336275,0.22784556448459625,-0.01256495714187622,1763260214.7784588,172.64922094345093,0.005604821257293224,0.5205540657043457,-0.010281836614012718,123648,0.004497809335589409,,,727.0
0.125,2002,0.00022534561867360026,0.2809581756591797,-0.001749187707901001,1763260216.8044288,174.67519092559814,8.279940084321424e-05,0.997156023979187,0.012602060101926327,124544,0.04882708191871643,,,724.0
0.0963541641831398,2007,0.0002251152036478743,0.25546714663505554,-0.029909737408161163,1763260217.694901,175.56566309928894,0.014424148947000504,0.6128649711608887,0.045989640057086945,124928,0.053443148732185364,,,722.0
,2016,,,,1763260218.9855306,176.85629272460938,,,,125533,,216.0,216.0,
,2024,,,,1763260220.3997698,178.2705318927765,,,,126173,,209.0,209.0,
,2027,,,,1763260220.9956565,178.8664186000824,,,,126375,,202.0,202.0,
,2034,,,,1763260221.9736457,179.84440779685974,,,,126822,,13.0,13.0,
,2045,,,,1763260223.6461232,181.51688528060913,,,,127479,,208.0,208.0,
,2051,,,,1763260224.8070354,182.67779755592346,,,,127889,,212.0,212.0,
,2052,,,,1763260224.870404,182.74116611480713,,,,127902,,13.0,13.0,
0.029296875,2070,0.0002225038333563134,0.41247695684432983,-0.007247723639011383,1763260228.1824877,186.05324983596802,0.006713909097015858,0.9995026588439941,-0.001426474191248417,129280,0.0019145281985402107,,,705.0
0.140625,2076,0.00022227341833058745,0.38984766602516174,-0.010947160422801971,1763260229.1328404,187.00360250473022,0.005494243931025267,0.9991816282272339,-0.0010988442227244377,129664,0.013140385039150715,,,703.0
,2093,,,,1763260231.1716645,189.04242658615112,,,,130336,,185.0,185.0,
,2094,,,,1763260231.2335305,189.1042926311493,,,,130346,,10.0,10.0,
,2117,,,,1763260233.4387412,191.30950331687927,,,,130899,,10.0,10.0,
,2146,,,,1763260236.450544,194.3213062286377,,,,131690,,12.0,12.0,
0.02734375,2148,0.00022104455274529755,0.3693874776363373,-0.0021291300654411316,1763260236.7639294,194.6346914768219,0.04014894366264343,0.2681952118873596,-0.017824072390794754,131712,0.005061661824584007,,,686.0
,2155,,,,1763260237.3843656,195.25512766838074,,,,131946,,11.0,11.0,
,2172,,,,1763260239.1828692,197.05363130569458,,,,132451,,11.0,11.0,
,2185,,,,1763260240.173212,198.04397416114807,,,,132579,,10.0,10.0,
,2192,,,,1763260240.9961383,198.86690044403076,,,,132807,,9.0,9.0,
,2199,,,,1763260241.5992653,199.47002744674683,,,,132871,,11.0,11.0,
,2211,,,,1763260242.6847074,200.55546951293945,,,,133155,,10.0,10.0,
0.02734375,2214,0.0002200460876338184,0.47137773036956787,0.11787407100200653,1763260243.2450786,201.11584067344666,0.7213337421417236,0.6483050584793091,0.001452900469303131,133376,0.01694563589990139,,,672.0
,2220,,,,1763260243.7838168,201.65457892417908,,,,133591,,10.0,10.0,
,2223,,,,1763260243.973096,201.84385800361633,,,,133621,,10.0,10.0,
,2225,,,,1763260244.343074,202.21383619308472,,,,133643,,11.0,11.0,
,2226,,,,1763260244.4013412,202.27210330963135,,,,133655,,12.0,12.0,
,2227,,,,1763260244.4618106,202.33257269859314,,,,133665,,10.0,10.0,
,2235,,,,1763260244.955189,202.82595109939575,,,,133750,,10.0,10.0,
,2241,,,,1763260245.7904518,203.6612138748169,,,,133990,,9.0,9.0,
,2248,,,,1763260246.4010866,204.27184867858887,,,,134050,,10.0,10.0,
,2250,,,,1763260246.701272,204.5720341205597,,,,134251,,201.0,201.0,
0.064453125,2253,0.00021950845257379115,0.35382118821144104,-0.0009838007390499115,1763260247.0227122,204.89347434043884,126.77119445800781,0.22441726922988892,-0.008774449117481709,134272,0.011008922941982746,,,664.0
,2272,,,,1763260248.3582444,206.22900652885437,,,,134453,,10.0,10.0,
0.013671875,2280,0.0002193548425566405,0.05620742216706276,0.004319906234741211,1763260249.0287855,206.8995475769043,502.74542236328125,-0.00036013126373291016,0.018129341304302216,134528,0.006875216960906982,,,658.0
0.208984375,2295,0.00021920123253948987,0.2480621039867401,-0.06530602276325226,1763260250.2893143,208.160076379776,0.012939329259097576,-0.0012999773025512695,0.2060915231704712,134784,0.0791579931974411,,,656.0
,2298,,,,1763260250.4533594,208.32412147521973,,,,134884,,10.0,10.0,
,2310,,,,1763260251.3720658,209.24282789230347,,,,134999,,11.0,11.0,
,2312,,,,1763260251.4879313,209.35869336128235,,,,135021,,11.0,11.0,
,2318,,,,1763260252.0973425,209.96810460090637,,,,135081,,10.0,10.0,
0.19921875,2322,0.00021889401250518858,0.43240630626678467,-0.07800769805908203,1763260252.7326586,210.60342073440552,0.09594570100307465,0.9898524880409241,0.1067761704325676,135296,0.10912622511386871,,,650.0
,2324,,,,1763260252.8523462,210.72310829162598,,,,135321,,10.0,10.0,
,2329,,,,1763260253.1376023,211.00836443901062,,,,135373,,11.0,11.0,
,2339,,,,1763260253.932131,211.80289316177368,,,,135471,,10.0,10.0,
,2348,,,,1763260255.2095594,213.08032155036926,,,,135949,,10.0,10.0,
,2354,,,,1763260256.3344574,214.2052195072174,,,,136456,,260.0,260.0,
0.193359375,2363,0.00021766513236798346,0.3233221173286438,-0.044605180621147156,1763260258.2167795,216.0875415802002,0.0023640557192265987,0.9997883439064026,0.015970008447766304,137344,0.005299131385982037,,,643.0
0.1744791716337204,2389,0.00021620583720505238,0.2749970853328705,-0.09618335962295532,1763260263.4703317,221.34109377861023,0.006942785810679197,0.6785775423049927,0.12708130478858948,139776,0.05753713101148605,,,639.0
0.017578125,2426,0.00021390168694779277,0.2889094054698944,-0.010810241103172302,1763260271.4901714,229.3609335422516,0.0003403124283067882,-1.0827946662902832,0.025920912623405457,143616,0.0050806570798158646,,,633.0
0.021484375,2430,0.0002136712719220668,0.18311825394630432,0.0020586811006069183,1763260272.322286,230.1930480003357,6.525681965285912e-05,0.4497736692428589,-0.0065973177552223206,144000,0.0018875263631343842,,,633.0
0.001953125,2449,0.000212519196793437,0.15846677124500275,-0.007071264088153839,1763260276.3242424,234.1950044631958,0.0012488890206441283,0.4990028738975525,0.004125580191612244,145920,0.0008764322847127914,,,630.0
