losses/clipfrac,_step,charts/learning_rate,losses/entropy,losses/policy_loss,_timestamp,_runtime,losses/value_loss,losses/explained_variance,losses/old_approx_kl,global_step,losses/approx_kl,charts/episodic_return,charts/episodic_length,charts/SPS
,0,,,,1763260043.8709414,1.7417035102844238,,,,0,,,,
,7,,,,1763260044.8929436,2.7637057304382324,,,,124,,13.0,13.0,
,33,,,,1763260045.4912176,3.3619797229766846,,,,655,,15.0,15.0,
,41,,,,1763260045.615405,3.4861671924591064,,,,776,,12.0,12.0,
,47,,,,1763260045.6607053,3.5314674377441406,,,,876,,12.0,12.0,
,64,,,,1763260045.9150643,3.7858264446258545,,,,1115,,21.0,21.0,
,74,,,,1763260046.0568395,3.9276015758514404,,,,1272,,9.0,9.0,
,77,,,,1763260046.1438525,4.014614582061768,,,,1303,,12.0,12.0,
,88,,,,1763260046.3109763,4.181738376617432,,,,1419,,9.0,9.0,
,102,,,,1763260046.4679668,4.338728904724121,,,,1589,,9.0,9.0,
,104,,,,1763260046.4785018,4.349263906478882,,,,1609,,10.0,10.0,
,133,,,,1763260046.8562143,4.72697639465332,,,,1928,,12.0,12.0,
,147,,,,1763260046.9990091,4.869771242141724,,,,2060,,10.0,10.0,
,149,,,,1763260047.010487,4.881249189376831,,,,2081,,10.0,10.0,
,150,,,,1763260047.0158849,4.88664698600769,,,,2091,,10.0,10.0,
,155,,,,1763260047.042443,4.913205146789551,,,,2144,,10.0,10.0,
,157,,,,1763260047.0529726,4.923734664916992,,,,2165,,11.0,11.0,
,195,,,,1763260047.521135,5.391897201538086,,,,2546,,15.0,15.0,
,203,,,,1763260047.6586714,5.529433488845825,,,,2626,,10.0,10.0,
,213,,,,1763260047.7910779,5.661839962005615,,,,2735,,12.0,12.0,
,217,,,,1763260047.8149536,5.685715675354004,,,,2784,,14.0,14.0,
,228,,,,1763260047.9551196,5.825881719589233,,,,2911,,13.0,13.0,
,233,,,,1763260048.05327,5.924032211303711,,,,2965,,14.0,14.0,
,251,,,,1763260048.3187275,6.1894896030426025,,,,3211,,14.0,14.0,
,259,,,,1763260048.500552,6.37131404876709,,,,3359,,21.0,21.0,
,265,,,,1763260048.618493,6.48925518989563,,,,3466,,18.0,18.0,
,273,,,,1763260048.7623217,6.633083820343018,,,,3637,,17.0,17.0,
,274,,,,1763260048.7711,6.641862154006958,,,,3658,,21.0,21.0,
,292,,,,1763260049.3680391,7.2388012409210205,,,,4247,,61.0,61.0,
,327,,,,1763260050.7588286,8.6295907497406,,,,5701,,62.0,62.0,
0.005859375,330,0.000296543788863346,0.31098103523254395,-0.008763558231294155,1763260050.9647129,8.835474967956543,0.2723923921585083,0.6108102202415466,0.012363098561763763,5888,0.003565620630979538,,,960.0
0.029296875,332,0.00029646698385477066,0.360233873128891,0.0035179108381271362,1763260051.0797088,8.950470924377441,1.670454978942871,0.23155593872070312,0.025523509830236435,6016,0.00824116449803114,126.0,126.0,963.0
,337,,,,1763260051.334055,9.204817056655884,,,,6331,,115.0,115.0,
0.00390625,340,0.0002961597638204694,0.34445279836654663,-0.030397871509194374,1763260051.5410147,9.411776781082153,4.182389736175537,-0.05415022373199463,0.012455579824745655,6528,0.00433728564530611,,,973.0
,370,,,,1763260052.967141,10.837903022766113,,,,8041,,62.0,62.0,
,396,,,,1763260054.415238,12.28600001335144,,,,9292,,78.0,78.0,
0.0,425,0.00029377880855463445,0.26760169863700867,-0.022380635142326355,1763260055.7661479,13.63690996170044,0.2574060261249542,-0.007396578788757324,0.007104729302227497,10496,0.0016342895105481148,,,960.0
,441,,,,1763260056.3676405,14.238402605056763,,,,11093,,77.0,77.0,
,450,,,,1763260056.7547896,14.625551700592041,,,,11441,,45.0,45.0,
0.0,471,0.00029262673342600465,0.24392713606357574,-0.0002621375024318695,1763260057.8700848,15.740846872329712,8.550124168395996,0.21767187118530273,-0.00894868653267622,12416,0.00032579991966485977,,,952.0
,481,,,,1763260058.4395192,16.31028127670288,,,,13001,,66.0,66.0,
,490,,,,1763260058.770116,16.640878200531006,,,,13319,,54.0,54.0,
0.0,504,0.0002917050733231008,0.24687422811985016,-0.007852301001548767,1763260059.4277122,17.298474311828613,8.779162406921387,0.32342588901519775,-0.003645600751042366,13952,0.0011481624096632004,,,956.0
0.0,515,0.00029147465829737484,0.2408333271741867,-0.00034655816853046417,1763260059.785682,17.65644407272339,9.70619010925293,0.29684901237487793,0.0005418770015239716,14336,0.0008819364011287689,,,958.0
,530,,,,1763260060.3232646,18.194026708602905,,,,14861,,37.0,37.0,
