losses/old_approx_kl,losses/explained_variance,losses/value_loss,losses/policy_loss,_timestamp,charts/SPS,losses/clipfrac,losses/entropy,charts/episodic_length,_runtime,global_step,charts/episodic_return,charts/learning_rate,_step,losses/approx_kl
-0.005866209045052528,0.9840446710586548,1.037365436553955,-0.0059782639145851135,1763260064.6799905,930.0,0.0,0.2849029302597046,,22.606324434280396,18944,,0.0002887096779886633,707,0.00014098919928073883
0.00542316772043705,0.9893209338188171,0.9488670825958252,-0.008814975619316101,1763260065.4917173,930.0,0.0,0.2938236594200134,,23.41805124282837,19712,,0.0002882488479372114,729,0.0008566193282604218
,,,,1763260066.719192,,,,48.0,24.64552593231201,20969,48.0,,767,
,,,,1763260066.9615414,,,,34.0,24.88787531852722,21208,34.0,,775,
,,,,1763260067.4959433,,,,37.0,25.422277212142944,21657,37.0,,788,
,,,,1763260067.7598124,,,,46.0,25.68614625930786,21950,46.0,,797,
,,,,1763260068.0229728,,,,31.0,25.94930672645569,22239,31.0,,806,
,,,,1763260070.3919988,,,,46.0,28.31833267211914,24545,46.0,,863,
,,,,1763260070.733857,,,,52.0,28.66019082069397,24848,52.0,,872,
,,,,1763260070.873055,,,,60.0,28.799388885498047,25017,60.0,,876,
,,,,1763260072.865445,,,,75.0,30.791778802871704,26986,75.0,,922,
,,,,1763260073.209626,,,,56.0,31.13595986366272,27318,56.0,,930,
,,,,1763260073.5502975,,,,54.0,31.47663140296936,27652,54.0,,938,
,,,,1763260073.7218912,,,,58.0,31.64822506904602,27806,58.0,,941,
,,,,1763260073.7427177,,,,54.0,31.66905164718628,27860,54.0,,942,
,,,,1763260073.9712105,,,,51.0,31.897544384002686,28084,51.0,,948,
,,,,1763260074.9746819,,,,54.0,32.901015758514404,29095,54.0,,974,
,,,,1763260075.1300635,,,,53.0,33.056397438049316,29301,53.0,,980,
,,,,1763260075.3364017,,,,42.0,33.26273560523987,29464,42.0,,985,
,,,,1763260076.3607507,,,,37.0,34.28708457946777,30477,37.0,,1015,
,,,,1763260076.9239511,,,,56.0,34.850285053253174,31068,56.0,,1031,
,,,,1763260077.6337185,,,,44.0,35.56005239486694,31782,44.0,,1050,
-0.0038994932547211647,-0.009635567665100098,40.17243957519531,-0.0025274455547332764,1763260077.7387168,953.0,0.0,0.2741982340812683,,35.665050745010376,31872,,0.00028095237212255597,1053,0.0005358410999178886
,,,,1763260077.935892,,,,31.0,35.8622260093689,32080,31.0,,1058,
,,,,1763260078.7595956,,,,43.0,36.68592953681946,32906,43.0,,1083,
,,,,1763260079.0475676,,,,49.0,36.97390151023865,33154,49.0,,1091,
,,,,1763260079.5414944,,,,62.0,37.46782827377319,33683,62.0,,1106,
0.0024403464049100876,-0.00307619571685791,0.18949875235557556,-0.008392401039600372,1763260079.9038765,956.0,0.01171875,0.18482011556625366,,37.8302104473114,34048,,0.0002796466869767755,1118,0.00035433657467365265
,,,,1763260080.4448082,,,,40.0,38.37114214897156,34581,40.0,,1133,
,,,,1763260080.9343991,,,,39.0,38.86073303222656,35123,39.0,,1145,
