charts/SPS,losses/clipfrac,_runtime,charts/episodic_return,_step,charts/learning_rate,_timestamp,losses/policy_loss,losses/old_approx_kl,losses/explained_variance,losses/entropy,losses/approx_kl,global_step,charts/episodic_length,losses/value_loss
1079.0,0.0,31.583033800125122,,155,0.00029639017884619534,1763260086.749318,0.006131194531917572,-0.004222556948661804,0.06420701742172241,0.5894089937210083,0.00029827654361724854,6144,,382.4176940917969
,,31.62235379219055,90.0,157,,1763260086.7886379,,,,,,6254,90.0,
,,32.50128960609436,140.0,172,,1763260087.6675737,,,,,,7187,140.0,
1086.0,0.0,33.90041971206665,,195,0.00029485407867468894,1763260089.0667038,-0.0012590084224939346,0.002894282341003418,0.0025737881660461426,0.5511358380317688,0.00011326931416988373,8704,,124.71170806884766
,,34.380812644958496,162.0,203,,1763260089.5470967,,,,,,9294,162.0,
1070.0,0.0,35.21551203727722,,213,0.00029408602858893573,1763260090.3817961,0.00018796324729919434,0.00022455770522356033,0.00363081693649292,0.5599868893623352,1.5022233128547668e-06,9984,,306.601806640625
,,35.66912651062012,275.0,217,,1763260090.8354106,,,,,,10335,275.0,
,,36.55406999588013,132.0,228,,1763260091.720354,,,,,,11059,132.0,
1022.0,0.0,37.03138256072998,,233,0.0002932411734946072,1763260092.1976666,-0.014866173267364502,-8.407142013311386e-05,0.266826868057251,0.5771285891532898,0.0016884515061974525,11392,,132.3507843017578
,,38.598931312561035,45.0,251,,1763260093.7652154,,,,,,12628,45.0,
,,39.33908414840698,284.0,259,,1763260094.5053682,,,,,,13239,284.0,
,,39.77612638473511,204.0,265,,1763260094.9424105,,,,,,13630,204.0,
,,40.33475971221924,125.0,273,,1763260095.5010438,,,,,,14166,125.0,
977.0,0.0,40.42916941642761,,274,0.00029155146330595016,1763260095.5954535,-0.002378895878791809,-0.00023454241454601288,-0.011650681495666504,0.5751263499259949,8.821859955787659e-05,14208,,100.08320617675781
,,41.55251383781433,187.0,292,,1763260096.718798,,,,,,15406,187.0,
994.0,0.0,43.6597113609314,,321,0.0002894777280744165,1763260098.8259954,-0.0006321296095848083,-0.003709430806338787,0.005177557468414307,0.5769871473312378,0.00016282964497804642,17664,,236.3890380859375
997.0,0.0,44.11551308631897,,327,0.00028917050804011524,1763260099.2817972,-0.004035960882902145,0.0023668846115469933,0.16799896955490112,0.5592625141143799,0.00026551540940999985,18176,,231.34347534179688
,,44.26816487312317,215.0,330,,1763260099.434449,,,,,,18419,215.0,
,,44.416619300842285,127.0,332,,1763260099.5829034,,,,,,18546,127.0,
,,44.75770115852356,175.0,337,,1763260099.9239852,,,,,,18919,175.0,
,,44.97552704811096,228.0,340,,1763260100.1418111,,,,,,19147,228.0,
1009.0,0.0,47.31084394454956,,370,0.0002870967728085816,1763260102.477128,-0.0017661936581134796,0.002441314049065113,0.05656147003173828,0.53140789270401,6.165448576211929e-05,21632,,242.58790588378906
1009.0,0.0,47.69655442237854,,375,0.00028686635778285563,1763260102.8628385,-0.0007502138614654541,-0.0005015898495912552,0.0020861029624938965,0.5429589748382568,1.2518838047981262e-05,22016,,231.47450256347656
,,49.123913526535034,208.0,396,,1763260104.2901976,,,,,,23642,208.0,
1019.0,0.0,51.36999797821045,,425,0.0002844854025170207,1763260106.536282,0.004565134644508362,0.001542646437883377,0.009512841701507568,0.5718415379524231,0.00045589543879032135,25984,,195.27554321289062
1022.0,0.0,52.542386054992676,,441,0.0002837173524312675,1763260107.7086701,0.024529196321964264,-0.021359065547585487,0.1755698323249817,0.47750699520111084,0.0014304453507065773,27264,,356.52001953125
1024.0,0.0,53.256001472473145,,450,0.0002832565223798156,1763260108.4222856,-0.00200633704662323,0.002606087364256382,0.2788870334625244,0.5946048498153687,0.00013327505439519882,28032,,88.42152404785156
1028.0,0.0,54.76407814025879,,471,0.0002822580572683364,1763260109.9303622,0.0006541656330227852,0.0041719404980540276,0.91440749168396,0.5434922575950623,0.0002254704013466835,29696,,34.11915588378906
,,55.493996381759644,297.0,481,,1763260110.6602805,,,,,,30494,297.0,
1030.0,0.0,56.19928026199341,,490,0.00028133639716543257,1763260111.3655643,-0.0014516692608594894,0.002128109335899353,0.7354031205177307,0.5341372489929199,5.994550883769989e-05,31232,,29.16095542907715
1032.0,0.0,57.26291584968567,,504,0.0002806451520882547,1763260112.4292,-0.003936460241675377,0.0036396440118551254,0.8414297103881836,0.5733024477958679,0.0007864721119403839,32384,,40.694488525390625
,,58.103466510772705,333.0,515,,1763260113.2697506,,,,,,33338,333.0,
1035.0,0.0,59.26636981964111,,530,0.00027933946694247425,1763260114.432654,2.2331252694129944e-05,-0.0049399081617593765,0.24708807468414307,0.5669432878494263,7.03670084476471e-05,34560,,118.89519500732422
1037.0,0.0,60.04867172241211,,539,0.000278801831882447,1763260115.2149558,-0.004253886640071869,0.002026963047683239,0.02964496612548828,0.6003372669219971,3.578048199415207e-05,35456,,91.04117584228516
1038.0,0.0,60.65157222747803,,547,0.0002784178068395704,1763260115.8178563,-0.008808869868516922,0.00922202318906784,0.8919768333435059,0.5435132384300232,0.0008574202656745911,36096,,16.904935836791992
1039.0,0.0,61.36601638793945,,555,0.0002779569767881185,1763260116.5323005,-0.0001229122281074524,-8.004158735275269e-05,0.1381540298461914,0.5084776282310486,2.1606683731079102e-07,36864,,84.072265625
,,61.61819243431091,138.0,559,,1763260116.7844765,,,,,,37190,138.0,
1040.0,0.0,62.41877031326294,,568,0.0002772657317109406,1763260117.5850544,-0.00266425684094429,0.008439313620328903,0.03306645154953003,0.5599826574325562,0.0003705564886331558,38016,,74.11598205566406
1043.0,0.0,64.28074932098389,,595,0.00027603688067756593,1763260119.4470334,-0.00011484697461128235,-0.0021517574787139893,0.867710292339325,0.5142791867256165,0.00026641227304935455,40064,,33.27143478393555
,,65.51885628700256,215.0,612,,1763260120.6851404,,,,,,41390,215.0,
,,65.63395500183105,130.0,614,,1763260120.800239,,,,,,41520,130.0,
,,66.70421957969666,248.0,630,,1763260121.8705037,,,,,,42733,248.0,
,,67.12563753128052,250.0,636,,1763260122.2919216,,,,,,43153,250.0,
1047.0,0.0,67.45582365989685,,640,0.0002739631454460323,1763260122.6221077,-0.009109284728765488,-0.00963341724127531,0.8370872735977173,0.5764207243919373,0.0006313463672995567,43520,,50.05890655517578
1048.0,0.0,68.37754106521606,,650,0.0002733487053774297,1763260123.5438251,0.00227472186088562,-0.0004829969257116318,-2.0768277645111084,0.5182783007621765,0.0002893153578042984,44544,,85.74664306640625
1049.0,0.0,69.66776537895203,,664,0.0002725038502831012,1763260124.8340495,-0.002911120653152466,0.00031173694878816605,-1.9219305515289307,0.49635106325149536,9.376648813486099e-05,45952,,45.77619934082031
1052.0,0.0,71.37796521186829,,684,0.0002713517751544714,1763260126.5442493,-0.0004146397113800049,-0.0001546815037727356,0.12413376569747925,0.5046577453613281,2.2280961275100708e-05,47872,,34.127288818359375
1052.0,0.0,71.84986186027527,,689,0.0002710445551201701,1763260127.016146,0.004260890185832977,0.0019968170672655106,-13.792614936828613,0.5341237187385559,0.00039633363485336304,48384,,214.247314453125
,,72.53886079788208,268.0,698,,1763260127.705145,,,,,,49208,268.0,
,,72.94401812553406,336.0,702,,1763260128.1103022,,,,,,49544,336.0,
1053.0,0.0,73.39182591438293,99.0,707,0.00027004609000869095,1763260128.55811,0.007439125329256058,0.007698738016188145,0.33825284242630005,0.5253392457962036,0.0006651012226939201,50048,99.0,393.432373046875
,,75.27831888198853,160.0,729,,1763260130.444603,,,,,,52169,160.0,
1051.0,0.0,77.97584652900696,,757,0.0002672043046914041,1763260133.1421306,-0.002700190991163254,0.0004962161183357239,-0.005747675895690918,0.5025482177734375,1.0345131158828735e-05,54784,,121.66007232666016
1051.0,0.00390625,78.47231483459473,,762,0.0002668970846571028,1763260133.638599,-0.002932049334049225,0.0033041173592209816,-0.08267903327941895,0.5744426250457764,0.0016404399648308754,55296,,15.477520942687988
