charts/episodic_return,losses/approx_kl,_timestamp,losses/clipfrac,losses/old_approx_kl,losses/explained_variance,losses/entropy,losses/value_loss,charts/episodic_length,losses/policy_loss,_runtime,_step,global_step,charts/learning_rate,charts/SPS
,2.068839967250824e-05,1763260143.980987,0.0,-0.000829111784696579,-0.18586421012878418,0.5551506280899048,2.3964624404907227,,-0.0017709173262119293,89.19662117958069,876,67200,0.00025975421885959804,1058.0
500.0,,1763260148.07788,,,,,,500.0,,93.2935140132904,922,71683,,
,0.003728938288986683,1763260148.9056957,0.00390625,0.008669181726872921,0.007123589515686035,0.4970080852508545,0.001267187180928886,,-0.002040877938270569,94.12132978439331,930,72576,0.0002565284084994346,1060.0
,4.837848246097565e-05,1763260149.62181,0.0,0.0005628522485494614,0.3089669346809387,0.4392019212245941,0.006534737069159746,,-0.0025950372219085693,94.83744406700134,938,73344,0.00025606757844798267,1060.0
500.0,,1763260149.8749769,,,,,,500.0,,95.09061098098755,941,73683,,
,0.0002782512456178665,1763260149.9602609,0.0,-0.003657957538962364,0.00036585330963134766,0.45566150546073914,1485.748046875,,-0.004154423251748085,95.17589497566223,942,73728,0.0002558371634222567,1061.0
,0.0008110804483294487,1763260150.5639396,0.0,-0.010955159552395344,-51.303070068359375,0.4701480567455292,0.017089003697037697,,-0.007333744317293167,95.77957367897034,948,74368,0.0002554531383793801,1061.0
,0.0020516207441687584,1763260153.0079067,0.0,-0.00713553000241518,-0.7166250944137573,0.3872028589248657,0.0014194475952535868,,-0.0011185109615325928,98.22354078292847,974,77056,0.0002538402331992984,1062.0
500.0,,1763260153.539191,,,,,,500.0,,98.75482511520386,980,77683,,
500.0,,1763260153.98401,,,,,,500.0,,99.19964408874512,985,78183,,
500.0,,1763260154.9181168,,,,,,500.0,,100.13375091552734,995,79183,,
,0.005016951821744442,1763260155.1153593,0.013671875,-0.00729603786021471,-1.1667909622192383,0.4273131191730499,0.009310007095336914,,-0.019949406385421753,100.33099341392517,997,79360,0.0002524577430449426,1063.0
500.0,,1763260156.7792292,,,,,,500.0,,101.99486327171326,1015,81183,,
500.0,,1763260157.225025,,,,,,500.0,,102.4406590461731,1020,81683,,
,0.00010799895972013474,1763260158.2710676,0.0,-0.0034258821979165077,0.08261477947235107,0.4600291848182678,0.0042673214338719845,,0.0008779577910900116,103.48670172691345,1031,82816,0.00025038403691723943,1064.0
,0.0005842819809913635,1763260160.0335498,0.0,0.006046116352081299,0.23188084363937378,0.46119338274002075,0.000974682392552495,,-0.0038277991116046906,105.24918389320374,1050,84736,0.0002492319617886096,1065.0
,0.00028309691697359085,1763260160.2610748,0.0,-0.006748746149241924,5.6684017181396484e-05,0.4823070168495178,1277.6043701171875,,0.0019796136766672134,105.47670888900757,1053,84992,0.000249078351771459,1065.0
,0.0017271963879466057,1763260160.7435758,0.001953125,-0.005525342188775539,-0.00030303001403808594,0.4795609712600708,937.5967407226562,,0.011586392298340797,105.95920991897583,1058,85504,0.0002487711317371577,1065.0
,0.00020082108676433563,1763260163.0897472,0.0,0.0027354322373867035,0.05118793249130249,0.3971664607524872,0.001769278314895928,,0.0031595081090927124,108.30538129806519,1083,88064,0.0002472350315656513,1066.0
,0.0010690400376915932,1763260163.767744,0.0,0.006025887094438076,-0.00011897087097167969,0.5165510773658752,1069.241455078125,,-0.0047050416469573975,108.98337817192078,1091,88832,0.0002467742015141994,1066.0
,0.00012417230755090714,1763260165.084322,0.0,-0.005009871907532215,0.0031609535217285156,0.5226078629493713,782.1651611328125,,-0.00036991387605667114,110.29995608329773,1106,90240,0.00024592934641987085,1066.0
,0.0012201368808746338,1763260166.1427963,0.001953125,0.004425356164574623,0.006731927394866943,0.41048693656921387,871.9805297851562,,-0.01278965175151825,111.3584303855896,1118,91392,0.00024523810134269297,1066.0
,0.00018507987260818481,1763260166.7084754,0.0,0.002360628917813301,0.4214065670967102,0.45935118198394775,0.12975624203681946,,-0.0076313316822052,111.92410945892334,1125,92032,0.00024485407629981637,1067.0
,0.0008904039859771729,1763260167.313658,0.0,0.0021697357296943665,0.08057540655136108,0.4811185896396637,651.6687622070312,,-0.004941875115036964,112.52929210662842,1133,92672,0.00024447005125693977,1067.0
,0.0015542823821306229,1763260168.4756665,0.0,0.010666560381650925,-117.38329315185547,0.4459426701068878,0.03716718405485153,,-0.007304057478904724,113.69130063056946,1145,93952,0.00024370200117118657,1067.0
,0.0006538853049278259,1763260170.0977385,0.009765625,-0.005256252363324165,0.009868264198303223,0.39287298917770386,0.017261885106563568,,-0.0008548498153686523,115.31337261199951,1164,95744,0.00024262673105113208,1068.0
168.0,,1763260170.137563,,,,,,168.0,,115.35319709777832,1165,95780,,
,0.0006130505353212357,1763260170.8094838,0.0,0.009957337751984596,0.318667471408844,0.4511435031890869,0.024030789732933044,,-0.011097490787506104,116.02511787414551,1172,96512,0.00024216590099968016,1068.0
,0.006905689835548401,1763260171.743961,0.01171875,0.005749929696321487,0.03368884325027466,0.5492619276046753,0.003272310132160783,,-0.014195960015058517,116.95959520339966,1181,97536,0.0002415514609310776,1068.0
,0.0040904078632593155,1763260172.1949449,0.015625,-0.028596386313438416,-9.567009925842285,0.4702581465244293,0.0036152363754808903,,-0.03178589791059494,117.41057896614075,1186,98048,0.00024124424089677632,1069.0
,0.0012421850115060806,1763260173.2406492,0.00390625,0.002501465380191803,-12.529218673706055,0.44131410121917725,0.0004945766413584352,,0.00011708587408065796,118.45628333091736,1197,99200,0.00024055299581959844,1069.0
500.0,,1763260174.68859,,,,,,500.0,,119.90422415733337,1213,100780,,
,0.0010374607518315315,1763260174.8977022,0.0,0.006891782395541668,-1.3000824451446533,0.5008102655410767,0.005454744677990675,,0.00344693660736084,120.11333632469177,1215,100992,0.00023947772569954395,1069.0
,0.006920935586094856,1763260175.9430218,0.021484375,-0.0044975895434618,0.7037276029586792,0.484657347202301,0.0006070206291042268,,-0.0010837912559509277,121.15865588188171,1226,102144,0.00023878648062236607,1070.0
,0.0005763079971075058,1763260176.2809205,0.0,-0.0022311676293611526,-0.5513880252838135,0.4992995262145996,0.00498675974085927,,-0.0002837628126144409,121.4965546131134,1230,102528,0.0002385560655966401,1070.0
,0.0011422913521528244,1763260176.655,0.0,-0.013410845771431923,-0.11324858665466309,0.5476496815681458,0.005212944932281971,,-0.0022401344031095505,121.87063407897949,1234,102912,0.00023832565057091415,1070.0
,0.0007633483037352562,1763260177.767151,0.0,-0.0025594523176550865,-0.1519145965576172,0.5154180526733398,0.0015247853007167578,,0.0062883831560611725,122.98278522491455,1245,104064,0.00023763440549373627,1069.0
,0.0005527697503566742,1763260178.5571828,0.0,0.001305820420384407,0.05214899778366089,0.5376507043838501,0.003978230059146881,,0.00019971467554569244,123.7728168964386,1254,104960,0.00023709677043370903,1070.0
,0.00044103898108005524,1763260180.2086945,0.0,0.0023236237466335297,-1.2192895412445068,0.589288055896759,0.0002930341870523989,,-0.004432274028658867,125.42432856559753,1271,106752,0.00023602150031365454,1070.0
,5.2362680435180664e-05,1763260182.8102345,0.0,-0.003933588042855263,0.10828304290771484,0.5207608342170715,0.0011028825538232923,,-0.0004437677562236786,128.0258686542511,1299,109568,0.0002343317901249975,1070.0
500.0,,1763260186.578292,,,,,,500.0,,131.7939260005951,1339,113780,,
,0.0001024790108203888,1763260186.6515398,0.0,-0.004751766100525856,-0.00010061264038085938,0.5583422183990479,1145.0048828125,,0.00042513012886047363,131.867173910141,1340,113792,0.00023179723939392716,1071.0
500.0,,1763260187.505924,,,,,,500.0,,132.72155809402466,1349,114780,,
,0.0038592712953686714,1763260188.8700848,0.009765625,0.026908408850431442,0.05406719446182251,0.46506887674331665,0.00016814809350762516,,-0.00986771285533905,134.08571887016296,1363,116224,0.00023033794423099607,1072.0
,0.00047113560140132904,1763260188.9847124,0.0,0.0027741678059101105,0.00034373998641967773,0.48915567994117737,1084.5938720703125,,-0.0003142300993204117,134.20034646987915,1365,116352,0.00023026113922242075,1072.0
,0.0003919163718819618,1763260189.4676254,0.0,0.001675301231443882,8.571147918701172e-05,0.5670260787010193,870.8744506835938,,-0.0012149550020694733,134.6832594871521,1370,116864,0.00022995391918811947,1072.0
,0.000134357251226902,1763260190.4037867,0.0,-3.514159470796585e-05,-0.0005193948745727539,0.48928433656692505,610.8764038085938,,-0.0040928274393081665,135.61942076683044,1380,117888,0.0002293394791195169,1072.0
,7.942039519548416e-05,1763260190.5125487,0.0,0.004442681558430195,0.10029834508895874,0.4848005473613739,0.005610053893178701,,-0.002535901963710785,135.72818279266357,1381,118016,0.0002292626741109416,1072.0
500.0,,1763260191.1331687,,,,,,500.0,,136.3488028049469,1388,118780,,
,0.00040776561945676804,1763260191.7839808,0.0,0.008377880789339542,0.175001859664917,0.5032202005386353,0.004077489487826824,,-0.007329873740673065,136.99961495399475,1395,119424,0.00022841781901661307,1072.0
,1.1799857020378113e-05,1763260192.120881,0.0,-0.000854935497045517,0.00010824203491210938,0.5018357634544373,1702.1881103515625,,0.0005712918937206268,137.33651518821716,1399,119808,0.0002281874039908871,1073.0
