losses/old_approx_kl,charts/learning_rate,losses/approx_kl,losses/policy_loss,charts/episodic_return,_timestamp,losses/entropy,losses/clipfrac,charts/SPS,losses/value_loss,global_step,_runtime,losses/explained_variance,charts/episodic_length,_step
,,,,,1763260079.533151,,,,,0,24.682567834854126,,,0
0.009975912049412727,0.0003000000142492354,0.0007265377789735794,-0.013374937698245049,,1763260080.6414526,0.6923814415931702,0.0,804.0,56.71592330932617,128,25.79086947441101,-0.0013679265975952148,,7
0.000475139357149601,0.0002996927942149341,5.156081169843674e-05,-0.001872975379228592,,1763260081.1532772,0.6865156888961792,0.0,953.0,255.35818481445312,640,26.302694082260132,-0.004938364028930664,,33
,,,,47.0,1763260081.3044074,,,,,839,26.453824281692505,,47.0,41
,,,,41.0,1763260081.4350755,,,,,990,26.584492444992065,,41.0,47
-0.0037534199655056,0.00029915515915490687,0.00016370229423046112,0.003021448850631714,,1763260082.0157685,0.6279351711273193,0.0,1001.0,194.84967041015625,1536,27.16518545150757,-0.008911371231079102,,64
,,,,70.0,1763260082.2862678,,,,,1879,27.43568468093872,,70.0,74
,,,,42.0,1763260082.400263,,,,,2002,27.54967999458313,,42.0,77
,,,,17.0,1763260082.7578902,,,,,2410,27.907307147979736,,17.0,88
,,,,75.0,1763260083.3607264,,,,,3066,28.510143280029297,,75.0,102
,,,,34.0,1763260083.446634,,,,,3100,28.59605097770691,,34.0,104
,,,,67.0,1763260084.8348775,,,,,4625,29.984294414520264,,67.0,133
-0.0015084771439433098,0.00029685100889764726,5.066674202680588e-05,-0.00022055208683013916,,1763260085.5362742,0.608684778213501,0.0,1063.0,121.65621948242188,5376,30.685691118240356,0.09383577108383179,,147
0.0018592262640595436,0.00029677420388907194,0.0003240397199988365,-0.006983272731304169,,1763260085.6487958,0.575652003288269,0.0,1065.0,199.4189910888672,5504,30.79821276664734,0.009810149669647217,,149
,,,,58.0,1763260085.6500347,,,,,5505,30.79945158958435,,58.0,150
,,,,109.0,1763260085.8918793,,,,,5798,31.041296243667603,,109.0,155
,,,,152.0,1763260086.0152123,,,,,5950,31.164629220962524,,152.0,157
-0.007088840939104557,0.0002959293487947434,0.0008683158084750175,0.018847286701202393,,1763260086.9177132,0.5984583497047424,0.0,1074.0,499.5606689453125,6912,32.06713008880615,0.01753896474838257,,172
,,,,74.0,1763260088.0970592,,,,,8226,33.24647617340088,,74.0,195
,,,,84.0,1763260088.4488297,,,,,8579,33.598246574401855,,84.0,203
-0.0001995079219341278,0.00029454685864038765,4.3138861656188965e-06,-0.00013219937682151794,,1763260089.015213,0.613460898399353,0.0,1080.0,84.39542388916016,9216,34.16462993621826,0.03381824493408203,,213
,,,,66.0,1763260089.203006,,,,,9426,34.35242295265198,,66.0,217
,,,,79.0,1763260089.9568186,,,,,9924,35.10623550415039,,79.0,228
,,,,136.0,1763260090.2466562,,,,,10165,35.39607310295105,,136.0,233
,,,,103.0,1763260091.144402,,,,,10963,36.293818950653076,,103.0,251
,,,,103.0,1763260091.7846959,,,,,11442,36.934112787246704,,103.0,259
,,,,59.0,1763260092.16462,,,,,11765,37.31403684616089,,59.0,265
,,,,126.0,1763260092.8201678,,,,,12161,37.969584703445435,,126.0,273
0.0018205037340521812,0.00029270353843457997,3.2597221434116364e-05,-0.00035596638917922974,,1763260092.955814,0.6308095455169678,0.0,985.0,465.1234436035156,12288,38.10523080825806,0.07325774431228638,,274
-0.001347435638308525,0.0002921659033745527,5.480460822582245e-05,-0.0005846470594406128,,1763260094.1682153,0.6142571568489075,0.0,963.0,134.12156677246094,13184,39.31763219833374,0.08387637138366699,,292
0.0026934919878840446,0.0002908602182287723,0.0002785464748740196,0.00010432302951812744,,1763260096.3936322,0.5870362520217896,0.0,965.0,113.73565673828125,15360,41.54304909706116,0.049818992614746094,,327
,,,,104.0,1763260096.512605,,,,,15497,41.66202187538147,,104.0,330
