losses/old_approx_kl,_timestamp,global_step,charts/learning_rate,_runtime,losses/clipfrac,losses/entropy,_step,losses/approx_kl,losses/value_loss,charts/SPS,charts/episodic_return,losses/policy_loss,losses/explained_variance,charts/episodic_length
,1763260080.3931983,0,,25.173107147216797,,,0,,,,,,,
0.002831624820828438,1763260081.3159628,128,0.0003000000142492354,26.095871686935425,0.0,0.6930610537528992,7,6.863661110401154e-05,43.926414489746094,1029.0,,-0.0030112937092781067,-0.014369010925292969,
,1763260081.7463603,617,,26.52626919746399,,,33,,,,13.0,,,13.0
0.01188565231859684,1763260081.9468677,768,0.0002996159892063588,26.726776599884033,0.0,0.6871182322502136,41,0.0008497051894664764,87.85747528076172,1016.0,,-0.01850498840212822,0.006677389144897461,
0.017644228413701057,1763260082.068738,896,0.00029953918419778347,26.848646879196167,0.0,0.6784135103225708,47,0.0017461944371461868,68.36168670654297,1021.0,,-0.02570512145757675,-0.008308887481689453,
,1763260082.444496,1307,,27.22440481185913,,,64,,,,57.0,,,57.0
,1763260082.7126608,1574,,27.4925696849823,,,74,,,,48.0,,,48.0
,1763260082.828088,1681,,27.607996940612793,,,77,,,,53.0,,,53.0
,1763260083.1931233,2116,,27.973032236099243,,,88,,,,89.0,,,89.0
,1763260083.7809,2743,,28.560808897018433,,,102,,,,80.0,,,80.0
,1763260083.890085,2858,,28.66999387741089,,,104,,,,115.0,,,115.0
0.0024394840002059937,1763260085.0451367,4096,0.00029761905898340046,29.825045585632324,0.0,0.6068488955497742,133,4.672631621360779e-05,89.87574005126953,1062.0,,3.434065729379654e-05,0.033513009548187256,
,1763260085.6306007,4761,,30.41050958633423,,,147,,,,29.0,,,29.0
-0.0004380447790026665,1763260085.735324,4864,0.00029715822893194854,30.515232801437378,0.0,0.6295289993286133,149,3.1990930438041687e-06,163.57305908203125,1070.0,,0.0006054341793060303,0.04324740171432495,
,1763260085.7520697,4907,,30.531978607177734,,,150,,,,71.0,,,71.0
-0.0007312959060072899,1763260085.987093,5120,0.0002970046189147979,30.76700186729431,0.0,0.6344929933547974,155,3.7262216210365295e-06,174.5238037109375,1067.0,,0.00034879520535469055,-0.018019556999206543,
-0.00032844580709934235,1763260086.0999033,5248,0.0002969278139062226,30.879812240600586,0.0,0.5858386754989624,157,2.4419277906417847e-05,375.3353576660156,1069.0,,-1.6801059246063232e-05,0.034740447998046875,
,1763260086.6861837,5913,,31.466092586517334,,,172,,,,86.0,,,86.0
,1763260087.6583774,7023,,32.43828630447388,,,195,,,,170.0,,,170.0
-8.980091661214828e-05,1763260087.9942338,7296,0.00029569893376901746,32.77414274215698,0.0,0.5700488090515137,203,5.490146577358246e-06,72.62689208984375,1072.0,,0.0002855658531188965,-0.03380584716796875,
,1763260088.492286,7924,,33.27219486236572,,,213,,,,102.0,,,102.0
,1763260088.6929035,8098,,33.47281241416931,,,217,,,,123.0,,,123.0
0.0057988157495856285,1763260089.3341887,8704,0.00029485407867468894,34.114097595214844,0.0,0.6036090850830078,228,0.00012255553156137466,592.6580200195312,1068.0,,-0.00819607824087143,0.025023221969604492,
,1763260089.5965645,9060,,34.37647342681885,,,233,,,,52.0,,,52.0
-0.003329247236251831,1763260090.7652757,9984,0.00029408602858893573,35.54518461227417,0.0,0.5366492867469788,251,0.0001847967505455017,152.20565795898438,1042.0,,-0.0003691166639328003,0.00045996904373168945,
0.000821220688521862,1763260091.2573051,10368,0.00029385561356320977,36.037214040756226,0.013671875,0.5308148264884949,259,0.00330429058521986,76.93340301513672,1030.0,,0.00030612945556640625,0.3094567060470581,
0.0012015849351882935,1763260091.6412077,10624,0.00029370200354605913,36.42111659049988,0.0,0.5363499522209167,265,3.090500831604004e-05,94.6738052368164,1016.0,,-0.003345698118209839,0.057511210441589355,
-0.006483091041445732,1763260092.2967558,11136,0.00029339478351175785,37.076664686203,0.0,0.5309812426567078,273,0.00042996369302272797,107.99626922607422,1002.0,,0.004116680473089218,-0.015477180480957031,
,1763260092.3398182,11209,,37.11972713470459,,,274,,,,81.0,,,81.0
0.0001595020294189453,1763260093.9439638,12416,0.00029262673342600465,38.723872661590576,0.0,0.5843913555145264,292,9.428337216377258e-05,120.570068359375,973.0,,-0.00140342116355896,0.03196287155151367,
,1763260095.9267285,14198,,40.706637382507324,,,321,,,,182.0,,,182.0
0.0038383547216653824,1763260096.2446008,14464,0.0002913978532887995,41.02450966835022,0.0,0.5020150542259216,327,9.490922093391418e-05,177.43844604492188,960.0,,-0.00020072655752301216,-0.0018854141235351562,
-0.0012956978753209114,1763260096.3642368,14592,0.0002913210482802242,41.14414572715759,0.0,0.5828975439071655,330,0.00021011661738157272,127.50102233886719,961.0,,0.0031005963683128357,0.13333910703659058,
,1763260096.4001167,14682,,41.180025577545166,,,332,,,,50.0,,,50.0
0.0005021952092647552,1763260096.7569783,14976,0.00029109063325449824,41.53688716888428,0.0,0.5486584901809692,337,4.466250538825989e-05,187.48919677734375,962.0,,-0.0013297051191329956,0.14771735668182373,
,1763260096.9183166,15215,,41.69822549819946,,,340,,,,190.0,,,190.0
,1763260098.6641772,17111,,43.4440860748291,,,370,,,,145.0,,,145.0
0.0028245924040675163,1763260100.2148106,18688,0.00028886328800581396,44.99471950531006,0.0,0.5414563417434692,396,0.00019021611660718918,77.89237976074219,982.0,,0.0017936229705810547,0.261951208114624,
0.012407711707055569,1763260102.06213,20608,0.00028771121287718415,46.84203886985779,0.0,0.585625410079956,425,0.0010887878015637398,203.9971923828125,987.0,,-0.004883892834186554,0.07851254940032959,
