_step,_runtime,global_step,_timestamp,charts/episodic_length,losses/approx_kl,losses/explained_variance,losses/old_approx_kl,charts/episodic_return,losses/clipfrac,losses/policy_loss,losses/entropy,charts/learning_rate,charts/SPS,losses/value_loss
0,24.762705326080322,0,1763260080.0269184,,,,,,,,,,,
7,25.700589895248413,128,1763260080.964803,29.0,1.9017606973648071e-06,-0.0008312463760375977,6.095133721828461e-05,29.0,0.0,-0.00026210956275463104,0.6931385397911072,0.0003000000142492354,992.0,58.97784423828125
33,26.208211660385132,640,1763260081.4724247,,0.0006459001451730728,0.0033579468727111816,0.005143487825989723,,0.0,-0.01312759704887867,0.6911433339118958,0.0002996927942149341,1005.0,33.60438537597656
41,26.343435287475586,788,1763260081.6076484,17.0,,,,17.0,,,,,,
47,26.467484951019287,927,1763260081.731698,23.0,,,,23.0,,,,,,
64,26.741373538970947,1240,1763260082.0055866,42.0,,,,42.0,,,,,,
74,27.081103324890137,1536,1763260082.3453164,,0.0011361604556441307,0.040907442569732666,0.005689891986548901,,0.0,-0.013007191941142082,0.6181423664093018,0.00029915515915490687,1017.0,131.50497436523438
77,27.112860918045044,1586,1763260082.377074,31.0,,,,31.0,,,,,,
88,27.474363327026367,2003,1763260082.7385764,54.0,,,,54.0,,,,,,
102,27.91083312034607,2432,1763260083.1750462,,0.0008847964927554131,-0.002472996711730957,0.00799697358161211,,0.0,-0.008004192262887955,0.5888370871543884,0.00029861752409487963,1039.0,91.38975524902344
104,27.94451141357422,2524,1763260083.2087245,70.0,,,,70.0,,,,,,
133,29.24475884437561,3924,1763260084.508972,61.0,,,,61.0,,,,,,
147,29.930606842041016,4690,1763260085.19482,28.0,,,,28.0,,,,,,
149,30.0421040058136,4818,1763260085.306317,128.0,,,,128.0,,,,,,
150,30.055635690689087,4854,1763260085.3198488,36.0,,,,36.0,,,,,,
155,30.376882314682007,5120,1763260085.6410954,,2.0819716155529022e-05,0.023649156093597412,-0.001990647055208683,,0.0,0.0007917843759059906,0.6124991178512573,0.0002970046189147979,1065.0,277.038818359375
157,30.506977558135986,5300,1763260085.7711906,223.0,,,,223.0,,,,,,
172,31.536338329315186,6445,1763260086.8005514,125.0,,,,125.0,,,,,,
195,32.579100131988525,7573,1763260087.8433132,28.0,,,,28.0,,,,,,
203,32.933170557022095,7987,1763260088.1973836,93.0,,,,93.0,,,,,,
213,33.56569719314575,8576,1763260088.8299103,,4.9602240324020386e-06,0.22000908851623535,-0.0002177320420742035,,0.0,-0.00016126036643981934,0.6079781651496887,0.00029493088368326426,1072.0,179.1659698486328
217,33.90330100059509,8960,1763260089.167514,,0.0036013228818774223,0.20208871364593506,0.026883909478783607,,0.00390625,-0.02460985630750656,0.5514323711395264,0.0002947004686575383,1075.0,437.9730529785156
228,34.47758102416992,9600,1763260089.741794,,0.0001233452931046486,0.06125140190124512,-0.0006835414096713066,,0.0,-0.0011088959872722626,0.6128604412078857,0.0002943164436146617,1077.0,94.62389373779297
233,34.749306201934814,9921,1763260090.0135193,165.0,,,,165.0,,,,,,
251,36.19396233558655,10988,1763260091.4581754,198.0,,,,198.0,,,,,,
