losses/value_loss,charts/episodic_length,charts/learning_rate,losses/entropy,losses/clipfrac,_step,charts/SPS,_runtime,losses/old_approx_kl,charts/episodic_return,_timestamp,global_step,losses/explained_variance,losses/policy_loss,losses/approx_kl
,,,,,0,,25.016407251358032,,,1763260080.2223673,0,,,
,13.0,,,,7,,25.873563289642334,,13.0,1763260081.0795233,108,,,
78.34645080566406,,0.0002996927942149341,0.6795694828033447,0.0,33,1011.0,26.455992460250854,0.0018008658662438393,,1763260081.6619525,640,-0.002345561981201172,-0.00142572820186615,0.001017826609313488
,31.0,,,,41,,26.599207401275635,,31.0,1763260081.8051674,816,,,
,57.0,,,,47,,26.731218099594116,,57.0,1763260081.9371781,975,,,
276.21697998046875,,0.0002992319641634822,0.6526841521263123,0.0,64,1037.0,27.18094801902771,0.004118709824979305,,1763260082.386908,1408,-0.014540910720825195,-0.003175657242536545,0.0006406093016266823
134.85618591308594,,0.00029900154913775623,0.6280577182769775,0.0,74,1032.0,27.559348106384277,-0.004145464859902859,,1763260082.7653081,1792,0.014400362968444824,0.0031847134232521057,0.00019607599824666977
270.0321350097656,,0.0002989247441291809,0.5945134162902832,0.0,77,1037.0,27.67425775527954,-0.0015578623861074448,,1763260082.8802178,1920,-0.005472064018249512,-0.00014948472380638123,7.502734661102295e-05
,41.0,,,,88,,28.051438570022583,,41.0,1763260083.2573986,2384,,,
,42.0,,,,102,,28.53275752067566,,42.0,1763260083.7387176,2877,,,
120.98295593261719,,0.00029831030406057835,0.5891742706298828,0.0,104,1050.0,28.624928951263428,0.009407655335962772,,1763260083.830889,2944,0.012439846992492676,-0.015293389558792114,0.0013319356366991997
189.18197631835938,,0.0002973118389490992,0.6136646270751953,0.0,133,1070.0,30.127176523208618,0.0012570274993777275,,1763260085.3331366,4608,-0.006508827209472656,-0.002084672451019287,0.0002476656809449196
,178.0,,,,147,,30.95559573173523,,178.0,1763260086.1615558,5541,,,
103.68880462646484,,0.0002966973988804966,0.6105472445487976,0.0,149,1076.0,31.056630849838257,0.0024201776832342148,,1763260086.262591,5632,0.10685181617736816,0.003849383443593979,0.0003512352705001831
545.8677368164062,,0.0002966205938719213,0.6058481335639954,0.0,150,1077.0,31.168013095855713,-0.0007744347676634789,,1763260086.3739731,5760,-0.00969398021697998,-0.0019260570406913757,4.456285387277603e-05
,125.0,,,,155,,31.434266805648804,,125.0,1763260086.6402268,6127,,,
,115.0,,,,157,,31.563495874404907,,115.0,1763260086.769456,6242,,,
,126.0,,,,172,,32.246326208114624,,126.0,1763260087.4522862,6996,,,
,163.0,,,,195,,33.52440881729126,,163.0,1763260088.7303689,8406,,,
,59.0,,,,203,,33.88020181655884,,59.0,1763260089.0861619,8755,,,
,84.0,,,,213,,34.333306312561035,,84.0,1763260089.5392663,9243,,,
,72.0,,,,217,,34.47477316856384,,72.0,1763260089.6807332,9436,,,
165.7740936279297,,0.0002940092235803604,0.5672496557235718,0.0,228,1047.0,35.47348117828369,0.000526847317814827,,1763260090.6794412,10112,0.03686869144439697,-0.001162152737379074,0.00024680234491825104
114.32076263427734,,0.00029385561356320977,0.5830019116401672,0.0,233,1042.0,35.77017688751221,-0.0005304655060172081,,1763260090.976137,10368,0.29880112409591675,0.0003247559070587158,6.384216248989105e-06
431.3835754394531,,0.0002931643684860319,0.5853023529052734,0.125,251,1013.0,37.19516897201538,0.0016517499461770058,,1763260092.401129,11520,0.04955810308456421,0.00400855578482151,0.016850285232067108
,224.0,,,,259,,37.83570098876953,,224.0,1763260093.041661,12102,,,
,53.0,,,,265,,38.333012342453,,53.0,1763260093.5389724,12444,,,
298.3939514160156,,0.00029224270838312805,0.585573136806488,0.0,273,985.0,39.077993631362915,-0.00733623281121254,,1763260094.2839537,13056,0.19672751426696777,0.0006032027304172516,0.00023171119391918182
,130.0,,,,274,,39.08256244659424,,130.0,1763260094.2885225,13063,,,
,267.0,,,,292,,40.38782334327698,,267.0,1763260095.5937834,14340,,,
291.7403564453125,,0.0002902457781601697,0.5855278372764587,0.001953125,321,995.0,42.28631639480591,0.0029219677671790123,,1763260097.4922764,16384,0.45251601934432983,-0.014618830755352974,0.0013788705691695213
,120.0,,,,327,,42.58667612075806,,120.0,1763260097.7926362,16758,,,
125.0241928100586,,0.00028993855812586844,0.5937826037406921,0.0,330,996.0,42.77443599700928,0.0028692418709397316,,1763260097.980396,16896,0.003960132598876953,-0.015390127897262573,0.0005284035578370094
149.26150512695312,,0.0002898617531172931,0.5554654598236084,0.0,332,997.0,42.888558864593506,0.0030301660299301147,,1763260098.094519,17024,0.0381128191947937,-0.0040773190557956696,0.0001971311867237091
,145.0,,,,337,,43.13300085067749,,145.0,1763260098.338961,17316,,,
87.64620971679688,,0.00028955453308299184,0.629263699054718,0.0,340,998.0,43.38053226470947,0.0023639975115656853,,1763260098.5864923,17536,0.8452422022819519,-0.0031244680285453796,5.1456503570079803e-05
45.725502014160156,,0.0002881720429286361,0.5893552899360657,0.0,370,1006.0,45.53176665306091,-0.002866535447537899,,1763260100.7377267,19840,0.7985861301422119,0.002806916832923889,0.0005295621231198311
21.70425796508789,,0.00028694316279143095,0.5596007108688354,0.0,396,1014.0,47.389060974121094,-0.0002795327454805374,,1763260102.595021,21888,0.914752185344696,-0.0010634399950504303,0.00022197142243385315
,167.0,,,,425,,49.709996938705444,,167.0,1763260104.915957,24446,,,
,454.0,,,,441,,51.12877869606018,,454.0,1763260106.3347387,25983,,,
