losses/clipfrac,_runtime,charts/learning_rate,_timestamp,losses/policy_loss,losses/approx_kl,global_step,charts/episodic_length,losses/value_loss,losses/explained_variance,charts/SPS,losses/entropy,losses/old_approx_kl,charts/episodic_return,_step
0.0,58.08859300613403,0.00029109063325449824,1763260116.419681,0.0005135461688041687,2.752244472503662e-05,14976,,37.03588104248047,0.19216489791870117,473.0,0.5636119246482849,0.0004689078778028488,,274
,61.27108907699585,,1763260119.6021771,,,16599,138.0,,,,,,138.0,292
,65.99858212471008,,1763260124.3296702,,,18969,196.0,,,,,,196.0,321
,66.91206049919128,,1763260125.2431486,,,19498,193.0,,,,,,193.0,327
0.0,67.39092946052551,0.0002882488479372114,1763260125.7220175,0.0005398988723754883,2.9697082936763763e-05,19712,,36.21879196166992,-0.10640358924865723,481.0,0.5582268238067627,0.0009118588641285896,,330
,67.65297269821167,,1763260125.9840608,,,19929,404.0,,,,,,404.0,332
,68.51867270469666,,1763260126.8497608,,,20366,437.0,,,,,,437.0,337
0.001953125,69.00656843185425,0.00028771121287718415,1763260127.3376565,0.020223869010806084,0.0023597674444317818,20608,,37.567501068115234,0.43402427434921265,484.0,0.5645553469657898,-0.008322593756020069,,340
,73.24472141265869,,1763260131.5758095,,,22802,122.0,,,,,,122.0,370
0.0,74.09429168701172,0.00028617511270567775,1763260132.4253798,0.006986506283283234,0.0008664513006806374,23168,,28.545461654663086,0.8613191843032837,486.0,0.5145933032035828,0.0033956272527575493,,375
0.0,77.72280216217041,0.0002852534526027739,1763260136.0538902,0.003135882318019867,4.224572330713272e-05,24704,,22.479080200195312,0.8998260498046875,482.0,0.5038221478462219,-0.0008099665865302086,,396
0.0,83.15653276443481,0.00028387096244841814,1763260141.4876208,3.2864511013031006e-05,2.960488200187683e-05,27008,,106.41204833984375,0.12496364116668701,476.0,0.5264489650726318,-0.001326829195022583,,425
0.0,85.42525553703308,0.0002832565223798156,1763260143.7563436,-0.002338835969567299,1.8166378140449524e-05,28032,,98.97811889648438,0.06022465229034424,475.0,0.4849666357040405,0.0019668936729431152,,441
,86.63972663879395,,1763260144.9708147,,,28575,62.0,,,,,,62.0,450
0.0,89.89577031135559,0.00028202764224261045,1763260148.2268584,-0.0003647729754447937,4.759058356285095e-07,30080,,43.3056640625,0.7817765474319458,474.0,0.5009342432022095,-0.00024360138922929764,,471
0.0,91.34269380569458,0.00028164361719973385,1763260149.6737819,0.0005905814468860626,9.846873581409454e-06,30720,,15.821924209594727,0.9217230677604675,473.0,0.5303868055343628,0.00010009203106164932,,481
0.0,92.95038390159607,0.00028118278714828193,1763260151.281472,-0.0027413181960582733,0.0011213412508368492,31488,,14.569273948669434,0.1928759217262268,473.0,0.48198938369750977,0.004820081405341625,,490
