losses/clipfrac,global_step,losses/approx_kl,_step,charts/episodic_length,_runtime,losses/old_approx_kl,charts/SPS,losses/policy_loss,charts/episodic_return,_timestamp,losses/explained_variance,charts/learning_rate,losses/value_loss,losses/entropy
,0,,0,,24.777050495147705,,,,,1763260083.2108846,,,,
0.0,128,4.550069570541382e-05,7,,26.54220962524414,0.0022870078682899475,744.0,-0.002653215080499649,,1763260084.9760437,-0.026575803756713867,0.0003000000142492354,25.19976234436035,0.6930871605873108
0.0,640,0.0003288350999355316,33,,27.079917669296265,-0.00681343674659729,901.0,7.690116763114929e-05,,1763260085.5137517,-0.001157522201538086,0.0002996927942149341,44.52783966064453,0.690189778804779
0.0,768,0.0007584188133478165,41,,27.215785026550293,0.00816459208726883,908.0,-0.008648209273815155,,1763260085.649619,0.011237859725952148,0.0002996159892063588,24.702293395996094,0.685704231262207
,933,,47,63.0,27.35671901702881,,,,63.0,1763260085.790553,,,,
,1282,,64,33.0,27.797134399414062,,,,33.0,1763260086.2309685,,,,
,1572,,74,48.0,28.378045320510864,,,,48.0,1763260086.8118794,,,,
,1685,,77,55.0,28.605632066726685,,,,55.0,1763260087.0394661,,,,
0.005859375,2176,0.004889576695859432,88,,29.390244007110596,-0.020970573648810387,720.0,0.018110809847712517,,1763260087.824078,-0.018384933471679688,0.00029877113411203027,75.57002258300781,0.6546614170074463
,2902,,102,65.0,30.478023052215576,,,,65.0,1763260088.9118571,,,,
,3028,,104,126.0,30.678065299987793,,,,126.0,1763260089.1118994,,,,
,4990,,133,337.0,33.80486750602722,,,,337.0,1763260092.2387016,,,,
0.0,5760,0.00010607577860355377,147,,35.936054706573486,9.2335045337677e-05,602.0,-0.0009803175926208496,,1763260094.3698888,0.004679739475250244,0.0002966205938719213,44.60212326049805,0.5712405443191528
0.0,5888,0.00017316266894340515,149,,36.27110552787781,0.0037018824368715286,594.0,0.0001170523464679718,,1763260094.7049396,0.25301307439804077,0.000296543788863346,66.16915893554688,0.5984588861465454
0.0,6016,3.8438476622104645e-05,150,,36.538853883743286,0.0014611026272177696,591.0,0.0030849389731884003,,1763260094.972688,0.28246647119522095,0.00029646698385477066,89.24603271484375,0.6113964319229126
,6315,,155,94.0,37.31104779243469,,,,94.0,1763260095.7448819,,,,
,6463,,157,148.0,37.71482706069946,,,,148.0,1763260096.1486611,,,,
0.0,7552,0.00019205454736948013,172,,41.169416189193726,-0.002187334932386875,510.0,0.010547344572842121,,1763260099.6032503,-0.057581543922424316,0.0002955453237518668,83.69960021972656,0.5899533033370972
0.0,9088,1.156143844127655e-05,195,,44.78632044792175,0.0005895588546991348,493.0,-0.001620013266801834,,1763260103.2201545,0.002073049545288086,0.000294623663648963,48.727699279785156,0.5628664493560791
0.0,9728,6.830226629972458e-05,203,,46.176140546798706,0.0017953244969248772,491.0,-0.0027224626392126083,,1763260104.6099746,0.1839737892150879,0.0002942396386060864,67.66746520996094,0.5893860459327698
0.0,10496,2.7135945856571198e-05,213,,47.868075370788574,-0.0013722041621804237,488.0,-9.77865420281887e-05,,1763260106.3019094,0.0194360613822937,0.00029377880855463445,58.18206024169922,0.5831490755081177
,10856,,217,190.0,48.51297068595886,,,,190.0,1763260106.9468048,,,,
