losses/explained_variance,global_step,charts/episodic_return,charts/SPS,losses/entropy,charts/learning_rate,_step,_timestamp,losses/old_approx_kl,losses/approx_kl,losses/clipfrac,losses/value_loss,losses/policy_loss,charts/episodic_length,_runtime
,0,,,,,0,1763260084.1104395,,,,,,,25.641233444213867
,196,105.0,,,,7,1763260085.062554,,,,,,105.0,26.593347787857056
0.00999075174331665,768,,1029.0,0.6682168245315552,0.0002996159892063588,33,1763260085.659719,0.016895567998290062,0.0014493614435195923,0.0,33.519813537597656,-0.017756875604391098,,27.190512895584106
,943,55.0,,,,41,1763260085.800143,,,,,,55.0,27.330936908721924
-0.043596863746643066,1152,,1045.0,0.6357220411300659,0.00029938557418063283,47,1763260086.0157678,0.008951496332883835,0.0029925722628831863,0.001953125,66.01560974121094,-0.029588431119918823,,27.54656171798706
,1793,33.0,,,,64,1763260086.949674,,,,,,33.0,28.480467796325684
0.007692694664001465,2176,,807.0,0.5991946458816528,0.00029877113411203027,74,1763260087.608561,0.006856711581349373,0.0007616225630044937,0.0,56.39059066772461,-0.012279212474822998,,29.139354944229126
,2384,164.0,,,,77,1763260087.8226318,,,,,,164.0,29.35342574119568
0.03872668743133545,2816,,751.0,0.6115476489067078,0.00029838710906915367,88,1763260088.6589665,-0.0026295389980077744,1.6942620277404785e-05,0.0,37.713661193847656,-0.001019313931465149,,30.189760446548462
0.08111673593521118,3712,,732.0,0.640643835067749,0.0002978494740091264,102,1763260089.9831743,-0.0023865625262260437,0.00028483569622039795,0.0,75.60635375976562,-0.005316123366355896,,31.513968229293823
,3812,95.0,,,,104,1763260090.0510695,,,,,,95.0,31.581863403320312
,5554,143.0,,,,133,1763260093.4730062,,,,,,143.0,35.0038001537323
,6678,135.0,,,,147,1763260096.2793686,,,,,,135.0,37.81016254425049
,6827,149.0,,,,149,1763260096.711595,,,,,,149.0,38.24238896369934
0.20818394422531128,6912,,569.0,0.5834110379219055,0.0002959293487947434,150,1763260097.0510218,0.0002531539648771286,0.0010035037994384766,0.0,43.212318420410156,-0.006161510944366455,,38.58181571960449
0.03242659568786621,7296,,548.0,0.6004547476768494,0.00029569893376901746,155,1763260098.2199733,0.015083261765539646,0.0012039374560117722,0.0,56.035221099853516,-0.0017152577638626099,,39.75076723098755
,7450,173.0,,,,157,1763260098.6216726,,,,,,173.0,40.15246653556824
0.35580843687057495,8832,,519.0,0.6115654706954956,0.0002947772736661136,172,1763260101.9189692,-0.0004574209451675415,0.0007240120321512222,0.0,64.3048324584961,-0.012930221855640411,,43.44976305961609
0.10258746147155762,10496,,507.0,0.5319543480873108,0.00029377880855463445,195,1763260105.597096,-0.0013268282637000084,0.00019994843751192093,0.0,49.125213623046875,-0.004103176295757294,,47.12788987159729
,11306,395.0,,,,203,1763260107.1625466,,,,,,395.0,48.69334053993225
