global_step,losses/explained_variance,charts/SPS,losses/clipfrac,losses/old_approx_kl,charts/episodic_length,charts/learning_rate,_timestamp,losses/policy_loss,losses/entropy,charts/episodic_return,_step,_runtime,losses/approx_kl,losses/value_loss
60416,0.008159279823303223,461.0,0.0,0.0005974415689706802,,0.00026382488431409,1763260216.2747207,-0.00447169691324234,0.5405954122543335,,815,157.83787870407104,3.283470869064331e-05,380.26019287109375
65280,0.22734826803207397,461.0,0.0,-0.0005702739581465721,,0.00026090629398822784,1763260226.746887,-0.00018272176384925842,0.5605825185775757,,863,168.310045003891,5.740020424127579e-05,0.0010146067943423986
66048,0.09725648164749146,461.0,0.0,0.005526450462639332,,0.0002604454639367759,1763260228.4954913,-0.008135400712490082,0.5536468625068665,,872,170.05864930152893,0.0010093627497553825,0.00807412900030613
66432,0.0009270310401916504,461.0,0.0,-0.0009410902857780457,,0.00026021504891104996,1763260229.3229618,0.002568913623690605,0.5115470886230469,,876,170.8861198425293,0.0001997724175453186,350.65789794921875
71168,0.49479973316192627,461.0,0.0,0.0018147509545087814,,0.0002573732635937631,1763260239.618973,-0.007685959339141846,0.4740449786186218,,922,181.1821310520172,0.000895259901881218,0.0001250750501640141
71936,-0.1837252378463745,460.0,0.001953125,0.01026535127311945,,0.0002569124335423112,1763260241.3209705,-0.004765547811985016,0.4441394805908203,,930,182.88412857055664,0.0008595166727900505,0.00305359810590744
72737,,,,,500.0,,1763260243.0356407,,,500.0,938,184.59879875183105,,
73088,0.055553972721099854,460.0,0.00390625,-0.004791184328496456,,0.0002562211884651333,1763260243.8402472,-0.000544719398021698,0.45347344875335693,,941,185.40340518951416,0.004684322513639927,0.000361262122169137
73216,0.03699153661727905,460.0,0.001953125,-0.007401737384498119,,0.000256144383456558,1763260244.0999813,-0.004030235111713409,0.44834965467453003,,942,185.66313934326172,0.003072553314268589,0.00019892389536835253
73737,,,,,500.0,,1763260245.2380784,,,500.0,948,186.8012363910675,,
76416,0.45500099658966064,460.0,0.0,-0.006745359860360622,,0.000254224258242175,1763260251.1403875,-0.005617111921310425,0.4148517847061157,,974,192.70354557037354,0.0004760986194014549,0.0043052369728684425
