losses/explained_variance,_runtime,losses/value_loss,charts/learning_rate,losses/clipfrac,global_step,_timestamp,losses/entropy,losses/policy_loss,_step,losses/old_approx_kl,charts/episodic_length,losses/approx_kl,charts/SPS,charts/episodic_return
,25.816527843475342,,,,0,1763260084.2909977,,,0,,,,,
,26.78182077407837,,,,159,1763260085.2562907,,,7,,20.0,,,20.0
,27.298656940460205,,,,688,1763260085.7731268,,,33,,23.0,,,23.0
,27.44053626060486,,,,868,1763260085.9150062,,,41,,18.0,,,18.0
,27.576770305633545,,,,1003,1763260086.0512402,,,47,,26.0,,,26.0
,28.42129635810852,,,,1450,1763260086.8957663,,,64,,21.0,,,21.0
,29.029253482818604,,,,1893,1763260087.5037234,,,74,,102.0,,,102.0
,29.199864149093628,,,,1984,1763260087.674334,,,77,,65.0,,,65.0
,29.904361248016357,,,,2466,1763260088.3788311,,,88,,23.0,,,23.0
,30.99686598777771,,,,3284,1763260089.471336,,,102,,106.0,,,106.0
,31.137078046798706,,,,3380,1763260089.611548,,,104,,96.0,,,96.0
0.1263810396194458,33.78277921676636,75.46148681640625,0.0002970814239233732,0.0,4992,1763260092.257249,0.6192344427108765,0.0021826662123203278,133,-0.004571549594402313,,0.00017670169472694397,699.0,
0.08605217933654785,35.44194173812866,62.9169807434082,0.0002966205938719213,0.0,5760,1763260093.9164116,0.6193288564682007,-0.011008478701114655,147,-0.0008575916290283203,,0.001609383150935173,654.0,
0.07926517724990845,35.756858348846436,62.11286544799805,0.000296543788863346,0.0,5888,1763260094.2313282,0.5914797782897949,0.00470595620572567,149,0.004710443317890167,,0.0008013863116502762,646.0,
,35.82189869880676,,,,5993,1763260094.2963686,,,150,,185.0,,,185.0
-0.05766880512237549,36.7486686706543,62.348289489746094,0.00029631337383762,0.0,6272,1763260095.2231386,0.584554135799408,-0.002262018620967865,155,-0.0015304964035749435,,0.0001260600984096527,620.0,
-0.059705376625061035,37.094714879989624,60.7236213684082,0.0002962365688290447,0.0,6400,1763260095.5691848,0.6260042786598206,-5.2731484174728394e-05,157,-0.00030287913978099823,,1.9855797290802002e-05,612.0,
0.25265783071517944,40.328320264816284,73.74078369140625,0.0002955453237518668,0.0,7552,1763260098.8027902,0.5599636435508728,-7.249414920806885e-05,172,9.16607677936554e-05,,1.8589198589324951e-06,551.0,
,44.16515588760376,,,,9285,1763260102.6396258,,,195,,129.0,,,129.0
,45.294843912124634,,,,9823,1763260103.7693138,,,203,,140.0,,,140.0
0.24164515733718872,46.829673528671265,57.1561164855957,0.00029377880855463445,0.0,10496,1763260105.3041434,0.5720220804214478,0.0008600782603025436,213,-0.0016337651759386063,,4.2518600821495056e-05,520.0,
0.4425708055496216,47.383994579315186,56.99775695800781,0.0002936251985374838,0.00390625,10752,1763260105.8584645,0.5851145386695862,0.025715738534927368,217,-0.0162776168435812,,0.0016117552295327187,518.0,
0.2203969955444336,48.972840785980225,35.008941650390625,0.0002931643684860319,0.00390625,11520,1763260107.4473107,0.5580075979232788,0.0066752005368471146,228,-0.0025068894028663635,,0.0023856423795223236,515.0,
0.3856654167175293,49.914512157440186,56.97782897949219,0.0002928571484517306,0.0,12032,1763260108.388982,0.6055260300636292,0.0029915422201156616,233,-0.0030869999900460243,,0.0003419453278183937,517.0,
0.2691892981529236,52.66906929016113,35.610469818115234,0.0002920890983659774,0.0,13312,1763260111.1435392,0.540410041809082,0.0053504034876823425,251,-0.00042381975799798965,,0.00016499031335115433,511.0,
,53.744972467422485,,,,13832,1763260112.2194424,,,259,,135.0,,,135.0
0.2390105128288269,54.78278613090515,47.19991683959961,0.00029147465829737484,0.0,14336,1763260113.257256,0.5549590587615967,-0.00012464448809623718,265,0.00020974129438400269,,3.242865204811096e-06,509.0,
0.043153226375579834,56.116130352020264,52.38056945800781,0.00029109063325449824,0.0,14976,1763260114.5906003,0.5912368297576904,-0.008736923336982727,273,0.007051005959510803,,0.000371590256690979,508.0,
0.43929344415664673,56.345537185668945,41.086944580078125,0.0002910138282459229,0.0,15104,1763260114.820007,0.5814985036849976,0.0042074210941791534,274,0.004602713510394096,,0.0007332097738981247,508.0,
-0.00552523136138916,59.5706045627594,38.71915817260742,0.00029001536313444376,0.0,16768,1763260118.0450745,0.5889133214950562,-0.0012337453663349152,292,0.0019278591498732567,,1.3024546205997467e-05,509.0,
,63.293240547180176,,,,18672,1763260121.7677104,,,321,,92.0,,,92.0
,64.0993013381958,,,,18949,1763260122.5737712,,,327,,88.0,,,88.0
,64.41550087928772,,,,19133,1763260122.8899708,,,330,,109.0,,,109.0
,64.6711311340332,,,,19259,1763260123.145601,,,332,,126.0,,,126.0
,65.40099239349365,,,,19608,1763260123.8754623,,,337,,97.0,,,97.0
,65.68948578834534,,,,19806,1763260124.1639557,,,340,,62.0,,,62.0
0.8492841720581055,69.60552191734314,18.32360076904297,0.00028694316279143095,0.0,21888,1763260128.0799918,0.5835932493209839,-0.012350481003522873,370,0.008315847255289555,,0.0003019561991095543,509.0,
,70.13230180740356,,,,22171,1763260128.6067717,,,375,,80.0,,,80.0
,72.69457054138184,,,,23607,1763260131.1690404,,,396,,90.0,,,90.0
0.8808608651161194,76.71486377716064,32.97311782836914,0.0002848694275598973,0.0,25344,1763260135.1893337,0.5593565702438354,8.903257548809052e-05,425,-0.0005101924762129784,,7.183011621236801e-05,506.0,
,79.57571840286255,,,,26534,1763260138.0501883,,,441,,155.0,,,155.0
,81.09277248382568,,,,27206,1763260139.5672424,,,450,,223.0,,,223.0
