global_step,losses/entropy,_timestamp,charts/SPS,losses/clipfrac,losses/approx_kl,losses/value_loss,losses/explained_variance,charts/episodic_return,_step,charts/episodic_length,charts/learning_rate,_runtime,losses/policy_loss,losses/old_approx_kl
0,,1763260083.574654,,,,,,,0,,,25.136377096176147,,
128,0.6927058696746826,1763260084.9743526,751.0,0.0,0.0004946906119585037,30.891157150268555,0.06625223159790039,,7,,0.0003000000142492354,26.536075592041016,-0.0029859039932489395,-0.0006078612059354782
613,,1763260085.3939803,,,,,,34.0,33,34.0,,26.955703258514404,,
793,,1763260085.6065319,,,,,,18.0,41,18.0,,27.168254852294922,,
893,,1763260085.6498384,,,,,,12.0,47,12.0,,27.21156144142151,,
1187,,1763260086.0217078,,,,,,18.0,64,18.0,,27.583430767059326,,
1458,,1763260086.4930606,,,,,,52.0,74,52.0,,28.054783582687378,,
1587,,1763260086.7252126,,,,,,24.0,77,24.0,,28.286935567855835,,
2002,,1763260087.456315,,,,,,83.0,88,83.0,,29.018038034439087,,
2614,,1763260088.5031595,,,,,,27.0,102,27.0,,30.064882516860962,,
2792,,1763260088.7207963,,,,,,178.0,104,178.0,,30.282519340515137,,
4608,0.5944212675094604,1763260091.7772944,660.0,0.0,3.137625753879547e-05,62.535682678222656,0.14880412817001343,,133,,0.0002973118389490992,33.339017391204834,0.0015595406293869019,0.00026328302919864655
5490,,1763260093.8046196,,,,,,144.0,147,144.0,,35.366342544555664,,
5570,,1763260094.035501,,,,,,80.0,149,80.0,,35.59722399711609,,
5632,0.5864953994750977,1763260094.2927792,593.0,0.0,0.0004186555743217468,60.48121643066406,0.01541602611541748,,150,,0.0002966973988804966,35.85450220108032,-0.004624985158443451,0.0005463473498821259
6016,0.5869280099868774,1763260095.292652,573.0,0.0,4.364456981420517e-05,60.531959533691406,0.06712561845779419,,155,,0.00029646698385477066,36.85437488555908,0.0006459653377532959,0.002621241845190525
6144,0.5932286977767944,1763260095.6849768,564.0,0.0,1.569744199514389e-05,52.580543518066406,-0.05285143852233887,,157,,0.00029639017884619534,37.246699810028076,0.0006597191095352173,0.0015050200745463371
7424,0.6074057817459106,1763260099.4245903,507.0,0.0,0.0003767404705286026,69.0986328125,-0.0018094778060913086,,172,,0.00029562212876044214,40.986313343048096,-0.0047261714935302734,0.004444748163223267
9216,0.6092838048934937,1763260103.6346369,489.0,0.0,1.4982186257839203e-05,62.975582122802734,-0.0065097808837890625,,195,,0.00029454685864038765,45.19635987281799,0.0007433108985424042,0.000374586321413517
9728,0.5848978161811829,1763260104.8821108,484.0,0.0,0.00039541348814964294,59.72697830200195,-0.0031409263610839844,,203,,0.0002942396386060864,46.44383382797241,0.0044577643275260925,-0.008003456518054008
10618,,1763260106.566527,,,,,,302.0,213,302.0,,48.12824988365173,,
10880,0.6029017567634583,1763260107.381027,481.0,0.0,8.501950651407242e-05,52.43064880371094,0.003561735153198242,,217,,0.0002935483935289085,48.942749977111816,-0.0008901879191398621,0.0014102747663855553
11610,,1763260108.9919343,,,,,,187.0,228,187.0,,50.5536572933197,,
11948,,1763260109.846962,,,,,,61.0,233,61.0,,51.408684968948364,,
13438,,1763260113.0417664,,,,,,270.0,251,270.0,,54.6034893989563,,
14074,,1763260114.5080562,,,,,,117.0,259,117.0,,56.06977915763855,,
14592,0.5492147207260132,1763260115.8069599,470.0,0.0,2.7067027986049652e-05,35.937129974365234,0.03184914588928223,,265,,0.0002913210482802242,57.368682861328125,0.003571346402168274,0.0015390319749712944
15326,,1763260117.1903892,,,,,,167.0,273,167.0,,58.75211215019226,,
15360,0.5892040729522705,1763260117.4132876,471.0,0.0,5.73405995965004e-05,46.799896240234375,-0.008414387702941895,,274,,0.0002908602182287723,58.97501063346863,-0.00030095502734184265,0.002380278892815113
17024,0.5437745451927185,1763260120.7671888,473.0,0.0,0.00013769231736660004,39.562408447265625,0.0010494589805603027,,292,,0.0002898617531172931,62.328911781311035,-0.001837700605392456,0.0006776712834835052
19712,0.5397952795028687,1763260125.846643,480.0,0.013671875,0.004500283859670162,73.86891174316406,0.12576061487197876,,321,,0.0002882488479372114,67.40836596488953,0.02181735262274742,-0.010910202749073505
20340,,1763260126.815211,,,,,,216.0,327,216.0,,68.37693405151367,,
20586,,1763260127.321499,,,,,,246.0,330,246.0,,68.8832221031189,,
20680,,1763260127.5878818,,,,,,94.0,332,94.0,,69.14960479736328,,
21014,,1763260128.3318882,,,,,,194.0,337,194.0,,69.89361119270325,,
21376,0.5393031239509583,1763260129.0156372,483.0,0.0,0.00012231990694999695,30.29326820373535,0.018947839736938477,,340,,0.00028725038282573223,70.57736015319824,0.004934670403599739,-0.0047301072627305984
24064,0.5800766348838806,1763260134.4017925,485.0,0.0,0.0001721791923046112,26.131927490234375,-0.008052349090576172,,370,,0.0002856374776456505,75.96351552009583,-0.002191377803683281,-0.0019931308925151825
24576,0.5833507776260376,1763260135.5651815,484.0,0.0,5.7153403759002686e-05,26.371112823486328,0.01114499568939209,,375,,0.0002853302576113492,77.12690448760986,0.0002639889717102051,0.00118352472782135
26496,0.5591294765472412,1763260140.2077765,478.0,0.0,1.1360272765159607e-05,22.80128288269043,-0.0019456148147583008,,396,,0.0002841781824827194,81.76949954032898,-0.0004437249153852463,-0.0005273353308439255
29064,,1763260145.5073953,,,,,,143.0,425,143.0,,87.06911826133728,,
30208,0.5715543627738953,1763260148.0722904,477.0,0.0,0.0007073478773236275,34.30868148803711,0.7997773885726929,,441,,0.00028195083723403513,89.63401341438293,0.0006178095936775208,-0.002819008193910122
30848,0.5603996515274048,1763260149.4717221,477.0,0.0,0.0017612902447581291,26.355283737182617,0.8789070844650269,,450,,0.00028156681219115853,91.03344511985779,0.0056937262415885925,-0.004081330262124538
32640,0.5880416631698608,1763260153.2513006,476.0,0.0,0.0006377836689352989,12.97275161743164,0.9642895460128784,,471,,0.00028049154207110405,94.8130235671997,0.0021232813596725464,1.092720776796341e-05
