losses/entropy,_step,_timestamp,charts/episodic_length,charts/SPS,losses/value_loss,losses/policy_loss,charts/learning_rate,losses/old_approx_kl,charts/episodic_return,losses/clipfrac,losses/approx_kl,_runtime,losses/explained_variance,global_step
,0,1763260084.156731,,,,,,,,,,25.718811988830566,,0
,7,1763260085.021375,15.0,,,,,,15.0,,,26.58345603942871,,126
,33,1763260085.5447028,27.0,,,,,,27.0,,,27.106783866882324,,592
0.6675897836685181,41,1763260085.75573,,973.0,46.52426528930664,0.009452767670154572,0.0002996159892063588,-0.016159605234861374,,0.0,0.0018770480528473854,27.317811012268066,-0.006944179534912109,768
,47,1763260085.8858545,29.0,,,,,,29.0,,,27.447935581207275,,913
,64,1763260086.5858593,28.0,,,,,,28.0,,,28.147940397262573,,1464
,74,1763260087.1276433,48.0,,,,,,48.0,,,28.689724445343018,,1756
0.6700407266616821,77,1763260087.4146135,,784.0,87.15879821777344,0.0015117153525352478,0.0002989247441291809,0.001386214978992939,,0.0,5.779322236776352e-05,28.976694583892822,-0.03241252899169922,1920
,88,1763260087.9593372,49.0,,,,,,49.0,,,29.52141833305359,,2235
,102,1763260088.9694467,85.0,,,,,,85.0,,,30.531527757644653,,2886
,104,1763260089.1376894,70.0,,,,,,70.0,,,30.69977045059204,,2956
0.569764256477356,133,1763260091.592003,,676.0,43.27906799316406,-0.003890823572874069,0.0002973886439576745,-0.0019859913736581802,,0.0,0.00022647902369499207,33.15408420562744,0.10082900524139404,4480
,147,1763260093.1581678,134.0,,,,,,134.0,,,34.72024893760681,,5243
,149,1763260093.4225755,29.0,,,,,,29.0,,,34.98465657234192,,5272
0.6045289039611816,150,1763260093.6489954,,619.0,67.34463500976562,-0.004059586673974991,0.00029685100889764726,0.0020296135917305946,,0.0,7.005687803030014e-05,35.211076498031616,0.07609564065933228,5376
,155,1763260094.3767102,161.0,,,,,,161.0,,,35.938791275024414,,5726
0.5742781758308411,157,1763260094.8803098,,593.0,85.47478485107422,-0.006665267050266266,0.000296543788863346,0.0013845674693584442,,0.0,0.0006276257336139679,36.44239091873169,0.22229915857315063,5888
0.5811913013458252,172,1763260097.9561076,,532.0,62.214256286621094,-0.003480255603790283,0.0002959293487947434,0.0009590815752744675,,0.0,1.9671395421028137e-05,39.51818871498108,0.21287721395492554,6912
0.5944250226020813,195,1763260102.1036365,,500.0,84.8552474975586,-0.0015781782567501068,0.00029493088368326426,-0.003353619948029518,,0.0,5.1952898502349854e-05,43.66571760177612,-0.3865448236465454,8576
,203,1763260103.2956011,200.0,,,,,,200.0,,,44.85768222808838,,9159
,213,1763260104.7508466,90.0,,,,,,90.0,,,46.31292772293091,,9787
,217,1763260105.5131698,328.0,,,,,,328.0,,,47.07525086402893,,10115
,228,1763260107.1685877,304.0,,,,,,304.0,,,48.730668783187866,,10889
0.6233960390090942,233,1763260108.109809,,492.0,54.965354919433594,0.00414276123046875,0.0002932411734946072,-0.004743931815028191,,0.0,0.00015930086374282837,49.67189002037048,0.094779372215271,11392
,251,1763260110.785077,22.0,,,,,,22.0,,,52.34715819358826,,12585
,259,1763260111.9446852,193.0,,,,,,193.0,,,53.5067663192749,,13095
0.5374532341957092,265,1763260112.7974992,,482.0,47.575294494628906,0.00027988478541374207,0.0002920122933574021,5.39831817150116e-05,,0.0,8.72090458869934e-06,54.359580278396606,0.1463521122932434,13440
,273,1763260114.0109458,122.0,,,,,,122.0,,,55.57302689552307,,14015
0.6212185025215149,274,1763260114.2537272,,480.0,42.220802307128906,-0.0045569222420454025,0.0002916282683145255,0.0013767033815383911,,0.0,6.246380507946014e-05,55.81580829620361,0.31003671884536743,14080
0.5434445738792419,292,1763260116.8327987,,478.0,39.21625518798828,0.009497277438640594,0.0002909370232373476,-0.00047591235488653183,,0.0,0.0002984730526804924,58.39487981796265,0.7251667976379395,15232
0.6192609071731567,321,1763260121.1112502,,481.0,17.73551368713379,0.004499375820159912,0.00028963133809156716,-0.0025267452001571655,,0.0,0.00014145486056804657,62.67333126068115,0.8243125677108765,17408
,327,1763260121.8909066,182.0,,,,,,182.0,,,63.45298767089844,,17831
0.597092866897583,330,1763260122.4061024,,482.0,46.931007385253906,-0.010563027113676071,0.00028924731304869056,0.00522343534976244,,0.0,0.001628977246582508,63.968183517456055,0.6644493341445923,18048
,332,1763260122.5116894,58.0,,,,,,58.0,,,64.07377052307129,,18112
0.5895802974700928,337,1763260123.252681,,481.0,80.83981323242188,-0.0030663013458251953,0.0002890168980229646,4.7878362238407135e-05,,0.0,4.0304847061634064e-05,64.81476211547852,0.0054454803466796875,18432
,340,1763260123.576116,114.0,,,,,,114.0,,,65.13819718360901,,18608
0.6123867034912109,370,1763260127.3764668,,482.0,12.913864135742188,-0.005421280860900879,0.00028778801788575947,-0.006547023542225361,,0.0,0.001001252792775631,68.93854784965515,0.9103885293006897,20480
,375,1763260127.9300418,62.0,,,,,,62.0,,,69.49212288856506,,20754
0.5420215129852295,396,1763260130.733428,,486.0,18.72960662841797,0.0003430470824241638,0.000286712747765705,0.004817540757358074,,0.0,0.0006942311301827431,72.29550909996033,0.8680424690246582,22272
0.5129578709602356,425,1763260135.5821762,,485.0,28.90271759033203,-0.0010219588875770569,0.0002853302576113492,0.0020433012396097183,,0.0,0.0001240260899066925,77.14425730705261,0.08723288774490356,24576
,441,1763260138.3632743,153.0,,,,,,153.0,,,79.92535543441772,,25678
