_timestamp,_step,losses/value_loss,charts/episodic_return,losses/old_approx_kl,losses/entropy,charts/SPS,losses/approx_kl,losses/clipfrac,charts/learning_rate,charts/episodic_length,losses/explained_variance,_runtime,global_step,losses/policy_loss
1763260083.501783,0,,,,,,,,,,,25.066985845565796,0,
1763260084.8854005,7,,13.0,,,,,,,13.0,,26.450603485107422,108,
1763260085.4668577,33,39.71492004394531,,0.002167005091905594,0.677251398563385,965.0,0.0011652503162622452,0.0,0.0002996927942149341,,0.003527402877807617,27.032060623168945,640,-5.9798359870910645e-05
1763260085.6086948,41,,31.0,,,,,,,31.0,,27.173897743225098,816,
1763260085.7658675,47,,57.0,,,,,,,57.0,,27.33107042312622,975,
1763260086.278494,64,30.03635025024414,,0.01822526752948761,0.6423778533935547,954.0,0.0009316029027104378,0.0,0.0002992319641634822,,0.010700583457946777,27.84369683265686,1408,-0.016570918262004852
1763260086.9892795,74,,70.0,,,,,,,70.0,,28.554482460021973,1857,
1763260087.2007344,77,,140.0,,,,,,,140.0,,28.765937328338623,2025,
1763260088.0706983,88,86.26417541503906,,-0.0014297813177108765,0.6353384256362915,783.0,0.0003437977284193039,0.0,0.0002985407190863043,,0.05744588375091553,29.63590121269226,2560,-0.002769865095615387
1763260089.249236,102,71.83065795898438,,-0.00038427673280239105,0.6588203310966492,748.0,8.261390030384064e-05,0.0,0.0002980798890348524,,0.2181605100631714,30.814439058303833,3328,-0.0003563240170478821
1763260089.3197677,104,,64.0,,,,,,,64.0,,30.884970664978027,3397,
1763260091.978578,133,,196.0,,,,,,,196.0,,33.543781042099,4912,
1763260094.0427234,147,,162.0,,,,,,,162.0,,35.60792636871338,5775,
1763260094.606729,149,92.00324249267578,,-0.027382757514715195,0.5926480889320374,613.0,0.016532234847545624,0.072265625,0.00029646698385477066,,0.013058602809906006,36.171931982040405,6016,-0.018142394721508026
1763260094.6731431,150,,271.0,,,,,,,271.0,,36.238346099853516,6046,
1763260095.6382704,155,,216.0,,,,,,,216.0,,37.20347332954407,6460,
1763260096.281761,157,82.42294311523438,,0.0005234330892562866,0.6271442174911499,579.0,1.4489516615867615e-05,0.0,0.00029608295881189406,,-0.17481458187103271,37.84696388244629,6656,0.0008709346875548363
1763260099.618161,172,,298.0,,,,,,,298.0,,41.183363914489746,7831,
1763260103.5031705,195,,118.0,,,,,,,118.0,,45.06837344169617,9504,
1763260104.8939195,203,,87.0,,,,,,,87.0,,46.4591224193573,10162,
1763260106.627597,213,59.368194580078125,,0.002993771806359291,0.616858959197998,498.0,8.597038686275482e-05,0.0,0.0002935483935289085,,0.12135761976242065,48.19280004501343,10880,-0.007481418550014496
1763260107.1959708,217,44.05985641479492,,-0.0019121188670396805,0.5534313321113586,497.0,0.00023265741765499115,0.0,0.00029339478351175785,,0.23166310787200928,48.761173725128174,11136,0.004789706319570541
1763260109.1637566,228,37.07162094116211,,0.012625452131032944,0.5813804864883423,493.0,0.0009999219328165054,0.0,0.0002928571484517306,,0.4701926112174988,50.72895956039429,12032,-0.001592591404914856
1763260109.9952154,233,60.18822479248047,,-0.0024961046874523163,0.562393844127655,492.0,0.0002173352986574173,0.0,0.00029262673342600465,,0.2634005546569824,51.560418367385864,12416,0.0003330409526824951
