_step,losses/policy_loss,losses/old_approx_kl,_runtime,global_step,charts/episodic_length,_timestamp,losses/entropy,losses/approx_kl,losses/clipfrac,losses/value_loss,charts/episodic_return,losses/explained_variance,charts/SPS,charts/learning_rate
0,,,25.292285680770874,0,,1763260083.7287056,,,,,,,,
7,,,26.45231008529663,119,16.0,1763260084.88873,,,,,16.0,,,
33,-0.0015835128724575043,0.0022846274077892303,26.92914581298828,512,,1763260085.3655658,0.6904789805412292,0.00038329698145389557,0.0,24.078556060791016,,0.018863379955291748,911.0,0.00029976959922350943
41,0.0033904463052749634,0.00029856152832508087,27.05420207977295,640,,1763260085.490622,0.6896305084228516,8.228607475757599e-05,0.0,25.346450805664062,,0.01200193166732788,932.0,0.0002996927942149341
47,-0.008520372211933136,0.0030462928116321564,27.177855014801025,768,,1763260085.614275,0.6873459815979004,0.0005268659442663193,0.0,33.275264739990234,,0.011606156826019287,947.0,0.0002996159892063588
64,,,27.468539714813232,1129,16.0,1763260085.9049597,,,,,16.0,,,
74,,,27.984083652496338,1430,25.0,1763260086.4205036,,,,,25.0,,,
77,-0.011397330090403557,0.001203969120979309,28.251935482025146,1536,,1763260086.6883554,0.6231494545936584,0.00040292367339134216,0.0,57.29671859741211,,0.020906925201416016,815.0,0.00029915515915490687
88,,,29.05921196937561,1947,32.0,1763260087.495632,,,,,32.0,,,
102,0.003606889396905899,-0.001438339240849018,30.295790672302246,2560,,1763260088.7322106,0.6344756484031677,0.0004126904532313347,0.0,88.65572357177734,,0.019948303699493408,651.0,0.0002985407190863043
104,,,30.3827908039093,2685,76.0,1763260088.8192108,,,,,76.0,,,
133,0.00022618472576141357,-0.00021907687187194824,33.834320068359375,4352,,1763260092.27074,0.6376462578773499,4.7404319047927856e-05,0.0,89.81591796875,,0.08589184284210205,582.0,0.0002974654489662498
147,-0.0019950196146965027,0.0009479774162173271,35.77065992355347,4992,,1763260094.20708,0.5537232756614685,3.670062869787216e-05,0.0,45.25773239135742,,0.08746445178985596,530.0,0.0002970814239233732
149,0.003591693937778473,-0.0023492081090807915,36.15473294258118,5120,,1763260094.591153,0.5712390542030334,0.0001963367685675621,0.0,63.27690505981445,,-0.021431803703308105,523.0,0.0002970046189147979
150,,,36.22850847244263,5170,88.0,1763260094.6649284,,,,,88.0,,,
155,-0.0006323754787445068,-0.0014941748231649399,37.5585081577301,5632,,1763260095.9949281,0.6189862489700317,0.0007275305688381195,0.0,77.09973907470703,,-0.00025773048400878906,503.0,0.0002966973988804966
157,,,37.96075463294983,5831,456.0,1763260096.3971746,,,,,456.0,,,
172,0.002772912383079529,0.003934401087462902,41.67871308326721,6912,,1763260100.115133,0.6499712467193604,0.00016678962856531143,0.0,63.96625518798828,,-0.013953089714050293,451.0,0.0002959293487947434
195,-0.002215243875980377,0.0005781427025794983,45.69164776802063,8448,,1763260104.1280677,0.6237826943397522,1.925043761730194e-05,0.0,66.98619079589844,,-0.10683798789978027,437.0,0.0002950076886918396
203,0.0009824223816394806,-0.0006527435034513474,47.26530742645264,9088,,1763260105.7017274,0.6249698400497437,2.255663275718689e-05,0.0,65.48602294921875,,0.3021392822265625,434.0,0.000294623663648963
213,-0.002682484220713377,4.112720489501953e-05,48.91551351547241,9728,,1763260107.3519335,0.6116982102394104,5.7365745306015015e-05,0.0,58.234798431396484,,-0.0005561113357543945,431.0,0.0002942396386060864
217,,,49.56993579864502,10021,192.0,1763260108.0063558,,,,,192.0,,,
228,-0.001485191285610199,-0.0028547002002596855,51.66490817070007,10880,,1763260110.1013281,0.5993461608886719,0.00041009578853845596,0.0,50.749603271484375,,0.18640059232711792,430.0,0.0002935483935289085
233,0.00394759327173233,0.0014451229944825172,52.63579821586609,11264,,1763260111.0722182,0.5690377950668335,0.0041250204667449,0.03515625,42.492759704589844,,0.06123518943786621,428.0,0.00029331797850318253
251,-0.00045032799243927,-0.0005582086741924286,55.855546951293945,12544,,1763260114.291967,0.5890923142433167,8.285045623779297e-06,0.0,64.3651351928711,,0.03611332178115845,425.0,0.00029254992841742933
259,-0.00018375366926193237,-0.0005378369241952896,56.97192978858948,12928,,1763260115.4083498,0.5935462117195129,2.9735267162322998e-05,0.0,40.49073791503906,,0.07469993829727173,422.0,0.00029231951339170337
265,,,57.9202561378479,13319,97.0,1763260116.356676,,,,,97.0,,,
273,0.0012562517076730728,0.0036497823894023895,59.429692029953,13952,,1763260117.866112,0.5598276853561401,0.0002724267542362213,0.0,85.41291809082031,,0.15878063440322876,421.0,0.0002917050733231008
274,0.0006516873836517334,6.556790322065353e-05,59.69352436065674,14080,,1763260118.1299443,0.6040753126144409,5.339551717042923e-05,0.0,46.066932678222656,,-0.004533171653747559,422.0,0.0002916282683145255
292,-0.007749684154987335,0.0002848999574780464,62.60193157196045,15360,,1763260121.0383515,0.6212011575698853,0.000361819751560688,0.0,34.7203369140625,,0.38736575841903687,423.0,0.0002908602182287723
321,-0.0027285441756248474,0.0020419973880052567,67.36854124069214,17536,,1763260125.8049612,0.6092062592506409,0.0002205241471529007,0.0,35.87931823730469,,0.3141276240348816,427.0,0.00028955453308299184
327,-0.00022160634398460388,-0.0009307060390710831,68.21255993843079,17920,,1763260126.64898,0.5935210585594177,2.3933127522468567e-05,0.0,40.50727081298828,,0.08730727434158325,428.0,0.0002893241180572659
330,,,68.56226134300232,18122,133.0,1763260126.9986813,,,,,133.0,,,
332,,,68.86916780471802,18264,142.0,1763260127.3055878,,,,,142.0,,,
337,,,69.67242121696472,18657,177.0,1763260128.1088412,,,,,177.0,,,
340,,,70.21031260490417,18939,282.0,1763260128.6467326,,,,,282.0,,,
370,,,75.33124852180481,21048,121.0,1763260133.7676685,,,,,121.0,,,
375,-0.0023141931742429733,-0.00035329442471265793,76.29820680618286,21376,,1763260134.7346268,0.5941498875617981,2.9527582228183746e-05,0.0,57.91713333129883,,0.21906131505966187,428.0,0.00028725038282573223
396,,,80.55064487457275,22893,145.0,1763260138.9870648,,,,,145.0,,,
425,-0.004407476633787155,0.014685646630823612,86.12487840652466,25216,,1763260144.5612984,0.568934977054596,0.0013312427327036858,0.001953125,41.85193634033203,,0.6656272411346436,421.0,0.0002849462325684726
441,0.00014102458953857422,-0.0017629759386181831,89.01004266738892,26496,,1763260147.4464626,0.5840709209442139,0.0003269733861088753,0.0,110.01773071289062,,0.03636753559112549,422.0,0.0002841781824827194
450,,,90.7252402305603,27329,247.0,1763260149.1616602,,,,,247.0,,,
471,-0.00018006563186645508,-0.001179826445877552,94.54570484161377,28928,,1763260152.9821248,0.5737535953521729,9.239651262760162e-06,0.0,84.64573669433594,,-0.0017595291137695312,424.0,0.00028271888731978834
481,,,96.18357372283936,29611,121.0,1763260154.6199937,,,,,121.0,,,
490,-0.0071675702929496765,0.002209693193435669,97.90596270561218,30336,,1763260156.3423827,0.5588460564613342,0.00021985545754432678,0.0,14.240779876708984,,0.9288338422775269,424.0,0.0002818740322254598
504,,,100.10685729980469,31317,241.0,1763260158.5432773,,,,,241.0,,,
515,0.0007673278450965881,-0.00010612048208713531,102.31084847450256,32256,,1763260160.7472684,0.5956740975379944,0.00017694570124149323,0.0,11.021028518676758,,0.6966335773468018,424.0,0.00028072195709683
530,-0.00420612096786499,0.0070129018276929855,105.0272421836853,33408,,1763260163.4636621,0.6195090413093567,0.0003851093351840973,0.0,27.510305404663086,,0.8681000471115112,424.0,0.00028003071201965213
539,-0.00904683768749237,-0.00034843385219573975,106.79525637626648,34176,,1763260165.2316763,0.5640926957130432,0.00033131614327430725,0.0,116.47272491455078,,0.561182975769043,424.0,0.0002795698819682002
547,,,108.29602265357971,34903,360.0,1763260166.7324426,,,,,360.0,,,
555,0.0006328374147415161,0.0012916205450892448,110.00795269012451,35584,,1763260168.4443727,0.5799428820610046,3.2442621886730194e-05,0.0,11.062081336975098,,0.006301462650299072,425.0,0.0002787250268738717
559,-0.0028633326292037964,0.004148649051785469,110.87805771827698,35968,,1763260169.3144777,0.5927583575248718,0.0005332976579666138,0.0,94.29939270019531,,0.032803356647491455,425.0,0.0002784946118481457
568,-0.002651551738381386,0.005539044737815857,112.86986017227173,36864,,1763260171.3062801,0.5963480472564697,0.0003676414489746094,0.0,7.7870774269104,,0.7129265069961548,426.0,0.0002779569767881185
595,,,118.1446545124054,39179,124.0,1763260176.5810745,,,,,124.0,,,
612,-0.00011727586388587952,0.0016106897965073586,121.58185195922852,40704,,1763260180.018272,0.6096627116203308,2.1501444280147552e-05,0.0,6.687863349914551,,-0.17982923984527588,427.0,0.00027565285563468933
614,0.010022465139627457,-0.009523369371891022,121.88809370994568,40832,,1763260180.3245137,0.5167770981788635,0.0002452470362186432,0.0,92.97234344482422,,0.22610384225845337,427.0,0.000275576050626114
630,-0.001855354756116867,0.0005293190479278564,125.51736783981323,42496,,1763260183.9537878,0.5984633564949036,0.00034881383180618286,0.0,5.65144157409668,,0.31455695629119873,428.0,0.00027457758551463485
636,-0.019736967980861664,-0.017682787030935287,126.68179321289062,43008,,1763260185.1182132,0.5487443208694458,0.0018228273838758469,0.0,148.7315216064453,,-0.23340296745300293,428.0,0.00027427036548033357
640,0.0073929280042648315,-0.0007767314091324806,127.50905585289001,43392,,1763260185.9454758,0.5609045028686523,0.0006916383281350136,0.0,4.394570350646973,,0.6934092044830322,429.0,0.0002740399504546076
650,,,129.5618782043457,44363,276.0,1763260187.9982982,,,,,276.0,,,
664,-0.0011159256100654602,0.0023306263610720634,132.49057579040527,45568,,1763260190.9269958,0.5791517496109009,0.0001475391909480095,0.0,4.110596656799316,,-0.6530469655990601,429.0,0.00027273426530882716
684,-0.010299500077962875,0.0032495204359292984,137.03175973892212,47616,,1763260195.4681797,0.5282481908798218,0.0016523133963346481,0.0,16.062915802001953,,-0.17908060550689697,430.0,0.00027150538517162204
689,0.0026688575744628906,0.002969754859805107,138.17549967765808,48128,,1763260196.6119196,0.5964055061340332,0.000296836718916893,0.0,2.636226177215576,,-0.1619809865951538,430.0,0.00027119816513732076
698,-0.010760229080915451,0.0008469270542263985,140.17725467681885,49024,,1763260198.6136746,0.5454741716384888,0.00019491184502840042,0.0,2.508665084838867,,0.23307257890701294,430.0,0.0002706605300772935
702,0.0007116161286830902,0.0015578437596559525,141.0536403656006,49408,,1763260199.4900603,0.5482372641563416,4.128366708755493e-05,0.0,2.3704464435577393,,-0.036054015159606934,430.0,0.00027043011505156755
707,,,141.98425006866455,49915,235.0,1763260200.42067,,,,,235.0,,,
729,0.0016880771145224571,-0.00059543177485466,147.03480076789856,52096,,1763260205.4712207,0.5414481163024902,1.3764947652816772e-05,0.0,1.6377360820770264,,0.006150424480438232,431.0,0.00026881720987148583
757,,,153.11832547187805,54789,468.0,1763260211.5547454,,,,,468.0,,,
762,0.0012078508734703064,0.003074808046221733,154.22632336616516,55296,,1763260212.6627433,0.5592268109321594,3.969855606555939e-05,0.0,184.2057342529297,,0.003566920757293701,432.0,0.0002668970846571028
767,0.009566588327288628,0.010189967229962349,155.27433562278748,55808,,1763260213.7107556,0.5346882939338684,0.0019435789436101913,0.0,390.35028076171875,,0.013550519943237305,432.0,0.00026658986462280154
775,0.0015876106917858124,0.0008223168551921844,157.0341579914093,56704,,1763260215.470578,0.5797106623649597,0.00022946670651435852,0.0,0.5942723751068115,,0.3404717445373535,433.0,0.0002660522295627743
788,0.0009754672646522522,0.0015400610864162445,159.73889636993408,57984,,1763260218.1753163,0.5312550067901611,3.8854777812957764e-05,0.0,0.4575524926185608,,-0.2316293716430664,434.0,0.0002652841794770211
797,-0.005083639174699783,0.0015498241409659386,161.5598020553589,58880,,1763260219.996222,0.5424118041992188,0.00016192812472581863,0.0,0.33072763681411743,,0.5136566162109375,435.0,0.00026474654441699386
806,0.0017712563276290894,-0.004354532808065414,163.39637756347656,59776,,1763260221.8327975,0.5480844974517822,0.0004628896713256836,0.0,478.8300476074219,,0.002803027629852295,436.0,0.0002642089093569666
815,-0.0002317279577255249,7.87004828453064e-05,165.07161664962769,60544,,1763260223.5080366,0.6192877888679504,3.5179778933525085e-05,0.0,0.25788596272468567,,-0.16138756275177002,436.0,0.0002637480793055147
863,-0.002713080495595932,-0.0033734356984496117,174.61061668395996,65024,,1763260233.0470366,0.49611908197402954,0.00033879559487104416,0.0,0.042519912123680115,,-0.1929457187652588,438.0,0.0002610599040053785
872,-5.05596399307251e-05,-0.0002845972776412964,176.53165197372437,65920,,1763260234.968072,0.6184499263763428,2.633407711982727e-05,0.0,434.03399658203125,,0.002340972423553467,438.0,0.00026052226894535124
876,-0.0017216652631759644,-0.010954185388982296,177.35004448890686,66304,,1763260235.7864645,0.5699666738510132,0.0006158994510769844,0.0,535.9932861328125,,0.0002582073211669922,439.0,0.0002602918539196253
