charts/learning_rate,global_step,_timestamp,losses/clipfrac,_step,losses/explained_variance,charts/episodic_length,charts/SPS,losses/policy_loss,losses/approx_kl,losses/old_approx_kl,charts/episodic_return,losses/value_loss,_runtime,losses/entropy
0.0002920122933574021,13440,1763260114.608553,0.0,265,0.16595947742462158,,450.0,-0.016535626724362373,0.0013036206364631653,0.0047860294580459595,,42.95234298706055,56.17211198806763,0.5906586050987244
0.0002917050733231008,13952,1763260115.8400345,0.0,273,0.050159990787506104,,449.0,-0.005731845274567604,0.0003495430573821068,0.002356785349547863,,69.16487121582031,57.40359354019165,0.5813431143760681
0.0002916282683145255,14080,1763260116.0869648,0.0,274,0.5841530561447144,,450.0,-0.001694507896900177,4.379637539386749e-05,-0.00036276504397392273,,41.62078094482422,57.65052390098572,0.6145541071891785
,15306,1763260118.809821,,292,,247.0,,,,,247.0,,60.373379945755005,
,17565,1763260123.5650387,,321,,218.0,,,,,218.0,,65.12859773635864,
0.00028924731304869056,18048,1763260124.528853,0.0,327,0.7020676732063293,,454.0,0.006171815097332001,0.0004470469430088997,-0.003503072075545788,,32.20162582397461,66.09241199493408,0.5817444920539856
,18201,1763260124.8394597,,330,,143.0,,,,,143.0,,66.40301871299744,
,18342,1763260125.0889146,,332,,141.0,,,,,141.0,,66.65247368812561,
,18694,1763260125.8386152,,337,,201.0,,,,,201.0,,67.40217423439026,
,19051,1763260126.283635,,340,,357.0,,,,,357.0,,67.84719395637512,
0.00028725038282573223,21376,1763260130.9394424,0.0,370,0.28133583068847656,,463.0,0.0059668272733688354,0.00048326142132282257,-0.005198370665311813,,29.891618728637695,72.50300145149231,0.6393021941184998
0.00028701996780000627,21760,1763260131.7828214,0.0,375,0.6971448659896851,,463.0,0.0017520375549793243,0.00040140189230442047,0.006219498813152313,,23.95770835876465,73.34638047218323,0.5953432321548462
0.00028617511270567775,23168,1763260135.2344942,0.0,396,0.6663232445716858,,459.0,-3.924034535884857e-05,1.152046024799347e-06,5.1558949053287506e-05,,35.2736701965332,76.79805326461792,0.6301929950714111
,25136,1763260140.4217658,,425,,92.0,,,,,92.0,,81.98532485961914,
,26224,1763260142.8057554,,441,,16.0,,,,,16.0,,84.36931443214417,
0.0002840245724655688,26752,1763260144.2568474,0.0,450,0.9343744516372681,,449.0,-0.0008334759622812271,1.63298100233078e-05,0.0015011467039585114,,11.022777557373047,85.82040643692017,0.5831292867660522
0.0002829493023455143,28544,1763260148.0651104,0.0,471,0.8279930353164673,,451.0,0.0037729069590568542,0.001478368416428566,0.00037653185427188873,,15.195292472839355,89.62866950035095,0.6281129717826843
,29225,1763260149.5528972,,481,,164.0,,,,,164.0,,91.1164562702179,
0.0002821044472511858,29952,1763260151.1859553,0.0,490,-0.2791222333908081,,451.0,-0.0009797550737857819,2.893991768360138e-05,0.0010437369346618652,,30.29603385925293,92.74951434135437,0.5866572260856628
,31259,1763260153.8909314,,504,,358.0,,,,,358.0,,95.45449042320251,
0.00028079876210540533,32128,1763260155.792188,0.0,515,0.12528574466705322,,452.0,1.2833625078201294e-05,8.48434865474701e-06,-0.0007033180445432663,,103.46566009521484,97.35574698448181,0.5995306372642517
0.00028010751702822745,33280,1763260158.2883577,0.0,530,0.9210180044174194,,452.0,-0.0009926073253154755,1.547299325466156e-05,0.0008747987449169159,,18.65121841430664,99.85191679000854,0.5739188194274902
0.00027972349198535085,33920,1763260159.6733048,0.0,539,0.8314438462257385,,453.0,0.0013604294508695602,8.322764188051224e-05,-0.00020093191415071487,,31.430936813354492,101.23686385154724,0.5888209939002991
0.00027933946694247425,34560,1763260161.0090017,0.0,547,0.9533471465110779,,453.0,-0.0013337228447198868,5.697552114725113e-05,-0.00023605022579431534,,6.758432388305664,102.57256078720093,0.5829376578330994
,35002,1763260162.024358,,555,,64.0,,,,,64.0,,103.58791708946228,
0.0002788786368910223,35328,1763260162.817058,0.0,559,0.9531174898147583,,452.0,-0.0031315465457737446,4.527997225522995e-05,-0.0004922403022646904,,9.60046100616455,104.38061714172363,0.6149177551269531
0.0002784946118481457,35968,1763260164.2291634,0.0,568,0.8099832534790039,,452.0,-0.019418004900217056,0.001082099974155426,0.008493712171912193,,23.559494018554688,105.79272246360779,0.5583526492118835
,38100,1763260168.7519276,,595,,143.0,,,,,143.0,,110.3154866695404,
,39499,1763260171.8415346,,612,,111.0,,,,,111.0,,113.40509366989136,
0.00027626726659946144,39680,1763260172.3442152,0.0,614,0.7828799486160278,,453.0,-0.0035612862557172775,8.100643754005432e-05,0.0020311493426561356,,7.934284210205078,113.9077742099762,0.511942446231842
0.00027534563560038805,41216,1763260175.4764125,0.095703125,630,0.886590838432312,,454.0,0.036386892199516296,0.012199332006275654,0.03299812600016594,,16.232173919677734,117.03997159004211,0.534417450428009
0.00027496161055751145,41856,1763260176.7273824,0.001953125,636,0.8149094581604004,,455.0,-0.007057644426822662,0.0024307258427143097,-0.010837502777576447,,20.070281982421875,118.2909414768219,0.5636386275291443
0.0002747311955317855,42240,1763260177.5300372,0.0078125,640,0.5440482497215271,,455.0,-0.017118021845817566,0.0012960312888026237,0.010136788710951805,,9.530771255493164,119.09359622001648,0.5415629744529724
,43256,1763260179.4480026,,650,,500.0,,,,,500.0,,121.01156163215637,
0.00027342551038600504,44416,1763260182.1131103,0.0,664,0.9695367217063904,,456.0,0.027663983404636383,0.005578154698014259,0.02650955133140087,,2.5792620182037354,123.67666935920715,0.6332107186317444
0.0002725038502831012,45952,1763260185.4994113,0.0,684,-0.03532111644744873,,456.0,-0.0014560483396053314,9.220745414495468e-05,0.0003782203420996666,,5.579852104187012,127.06297039985657,0.5742217898368835
0.00027227343525737524,46336,1763260186.3243275,0.0,689,0.052473247051239014,,456.0,0.0015261806547641754,1.3154000043869019e-05,-0.0010181888937950134,,301.81475830078125,127.88788652420044,0.569055438041687
0.0002718126052059233,47104,1763260187.9634442,0.0,698,0.006863534450531006,,456.0,0.00041572004556655884,8.409842848777771e-07,0.00014488864690065384,,273.7966613769531,129.52700328826904,0.6083176732063293
0.00027158219018019736,47488,1763260188.7745483,0.0,702,-0.04244804382324219,,456.0,0.0002521499991416931,0.00013377517461776733,-0.0010147076100111008,,4.22257137298584,130.3381073474884,0.604665994644165
0.0002713517751544714,47872,1763260189.6076713,0.0,707,0.010695457458496094,,456.0,0.0009087072685360909,3.4207478165626526e-05,0.00016654841601848602,,5.070934772491455,131.1712303161621,0.5292694568634033
0.0002701997000258416,49792,1763260193.7125995,0.0,729,-0.14631903171539307,,457.0,0.0009996145963668823,1.711864024400711e-05,-0.0004137074574828148,,4.339705467224121,135.2761585712433,0.6296205520629883
0.0002686635998543352,52352,1763260199.218772,0.0,757,-0.00047528743743896484,,457.0,0.006563231348991394,0.0004193270578980446,0.001489841379225254,,235.4861602783203,140.78233098983765,0.5715389847755432
0.0002683563798200339,52864,1763260200.2790048,0.0,762,0.18644076585769653,,457.0,0.003673369064927101,4.242733120918274e-05,-0.00023747049272060394,,2.585007667541504,141.84256386756897,0.6050992012023926
0.0002680491597857326,53376,1763260201.3195908,0.0,767,-0.02676713466644287,,458.0,0.0002560419961810112,0.0002726856619119644,-0.00361783429980278,,2.5021767616271973,142.88314986228943,0.5700700283050537
0.0002675883297342807,54144,1763260202.9148467,0.025390625,775,0.0011698007583618164,,458.0,0.004345327615737915,0.0052339546382427216,0.009803717024624348,,88.4605712890625,144.47840571403503,0.49216562509536743
,55521,1763260205.5797603,,788,,500.0,,,,,500.0,,147.14331936836243,
0.00026620583957992494,56448,1763260207.5691044,0.0,797,-0.0033240318298339844,,459.0,0.00031816214323043823,2.9459595680236816e-05,0.0019109584391117096,,1.2716267108917236,149.13266348838806,0.5313984155654907
0.000265745009528473,57216,1763260209.2106338,0.0,806,0.0010982155799865723,,459.0,-0.001400824636220932,0.00014192890375852585,-0.0031020445749163628,,111.3553466796875,150.7741928100586,0.5508542656898499
0.0002652073744684458,58112,1763260211.0333147,0.0,815,-0.013286709785461426,,460.0,-0.0015613939613103867,4.838407039642334e-05,0.0013748984783887863,,1.3589693307876587,152.5968737602234,0.580181360244751
,62797,1763260220.3118017,,863,,183.0,,,,,183.0,,161.87536072731018,
0.000261904759099707,63616,1763260222.1425855,0.0,872,0.036783456802368164,,463.0,0.0004916265606880188,3.46451997756958e-06,0.00011073984205722809,,0.48537036776542664,163.70614457130432,0.5847980976104736
0.00026167434407398105,64000,1763260222.9267712,0.0,876,0.0035886168479919434,,463.0,-0.007877085357904434,0.0013406304642558098,0.013461952097713947,,272.2654724121094,164.4903302192688,0.48204928636550903
0.0002592933888081461,67968,1763260231.2059543,0.0,922,0.003508269786834717,,464.0,-0.0001760721206665039,7.364898920059204e-06,0.00043366849422454834,,773.4447021484375,172.76951336860657,0.5473727583885193
,68536,1763260232.3680048,,930,,61.0,,,,,61.0,,173.93156385421753,
0.00025867894873954356,68992,1763260233.6390774,0.0,938,0.0009104609489440918,,463.0,-0.0006070882081985474,7.112789899110794e-05,-0.002356375567615032,,320.92279052734375,175.20263648033142,0.5575265884399414
0.00025860214373096824,69120,1763260234.004897,0.0,941,-0.0004545450210571289,,463.0,-0.0001199282705783844,0.001226392574608326,0.009732062928378582,,447.28497314453125,175.56845617294312,0.5540931820869446
0.0002585253387223929,69248,1763260234.2436357,0.0,942,0.012752711772918701,,463.0,-0.011804942041635513,0.002804514952003956,0.005905185826122761,,0.20508264005184174,175.80719470977783,0.5679808259010315
,69696,1763260235.1280913,,948,,103.0,,,,,103.0,,176.691650390625,
0.0002569124335423112,71936,1763260239.8737693,0.0,974,-0.0022139549255371094,,463.0,-0.0006620399653911591,6.654299795627594e-06,0.0005081603303551674,,319.347412109375,181.43732833862305,0.5430944561958313
,72254,1763260240.5903535,,980,,94.0,,,,,94.0,,182.1539125442505,
0.00025645160349085927,72704,1763260241.6419766,0.0,985,-1.5055890083312988,,463.0,-0.00200776569545269,0.0006314804777503014,0.00282448623329401,,0.16147632896900177,183.2055356502533,0.5781589150428772
