_runtime,losses/entropy,losses/clipfrac,losses/approx_kl,_timestamp,losses/policy_loss,charts/episodic_length,_step,losses/old_approx_kl,charts/learning_rate,charts/SPS,global_step,losses/value_loss,charts/episodic_return,losses/explained_variance
25.675453424453735,,,,1763260084.1101243,,,0,,,,0,,,
26.66609811782837,,,,1763260085.100769,,37.0,7,,,,171,,37.0,
27.22170639038086,,,,1763260085.6563773,,54.0,33,,,,767,,54.0,
27.438944578170776,,,,1763260085.8736155,,18.0,41,,,,944,,18.0,
27.570261478424072,,,,1763260086.0049324,,36.0,47,,,,1077,,36.0,
28.583067655563354,,,,1763260087.0177386,,33.0,64,,,,1596,,33.0,
29.305307626724243,0.6351245641708374,0.0,0.0005444837734103203,1763260087.7399786,-0.008595816791057587,,74,0.00239646527916193,0.0002989247441291809,689.0,1920,61.66548156738281,,0.03544872999191284
29.533488512039185,0.6069602370262146,0.0,0.0009104851633310318,1763260087.9681594,-0.008475984446704388,,77,0.0022554807364940643,0.0002988479391206056,679.0,2048,70.46160888671875,,0.05465853214263916
30.479623079299927,,,,1763260088.914294,,117.0,88,,,,2649,,117.0,
32.059086561203,,,,1763260090.4937575,,190.0,102,,,,3606,,190.0,
32.40452837944031,0.5892524123191833,0.021484375,0.003958642482757568,1763260090.8391993,-0.0025036707520484924,,104,0.008069304749369621,0.0002977726690005511,652.0,3840,82.3099365234375,,0.39269620180130005
37.221145153045654,,,,1763260095.655816,,142.0,133,,,,5950,,142.0,
40.031818151474,,,,1763260098.466489,,28.0,147,,,,6733,,28.0,
40.452308177948,,,,1763260098.886979,,81.0,149,,,,6814,,81.0,
40.78924894332886,0.6355195641517639,0.0,1.5193596482276917e-05,1763260099.2239199,-0.000557292252779007,,150,-0.0002004038542509079,0.0002959293487947434,484.0,6912,60.53522491455078,,-0.0019818544387817383
41.60877728462219,,,,1763260100.0434482,,146.0,155,,,,7206,,146.0,
41.983816146850586,,,,1763260100.418487,,131.0,157,,,,7337,,131.0,
44.747748374938965,0.6302272081375122,0.0,0.00048032961785793304,1763260103.1824193,-0.007658403366804123,,172,0.011472443118691444,0.0002950076886918396,463.0,8448,68.48521423339844,,0.24706268310546875
48.51067328453064,,,,1763260106.9453442,,134.0,195,,,,10043,,134.0,
50.40809726715088,0.6351357698440552,0.0,0.0006461124867200851,1763260108.8427682,0.0032327454537153244,,203,0.0014717765152454376,0.0002935483935289085,455.0,10880,59.380889892578125,,0.11592888832092285
52.0286226272583,0.5717922449111938,0.0,3.594905138015747e-06,1763260110.4632936,-0.00015784800052642822,,213,-4.3645501136779785e-05,0.0002931643684860319,451.0,11520,48.00450897216797,,-0.004352927207946777
52.47477197647095,,,,1763260110.909443,,54.0,217,,,,11704,,54.0,
54.14087700843811,,,,1763260112.575548,,69.0,228,,,,12375,,69.0,
55.042245864868164,0.5376450419425964,0.0,9.736046195030212e-06,1763260113.4769168,-0.0008959174156188965,,233,-0.0016783736646175385,0.000292473123408854,444.0,12672,42.068721771240234,,0.01893836259841919
57.86045789718628,,,,1763260116.2951288,,229.0,251,,,,13931,,229.0,
59.282020568847656,,,,1763260117.7166915,,110.0,259,,,,14553,,110.0,
60.392070055007935,0.5832669734954834,0.0,7.559731602668762e-05,1763260118.826741,3.9575621485710144e-05,,265,-0.0006523169577121735,0.00029109063325449824,442.0,14976,28.561864852905273,,0.5157445669174194
61.77691626548767,0.5835052728652954,0.0,2.585630863904953e-05,1763260120.2115872,-0.001971457153558731,,273,0.0005994988605380058,0.00029070660821162164,442.0,15616,60.947242736816406,,-0.004007816314697266
61.99663829803467,0.6377438902854919,0.0,3.411341458559036e-05,1763260120.4313092,-0.0034512169659137726,,274,0.002214753068983555,0.0002906298032030463,443.0,15744,49.4920654296875,,-0.011214137077331543
64.98137378692627,0.569983184337616,0.0,0.0001232428476214409,1763260123.4160447,-0.0063156858086586,,292,0.003934943117201328,0.0002897849481087178,445.0,17152,43.285125732421875,,0.37264859676361084
69.41475558280945,0.5592787861824036,0.0,0.00120626762509346,1763260127.8494265,0.009985692799091339,,321,0.012497417628765106,0.00028847926296293736,450.0,19328,30.51506805419922,,0.7512263059616089
70.43626093864441,0.6275377869606018,0.0,8.717179298400879e-06,1763260128.8709319,0.0005271956324577332,,327,0.0005373582243919373,0.0002881720429286361,451.0,19840,49.37398147583008,,0.05713611841201782
70.92373752593994,0.5842193961143494,0.0,0.0001655174419283867,1763260129.3584085,0.0008859150111675262,,330,0.0003629205748438835,0.00028801843291148543,452.0,20096,16.9957275390625,,0.8587453365325928
71.16891431808472,,,,1763260129.6035852,,191.0,332,,,,20225,,191.0,
71.87621521949768,0.578803539276123,0.0,0.00012848153710365295,1763260130.3108861,0.004154115915298462,,337,-0.0043550580739974976,0.00028771121287718415,454.0,20608,52.47206115722656,,0.2769922614097595
72.41323041915894,0.5778586864471436,0.0,1.4271587133407593e-05,1763260130.8479013,0.0014691166579723358,,340,-0.0012751463800668716,0.0002875576028600335,454.0,20864,26.468021392822266,,0.7873777747154236
78.11522316932678,,,,1763260136.549894,,199.0,370,,,,23234,,199.0,
79.47833943367004,0.5639299750328064,0.0,0.0003741169348359108,1763260137.9130104,-0.004576807841658592,,375,0.004983232356607914,0.00028586789267137647,447.0,23680,70.3499984741211,,0.21133828163146973
83.69585680961609,,,,1763260142.1305277,,266.0,396,,,,25590,,266.0,
89.01038026809692,0.5767302513122559,0.0,0.0009715110063552856,1763260147.4450512,0.003962524235248566,,425,-0.008183935657143593,0.0002833333273883909,446.0,27904,15.502020835876465,,0.7572908401489258
91.63202357292175,0.5763353109359741,0.0,9.733159095048904e-05,1763260150.0666945,-0.0024656932801008224,,441,-0.0014010192826390266,0.000282642082311213,446.0,29056,9.873616218566895,,0.9396567344665527
93.10969972610474,,,,1763260151.5443707,,194.0,450,,,,29763,,194.0,
96.81747484207153,0.5830963253974915,0.0,3.722216933965683e-05,1763260155.2521458,-0.0004180707037448883,,471,-4.9334950745105743e-05,0.00028125959215685725,446.0,31360,13.55258560180664,,0.647438645362854
98.50678610801697,0.5375548601150513,0.001953125,0.0023768162354826927,1763260156.941457,0.002005457878112793,,481,0.01445324532687664,0.00028079876210540533,446.0,32128,13.883567810058594,,-0.09852373600006104
99.93046879768372,0.5070790648460388,0.0,0.00010661687701940536,1763260158.3651397,0.0038124173879623413,,490,-0.0035274596884846687,0.00028041473706252873,446.0,32768,116.05963897705078,,0.47588711977005005
102.44565868377686,0.5470166802406311,0.0,0.0027965009212493896,1763260160.8803296,-0.019456181675195694,,504,0.023483842611312866,0.00027972349198535085,446.0,33920,96.26651000976562,,0.5921660661697388
104.22010278701782,0.4935828447341919,0.0,4.0687620639801025e-05,1763260162.6547737,0.002744574099779129,,515,-0.003611162304878235,0.0002792626619338989,446.0,34688,427.3638916015625,,0.06840574741363525
106.39351534843445,0.5678608417510986,0.0,2.1377578377723694e-05,1763260164.8281863,0.0010974928736686707,,530,-0.0018612463027238846,0.0002787250268738717,445.0,35584,44.04983901977539,,0.6339432001113892
107.70095658302307,,,,1763260166.1356275,,77.0,539,,,,36116,,77.0,
109.32728028297424,0.5617964267730713,0.0,4.5911408960819244e-05,1763260167.7619512,0.00058722123503685,,547,-0.0014098947867751122,0.0002779569767881185,445.0,36864,2.4550223350524902,,0.9772999286651611
110.55569243431091,,,,1763260168.9903634,,147.0,555,,,,37410,,147.0,
111.19087767601013,,,,1763260169.6255486,,122.0,559,,,,37673,,122.0,
112.88117599487305,0.5692814588546753,0.0,0.0023201406002044678,1763260171.315847,0.012257158756256104,,568,0.002331804484128952,0.00027703531668521464,444.0,38400,34.453609466552734,,0.5242303609848022
118.01872825622559,0.5729758739471436,0.0,0.0012328578159213066,1763260176.4533992,0.0009206794202327728,401.0,595,-0.011117463000118732,0.00027565285563468933,444.0,40704,89.62438201904297,401.0,0.11652374267578125
