losses/value_loss,_step,global_step,charts/learning_rate,losses/old_approx_kl,_runtime,losses/entropy,losses/explained_variance,losses/policy_loss,losses/clipfrac,losses/approx_kl,charts/episodic_return,charts/SPS,charts/episodic_length,_timestamp
,0,0,,,24.803290605545044,,,,,,,,,1763260083.1391356
,7,112,,,26.55138111114502,,,,,,19.0,,19.0,1763260084.887226
,33,529,,,27.05192756652832,,,,,,14.0,,14.0,1763260085.3877726
,41,675,,,27.19819927215576,,,,,,15.0,,15.0,1763260085.5340443
,47,799,,,27.320791006088257,,,,,,10.0,,10.0,1763260085.656636
,64,1107,,,27.605597019195557,,,,,,35.0,,35.0,1763260085.941442
,74,1291,,,27.875719785690308,,,,,,15.0,,15.0,1763260086.2115648
,77,1335,,,27.971293449401855,,,,,,19.0,,19.0,1763260086.3071384
,88,1764,,,28.72896122932434,,,,,,42.0,,42.0,1763260087.0648062
,102,2187,,,29.65204620361328,,,,,,100.0,,100.0,1763260087.9878912
,104,2246,,,29.728649139404297,,,,,,37.0,,37.0,1763260088.0644941
68.72693634033203,133,3456,0.00029800308402627707,-0.0015308689326047897,32.02408194541931,0.6605506539344788,-0.285567045211792,2.22083181142807e-05,0.0,0.0003005173057317734,,622.0,,1763260090.359927
,147,4123,,,33.192957162857056,,,,,,45.0,,45.0,1763260091.5288022
,149,4218,,,33.30206871032715,,,,,,73.0,,73.0,1763260091.6379137
46.974395751953125,150,4224,0.00029754225397482514,0.006890400312840939,33.54186820983887,0.6259881258010864,0.012875914573669434,-0.0018785959109663963,0.0,0.00019782129675149918,,597.0,,1763260091.8777132
46.69661331176758,155,4480,0.0002973886439576745,-5.3753145039081573e-05,34.17671251296997,0.6249212026596069,-0.046927571296691895,8.325744420289993e-05,0.0,2.2266991436481476e-05,,581.0,,1763260092.5125575
,157,4640,,,34.468894958496094,,,,,,207.0,,207.0,1763260092.80474
,172,5465,,,36.55958318710327,,,,,,102.0,,102.0,1763260094.8954282
74.5191650390625,195,7168,0.0002957757387775928,-0.00231973547488451,41.77889585494995,0.5910040736198425,0.009298741817474365,0.0030689984560012817,0.0,5.727168172597885e-05,,468.0,,1763260100.1147408
62.88352966308594,203,7808,0.0002953917137347162,0.008356554433703423,43.28589844703674,0.6199095249176025,0.25181400775909424,-0.014004811644554138,0.001953125,0.0010674912482500076,,464.0,,1763260101.6217434
,213,8672,,,44.99874806404114,,,,,,255.0,,255.0,1763260103.334593
,217,8998,,,45.812134981155396,,,,,,326.0,,326.0,1763260104.14798
50.69702911376953,228,9984,0.00029408602858893573,0.014020058326423168,48.00562286376953,0.5831748843193054,0.021368443965911865,-0.0070611871778965,0.0,0.00032969843596220016,,463.0,,1763260106.3414679
64.3568344116211,233,10368,0.00029385561356320977,-0.004862641915678978,48.8899827003479,0.5928318500518799,0.005067229270935059,0.012537993490695953,0.005859375,0.0006611812859773636,,462.0,,1763260107.2258277
,251,11767,,,51.80344843864441,,,,,,96.0,,96.0,1763260110.1392934
,259,12193,,,53.05368423461914,,,,,,132.0,,132.0,1763260111.3895292
54.538997650146484,265,12800,0.0002923963184002787,0.001602773554623127,54.364285707473755,0.60651695728302,0.06828218698501587,0.0014550238847732544,0.0,0.00014294777065515518,,458.0,,1763260112.7001307
,273,13337,,,55.65176177024841,,,,,,196.0,,196.0,1763260113.9876068
55.35432434082031,274,13440,0.0002920122933574021,0.010492070578038692,55.902138471603394,0.5967257022857666,0.10307180881500244,0.0026640184223651886,0.001953125,0.0017722798511385918,,456.0,,1763260114.2379835
49.211917877197266,292,14976,0.00029109063325449824,-0.0026233848184347153,59.172829389572144,0.5977999567985535,-3.647804260253906e-05,-0.0036163628101348877,0.0,9.658932685852051e-05,,457.0,,1763260117.5086744
43.48052978515625,321,17408,0.00028963133809156716,-0.009948961436748505,64.11696267127991,0.532401442527771,0.14254975318908691,0.01256570965051651,0.0,0.00110652856528759,,462.0,,1763260122.4528077
,327,17941,,,65.1639335155487,,,,,,235.0,,235.0,1763260123.4997785
,330,18287,,,65.68520975112915,,,,,,346.0,,346.0,1763260124.0210547
40.642032623291016,332,18432,0.0002890168980229646,0.000456090085208416,66.08110570907593,0.5652346611022949,0.3808121681213379,0.0007067471742630005,0.0,9.081326425075531e-06,,465.0,,1763260124.4169507
79.07853698730469,337,18688,0.00028886328800581396,-0.006608618423342705,66.63358163833618,0.48908454179763794,0.005908608436584473,-0.007239393889904022,0.0,0.00019926205277442932,,465.0,,1763260124.9694266
70.5540542602539,340,18944,0.0002887096779886633,0.0014633424580097198,67.11927390098572,0.5865188837051392,0.1344730257987976,-0.002826698124408722,0.0,2.814270555973053e-05,,466.0,,1763260125.455119
31.38404083251953,370,21120,0.00028740399284288287,-0.007600928656756878,71.37107801437378,0.5493656396865845,-0.001257181167602539,-0.00263001024723053,0.0,0.0003375029191374779,,470.0,,1763260129.706923
,375,21408,,,71.89649057388306,,,,,,110.0,,110.0,1763260130.2323356
,396,22712,,,75.0268702507019,,,,,,77.0,,77.0,1763260133.3627152
25.9826602935791,425,24960,0.00028509984258562326,0.0044229403138160706,80.691730260849,0.5814321637153625,0.3690698742866516,-0.0022760778665542603,0.0,4.145503044128418e-05,,460.0,,1763260139.0275753
20.886302947998047,441,26368,0.00028425498749129474,0.0001199888065457344,83.7030029296875,0.5878986716270447,0.7237440347671509,0.0018582995980978012,0.0,1.700315624475479e-05,,460.0,,1763260142.038848
