losses/value_loss,losses/approx_kl,losses/old_approx_kl,_timestamp,losses/policy_loss,_runtime,charts/SPS,charts/episodic_return,losses/entropy,global_step,losses/explained_variance,losses/clipfrac,charts/episodic_length,_step,charts/learning_rate
,,,1763260083.862119,,25.39347791671753,,,,0,,,,0,
,,,1763260084.979508,,26.51086688041687,,38.0,,134,,,38.0,7,
,,,1763260085.4940062,,27.025365114212036,,19.0,,671,,,19.0,33,
,,,1763260085.643115,,27.174474000930786,,31.0,,862,,,31.0,41,
,,,1763260085.7753446,,27.306703567504883,,19.0,,1010,,,19.0,47,
57.697044372558594,3.34838405251503e-05,-0.0020263725891709328,1763260086.2861102,0.0027024373412132263,27.817469120025635,949.0,,0.6433718204498291,1408,0.032705068588256836,0.0,,64,0.0002992319641634822
,,,1763260087.0104935,,28.541852474212646,,60.0,,1856,,,60.0,74,
,,,1763260087.202466,,28.733824968338013,,38.0,,1942,,,38.0,77,
,,,1763260087.907025,,29.43838405609131,,85.0,,2415,,,85.0,88,
47.64140319824219,0.00038378871977329254,-0.0014318916946649551,1763260088.9748688,-0.005306258797645569,30.506227731704712,705.0,,0.5984646081924438,2944,-0.020186424255371094,0.0,,102,0.00029831030406057835
,,,1763260089.0503318,,30.581690788269043,,46.0,,3027,,,46.0,104,
87.73375701904297,0.00010655168443918228,-0.001604943536221981,1763260091.9563713,-0.0039583370089530945,33.487730264663696,662.0,,0.5891699194908142,4736,0.04113274812698364,0.0,,133,0.00029723503394052386
50.42764663696289,0.0009027980268001556,0.010715099051594734,1763260094.2563655,-0.017356768250465393,35.78772449493408,609.0,,0.5654105544090271,5760,0.13499534130096436,0.0,,147,0.0002966205938719213
,,,1763260094.6015534,,36.132912397384644,,212.0,,5905,,,212.0,149,
72.8708724975586,0.0001661144196987152,0.0007571037858724594,1763260094.8617136,0.002829030156135559,36.39307260513306,598.0,,0.5739452838897705,6016,-0.008257865905761719,0.0,,150,0.00029646698385477066
67.9064712524414,4.034023731946945e-05,-0.0003834618255496025,1763260095.888425,-4.56199049949646e-05,37.41978406906128,577.0,,0.5724406242370605,6400,0.4655188322067261,0.0,,155,0.0002962365688290447
,,,1763260096.2503598,,37.781718730926514,,225.0,,6620,,,225.0,157,
,,,1763260099.6824973,,41.21385622024536,,310.0,,7719,,,310.0,172,
,,,1763260103.7954051,,45.32676410675049,,261.0,,9595,,,261.0,195,
,,,1763260105.1782827,,46.70964169502258,,65.0,,10206,,,65.0,203,
,,,1763260106.7148213,,48.246180295944214,,193.0,,10838,,,193.0,213,
64.78858947753906,0.00013537518680095673,0.0009380821138620377,1763260107.4341943,-0.0004990845918655396,48.965553283691406,492.0,,0.5637676119804382,11136,-0.006422162055969238,0.0,,217,0.00029339478351175785
44.02217483520508,0.0002210531383752823,-0.0016103163361549377,1763260109.364755,-0.004179015755653381,50.896113872528076,489.0,,0.5340714454650879,12032,0.11273527145385742,0.0,,228,0.0002928571484517306
38.17578887939453,0.0003009159117937088,0.0018780305981636047,1763260110.2216334,-0.0007888302206993103,51.752992391586304,488.0,,0.6101719737052917,12416,0.41123586893081665,0.0,,233,0.00029262673342600465
,,,1763260113.3187685,,54.85012745857239,,115.0,,13846,,,115.0,251,
53.42493438720703,9.316671639680862e-05,0.0012745829299092293,1763260114.729861,-0.001348801888525486,56.26121997833252,483.0,,0.5871511101722717,14464,0.09440755844116211,0.0,,259,0.0002913978532887995
,,,1763260115.6416044,,57.1729633808136,,157.0,,14954,,,157.0,265,
,,,1763260117.0391114,,58.570470333099365,,307.0,,15604,,,307.0,273,
69.04458618164062,0.00042516179382801056,0.005022868514060974,1763260117.281701,-0.009253885596990585,58.81306004524231,480.0,,0.5500550270080566,15616,0.0075775980949401855,0.0,,274,0.00029070660821162164
,,,1763260120.2272644,,61.758623361587524,,43.0,,17063,,,43.0,292,
,,,1763260124.9920812,,66.52344012260437,,331.0,,19559,,,331.0,321,
30.951557159423828,3.68533656001091e-05,-0.0021599074825644493,1763260125.9353762,-8.405372500419617e-05,67.46673512458801,485.0,,0.5801607966423035,19968,-0.014933466911315918,0.0,,327,0.00028809523792006075
,,,1763260126.3968012,,67.92816019058228,,500.0,,20308,,,500.0,330,
33.3804931640625,0.0001720162108540535,0.002227368764579296,1763260126.8341248,0.0002716090530157089,68.36548376083374,487.0,,0.5895231366157532,20480,0.04572707414627075,0.0,,332,0.00028778801788575947
58.86932373046875,0.0002957833930850029,-0.0021422794088721275,1763260127.5870302,-0.0024156831204891205,69.11838912963867,487.0,,0.5613781213760376,20864,0.037129759788513184,0.0,,337,0.0002875576028600335
49.94546127319336,4.099495708942413e-05,-0.00017313845455646515,1763260128.063189,0.0010467693209648132,69.59454798698425,488.0,,0.5389074087142944,21120,0.0007777214050292969,0.0,,340,0.00028740399284288287
