_timestamp,charts/SPS,losses/clipfrac,charts/episodic_length,losses/entropy,losses/policy_loss,losses/approx_kl,global_step,charts/learning_rate,_step,_runtime,losses/explained_variance,losses/old_approx_kl,charts/episodic_return,losses/value_loss
1763260083.5435083,,,,,,,0,,0,25.104592323303223,,,,
1763260084.9755235,746.0,0.0,,0.6931231617927551,-0.001000039279460907,1.7629936337471008e-05,128,0.0003000000142492354,7,26.53660750389099,0.010238826274871826,0.001100117340683937,,34.313636779785156
1763260085.47201,,,10.0,,,,643,,33,27.03309392929077,,,10.0,
1763260085.6130483,,,13.0,,,,811,,41,27.174132347106934,,,13.0,
1763260085.7291207,,,21.0,,,,927,,47,27.290204763412476,,,21.0,
1763260086.4339323,,,62.0,,,,1541,,64,27.99501633644104,,,62.0,
1763260087.0537846,,,45.0,,,,1796,,74,28.614868640899658,,,45.0,
1763260087.2751994,,,115.0,,,,2008,,77,28.836283445358276,,,115.0,
1763260088.0734725,,,95.0,,,,2463,,88,29.634556531906128,,,95.0,
1763260089.1714792,703.0,0.0,,0.6217054128646851,0.00695858895778656,0.0001806691288948059,3072,0.000298233499052003,102,30.732563257217407,0.030360162258148193,-0.002282632514834404,,52.54146194458008
1763260089.2470489,,,48.0,,,,3159,,104,30.808132886886597,,,48.0,
1763260092.1476362,644.0,0.0,,0.6023643016815186,-7.103383541107178e-05,0.00011567305773496628,4736,0.00029723503394052386,133,33.708720207214355,0.03517037630081177,0.0033546527847647667,,55.257347106933594
1763260094.242608,,,194.0,,,,5665,,147,35.80369210243225,,,194.0,
1763260094.5972698,588.0,0.01953125,,0.5724931359291077,-0.016995292156934738,0.004679623059928417,5760,0.0002966205938719213,149,36.15835380554199,0.1534094214439392,0.0010492140427231789,,39.95024108886719
1763260094.662944,,,149.0,,,,5859,,150,36.22402811050415,,,149.0,
1763260095.6381671,567.0,0.0,,0.6090097427368164,-0.0019646286964416504,0.0002289656549692154,6144,0.00029639017884619534,155,37.19925117492676,0.0906873345375061,0.0018591154366731644,,49.383243560791016
1763260096.037465,558.0,0.0,,0.6146016120910645,4.242360591888428e-05,0.0002091582864522934,6272,0.00029631337383762,157,37.598549127578735,0.077908456325531,-0.000522589311003685,,77.34658813476562
1763260099.2763512,504.0,0.0,,0.6148460507392883,-4.607439041137695e-05,1.1271797120571136e-05,7296,0.00029569893376901746,172,40.837435245513916,-0.031226754188537598,-0.0006944937631487846,,73.62281036376953
1763260103.155828,,,104.0,,,,8909,,195,44.716912031173706,,,104.0,
1763260104.387222,,,197.0,,,,9443,,203,45.9483060836792,,,197.0,
1763260105.745127,,,157.0,,,,9972,,213,47.30621099472046,,,157.0,
1763260106.3439493,,,115.0,,,,10153,,217,47.905033349990845,,,115.0,
1763260108.1250627,,,183.0,,,,10890,,228,49.68614673614502,,,183.0,
1763260108.966334,,,265.0,,,,11274,,233,50.52741813659668,,,265.0,
1763260111.7261708,461.0,0.0,160.0,0.6006340980529785,-0.0005785375833511353,6.353482604026794e-05,12416,0.00029262673342600465,251,53.28725481033325,0.051871299743652344,-0.001892460510134697,160.0,56.935089111328125
1763260112.932099,459.0,0.0,,0.6043609380722046,0.009272221475839615,0.00015843193978071213,12928,0.00029231951339170337,259,54.49318313598633,0.3898664116859436,-0.005053161643445492,,36.32957458496094
1763260113.9087503,457.0,0.0,,0.5423716306686401,-0.009378716349601746,0.000994010828435421,13312,0.0002920890983659774,265,55.469834327697754,0.28617459535598755,0.0034881485626101494,,61.05183410644531
1763260115.3021662,457.0,0.0,,0.6053420305252075,-0.006903277710080147,0.00015872344374656677,13952,0.0002917050733231008,273,56.86325025558472,0.589859127998352,0.007760567590594292,,29.291147232055664
1763260115.363705,,,146.0,,,,14061,,274,56.92478895187378,,,146.0,
1763260118.2537026,455.0,0.0,,0.5593258142471313,-0.0018220320343971252,1.6917474567890167e-05,15232,0.0002909370232373476,292,59.81478667259216,0.28585904836654663,0.0013835104182362556,,44.18524169921875
1763260122.6887345,459.0,0.0,,0.6043552160263062,0.00021753832697868347,6.310641765594482e-06,17408,0.00028963133809156716,321,64.2498185634613,0.30396461486816406,0.0002320893108844757,,43.86811065673828
1763260123.5260549,,,148.0,,,,17883,,327,65.08713889122009,,,148.0,
1763260124.0281203,460.0,0.0,,0.5419980883598328,-0.0007527843117713928,1.4608725905418396e-05,18048,0.00028924731304869056,330,65.58920431137085,0.1381353735923767,0.0013097673654556274,,64.61734771728516
1763260124.302617,,,224.0,,,,18260,,332,65.8637011051178,,,224.0,
1763260124.96825,462.0,0.0,,0.5686531066894531,-0.00017223507165908813,3.922078758478165e-05,18560,0.0002889400930143893,337,66.52933406829834,0.4115315079689026,0.0013839295133948326,,35.11503601074219
1763260125.450071,462.0,0.0,,0.5416027903556824,0.002408146858215332,0.0007921447977423668,18816,0.00028878648299723864,340,67.011155128479,0.20876699686050415,0.0009233439341187477,,36.0019416809082
1763260129.6360836,,,184.0,,,,21013,,370,71.19716763496399,,,184.0,
1763260130.4889,470.0,0.0,,0.589988112449646,-0.00300680473446846,2.694409340620041e-05,21504,0.0002871735778171569,375,72.04998397827148,-0.12110733985900879,-0.0006078397855162621,,32.14370346069336
1763260134.1918013,,,160.0,,,,23176,,396,75.75288534164429,,,160.0,
1763260139.5353546,,,222.0,,,,25287,,425,81.09643864631653,,,222.0,
1763260142.4347243,,,224.0,,,,26740,,441,83.99580836296082,,,224.0,
1763260143.8044832,,,112.0,,,,27281,,450,85.36556720733643,,,112.0,
1763260147.0360398,,,159.0,,,,28867,,471,88.59712386131287,,,159.0,
