losses/old_approx_kl,global_step,charts/episodic_length,charts/episodic_return,_step,losses/entropy,losses/explained_variance,charts/learning_rate,losses/clipfrac,losses/value_loss,charts/SPS,losses/policy_loss,losses/approx_kl,_runtime,_timestamp
,0,,,0,,,,,,,,,24.81226086616516,1763260083.148109
0.010403456166386604,128,,,7,0.6923269033432007,-0.002989053726196289,0.0003000000142492354,0.0,31.579849243164062,745.0,-0.01529880240559578,0.0007807482033967972,26.639833211898804,1763260084.9756813
0.00041160639375448227,640,,,33,0.6870055794715881,-0.012658476829528809,0.0002996927942149341,0.0,76.93095397949219,901.0,-0.0029497817158699036,5.345698446035385e-05,27.17791199684143,1763260085.51376
,839,47.0,47.0,41,,,,,,,,,27.335737943649292,1763260085.671586
,1014,25.0,25.0,47,,,,,,,,,27.476807594299316,1763260085.8126557
-0.010379599407315254,1536,,,64,0.6093209385871887,0.014230787754058838,0.00029915515915490687,0.0,80.26698303222656,876.0,0.007221505045890808,0.0009541027247905731,28.219873428344727,1763260086.5557215
,1868,71.0,71.0,74,,,,,,,,,28.819239854812622,1763260087.155088
,1971,54.0,54.0,77,,,,,,,,,29.031986951828003,1763260087.367835
,2624,123.0,123.0,88,,,,,,,,,29.990912199020386,1763260088.3267603
0.011566937901079655,3584,,,102,0.5985761284828186,0.12338471412658691,0.00029792627901770175,0.001953125,70.69290924072266,711.0,-0.023000188171863556,0.005424306727945805,31.50599479675293,1763260089.841843
,3814,239.0,239.0,104,,,,,,,,,31.725775718688965,1763260090.0616238
,5942,187.0,187.0,133,,,,,,,,,35.94450092315674,1763260094.280349
,7105,407.0,407.0,147,,,,,,,,,39.19656276702881,1763260097.5324109
,7258,153.0,153.0,149,,,,,,,,,39.64333653450012,1763260097.9791846
-0.0015400182455778122,7296,,,150,0.5575702786445618,0.02023148536682129,0.00029569893376901746,0.0,58.04787826538086,540.0,0.0010228902101516724,4.25390899181366e-05,39.968740463256836,1763260098.3045886
-0.003140456974506378,7680,,,155,0.6230807304382324,0.10626310110092163,0.0002954685187432915,0.0,50.89883804321289,525.0,0.0018714070320129395,0.00023510493338108063,41.081071853637695,1763260099.41692
,7842,250.0,250.0,157,,,,,,,,,41.42821002006531,1763260099.764058
0.0012364033609628677,8960,,,172,0.6089452505111694,0.013218402862548828,0.0002947004686575383,0.0,43.936885833740234,507.0,0.0006883516907691956,0.00029782578349113464,44.11195087432861,1763260102.447799
-0.002092319540679455,10624,,,195,0.5688574910163879,0.16097807884216309,0.00029370200354605913,0.0,64.46324920654297,493.0,-0.0008863210678100586,0.00016271788626909256,48.017099142074585,1763260106.3529472
-0.005735418759286404,11136,,,203,0.5330553650856018,0.006632626056671143,0.00029339478351175785,0.0,49.11348342895508,488.0,-0.0013362877070903778,0.00016401242464780807,49.272552728652954,1763260107.6084008
-0.0001729847863316536,12032,,,213,0.5801578760147095,-0.017657876014709473,0.0002928571484517306,0.0,57.35804748535156,485.0,-0.00020411238074302673,4.916451871395111e-06,51.23095631599426,1763260109.5668044
,12356,203.0,203.0,217,,,,,,,,,51.84999418258667,1763260110.1858423
,13208,171.0,171.0,228,,,,,,,,,53.800116300582886,1763260112.1359644
,13708,500.0,500.0,233,,,,,,,,,54.872294425964355,1763260113.2081425
0.0004991255700588226,15232,,,251,0.5717111229896545,-0.015371322631835938,0.0002909370232373476,0.0,46.02678298950195,479.0,-8.124858140945435e-06,1.0622665286064148e-05,58.2638201713562,1763260116.5996683
,15977,262.0,262.0,259,,,,,,,,,59.63511872291565,1763260117.9709668
,16426,237.0,237.0,265,,,,,,,,,60.65826463699341,1763260118.9941127
0.011999012902379036,17152,,,273,0.5730434656143188,-0.0023202896118164062,0.0002897849481087178,0.0,70.29258728027344,480.0,0.007004477083683014,0.0011995602399110794,62.17215943336487,1763260120.5080075
,17224,167.0,167.0,274,,,,,,,,,62.22659230232239,1763260120.5624404
0.005512658506631851,18560,,,292,0.5453184247016907,0.0027661919593811035,0.0002889400930143893,0.0,54.94786071777344,481.0,-0.005882576107978821,0.0006174780428409576,65.0440080165863,1763260123.379856
0.020094038918614388,21120,,,321,0.6045876741409302,0.020162463188171387,0.00028740399284288287,0.005859375,44.5430908203125,487.0,-0.007118930108845234,0.0016888836398720741,69.83128023147583,1763260128.1671283
-0.0052015520632267,21632,,,327,0.5567852258682251,0.013261973857879639,0.0002870967728085816,0.0,83.74314880371094,487.0,0.003615647554397583,0.0007031895220279694,70.82896518707275,1763260129.1648133
-0.0006988206878304482,22016,,,330,0.564963161945343,-0.05699503421783447,0.00028686635778285563,0.0,28.147308349609375,490.0,0.004238143563270569,0.00011774804443120956,71.3944571018219,1763260129.7303052
0.014436634257435799,22144,,,332,0.5460699796676636,0.0014530420303344727,0.0002867895527742803,0.001953125,59.59455871582031,490.0,-0.010002076625823975,0.003080518916249275,71.63236331939697,1763260129.9682114
0.005995872430503368,22656,,,337,0.5847800970077515,-0.016901373863220215,0.00028648233273997903,0.0,32.157222747802734,491.0,0.0005810223519802094,6.220582872629166e-05,72.58309555053711,1763260130.9189436
,23020,500.0,500.0,340,,,,,,,,,73.15392184257507,1763260131.48977
0.01018430944532156,25856,,,370,0.5541555881500244,-0.6692054271697998,0.000284562207525596,0.0,23.097286224365234,483.0,-0.009945414960384369,0.0011565713211894035,79.89946484565735,1763260138.235313
,26250,388.0,388.0,375,,,,,,,,,80.90119814872742,1763260139.2370462
,28374,386.0,386.0,396,,,,,,,,,84.99704122543335,1763260143.3328893
