losses/clipfrac,losses/explained_variance,charts/episodic_length,losses/old_approx_kl,charts/SPS,losses/value_loss,_runtime,losses/policy_loss,charts/episodic_return,losses/entropy,losses/approx_kl,global_step,charts/learning_rate,_step,_timestamp
0.0,0.6075701713562012,,0.0034178905189037323,475.0,36.79254150390625,71.31603384017944,-0.013737538829445839,,0.618386447429657,0.00020339153707027435,21376,0.00028725038282573223,375,1763260129.7546527
0.0,0.8462556004524231,,0.005279643461108208,475.0,15.407238006591797,74.54470705986023,0.004038793966174126,,0.5633427500724792,0.00019358471035957336,22912,0.0002863287227228284,396,1763260132.983326
,,117.0,,,,79.52003359794617,,117.0,,,24934,,425,1763260137.9586525
,,146.0,,,,82.02037692070007,,146.0,,,25933,,441,1763260140.4589958
0.0,0.7202507257461548,,-0.0029370905831456184,464.0,45.33790588378906,83.41492104530334,0.006837453693151474,,0.5414553284645081,0.00017683487385511398,26496,0.0002841781824827194,450,1763260141.85354
,,102.0,,,,86.31486797332764,,102.0,,,27820,,471,1763260144.7534869
,,371.0,,,,87.89804720878601,,371.0,,,28657,,481,1763260146.336666
0.02734375,0.6227647066116333,,-0.0020762039348483086,464.0,73.18543243408203,89.48490691184998,0.0007786303758621216,,0.5387771129608154,0.004100174643099308,29312,0.0002824884722940624,490,1763260147.9235258
0.0,0.9714542031288147,,-0.0002811085432767868,465.0,7.269588470458984,91.82219362258911,-0.002995699644088745,,0.5290939807891846,0.00017089210450649261,30464,0.0002817972272168845,504,1763260150.2608125
0.001953125,0.9507732391357422,,0.024393495172262192,464.0,13.30882740020752,93.27662658691406,-0.0033474843949079514,,0.45968759059906006,0.0024779168888926506,31104,0.0002814132021740079,515,1763260151.7152455
,,56.0,,,,95.17785334587097,,56.0,,,31953,,530,1763260153.6164722
0.0,0.9903199076652527,,-0.002024376764893532,463.0,1.5025044679641724,96.5768940448761,0.006562672555446625,,0.5169100761413574,0.0014580246061086655,32512,0.00028056834707967937,539,1763260155.015513
0.0,0.9874030351638794,,-0.002141723409295082,462.0,2.3939316272735596,97.69693684577942,0.015537291765213013,,0.4846183657646179,0.001449069008231163,33024,0.0002802611270453781,547,1763260156.1355557
0.0,0.9922442436218262,,0.00033815857023000717,462.0,1.2724865674972534,98.84368944168091,-0.012204736471176147,,0.5376882553100586,0.002118214964866638,33536,0.0002799539070110768,555,1763260157.2823083
0.0,0.7722530364990234,,-0.011118768714368343,463.0,8.60810661315918,99.57335090637207,-0.010334394872188568,,0.5716203451156616,0.0008449805900454521,33920,0.00027972349198535085,559,1763260158.0119698
0.029296875,0.871910035610199,,0.01744667999446392,463.0,11.271732330322266,101.1407527923584,-0.014763174578547478,,0.5362726449966431,0.0046008434146642685,34688,0.0002792626619338989,568,1763260159.5793717
0.0,0.016630351543426514,,0.0074887946248054504,466.0,9.206733703613281,105.98499464988708,-0.02718469500541687,,0.5867272019386292,0.003002287819981575,37120,0.00027780336677096784,595,1763260164.4236135
0.0,0.08709496259689331,,-0.0031656818464398384,467.0,8.355473518371582,109.08093857765198,0.000965997576713562,,0.6117939352989197,3.204401582479477e-05,38656,0.000276881706668064,612,1763260167.5195575
0.0,0.9646451473236084,,-0.01424137968569994,467.0,3.1116130352020264,109.55725121498108,-0.0009929835796356201,,0.5733039379119873,0.0019961409270763397,38912,0.00027672809665091336,614,1763260167.99587
0.0,0.32145005464553833,,0.0026307879015803337,468.0,109.37286376953125,112.21891260147095,-0.0034989453852176666,,0.5094392895698547,0.000388304702937603,40192,0.0002759600756689906,630,1763260170.6575315
0.0,0.9474244117736816,,0.0003818916156888008,468.0,14.360677719116211,113.3152801990509,5.585886538028717e-05,,0.4825243651866913,5.99762424826622e-05,40704,0.00027565285563468933,636,1763260171.753899
,,419.0,,,,114.07008647918701,,419.0,,,41114,,640,1763260172.5087054
0.0,-0.8759499788284302,,0.0035528605803847313,469.0,34.47755813598633,116.09068155288696,-0.0019855163991451263,,0.6112251877784729,0.0015905210748314857,42112,0.0002748080005403608,650,1763260174.5293005
0.0,0.0820961594581604,,0.0008077435195446014,469.0,5.585222244262695,118.50203919410706,-8.385255932807922e-05,,0.5657113790512085,1.3709068298339844e-05,43264,0.0002741167554631829,664,1763260176.940658
0.0,0.22482603788375854,,0.001283908262848854,471.0,4.85417366027832,122.21054005622864,-0.0006229393184185028,,0.5404962301254272,6.562098860740662e-06,45184,0.0002729646803345531,684,1763260180.649159
0.0,-0.042951345443725586,,0.0041526490822434425,471.0,4.4260382652282715,123.20432806015015,-0.0014780759811401367,,0.5016058683395386,0.00022249948233366013,45696,0.00027265746030025184,689,1763260181.642947
,,263.0,,,,124.78692102432251,,263.0,,,46584,,698,1763260183.22554
0.0,6.848573684692383e-05,,0.0006455965340137482,472.0,102.25247955322266,125.53822731971741,0.00017927587032318115,,0.55115807056427,5.478039383888245e-06,46848,0.00027196621522307396,702,1763260183.9768462
0.0,-0.2271634340286255,,-0.004656137898564339,472.0,3.868891954421997,126.53306722640991,0.0017426712438464165,,0.5680260062217712,0.0001756865531206131,47360,0.0002716589951887727,707,1763260184.9716861
0.0,-0.5151443481445312,,-0.01815229281783104,473.0,3.178285837173462,130.4615833759308,0.013689830899238586,,0.5328394770622253,0.002614547498524189,49280,0.0002705069200601429,729,1763260188.9002023
0.0,-1.5112922191619873,,0.006835722364485264,474.0,2.6894173622131348,136.0783314704895,-0.004277579486370087,,0.55998694896698,0.0007382752373814583,52096,0.00026881720987148583,757,1763260194.5169504
0.001953125,0.03807210922241211,,0.020990099757909775,475.0,2.056302309036255,137.10169887542725,0.010876537300646305,,0.5366852879524231,0.004093415103852749,52608,0.00026850998983718455,762,1763260195.5403178
0.0,-0.23128414154052734,,0.0027054529637098312,475.0,1.8793524503707886,138.13476991653442,-0.002338096499443054,,0.4928428828716278,7.064454257488251e-05,53120,0.00026820276980288327,767,1763260196.5733888
0.0,0.09998929500579834,,0.0006807362660765648,475.0,1.746056318283081,139.6648554801941,-0.00025210529565811157,,0.5696704983711243,5.646608769893646e-06,53888,0.00026774193975143135,775,1763260198.1034744
,,87.0,,,,142.03094577789307,,87.0,,,55105,,788,1763260200.4695647
,,350.0,,,,143.6509268283844,,350.0,,,55853,,797,1763260202.0895457
0.0,-2.045815944671631,,-0.011719217523932457,476.0,1.698745608329773,145.39344429969788,-0.007731068879365921,,0.5432600975036621,0.0006655938923358917,56704,0.0002660522295627743,806,1763260203.8320632
0.0,0.0013355612754821777,,0.005681614391505718,476.0,302.5941467285156,147.1967842578888,-0.0017937980592250824,,0.5469524264335632,0.000100758858025074,57600,0.00026551459450274706,815,1763260205.6354032
0.0,-0.006926417350769043,,-0.0013031326234340668,478.0,221.24908447265625,156.40189290046692,0.0026932908222079277,,0.42556506395339966,0.000266488641500473,62208,0.00026274961419403553,863,1763260214.8405118
,,500.0,,,,158.16233205795288,,500.0,,,63171,,872,1763260216.600951
0.0,0.16190695762634277,,-0.0002000797539949417,479.0,0.2516477704048157,159.1242871284485,0.005243811756372452,,0.525896430015564,0.0003817956894636154,63616,0.000261904759099707,876,1763260217.562906
0.0,2.6166439056396484e-05,,-0.0011709453538060188,480.0,462.1621398925781,168.22729897499084,0.010878011584281921,,0.511879026889801,0.001544344238936901,68224,0.0002591397787909955,922,1763260226.6659179
0.0,0.0020076632499694824,,-0.012727332301437855,481.0,262.5826721191406,169.79590272903442,0.022148147225379944,,0.5305134057998657,0.0010475469753146172,68992,0.00025867894873954356,930,1763260228.2345216
0.01171875,0.03305947780609131,,0.022708795964717865,481.0,0.0007177226943895221,171.5283658504486,-0.013100992888212204,,0.4881397783756256,0.0029055550694465637,69888,0.0002581413136795163,938,1763260229.9669847
0.0,-1.6148700714111328,,0.0034843329340219498,481.0,0.007897397503256798,172.07987260818481,-0.0012132283300161362,,0.49835678935050964,0.000399542972445488,70144,0.0002579877036623657,941,1763260230.5184915
0.0,-0.3152531385421753,,0.0019785724580287933,481.0,0.0009663180680945516,172.31869506835938,-0.008581206202507019,,0.45628106594085693,0.0008739996701478958,70272,0.00025791089865379035,942,1763260230.757314
0.0,-0.5778428316116333,,-0.006858788430690765,481.0,0.0002723949437495321,173.55315279960632,-0.006153583526611328,,0.5263431072235107,0.0007725339382886887,70912,0.00025752687361091375,948,1763260231.9917717
0.0,0.00010091066360473633,,0.006626805290579796,482.0,185.3922119140625,178.74195170402527,-0.009107731282711029,,0.5907754302024841,0.0023382771760225296,73472,0.00025599077343940735,974,1763260237.1805706
0.0,0.6200910806655884,,-0.0012242896482348442,482.0,0.003161056898534298,179.984708070755,0.005371004343032837,,0.5747306942939758,0.0005986643955111504,74112,0.00025560674839653075,980,1763260238.423327
0.0,0.08648151159286499,,-0.006036608479917049,482.0,0.0039223735220730305,181.02785730361938,-0.007307901978492737,,0.5741896033287048,0.0009462637826800346,74624,0.00025529952836222947,985,1763260239.4664762
0.0,0.17661142349243164,,-0.009390364401042461,482.0,0.0034648720175027847,183.0463035106659,-0.004752159118652344,,0.5257818698883057,0.003514734096825123,75648,0.0002546850882936269,995,1763260241.4849224
0.0,-0.16638195514678955,,-0.005742874927818775,483.0,0.00014140851271804422,183.50139951705933,0.0008070021867752075,,0.49319711327552795,0.0009891381487250328,75904,0.00025453147827647626,997,1763260241.9400184
,,500.0,,,,186.93656730651855,,500.0,,,77693,,1015,1763260245.3751862
,,500.0,,,,187.94120454788208,,500.0,,,78193,,1020,1763260246.3798234
0.0,0.0001620650291442871,,-0.0013258904218673706,483.0,173.0001678466797,190.26829147338867,2.5250017642974854e-05,,0.5102087259292603,6.598047912120819e-05,79232,0.00025253454805351794,1031,1763260248.7069104
,,500.0,,,,194.2152123451233,,500.0,,,81193,,1050,1763260252.6538312
0.0,0.10139679908752441,,0.01708092913031578,483.0,0.0005011153989471495,194.91498708724976,-0.009875725954771042,,0.5021035075187683,0.0008233822882175446,81536,0.00025115208700299263,1053,1763260253.353606
0.015625,-0.11007511615753174,,-0.006302696652710438,483.0,0.0004020096966996789,195.9501268863678,-0.008822720497846603,,0.5502876043319702,0.004134436137974262,82048,0.00025084486696869135,1058,1763260254.3887458
0.013671875,0.13383710384368896,,-0.014855431392788887,484.0,0.00010076748003484681,200.93071150779724,0.002148890867829323,,0.5536004304885864,0.0034076282754540443,84608,0.00024930876679718494,1083,1763260259.3693304
0.0,-0.03419315814971924,,-0.007007768377661705,486.0,0.005653321743011475,202.0341329574585,-0.008596425876021385,,0.48655039072036743,0.0008726175874471664,85376,0.000248847936745733,1091,1763260260.4727519
0.0,-0.2718691825866699,,-0.0019416073337197304,489.0,0.003408473916351795,203.80980014801025,-0.007792942225933075,,0.569812536239624,0.0008250223472714424,86912,0.0002479262766428292,1106,1763260262.248419
0.0078125,0.0006532073020935059,,0.017590012401342392,490.0,146.2338104248047,205.78744339942932,-0.017356805503368378,,0.5637412071228027,0.0027043549343943596,88064,0.0002472350315656513,1118,1763260264.2260623
0.0,0.15087264776229858,,-0.0018547968938946724,491.0,0.0009139687172137201,207.0776708126068,-0.0014412850141525269,,0.5250835418701172,0.0001787794753909111,88832,0.0002467742015141994,1125,1763260265.5162897
0.0,-2.86102294921875e-05,,-0.0034581786021590233,491.0,397.0998229980469,208.48861742019653,0.011849705129861832,,0.5740652084350586,0.0011443151161074638,89600,0.00024631337146274745,1133,1763260266.9272363
,,500.0,,,,210.5782163143158,,500.0,,,90811,,1145,1763260269.0168352
0.001953125,-0.053994178771972656,,0.005408380180597305,495.0,0.00018758911755867302,213.66426157951355,-0.031141407787799835,,0.45433905720710754,0.00280052050948143,92800,0.00024439324624836445,1164,1763260272.1028805
,,500.0,,,,213.7001760005951,,500.0,,,92811,,1165,1763260272.138795
0.0,-1.8104422092437744,,0.004882483743131161,497.0,0.0009658391354605556,214.56475043296814,-0.00543791800737381,,0.45302554965019226,0.002443208359181881,93568,0.00024393241619691253,1172,1763260273.0033693
0.0,0.17285001277923584,,-0.004004986956715584,499.0,0.005082891322672367,215.6530249118805,-0.0010571964085102081,,0.5004608631134033,0.00019418075680732727,94464,0.00024339478113688529,1181,1763260274.0916438
0.0,-0.30476677417755127,,-0.007119125686585903,499.0,0.00450618751347065,216.59104919433594,-0.007570773363113403,,0.4375060796737671,0.0008436301723122597,94976,0.000243087561102584,1186,1763260275.029668
0.0,0.047100186347961426,,0.004628024995326996,499.0,0.00041768490336835384,218.73349142074585,-0.01405341550707817,,0.4466090500354767,0.00035303831100463867,96128,0.00024239631602540612,1197,1763260277.1721103
0.009765625,-0.1223212480545044,,-0.0002779746428132057,500.0,0.0001300908625125885,221.6515817642212,-0.02429220825433731,,0.42564424872398376,0.0019906340166926384,97792,0.00024139785091392696,1213,1763260280.0902007
0.0,0.00011229515075683594,,0.0043350523337721825,500.0,554.8067626953125,221.93033123016357,-0.014308016747236252,,0.3885453939437866,0.0007572947070002556,97920,0.00024132104590535164,1215,1763260280.3689501
0.0,0.14967161417007446,,-0.003242890350520611,499.0,0.0005361537914723158,224.54439759254456,-0.0005640797317028046,,0.37411782145500183,0.0007485384121537209,99072,0.00024062980082817376,1226,1763260282.9830165
0.0,0.6337213516235352,,-0.00021532829850912094,500.0,0.0030691628344357014,225.1624116897583,0.009218130260705948,,0.390728622674942,0.0004797382280230522,99456,0.0002403993858024478,1230,1763260283.6010306
0.0,-3.421306610107422e-05,,-0.0039238519966602325,501.0,224.082275390625,225.61419868469238,-0.0005383267998695374,,0.3318102955818176,2.0790845155715942e-05,99840,0.00024016897077672184,1234,1763260284.0528176
0.0,-2.132513999938965,,0.0001759100705385208,503.0,0.004629991948604584,227.00702357292175,-0.0065907444804906845,,0.3987576365470886,0.0004755370318889618,100992,0.00023947772569954395,1245,1763260285.4456425
0.0,0.00042742490768432617,,-0.001171293668448925,505.0,265.14984130859375,228.1014120578766,-0.0010538622736930847,,0.38873618841171265,5.292985588312149e-05,101888,0.0002389400906395167,1254,1763260286.540031
0.03125,-1.4620018005371094,,-0.013442996889352798,508.0,0.000885333342012018,230.2306523323059,0.008127739652991295,,0.3957611322402954,0.009116447530686855,103680,0.00023786482051946223,1271,1763260288.6692712
0.0078125,-0.23180735111236572,,-0.009204765781760216,511.0,0.003356883069500327,234.64088249206543,0.0002425648272037506,,0.4783097505569458,0.0006982982158660889,106496,0.00023617511033080518,1299,1763260293.0795014
0.00390625,-0.44888103008270264,,0.001802057959139347,512.0,0.0009211250580847263,242.04173183441162,-0.02251312881708145,,0.502867579460144,0.004834727384150028,110592,0.00023371736460831016,1339,1763260300.4803507
0.0,0.10143762826919556,,0.0008808597922325134,512.0,0.00017937652592081577,242.2359938621521,-0.007055141031742096,,0.46699485182762146,0.00032134540379047394,110720,0.00023364055959973484,1340,1763260300.6746128
0.0,-0.4953078031539917,,0.002347785048186779,513.0,0.0004750592343043536,243.84095931053162,-0.002334635704755783,,0.45620936155319214,0.0009698299691081047,111616,0.0002331029245397076,1349,1763260302.2795782
0.0,-0.06454050540924072,,-8.714292198419571e-05,515.0,0.0039935847744345665,245.63748240470886,0.0016166791319847107,,0.41764694452285767,3.093015402555466e-05,113024,0.00023225806944537908,1363,1763260304.0761013
0.0,-0.01702582836151123,,0.002595077268779278,515.0,7.870009721955284e-05,245.9476842880249,-0.0051176417618989944,,0.42502444982528687,0.0005718385800719261,113280,0.00023210445942822844,1365,1763260304.3863032
0.0,0.21931636333465576,,-0.005594136193394661,516.0,0.0001598306989762932,246.65088725090027,-0.002309158444404602,,0.48351749777793884,0.00027865730226039886,113792,0.00023179723939392716,1370,1763260305.0895061
,,500.0,,,,247.84688711166382,,500.0,,,114811,,1380,1763260306.285506
0.0,0.0008811354637145996,,0.006336964666843414,518.0,84.49668884277344,247.99466037750244,0.0005626771599054337,,0.5015919804573059,0.0001552775502204895,114816,0.0002311827993253246,1381,1763260306.4332793
0.0,0.1775500774383545,,-0.003998287953436375,519.0,0.0004251855716574937,248.9633960723877,0.0007682889699935913,,0.5235894918441772,0.0005203234031796455,115584,0.00023072196927387267,1388,1763260307.402015
,,500.0,,,,249.77450919151306,,500.0,,,116311,,1395,1763260308.213128
0.0,-1.9613263607025146,,-0.010404670611023903,521.0,0.00032541531254537404,250.349835395813,-0.0031278133392333984,,0.49321889877319336,0.0015713367611169815,116736,0.0002300307241966948,1399,1763260308.7884543
,,500.0,,,,250.99798345565796,,500.0,,,117311,,1405,1763260309.4366024
0.0,-2.7859046459198,,-0.0031059104949235916,526.0,0.000726421654690057,254.3888714313507,-0.0010581649839878082,,0.4195135235786438,0.0006602872163057327,120064,0.00022803379397373646,1432,1763260312.8274903
0.005859375,-2.522388219833374,,0.02173967845737934,526.0,0.0003320854448247701,254.52120566368103,0.006370261311531067,,0.5386001467704773,0.002714984118938446,120192,0.00022795698896516114,1433,1763260312.9598246
0.0,0.0011095404624938965,,-0.002900167368352413,530.0,267.4223937988281,257.0530469417572,-0.0010872408747673035,,0.5654928684234619,0.0001034541055560112,122368,0.0002266513038193807,1455,1763260315.4916658
0.0,-0.01767253875732422,,-0.0005740830674767494,530.0,0.0049544936046004295,257.19103360176086,-0.003090016543865204,,0.5442895293235779,0.0009588254615664482,122496,0.00022657449881080538,1456,1763260315.6296525
0.01171875,-0.46595752239227295,,-0.01533740945160389,530.0,0.0002566655748523772,257.33084750175476,-0.009976305067539215,,0.6057999134063721,0.0033251196146011353,122624,0.00022649769380223006,1457,1763260315.7694664
0.0,0.03635454177856445,,-0.003320172429084778,533.0,0.00042628220398910344,266.9624593257904,-0.00206858292222023,,0.5805916786193848,0.0003618914633989334,128384,0.00022304146841634065,1514,1763260325.4010782
0.001953125,0.0008814334869384766,,0.0022105583921074867,533.0,383.73675537109375,268.0517613887787,0.015451494604349136,,0.5248532891273499,0.0014706654474139214,129024,0.00022265744337346405,1521,1763260326.4903803
,,500.0,,,,268.60201239585876,,500.0,,,129509,,1525,1763260327.0406313
0.0,0.15975117683410645,,-0.005004958249628544,534.0,0.005103639326989651,268.8778018951416,-0.011585995554924011,,0.5832672715187073,0.0006310576573014259,129664,0.00022227341833058745,1527,1763260327.3164208
0.0,-4.811050891876221,,0.004001513123512268,535.0,0.0003047309583052993,269.1384572982788,0.0055220164358615875,,0.4784400463104248,0.000756995752453804,129920,0.00022211982286535203,1529,1763260327.5770762
0.0,-0.22301840782165527,,-0.00805813167244196,535.0,0.0002572686644271016,269.79543471336365,-0.004946567118167877,,0.5614493489265442,0.000995228998363018,130432,0.00022181260283105075,1534,1763260328.2340536
0.0,0.00046330690383911133,,-0.0093844598159194,535.0,567.431396484375,270.0452883243561,-0.004653315991163254,,0.5381914973258972,0.0011115362867712975,130560,0.00022173579782247543,1536,1763260328.4839072
0.0,0.2882671356201172,,-0.002770845778286457,536.0,0.0006148166139610112,271.37911319732666,-0.01093403622508049,,0.48132598400115967,0.0024600299075245857,131328,0.0002212749677710235,1543,1763260329.817732
,,500.0,,,,271.6259288787842,,500.0,,,131509,,1545,1763260330.0645478
0.0,0.0003466010093688965,,0.0001212824136018753,536.0,352.5066833496094,271.8424186706543,-0.0010927580296993256,,0.5566990375518799,7.765553891658783e-05,131584,0.00022112135775387287,1546,1763260330.2810376
0.0,-0.7287187576293945,,-0.006478993222117424,536.0,0.0005889752646908164,273.8949191570282,0.002850838005542755,,0.48321837186813354,0.000692225992679596,132864,0.00022035330766811967,1558,1763260332.333538
0.00390625,-0.37264764308929443,,0.005872942507266998,536.0,0.00019871779659297317,274.06891202926636,-0.018733162432909012,,0.5326727032661438,0.0036376863718032837,132992,0.00022027650265954435,1559,1763260332.507531
0.001953125,-0.8135272264480591,,-0.0008813263848423958,537.0,0.0006513923872262239,274.53314685821533,-0.007347457110881805,,0.44034314155578613,0.002423481084406376,133376,0.0002200460876338184,1563,1763260332.9717658
0.0,0.0002917051315307617,,0.0022490369156003,537.0,197.7227783203125,274.8525905609131,0.0059797875583171844,,0.4883434474468231,0.0003638109192252159,133632,0.00021989247761666775,1566,1763260333.2912095
0.0,0.18653416633605957,,-0.0026068491861224174,541.0,0.00033727765548974276,277.58290100097656,0.0004931129515171051,,0.47748246788978577,0.00018744636327028275,135936,0.00021850998746231198,1588,1763260336.02152
,,500.0,,,,277.63710498809814,,500.0,,,136009,,1589,1763260336.075724
0.0,0.33711111545562744,,-0.005495493300259113,542.0,0.00034356204560026526,278.6825478076935,0.0022595860064029694,,0.4633718430995941,0.00029680412262678146,136832,0.00021797235240228474,1597,1763260337.1211667
0.0,0.06408023834228516,,0.0031336257234215736,543.0,0.0005781070794910192,279.8269956111908,0.0023802444338798523,,0.4758473336696625,0.0002645151689648628,137856,0.00021735791233368218,1607,1763260338.2656145
,,500.0,,,,279.95930552482605,,500.0,,,138009,,1609,1763260338.3979244
0.0,0.00032722949981689453,,0.004306713119149208,544.0,453.20538330078125,280.09051179885864,-0.0004717111587524414,,0.5010091066360474,0.00010043755173683167,138112,0.00021720430231653154,1610,1763260338.5291307
0.0,0.2097298502922058,,0.013156875967979431,544.0,0.00034354388481006026,280.3811614513397,-0.014822481200098991,,0.4589606821537018,0.0011750832200050354,138368,0.0002170506922993809,1612,1763260338.8197803
0.0,0.24735218286514282,,0.0038299662992358208,545.0,0.00040388357592746615,282.6746163368225,-0.008129127323627472,,0.5286173820495605,0.00044443365186452866,139776,0.00021620583720505238,1626,1763260341.1132352
,,500.0,,,,284.64054799079895,,500.0,,,141009,,1638,1763260343.079167
,,500.0,,,,291.8465006351471,,500.0,,,146009,,1687,1763260350.2851195
0.0,0.00028836727142333984,,-0.006307728588581085,552.0,232.76629638671875,298.8796579837799,-0.009952560067176819,,0.5082095265388489,0.0005949512124061584,150528,0.0002097542310366407,1732,1763260357.318277
0.0078125,0.03594541549682617,,-0.007494725286960602,554.0,0.00020535322255454957,300.44908380508423,-0.005083415657281876,,0.5739465355873108,0.003118867054581642,151936,0.00020890937594231218,1745,1763260358.8877027
0.0,-0.0683063268661499,,-0.016243964433670044,555.0,0.005692625418305397,301.2608811855316,-0.012308374047279358,,0.5476900339126587,0.001490970142185688,152576,0.00020852535089943558,1753,1763260359.6995
0.0,-0.41088926792144775,,-0.009499946609139442,555.0,0.0003091928665526211,301.41488885879517,-0.005595602095127106,,0.5629733204841614,0.0012266915291547775,152704,0.00020844854589086026,1754,1763260359.8535078
0.0,0.045510828495025635,,-0.001864612102508545,556.0,0.007131802849471569,302.55431151390076,-0.002862539142370224,,0.5540342926979065,7.394514977931976e-05,153728,0.0002078341058222577,1765,1763260360.9929304
0.0,0.00015085935592651367,,-0.002053380012512207,556.0,461.3157043457031,302.865421295166,0.0005256421864032745,,0.5841686725616455,0.0001203194260597229,153984,0.00020768049580510706,1768,1763260361.3040402
,,500.0,,,,303.8702850341797,,500.0,,,154983,,1777,1763260362.308904
0.0,0.00021380186080932617,,-0.0011575594544410706,561.0,72.48235321044922,309.4854984283447,0.0020950548350811005,,0.5740622878074646,0.00016743876039981842,159104,0.00020460829546209425,1818,1763260367.9241173
