losses/clipfrac,losses/explained_variance,charts/episodic_length,losses/old_approx_kl,charts/SPS,losses/value_loss,_runtime,losses/policy_loss,charts/episodic_return,losses/entropy,losses/approx_kl,global_step,charts/learning_rate,_step,_timestamp
,,,,,,25.3359637260437,,,,,0,,0,1763260083.7745826
,,32.0,,,,26.543288230895996,,32.0,,,142,,7,1763260084.9819071
,,35.0,,,,27.081817626953125,,35.0,,,761,,33,1763260085.5204365
,,80.0,,,,27.314579725265503,,80.0,,,996,,41,1763260085.7531986
,,18.0,,,,27.417595386505127,,18.0,,,1067,,47,1763260085.8562143
,,19.0,,,,28.2065646648407,,19.0,,,1596,,64,1763260086.6451836
,,49.0,,,,28.782999515533447,,49.0,,,1902,,74,1763260087.2216184
,,37.0,,,,28.97170639038086,,37.0,,,1958,,77,1763260087.4103253
0.0,-0.07330179214477539,,0.0014246217906475067,714.0,75.90926361083984,29.76885461807251,-0.0001943446695804596,,0.6331717371940613,0.00020768307149410248,2432,0.00029861752409487963,88,1763260088.2074735
0.0,0.10256332159042358,,0.0007988093420863152,687.0,53.60369110107422,30.834442377090454,-0.005539260804653168,,0.6170085668563843,0.0006958553567528725,3072,0.000298233499052003,102,1763260089.2730613
,,44.0,,,,30.907383680343628,,44.0,,,3170,,104,1763260089.3460026
0.0,0.11013191938400269,,-0.00019098073244094849,645.0,85.51905822753906,34.10152888298035,-0.001840110868215561,,0.6053873300552368,7.791072130203247e-05,4992,0.0002970814239233732,133,1763260092.5401478
,,127.0,,,,35.81865859031677,,127.0,,,5715,,147,1763260094.2572775
0.0,0.03686559200286865,,0.00012042466551065445,587.0,41.796165466308594,36.17644238471985,-0.0047026127576828,,0.6151480674743652,0.00022798124700784683,5760,0.0002966205938719213,149,1763260094.6150613
,,83.0,,,,36.233068227767944,,83.0,,,5819,,150,1763260094.6716871
,,44.0,,,,36.947110176086426,,44.0,,,6066,,155,1763260095.385729
0.0,0.180791437625885,,-0.0013271886855363846,560.0,56.67799758911133,37.32959175109863,0.004422217607498169,,0.6125553250312805,0.0001493692398071289,6144,0.00029639017884619534,157,1763260095.7682106
0.0,0.0024663805961608887,,9.251758456230164e-06,506.0,61.253883361816406,40.27101802825928,0.0009232088923454285,,0.6229572296142578,2.12695449590683e-05,7040,0.0002958525437861681,172,1763260098.709637
0.0,0.00948953628540039,,0.0014450550079345703,477.0,56.4717903137207,43.77930498123169,-0.00558047741651535,,0.5569655895233154,0.00025420449674129486,8320,0.0002950844937004149,195,1763260102.2179239
,,291.0,,,,44.97526669502258,,291.0,,,8896,,203,1763260103.4138856
0.0,0.13537675142288208,,0.008194834925234318,474.0,58.67586135864258,46.84873914718628,-0.011226274073123932,,0.5516151189804077,0.0008766977116465569,9728,0.0002942396386060864,213,1763260105.287358
,,77.0,,,,47.25925612449646,,77.0,,,9907,,217,1763260105.697875
,,269.0,,,,49.17455816268921,,269.0,,,10767,,228,1763260107.613177
0.0,0.0653199553489685,,0.0031427396461367607,470.0,59.008262634277344,50.02001094818115,-0.005112912505865097,,0.5031236410140991,0.00014326255768537521,11136,0.00029339478351175785,233,1763260108.4586298
,,347.0,,,,53.10909414291382,,347.0,,,12638,,251,1763260111.547713
0.0,0.4635578393936157,,0.004160091280937195,471.0,49.44367218017578,54.617111682891846,0.00043926015496253967,,0.5992114543914795,5.9587880969047546e-05,13312,0.0002920890983659774,259,1763260113.0557306
,,116.0,,,,55.535322427749634,,116.0,,,13720,,265,1763260113.9739413
0.0,-0.008315205574035645,,0.004264872521162033,470.0,41.61876678466797,56.855225563049316,-0.0030394643545150757,,0.5840436816215515,0.0003106556832790375,14336,0.00029147465829737484,273,1763260115.2938445
,,147.0,,,,56.91083836555481,,147.0,,,14407,,274,1763260115.3494573
0.0,-0.001165628433227539,,-0.007478620857000351,467.0,52.83088684082031,59.734811305999756,0.0004685521125793457,,0.6111975908279419,0.00023943744599819183,15616,0.00029070660821162164,292,1763260118.1734302
,,65.0,,,,64.04603934288025,,65.0,,,17705,,321,1763260122.4846582
,,78.0,,,,64.87569522857666,,78.0,,,18143,,327,1763260123.3143141
0.0,0.059803009033203125,,-0.0004909876734018326,469.0,44.79450607299805,65.37822771072388,0.0020808950066566467,,0.5527974963188171,5.2912160754203796e-05,18304,0.0002890937030315399,330,1763260123.8168466
0.0,0.597580075263977,,-0.0044832900166511536,469.0,23.457765579223633,65.6341381072998,0.00043855421245098114,,0.583206832408905,0.0003595929592847824,18432,0.0002890168980229646,332,1763260124.072757
,,179.0,,,,66.20554208755493,,179.0,,,18733,,337,1763260124.644161
0.0,0.704504132270813,,-0.002116098068654537,470.0,25.710752487182617,66.65147590637207,-0.001874726265668869,,0.5521558523178101,0.0003422154113650322,18944,0.0002887096779886633,340,1763260125.0900948
0.0,0.790086030960083,,-0.004208664409816265,473.0,22.069730758666992,70.70008444786072,-0.00011589052155613899,,0.586595892906189,0.00032499711960554123,20992,0.0002874807978514582,370,1763260129.1387033
