losses/entropy,losses/value_loss,charts/episodic_length,_runtime,losses/approx_kl,charts/learning_rate,losses/explained_variance,charts/SPS,losses/clipfrac,_step,losses/policy_loss,charts/episodic_return,global_step,_timestamp,losses/old_approx_kl
0.4914563298225403,8.152572631835938,,98.14866018295288,0.00037952233105897903,0.0002773425367195159,0.5752508044242859,528.0,0.0,530,-0.0006217546761035919,,37888,1763260156.4845092,0.0013502119109034538
0.5160504579544067,7.594358921051025,,99.77256107330322,0.0011291690170764923,0.0002768049016594887,0.2842578887939453,529.0,0.0,539,0.007032424211502075,,38784,1763260158.1084101,-0.0019147749990224838
0.5218536853790283,8.088423728942871,,101.17384219169617,4.4696033000946045e-05,0.00027634407160803676,0.0048482418060302734,529.0,0.0,547,0.0030825920403003693,,39552,1763260159.5096912,0.0008313208818435669
,,177.0,102.34961414337158,,,,,,555,,177.0,40223,1763260160.6854632,
0.5067068934440613,6.816520690917969,,103.24347352981567,2.2232532501220703e-05,0.00027565285563468933,0.057908475399017334,530.0,0.0,559,-0.0012293122708797455,,40704,1763260161.5793226,0.0017437543720006943
0.4995388388633728,6.776467323303223,,104.778968334198,0.00028700660914182663,0.0002751152205746621,-0.008664965629577637,531.0,0.0,568,0.004162836819887161,,41600,1763260163.1148174,-0.012146522291004658
,,456.0,109.51748251914978,,,,,,595,,456.0,44276,1763260167.8533316,
0.4684358835220337,4.0024638175964355,,112.50175142288208,8.097663521766663e-05,0.00027265746030025184,-0.24832987785339355,531.0,0.0,612,0.001495305448770523,,45696,1763260170.8376005,-0.0016565266996622086
0.495170533657074,3.4034008979797363,,112.9640326499939,0.0011735409498214722,0.0002725038502831012,0.06652528047561646,531.0,0.0,614,0.00871974229812622,,45952,1763260171.2998817,-0.004576563835144043
0.5611436367034912,1.89094877243042,,115.45642018318176,0.002000759355723858,0.000271735800197348,0.8990165591239929,530.0,0.001953125,630,0.006823867559432983,,47232,1763260173.7922692,-0.013745973818004131
0.5526737570762634,85.2987060546875,,116.29685521125793,0.0009814612567424774,0.00027150538517162204,0.809126079082489,530.0,0.0,636,-0.02719350904226303,,47616,1763260174.6327043,0.018180178478360176
,,207.0,116.83796095848083,,,,,,640,,207.0,47949,1763260175.17381,
0.5523708462715149,17.55670166015625,,118.47963786125183,6.904732435941696e-05,0.00027081414009444416,0.8306326866149902,530.0,0.0,650,0.008088469505310059,,48768,1763260176.815487,-0.0003615422174334526
0.568446934223175,163.42706298828125,,120.5755090713501,0.00023313984274864197,0.0002701997000258416,0.4980970621109009,529.0,0.0,664,0.00041433796286582947,,49792,1763260178.911358,0.0017385650426149368
0.5758432745933533,0.3643381595611572,,123.96280479431152,0.0006593763828277588,0.0002691244299057871,0.9597592353820801,529.0,0.0,684,-0.00910133309662342,,51584,1763260182.2986538,0.0013071559369564056
0.5896475315093994,272.661376953125,,124.73679661750793,7.559545338153839e-06,0.00026889401488006115,-0.000457763671875,528.0,0.0,689,-0.0004755184054374695,,51968,1763260183.0726457,-0.00011495407670736313
0.5802489519119263,1.1115056276321411,,126.22929954528809,4.342012107372284e-05,0.00026843318482860923,0.9010836482048035,528.0,0.0,698,0.002985157072544098,,52736,1763260184.5651486,-0.0015507526695728302
,,248.0,126.79119968414307,,,,,,702,,248.0,53099,1763260185.1270487,
0.561873197555542,1.4716897010803223,,127.70010471343994,3.4300610423088074e-06,0.0002679723547771573,-1.340038776397705,528.0,0.0,707,-0.0005271807312965393,,53504,1763260186.0359538,-2.8879381716251373e-05
,,247.0,131.40581059455872,,,,,,729,,247.0,55399,1763260189.7416596,
,,271.0,136.07752513885498,,,,,,757,,271.0,57855,1763260194.4133742,
,,139.0,136.80127120018005,,,,,,762,,139.0,58192,1763260195.1371202,
,,500.0,137.72971653938293,,,,,,767,,500.0,58692,1763260196.0655656,
0.5110419988632202,339.1710510253906,,139.16381096839905,0.0005153492093086243,0.0002644393243826926,0.008007049560546875,527.0,0.0,775,0.0025885701179504395,,59392,1763260197.49966,0.013519639149308205
0.529352605342865,326.99212646484375,,141.57504153251648,0.00010998360812664032,0.0002636712742969394,0.12070679664611816,527.0,0.0,788,-0.004568060860037804,,60672,1763260199.9108906,0.009335232898592949
0.5107357501983643,273.4280090332031,,143.23646640777588,0.0002792440354824066,0.00026313363923691213,0.09598934650421143,527.0,0.0,797,-0.00953618809580803,,61568,1763260201.5723155,0.0021118447184562683
,,500.0,144.85722541809082,,,,,,806,,500.0,62483,1763260203.1930745,
,,500.0,146.52931261062622,,,,,,815,,500.0,63483,1763260204.8651617,
,,299.0,154.91228890419006,,,,,,863,,299.0,67844,1763260213.248138,
0.4704240560531616,0.06412339955568314,,156.5133764743805,0.000200590118765831,0.0002588325587566942,-0.6485847234725952,528.0,0.0,872,0.005234302952885628,,68736,1763260214.8492255,-9.86643135547638e-06
0.42196911573410034,0.5988987684249878,,157.2108027935028,0.002117336727678776,0.00025860214373096824,-1.2112174034118652,528.0,0.0,876,0.00019953399896621704,,69120,1763260215.5466518,-0.004527243785560131
0.47563502192497253,0.009294585324823856,,164.16885638237,1.2275762856006622e-05,0.00025629799347370863,-0.8706791400909424,529.0,0.0,916,-2.0712614059448242e-05,,72960,1763260222.5047054,0.0027214298024773598
0.4835349917411804,0.0012653452577069402,,165.31721234321594,0.0009545469656586647,0.00025591396843083203,0.5939157009124756,530.0,0.0,922,0.00017403066158294678,,73600,1763260223.6530614,-0.001237466000020504
0.5405133366584778,187.6647186279297,,166.7749378681183,0.0004521794617176056,0.0002554531383793801,0.14714550971984863,530.0,0.0,930,0.005666233599185944,,74368,1763260225.110787,-0.0015701577067375183
,,500.0,168.16118741035461,,,,,,938,,500.0,75256,1763260226.4970365,
0.45845499634742737,0.0003503710904624313,,168.80751705169678,6.439909338951111e-05,0.0002547618933022022,0.1579264998435974,530.0,0.0,941,-0.0006636045873165131,,75520,1763260227.143366,0.0004122406244277954
0.41212576627731323,0.18508708477020264,,169.03346729278564,0.00489617045968771,0.0002546850882936269,-0.26255249977111816,530.0,0.029296875,942,-0.0028971116989851,,75648,1763260227.3693163,0.017995819449424744
