losses/approx_kl,charts/episodic_return,losses/policy_loss,global_step,_timestamp,losses/entropy,losses/explained_variance,losses/value_loss,losses/clipfrac,_step,charts/learning_rate,charts/episodic_length,_runtime,losses/old_approx_kl,charts/SPS
,,,0,1763260083.5463173,,,,,0,,,25.10907745361328,,
0.00037339702248573303,,-0.0028207991272211075,128,1763260084.9756582,0.6927616596221924,0.01120823621749878,36.028724670410156,0.0,7,0.0003000000142492354,,26.538418292999268,-0.005156712606549263,745.0
,20.0,,612,1763260085.3939183,,,,,33,,20.0,26.95667839050293,,
,57.0,,890,1763260085.643305,,,,,41,,57.0,27.20606517791748,,
,19.0,,976,1763260085.7503836,,,,,47,,19.0,27.313143730163574,,
,47.0,,1520,1763260086.4002833,,,,,64,,47.0,27.963043451309204,,
,56.0,,1878,1763260087.137092,,,,,74,,56.0,28.699852228164673,,
,49.0,,1967,1763260087.3557096,,,,,77,,49.0,28.918469667434692,,
3.0035153031349182e-06,,-0.0003127343952655792,2432,1763260088.1989152,0.6446840763092041,0.05147773027420044,64.02867889404297,0.0,88,0.00029861752409487963,,29.761675357818604,0.0008545899763703346,716.0
,93.0,,3158,1763260089.3857753,,,,,102,,93.0,30.948535442352295,,
,57.0,,3215,1763260089.5610366,,,,,104,,57.0,31.123796701431274,,
0.0011540036648511887,,-0.0024447813630104065,4864,1763260092.645984,0.5663362741470337,0.2859656810760498,65.57830810546875,0.0,133,0.00029715822893194854,,34.208744049072266,-0.00021750293672084808,620.0
,53.0,,5877,1763260094.899499,,,,,147,,53.0,36.46225905418396,,
,29.0,,5906,1763260095.2392051,,,,,149,,29.0,36.80196523666382,,
,58.0,,5964,1763260095.31786,,,,,150,,58.0,36.88062000274658,,
0.0011504273861646652,,0.0035124551504850388,6272,1763260096.412774,0.5685455203056335,0.06785362958908081,68.1083984375,0.0,155,0.00029631337383762,,37.975534200668335,0.006811168044805527,540.0
,249.0,,6504,1763260096.8673868,,,,,157,,249.0,38.43014693260193,,
,157.0,,7470,1763260099.9615247,,,,,172,,157.0,41.52428483963013,,
