charts/episodic_length,_runtime,global_step,charts/SPS,losses/value_loss,losses/explained_variance,losses/policy_loss,losses/old_approx_kl,_step,charts/learning_rate,charts/episodic_return,losses/entropy,losses/approx_kl,_timestamp,losses/clipfrac
,79.66103839874268,25472,477.0,21.044004440307617,0.9082937836647034,-0.0008481964468955994,-0.0015791933983564377,396,0.000284792622551322,,0.4956948161125183,0.0015568211674690247,1763260138.0978734,0.0
257.0,84.36514401435852,27592,,,,,,425,,257.0,,,1763260142.801979,
454.0,87.16809678077698,29028,,,,,,441,,454.0,,,1763260145.6049318,
330.0,88.7480857372284,29727,,,,,,450,,330.0,,,1763260147.1849208,
,92.87263059616089,31744,477.0,26.44328498840332,0.44686359167099,0.011736296117305756,0.0025724172592163086,471,0.0002810291771311313,,0.5692892670631409,0.001065557822585106,1763260151.3094656,0.0
,94.70068407058716,32640,477.0,118.32377624511719,0.009559035301208496,-0.00042246468365192413,0.0001645619049668312,481,0.00028049154207110405,,0.5869823098182678,7.358379662036896e-06,1763260153.1375191,0.0
,96.34420132637024,33408,477.0,6.360426425933838,0.7923810482025146,0.02399030700325966,0.007499496452510357,490,0.00028003071201965213,,0.5815712809562683,0.0027692867442965508,1763260154.7810364,0.0
,98.49604940414429,34432,477.0,7.206411361694336,0.27292680740356445,-0.003318376839160919,0.00023419875651597977,504,0.00027941627195104957,,0.6072726249694824,0.00021138694137334824,1763260156.9328845,0.0
219.0,100.17009282112122,35222,,,,,,515,,219.0,,,1763260158.6069279,
,103.02320647239685,36608,477.0,6.560578346252441,0.7990212440490723,-0.0002971440553665161,0.0006608478724956512,530,0.0002781105868052691,,0.6104309558868408,4.077330231666565e-06,1763260161.4600415,0.0
,104.6013994216919,37376,477.0,14.734367370605469,0.88875412940979,0.011389020830392838,-0.007555259391665459,539,0.0002776497567538172,,0.5512877702713013,0.0004617348313331604,1763260163.0382345,0.0
,105.89788341522217,38016,478.0,22.06586456298828,0.875798761844635,-0.012269526720046997,0.009708194062113762,547,0.0002772657317109406,,0.5911720395088196,0.00023155473172664642,1763260164.3347185,0.0
156.0,107.50728106498718,38800,,,,,,555,,156.0,,,1763260165.944116,
,108.30154275894165,39168,478.0,142.44717407226562,0.5238116979598999,0.0021352916955947876,0.005486052483320236,559,0.0002765744866337627,,0.5115901231765747,0.00020314939320087433,1763260166.7383778,0.0
,110.12911081314087,40064,478.0,4.563350200653076,0.8664206862449646,0.0006400160491466522,0.002686507999897003,568,0.00027603688067756593,,0.5910177230834961,0.00020158663392066956,1763260168.5659459,0.0
500.0,114.99769115447998,42495,,,,,,595,,500.0,,,1763260173.4345262,
