charts/SPS,losses/clipfrac,charts/episodic_length,losses/approx_kl,_step,losses/value_loss,losses/entropy,charts/learning_rate,losses/old_approx_kl,_runtime,charts/episodic_return,global_step,losses/explained_variance,losses/policy_loss,_timestamp
473.0,0.0,,7.370766252279282e-05,330,38.986045837402344,0.5854718685150146,0.0002890937030315399,-0.0006002271547913551,65.26932573318481,,18304,-0.0012565851211547852,1.841410994529724e-05,1763260123.7293577
473.0,0.0,,8.811429142951965e-05,332,89.36580657958984,0.6128013730049133,0.0002890168980229646,0.0005415789783000946,65.52751111984253,,18432,-0.0090867280960083,-0.004463493824005127,1763260123.987543
475.0,0.0,,0.00043267663568258286,337,60.39423370361328,0.5352482795715332,0.00028878648299723864,0.007323498837649822,66.2239420413971,,18816,0.07832300662994385,-0.011157296597957611,1763260124.683974
,,133.0,,340,,,,,66.50631928443909,133.0,18982,,,1763260124.9663513
484.0,0.0,,0.00032646581530570984,370,69.62567138671875,0.5799494981765747,0.0002871735778171569,-0.003894846886396408,71.04451107978821,,21504,-0.001774430274963379,-0.0017648190259933472,1763260129.504543
,,311.0,,375,,,,,71.6163055896759,311.0,21974,,,1763260130.0763376
487.0,0.0,,0.0004807617515325546,396,32.443748474121094,0.5077574253082275,0.00028579108766280115,0.0030799396336078644,75.50811624526978,,23808,0.04029649496078491,-0.002660684287548065,1763260133.9681482
,,205.0,,425,,,,,81.52005624771118,205.0,26426,,,1763260139.9800882
482.0,0.0,,0.0001261383295059204,441,18.349720001220703,0.5707604289054871,0.0002833333273883909,0.0024375710636377335,84.4421648979187,,27904,0.38780146837234497,-0.002708788961172104,1763260142.902197
483.0,0.0,,0.000328991562128067,450,17.385757446289062,0.5207879543304443,0.00028279569232836366,-0.0032422710210084915,86.19281506538391,,28800,0.08566617965698242,0.0012137191370129585,1763260144.652847
485.0,0.01953125,,0.0032119164243340492,471,119.23490905761719,0.5937462449073792,0.00028164361719973385,-0.009895696304738522,89.860910654068,,30720,0.004549622535705566,0.02522255852818489,1763260148.3209426
487.0,0.001953125,,0.002948543056845665,481,16.856292724609375,0.4993058443069458,0.0002810291771311313,0.006159380078315735,91.7604079246521,,31744,-0.13336777687072754,0.0029671266674995422,1763260150.22044
487.0,0.0,,0.004781416617333889,490,14.827247619628906,0.5587466359138489,0.00028056834707967937,0.017144855111837387,93.29632830619812,,32512,0.7487947344779968,-0.015520505607128143,1763260151.7563603
,,500.0,,504,,,,,95.67252898216248,500.0,33782,,,1763260154.132561
488.0,0.0,,0.00020232517272233963,515,11.140902519226074,0.5169656276702881,0.0002791858569253236,-0.0022661471739411354,97.8378324508667,,34816,-0.0181199312210083,0.0008405447006225586,1763260156.2978644
490.0,0.0,,0.00031113624572753906,530,9.91191291809082,0.4694770872592926,0.00027826419682241976,-0.0017335154116153717,100.71381855010986,,36352,0.6563029289245605,-0.0003604888916015625,1763260159.1738505
491.0,0.0,,6.359070539474487e-06,539,10.187599182128906,0.5448692440986633,0.0002777265617623925,-0.0007491372525691986,102.43833518028259,,37248,-0.050836920738220215,0.0003141835331916809,1763260160.8983672
491.0,0.0,,9.317882359027863e-06,547,9.84357738494873,0.536178469657898,0.0002772657317109406,0.00010516401380300522,103.91891551017761,,38016,-0.006362557411193848,-3.0659139156341553e-06,1763260162.3789475
492.0,0.001953125,,0.0013114847242832184,555,144.54034423828125,0.5425124168395996,0.0002768049016594887,0.000949786975979805,105.40419793128967,,38784,0.055428385734558105,-0.0005543343722820282,1763260163.86423
,,436.0,,559,,,,,106.18507981300354,436.0,39178,,,1763260164.6451118
492.0,0.0,,4.578847438097e-05,568,6.548233985900879,0.5283294916152954,0.00027603688067756593,-0.00135019700974226,107.97792673110962,,40064,-0.39422333240509033,-0.0009107217192649841,1763260166.4379587
,,500.0,,595,,,,,113.1172263622284,500.0,42751,,,1763260171.5772583
493.0,0.0,,0.0003341902047395706,612,4.051055431365967,0.5708974599838257,0.00027342551038600504,0.006398648023605347,116.56010174751282,,44416,0.0012756586074829102,0.0026988517493009567,1763260175.0201337
,,500.0,,614,,,,,116.84880471229553,500.0,44602,,,1763260175.3088367
494.0,0.0,,1.1892057955265045e-05,630,3.9136548042297363,0.47284579277038574,0.00027235024026595056,0.002728021703660488,120.07287430763245,,46208,0.2894987463951111,-0.0013517122715711594,1763260178.5329063
,,500.0,,636,,,,,121.14771318435669,500.0,46772,,,1763260179.6077452
495.0,0.0,,0.0005663000047206879,640,3.3305671215057373,0.47283151745796204,0.000271735800197348,-0.008502118289470673,122.02141976356506,,47232,-0.1998887062072754,0.001159951090812683,1763260180.4814517
495.0,0.0,,5.499459803104401e-06,650,2.880474090576172,0.5224342346191406,0.00027112136012874544,-0.0007721194997429848,124.00786328315735,,48256,-0.16365373134613037,-9.994581341743469e-05,1763260182.4678953
