_runtime,losses/policy_loss,charts/learning_rate,_timestamp,global_step,charts/SPS,charts/episodic_return,losses/clipfrac,charts/episodic_length,losses/entropy,losses/approx_kl,_step,losses/value_loss,losses/old_approx_kl,losses/explained_variance
2.632707118988037,,,1763260011.689872,0,,,,,,,0,,,
3.8172669410705566,,,1763260012.8744318,171,,37.0,,37.0,,,7,,,
4.336776494979858,,,1763260013.3939414,670,,20.0,,20.0,,,33,,,
4.552634954452515,,,1763260013.6097999,848,,35.0,,35.0,,,41,,,
4.685005187988281,,,1763260013.74217,988,,39.0,,39.0,,,47,,,
5.179652452468872,-0.008502587676048279,0.0002992319641634822,1763260014.2368174,1408,932.0,,0.0,,0.6717001795768738,0.0007967455312609673,64,4.063346862792969,-0.005919286049902439,0.03728330135345459
5.430879592895508,0.004337109625339508,0.00029907835414633155,1763260014.4880445,1664,944.0,,0.0,,0.6384899616241455,0.0013333968818187714,74,3.58560848236084,0.007419133558869362,0.04885876178741455
5.463130712509155,,,1763260014.5202956,1739,,34.0,,34.0,,,77,,,
5.809090614318848,,,1763260014.8662555,2054,,56.0,,56.0,,,88,,,
6.207159042358398,-0.01001758873462677,0.00029861752409487963,1763260015.264324,2432,958.0,,0.0,,0.6389438509941101,0.000402853824198246,102,3.235023021697998,-0.0020092157647013664,-0.001907944679260254
6.240427732467651,,,1763260015.2975926,2514,,26.0,,26.0,,,104,,,
7.095635652542114,,,1763260016.1528006,3370,,30.0,,30.0,,,133,,,
7.73475193977356,,,1763260016.7919168,4027,,60.0,,60.0,,,147,,,
7.830409049987793,-0.006528850644826889,0.00029761905898340046,1763260016.887574,4096,984.0,,0.0,,0.59666508436203,8.839648216962814e-05,149,4.169954776763916,-0.00025938358157873154,0.10028153657913208
7.834891080856323,,,1763260016.892056,4101,,45.0,,45.0,,,150,,,
8.00108003616333,,,1763260017.058245,4348,,32.0,,32.0,,,155,,,
8.191384315490723,-0.0007474124431610107,0.0002973886439576745,1763260017.2485492,4480,990.0,,0.0,,0.5920854806900024,0.0003645699471235275,157,3.579216957092285,0.0008699093014001846,0.5008740425109863
8.815254211425781,,,1763260017.872419,5124,,69.0,,69.0,,,172,,,
10.236666202545166,-0.003347747027873993,0.00029608295881189406,1763260019.293831,6656,1013.0,,0.0,,0.5683897137641907,0.00026951637119054794,195,3.2209203243255615,-0.003925410099327564,0.5826160907745361
10.835728168487549,-0.00409476226195693,0.00029569893376901746,1763260019.892893,7296,1018.0,,0.0,,0.553290843963623,0.0003719981759786606,203,2.6562671661376953,0.004567962139844894,0.8511515259742737
11.551918745040894,-0.009726481512188911,0.00029523810371756554,1763260020.6090837,8064,1022.0,,0.0,,0.5087808966636658,0.0006897300481796265,213,2.8144822120666504,-0.0010170061141252518,0.1453954577445984
11.897934436798096,-0.007116228342056274,0.0002950076886918396,1763260020.9550993,8448,1026.0,,0.0,,0.5468264818191528,0.0006424365565180779,217,2.73862624168396,0.0018600588664412498,0.4812006950378418
12.78986406326294,-0.011865656822919846,0.00029447005363181233,1763260021.847029,9344,1024.0,,0.0,,0.4797949194908142,0.0014035319909453392,228,5.854498863220215,-0.0036705275997519493,-0.03816962242126465
13.321332454681396,0.016958512365818024,0.0002942396386060864,1763260022.3784974,9728,1007.0,,0.001953125,,0.550282895565033,0.002336195670068264,233,2.4579620361328125,-0.006410817615687847,-0.04471695423126221
14.883843898773193,,,1763260023.9410088,11040,,233.0,,233.0,,,251,,,
15.623228549957275,0.00930584967136383,0.00029308756347745657,1763260024.6803935,11648,974.0,,0.015625,,0.4992348253726959,0.0025648772716522217,259,1.9530576467514038,-0.004798857495188713,0.8723450899124146
16.099605798721313,,,1763260025.1567707,12140,,293.0,,293.0,,,265,,,
16.80670166015625,,,1763260025.8638666,12726,,369.0,,369.0,,,273,,,
16.908397436141968,0.03105732426047325,0.0002923963184002787,1763260025.9655623,12800,966.0,,0.01171875,,0.48205387592315674,0.003930580802261829,274,1.9469444751739502,-0.010832260362803936,0.14220303297042847
18.249876022338867,-0.005644762888550758,0.00029155146330595016,1763260027.307041,14208,974.0,,0.00390625,,0.5509845018386841,0.00142634566873312,292,9.83802604675293,-0.008857478387653828,0.25698423385620117
20.241915702819824,,,1763260029.2990806,16330,,92.0,,92.0,,,327,,,
20.368595600128174,,,1763260029.4257605,16484,,97.0,,97.0,,,330,,,
20.48308515548706,,,1763260029.54025,16607,,123.0,,123.0,,,332,,,
20.801671028137207,-0.0035487934947013855,0.00028993855812586844,1763260029.858836,16896,986.0,,0.0,,0.5302839875221252,4.2528845369815826e-05,337,9.99343490600586,0.0006544450297951698,0.820719838142395
20.996237993240356,,,1763260030.053403,17123,,164.0,,164.0,,,340,,,
22.792073011398315,,,1763260031.849238,19023,,149.0,,149.0,,,370,,,
24.695420742034912,0.0012870430946350098,0.0002874807978514582,1763260033.7525856,20992,998.0,,0.0,,0.5434619188308716,0.0005650455132126808,396,0.7766537666320801,0.003674178384244442,0.9812806844711304
26.644505500793457,,,1763260035.7016704,23051,,182.0,,182.0,,,425,,,
27.62703585624695,,,1763260036.6842008,24090,,85.0,,85.0,,,441,,,
28.225777864456177,-0.011216700077056885,0.0002852534526027739,1763260037.2829428,24704,1005.0,,0.0,,0.4885541796684265,0.0007480951026082039,450,0.6735776662826538,0.0017663994804024696,0.995475709438324
29.642785787582397,,,1763260038.6999507,26160,,116.0,,116.0,,,471,,,
