losses/old_approx_kl,losses/value_loss,charts/episodic_length,losses/entropy,global_step,charts/episodic_return,losses/explained_variance,charts/learning_rate,losses/clipfrac,_step,_runtime,_timestamp,charts/SPS,losses/policy_loss,losses/approx_kl
-0.00873867142945528,5.582615852355957,,0.4977348744869232,24064,,0.9461426138877869,0.0002856374776456505,0.0,515,27.292850732803345,1763260036.3076236,995.0,0.0031958511099219322,0.0007104957476258278
0.004274589009582996,5.7606282234191895,,0.4704573452472687,24832,,0.9843795299530029,0.0002851766475941986,0.0,530,27.991995096206665,1763260037.006768,998.0,-0.005667582154273987,0.0004793750122189522
,,102.0,,25380,102.0,,,,539,28.517702341079712,1763260037.5324752,,,
-0.00019236188381910324,2.1341552734375,52.0,0.4725925028324127,25856,52.0,0.9292029142379761,0.000284562207525596,0.0,547,28.968514680862427,1763260037.9832876,1000.0,0.0005893856287002563,4.09688800573349e-06
,,68.0,,26355,68.0,,,,555,29.404699087142944,1763260038.419472,,,
-0.0019456986337900162,22.66414451599121,,0.4218233823776245,26496,,0.8880752921104431,0.0002841781824827194,0.0,559,29.59932518005371,1763260038.614098,1000.0,-0.00044696033000946045,0.00014734268188476562
,,55.0,,26969,55.0,,,,568,29.981852293014526,1763260038.9966252,,,
,,70.0,,28292,70.0,,,,595,31.302797079086304,1763260040.31757,,,
-0.0003876183182001114,8.943860054016113,,0.5050945281982422,29184,,0.9550027251243591,0.0002825652773026377,0.0,614,32.120281457901,1763260041.1350543,1006.0,-0.0060709379613399506,7.381848990917206e-05
,,107.0,,30058,107.0,,,,630,32.88959360122681,1763260041.9043665,,,
,,72.0,,30282,72.0,,,,636,33.112279176712036,1763260042.127052,,,
,,45.0,,30431,45.0,,,,640,33.23861217498779,1763260042.253385,,,
,,32.0,,30759,32.0,,,,650,33.60849142074585,1763260042.6232643,,,
-0.016008395701646805,2.479412317276001,,0.4960134029388428,31360,,0.9844716191291809,0.00028125959215685725,0.001953125,664,34.17392826080322,1763260043.1887012,1010.0,-0.02082289382815361,0.0024808309972286224
-0.0019982578232884407,0.9759118556976318,,0.51191246509552,32512,,0.9951493740081787,0.00028056834707967937,0.0,684,35.247045040130615,1763260044.261818,1012.0,-0.00760425440967083,0.001550336368381977
,,132.0,,32795,132.0,,,,689,35.51829123497009,1763260044.5330641,,,
0.14913049340248108,1.4515295028686523,,0.4717724323272705,33536,,0.9938578009605408,0.0002799539070110768,0.16796875,698,36.19061207771301,1763260045.205385,1014.0,-0.07358163595199585,0.0658881887793541
0.0004598749801516533,1.0317203998565674,,0.52932208776474,34432,,0.9494436383247375,0.00027941627195104957,0.0,707,36.9638295173645,1763260045.9786024,1017.0,-0.016154464334249496,0.0018512839451432228
0.009123723953962326,38.865028381347656,,0.5000942945480347,36736,,-0.006320953369140625,0.0002780337817966938,0.06640625,729,39.04821443557739,1763260048.0629873,1022.0,0.008424334228038788,0.008128448389470577
0.0367625392973423,0.3357316553592682,,0.4484931528568268,39296,,0.01145327091217041,0.0002764976816251874,0.013671875,757,41.4587938785553,1763260050.4735668,1025.0,0.011185318231582642,0.006978131830692291
0.010270621627569199,42.86050033569336,,0.4353276193141937,39680,,-0.0020405054092407227,0.00027626726659946144,0.009765625,762,41.83091592788696,1763260050.8456888,1025.0,-0.01766650751233101,0.005102839320898056
,,500.0,,40181,500.0,,,,767,42.2107515335083,1763260051.2255244,,,
-0.005121811293065548,0.27603599429130554,,0.521213948726654,40960,,0.0412251353263855,0.0002754992456175387,0.0,775,42.98579716682434,1763260052.00057,1027.0,-0.007425285875797272,0.000530400313436985
-0.007656406611204147,0.24802352488040924,,0.5229176878929138,42240,,-0.01731884479522705,0.0002747311955317855,0.009765625,788,44.14327096939087,1763260053.1580439,1029.0,0.004560843110084534,0.005910508334636688
0.00015171337872743607,0.20407840609550476,,0.43294045329093933,43136,,0.029831647872924805,0.00027419356047175825,0.0,797,44.96112942695618,1763260053.9759023,1031.0,0.0003943108022212982,0.00019859056919813156
-0.00012118741869926453,0.19038541615009308,,0.5355141162872314,44032,,-0.01824367046356201,0.000273655925411731,0.0,806,45.75325965881348,1763260054.7680326,1032.0,0.005711304023861885,0.00042186304926872253
,,334.0,,44919,334.0,,,,815,46.500150203704834,1763260055.514923,,,
0.0010346127673983574,0.12303014099597931,,0.5283689498901367,48384,,-0.01505899429321289,0.0002710445551201701,0.0,863,50.48089647293091,1763260059.4956694,1021.0,0.00031070783734321594,4.2506493628025055e-05
0.0018988484516739845,0.13495159149169922,,0.5263052582740784,49280,,0.10375016927719116,0.0002705069200601429,0.001953125,872,51.732231855392456,1763260060.7470047,1013.0,0.004561353474855423,0.0013866787776350975
,,65.0,,49531,65.0,,,,876,52.05399131774902,1763260061.0687642,,,
,,500.0,,53156,500.0,,,,922,57.42374086380005,1763260066.4385138,,,
,,120.0,,53748,120.0,,,,930,58.10434818267822,1763260067.119121,,,
0.07298837602138519,151.7537841796875,,0.5033870339393616,54272,,0.16916996240615845,0.0002675115247257054,0.056640625,938,58.85643196105957,1763260067.8712049,973.0,-0.028353501111268997,0.013044878840446472
0.00473281554877758,124.60596466064453,,0.5096632838249207,54400,,0.1435677409172058,0.00026743471971713006,0.0,941,59.04905581474304,1763260068.0638287,972.0,0.01140708476305008,0.0005668420344591141
0.10803498327732086,0.051384635269641876,,0.5233850479125977,54528,,0.9928600788116455,0.00026735791470855474,0.1484375,942,59.1785147190094,1763260068.1932876,972.0,-0.028326313942670822,0.0278677586466074
,,26.0,,54882,26.0,,,,948,59.56653714179993,1763260068.58131,,,
,,204.0,,56437,204.0,,,,974,61.89917826652527,1763260070.9139512,,,
0.0023834016174077988,14.308897972106934,,0.5176429748535156,56832,,0.20842349529266357,0.000265975424554199,0.0,980,62.58576583862305,1763260071.6005387,955.0,-0.008392246440052986,0.0007254350930452347
0.012180445715785027,0.07613129168748856,,0.5316282510757446,57344,,0.9623724222183228,0.0002656682045198977,0.158203125,985,63.147977352142334,1763260072.1627502,955.0,-0.018522609025239944,0.015092558227479458
,,215.0,,58152,215.0,,,,995,63.983731746673584,1763260072.9985046,,,
,,189.0,,58341,189.0,,,,997,64.16554498672485,1763260073.1803179,,,
,,139.0,,59557,139.0,,,,1015,65.7269515991211,1763260074.7417245,,,
,,139.0,,60622,139.0,,,,1031,66.9787986278534,1763260075.9935715,,,
0.017195213586091995,2.930924415588379,,0.5930687189102173,61952,,0.7518799901008606,0.00026290322421118617,0.0,1050,68.41255402565002,1763260077.427327,948.0,-0.029933545738458633,0.0029324721544981003
-0.0010146815329790115,22.90195083618164,,0.5492798089981079,62208,,0.29668092727661133,0.00026274961419403553,0.0,1053,68.74272584915161,1763260077.7574987,948.0,0.0015420801937580109,0.0009863227605819702
0.011555656790733337,0.02717648632824421,,0.6198585033416748,62592,,0.9861668944358826,0.00026251919916830957,0.0625,1058,69.18130850791931,1763260078.1960814,947.0,-0.058522872626781464,0.01651068590581417
0.03913237899541855,0.00989890843629837,,0.5876632332801819,64640,,0.9936187863349915,0.00026129031903110445,0.12890625,1083,71.50094199180603,1763260080.515715,945.0,-0.010781779885292053,0.025590859353542328
,,333.0,,65372,333.0,,,,1091,72.29996943473816,1763260081.3147423,,,
,,500.0,,66872,500.0,,,,1106,74.04257011413574,1763260083.057343,,,
0.002230650745332241,0.010806790553033352,,0.5140424370765686,68096,,-0.03238093852996826,0.0002592165837995708,0.0,1118,75.80231094360352,1763260084.8170838,936.0,-0.0032508522272109985,0.00011107046157121658
,,500.0,,68857,500.0,,,,1125,76.92837023735046,1763260085.9431431,,,
0.017640134319663048,0.0006638650083914399,,0.4937041997909546,69632,,0.6170941591262817,0.00025829492369666696,0.0,1133,78.5861120223999,1763260087.600885,922.0,-0.010578028857707977,0.0018939701840281487
,,500.0,,70857,500.0,,,,1145,80.88520908355713,1763260089.899982,,,
-0.0032254010438919067,0.0007505504763685167,,0.4465799331665039,72704,,-0.08931314945220947,0.00025645160349085927,0.0078125,1164,84.61639857292175,1763260093.6311715,892.0,0.002939445897936821,0.0060029905289411545
0.028856629505753517,7.190927135525271e-05,,0.46719980239868164,72832,,0.9057105779647827,0.00025637479848228395,0.0,1165,84.84327673912048,1763260093.8580496,891.0,-0.005970688536763191,0.0027389461174607277
0.00018399301916360855,128.66445922851562,,0.4632866084575653,73472,,-0.0004894733428955078,0.00025599077343940735,0.0,1172,86.16335844993591,1763260095.1781313,884.0,-0.0037338081747293472,0.0007207272574305534
,,500.0,,74420,500.0,,,,1181,87.93631052970886,1763260096.9510834,,,
,,500.0,,74920,500.0,,,,1186,88.95783424377441,1763260097.9726071,,,
0.0012757880613207817,222.7972869873047,,0.40495777130126953,76032,,0.0018903613090515137,0.00025445467326790094,0.0,1197,91.35543632507324,1763260100.3702092,861.0,-0.003128889948129654,0.0003032861277461052
0.03342481702566147,0.00018841473502106965,,0.46108707785606384,77568,,0.8235949277877808,0.0002535330131649971,0.046875,1213,94.34139728546143,1763260103.3561702,850.0,-0.03988274186849594,0.011823536828160286
,,500.0,,77772,500.0,,,,1215,94.60450720787048,1763260103.61928,,,
0.0026805857196450233,89.38219451904297,,0.4630460739135742,78848,,-8.392333984375e-05,0.0002527649630792439,0.0,1226,96.64232230186462,1763260105.6570952,843.0,0.0017922595143318176,4.9727968871593475e-05
,,500.0,,79272,500.0,,,,1230,97.33475041389465,1763260106.3495233,,,
0.029523521661758423,2.206895806011744e-05,,0.46335339546203613,79744,,0.7442394495010376,0.00025222732801921666,0.0234375,1234,98.17284417152405,1763260107.187617,838.0,0.0019284635782241821,0.006126973778009415
,,500.0,,80772,500.0,,,,1245,99.97119426727295,1763260108.9859672,,,
,,500.0,,81772,500.0,,,,1254,101.54715204238892,1763260110.561925,,,
0.033211953938007355,0.006509331986308098,,0.5197122097015381,83456,,0.1839083433151245,0.0002500000118743628,0.037109375,1271,104.54487609863281,1763260113.559649,822.0,0.0025253668427467346,0.007733967155218124
-0.0045800358057022095,0.00031433478579856455,,0.43275585770606995,86016,,0.574065625667572,0.0002484639117028564,0.0,1299,108.92341613769531,1763260117.938189,813.0,0.0018448308110237122,0.0003292001783847809
-0.01167474128305912,19.750337600708008,,0.45801249146461487,89984,,-0.00013506412506103516,0.0002460829564370215,0.001953125,1339,115.13111186027527,1763260124.1458848,803.0,-0.004789683967828751,0.0026015806943178177
0.04255747050046921,0.005209884140640497,,0.421220988035202,90112,,0.11137431859970093,0.0002460061514284462,0.05078125,1340,115.29696464538574,1763260124.3117375,803.0,0.004547044634819031,0.008414153009653091
,,26.0,,90980,26.0,,,,1349,116.47343301773071,1763260125.488206,,,
-0.005207345820963383,0.0042413328774273396,,0.3592327833175659,92288,,0.12900441884994507,0.00024470046628266573,0.02734375,1363,118.7096700668335,1763260127.724443,798.0,0.00895000621676445,0.007506026886403561
7.68052414059639e-05,0.00011072269990108907,,0.36667975783348083,92544,,0.08973264694213867,0.0002445468562655151,0.0,1365,119.10263657569885,1763260128.1174095,797.0,-0.0012336596846580505,2.3203901946544647e-05
0.052253901958465576,5.8675574109656736e-05,,0.4241237938404083,93056,,0.14626973867416382,0.0002442396362312138,0.09375,1370,119.93738412857056,1763260128.952157,796.0,-0.033261239528656006,0.022575439885258675
-0.008917511440813541,187.90296936035156,,0.4164004921913147,93952,,0.00013256072998046875,0.00024370200117118657,0.0078125,1380,121.52141118049622,1763260130.536184,793.0,-0.00345558300614357,0.002865270711481571
0.009676868095993996,0.004236861597746611,,0.33882632851600647,94080,,0.25311988592147827,0.00024362519616261125,0.013671875,1381,121.73396325111389,1763260130.7487361,793.0,-0.0036881472915410995,0.002253051847219467
,,500.0,,94845,500.0,,,,1388,122.96840190887451,1763260131.9831748,,,
0.003020686097443104,0.00791875459253788,,0.3828909695148468,95488,,0.4225783348083496,0.00024278034106828272,0.00390625,1395,124.33943700790405,1763260133.35421,787.0,-0.0018607787787914276,0.002051667310297489
0.0003774566575884819,8.748417854309082,,0.41533198952674866,95872,,-6.747245788574219e-05,0.00024254992604255676,0.0,1399,125.0422010421753,1763260134.056974,786.0,0.004398703575134277,0.00047898944467306137
0.06827463954687119,0.008739043958485126,,0.294989675283432,96512,,0.5377001762390137,0.00024216590099968016,0.0859375,1405,126.19864869117737,1763260135.2134216,784.0,-0.04428504407405853,0.026437213644385338
0.016691677272319794,3.963502967962995e-05,,0.3830544650554657,99328,,-0.13365638256072998,0.00024047619081102312,0.005859375,1432,131.11038875579834,1763260140.1251616,776.0,0.00019286572933197021,0.0019960375502705574
,,500.0,,99345,500.0,,,,1433,131.14014863967896,1763260140.1549215,,,
0.023184431716799736,9.076415153685957e-05,,0.39024102687835693,101632,,0.28950363397598267,0.00023909370065666735,0.044921875,1455,135.06167674064636,1763260144.0764496,770.0,-0.004414866678416729,0.004450708627700806
0.08318137377500534,9.23428451642394e-05,,0.46574726700782776,101760,,0.16442328691482544,0.00023901689564809203,0.087890625,1456,135.27531480789185,1763260144.2900877,770.0,0.007829230278730392,0.01587364636361599
,,500.0,,101845,500.0,,,,1457,135.32615637779236,1763260144.3409293,,,
,,63.0,,107155,63.0,,,,1514,144.71053457260132,1763260153.7253075,,,
0.007396242581307888,0.021035175770521164,,0.29053038358688354,107904,,0.8983627557754517,0.00023533025523647666,0.0078125,1521,145.97018957138062,1763260154.9849625,755.0,0.0029754862189292908,0.002330946736037731
-0.006769126281142235,0.0036422775592654943,,0.354373037815094,108288,,0.9391604661941528,0.0002350998402107507,0.001953125,1525,146.63622188568115,1763260155.6509948,754.0,-0.0032899975776672363,0.0012109335511922836
-0.04564329981803894,0.0013810587115585804,,0.34004130959510803,108544,,0.9437682628631592,0.00023494623019360006,0.07421875,1527,147.0316300392151,1763260156.046403,754.0,0.004153944551944733,0.01784428395330906
0.020143989473581314,4.3856425285339355,,0.2812804877758026,108672,,-0.0019240379333496094,0.00023486942518502474,0.0078125,1529,147.30010986328125,1763260156.3148828,753.0,0.004897605627775192,0.0028661228716373444
0.0040958235040307045,78.63458251953125,,0.2940793037414551,109184,,0.0015073418617248535,0.00023456220515072346,0.0,1534,148.15618801116943,1763260157.170961,752.0,-0.0017772242426872253,0.00013176444917917252
-0.028083790093660355,0.001065900200046599,,0.31987321376800537,109440,,0.9303376078605652,0.00023440859513357282,0.107421875,1536,148.580317735672,1763260157.5950906,752.0,-0.024134919047355652,0.016163259744644165
,,500.0,,110155,500.0,,,,1543,149.66848921775818,1763260158.683262,,,
-0.004087368957698345,0.011431741528213024,,0.32611793279647827,110336,,0.8910655379295349,0.0002338709746254608,0.017578125,1545,150.0488052368164,1763260159.0635781,750.0,-0.023731036111712456,0.006532106548547745
0.01171034388244152,0.00035263283643871546,,0.3022752106189728,110464,,0.8166829347610474,0.00023379416961688548,0.08203125,1546,150.2417929172516,1763260159.2565658,750.0,-0.033744387328624725,0.019845226779580116
,,500.0,,111655,500.0,,,,1558,152.14926266670227,1763260161.1640356,,,
0.0006217751652002335,7.496852874755859,,0.37900686264038086,111744,,1.2218952178955078e-05,0.00023302611953113228,0.0,1559,152.3575758934021,1763260161.3723488,748.0,0.0023094452917575836,0.0008433163166046143
,,500.0,,112155,500.0,,,,1563,152.99782299995422,1763260162.012596,,,
-0.0075639523565769196,0.0002784462121780962,,0.352879136800766,112512,,0.44434529542922974,0.00023256528947968036,0.033203125,1566,153.59479331970215,1763260162.6095662,747.0,0.007931366562843323,0.005460718646645546
0.004369727335870266,0.034023623913526535,,0.36780598759651184,114688,,0.0003864169120788574,0.00023125960433389992,0.005859375,1588,157.15803933143616,1763260166.1728122,744.0,-0.013777635991573334,0.002306961454451084
-0.0009161224588751793,0.004825409501791,,0.33916372060775757,114816,,-0.010648250579833984,0.0002311827993253246,0.001953125,1589,157.33449387550354,1763260166.3492668,744.0,0.0018542734906077385,0.0003763018175959587
,,500.0,,115655,500.0,,,,1597,158.60915660858154,1763260167.6239295,,,
,,500.0,,116655,500.0,,,,1607,160.25893807411194,1763260169.273711,,,
0.040845222771167755,0.00918711069971323,,0.37205997109413147,116864,,0.03911012411117554,0.00022995391918811947,0.01953125,1609,160.65381836891174,1763260169.6685913,741.0,-0.011473645456135273,0.013420851901173592
0.04148639738559723,8.177600102499127e-05,,0.2825540006160736,116992,,0.3444386124610901,0.00022987711417954415,0.09375,1610,160.85599160194397,1763260169.8707645,741.0,0.020967811346054077,0.01110723428428173
,,500.0,,117155,500.0,,,,1612,161.09633111953735,1763260170.111104,,,
,,500.0,,118655,500.0,,,,1626,163.4217209815979,1763260172.4364939,,,
-0.003798256628215313,0.006841886788606644,,0.36179569363594055,119808,,0.4342021942138672,0.0002281874039908871,0.00390625,1638,165.4108498096466,1763260174.4256227,738.0,-0.004725702106952667,0.0014883195981383324
0.008052496239542961,0.008600015193223953,,0.3724992573261261,124800,,0.6554895639419556,0.00022519200865644962,0.0,1687,173.57048654556274,1763260182.5852594,732.0,-0.01449313759803772,0.0011859983205795288
-0.00046661775559186935,0.0011601613368839025,,0.2682763934135437,129408,,0.027468502521514893,0.0002224270283477381,0.0,1732,181.0856912136078,1763260190.100464,727.0,0.0011324137449264526,8.618179708719254e-05
-0.03034575656056404,152.55502319335938,,0.29081374406814575,130688,,4.202127456665039e-05,0.0002216589928139001,0.02734375,1745,183.26272559165955,1763260192.2774985,725.0,-0.0023940224200487137,0.005262360908091068
0.005661976523697376,5.087232420919463e-05,,0.33003556728363037,131584,,-0.11112678050994873,0.00022112135775387287,0.0,1753,184.7359881401062,1763260193.750761,724.0,-0.0001553073525428772,0.0012048045173287392
,,500.0,,131655,500.0,,,,1754,184.7827970981598,1763260193.79757,,,
0.0049762362614274025,33.25806427001953,,0.3500058650970459,132736,,-0.0002027750015258789,0.000220430112676695,0.0,1765,186.71185970306396,1763260195.7266326,723.0,0.030315078794956207,0.0023301606997847557
-0.006034340709447861,9.42767110245768e-06,,0.2573402523994446,133120,,-0.23082411289215088,0.00022019969765096903,0.0,1768,187.3476333618164,1763260196.3624063,722.0,0.00749885942786932,0.0004773363471031189
0.04542897641658783,0.00024353645858354867,,0.3092512786388397,134016,,0.22442114353179932,0.0002196620625909418,0.0859375,1777,188.93644404411316,1763260197.951217,721.0,-0.016774853691458702,0.01635921746492386
,,500.0,,138155,500.0,,,,1818,195.8696005344391,1763260204.8843734,,,
,,500.0,,138655,500.0,,,,1823,196.7195987701416,1763260205.7343717,,,
0.030163966119289398,0.00021510844817385077,,0.2356301248073578,141568,,0.27019840478897095,0.0002151305670849979,0.08203125,1851,201.4908664226532,1763260210.5056393,713.0,-0.013433888554573059,0.02143681049346924
0.021712254732847214,4.0513521526008844e-05,,0.24577447772026062,142080,,0.12058645486831665,0.0002148233470506966,0.03515625,1856,202.30617451667786,1763260211.3209474,713.0,-0.0063115619122982025,0.00932871364057064
-0.009783370420336723,8.481887817382812,,0.2606312930583954,143232,,5.0902366638183594e-05,0.00021413210197351873,0.0,1868,204.16311764717102,1763260213.1778905,712.0,-0.0008035972714424133,0.0006513297557830811
-0.01118475291877985,1.733156442642212,,0.21506604552268982,143744,,-8.165836334228516e-05,0.00021382488193921745,0.0,1873,205.00928616523743,1763260214.024059,712.0,-0.00018942542374134064,0.001136905513703823
,,500.0,,144155,500.0,,,,1877,205.6442723274231,1763260214.6590452,,,
0.0033964933827519417,2.5119898054981604e-05,,0.2043510228395462,145152,,0.058367013931274414,0.00021298002684488893,0.033203125,1886,207.22864961624146,1763260216.2434225,711.0,-0.00254051573574543,0.003636193461716175
0.008840651251375675,2.462357224430889e-05,,0.3009788990020752,146048,,0.06073117256164551,0.00021244239178486168,0.0,1895,208.6728856563568,1763260217.6876585,710.0,-0.001188274472951889,0.0007511870935559273
0.007133429870009422,0.0019944938831031322,,0.339391827583313,146816,,0.0003510117530822754,0.00021198156173340976,0.0,1903,209.94730734825134,1763260218.9620802,709.0,0.00047348812222480774,0.00037570297718048096
,,500.0,,147155,500.0,,,,1906,210.3590784072876,1763260219.3738513,,,
-0.0023701591417193413,0.005312368739396334,,0.2564546465873718,148352,,-0.14201998710632324,0.00021105990163050592,0.01171875,1918,212.32432985305786,1763260221.3391027,709.0,-0.00936957448720932,0.001308307982981205
0.007678939960896969,5.825706466566771e-06,,0.2495080679655075,148608,,0.3599702715873718,0.00021090629161335528,0.005859375,1920,212.68747186660767,1763260221.7022448,709.0,0.008602187037467957,0.002414482645690441
,,500.0,,151155,500.0,,,,1945,216.71120476722717,1763260225.7259777,,,
0.00751127302646637,0.00019727037579286844,,0.31778010725975037,152576,,0.5431811809539795,0.00020852535089943558,0.013671875,1959,219.13481760025024,1763260228.1495905,706.0,0.0015596114099025726,0.0008659288287162781
0.01369474921375513,8.501450793119147e-06,,0.3415542244911194,153984,,-0.053668856620788574,0.00020768049580510706,0.009765625,1973,221.4306492805481,1763260230.4454222,705.0,-0.009474176913499832,0.005573890171945095
,,500.0,,155155,500.0,,,,1985,223.36304712295532,1763260232.37782,,,
-0.006792400032281876,182.13851928710938,,0.26795345544815063,155776,,0.00020205974578857422,0.00020660522568505257,0.0,1991,224.4264440536499,1763260233.441217,703.0,0.001336943358182907,0.0012613460421562195
0.01023605465888977,3.979969733336475e-06,,0.32623302936553955,156928,,0.05279344320297241,0.0002059139806078747,0.02734375,2002,226.2615761756897,1763260235.276349,703.0,0.014740193262696266,0.004885134287178516
-0.004349340684711933,7.964897667989135e-05,,0.36440765857696533,157440,,-0.006872653961181641,0.0002056067605735734,0.017578125,2007,227.0841362476349,1763260236.0989091,702.0,0.008288351818919182,0.0024754544720053673
-0.035578660666942596,0.004850372206419706,,0.2781412899494171,158336,,0.030611038208007812,0.00020506912551354617,0.06640625,2016,228.55919885635376,1763260237.5739717,702.0,-5.369260907173157e-05,0.009811426512897015
,,500.0,,158655,500.0,,,,2019,229.00800967216492,1763260238.0227826,,,
,,500.0,,159155,500.0,,,,2024,229.86430525779724,1763260238.8790781,,,
0.0003376854583621025,6.379057595040649e-05,,0.3854590654373169,159488,,0.08104825019836426,0.0002043778804363683,0.0,2027,230.46472239494324,1763260239.4794953,701.0,0.0003257840871810913,0.0008893264457583427
,,500.0,,159655,500.0,,,,2029,230.70997405052185,1763260239.724747,,,
,,500.0,,160155,500.0,,,,2034,231.53128743171692,1763260240.5460603,,,
-0.024780794978141785,33.52595520019531,,0.28493577241897583,161280,,-3.337860107421875e-05,0.0002033026103163138,0.00390625,2045,233.48490524291992,1763260242.4996781,700.0,-0.0036842860281467438,0.0017027882859110832
-0.008987762033939362,0.00011642805475275964,,0.29625609517097473,161920,,0.25565797090530396,0.0002029185852734372,0.005859375,2051,234.51474809646606,1763260243.529521,699.0,0.0027013998478651047,0.0019813571125268936
