losses/approx_kl,losses/value_loss,global_step,losses/entropy,losses/explained_variance,_timestamp,losses/policy_loss,_runtime,charts/episodic_length,_step,losses/old_approx_kl,charts/SPS,charts/learning_rate,charts/episodic_return,losses/clipfrac
0.0011661909520626068,3.584639310836792,31232,0.4943584203720093,0.9723970890045166,1763260061.6107166,-0.00551987811923027,33.95706248283386,,568,-0.006422471255064011,1028.0,0.00028133639716543257,,0.0
0.00010193511843681335,73.48884582519531,33664,0.49270549416542053,-0.009376883506774902,1763260063.823844,-0.0011171773076057434,36.17018985748291,,595,-0.001851709559559822,1033.0,0.0002798771020025015,,0.0
,,35106,,,1763260065.1224566,,37.4688024520874,279.0,612,,,,279.0,
0.0011134836822748184,0.38414299488067627,35328,0.5097600817680359,-0.017780065536499023,1763260065.363677,0.004376072436571121,37.710022926330566,,614,0.007677746936678886,1035.0,0.0002788786368910223,,0.0
0.0011260276660323143,37.36465835571289,36608,0.5385240316390991,-0.000537872314453125,1763260066.5352345,-0.009932663291692734,38.8815803527832,,630,-0.005741060711443424,1037.0,0.0002781105868052691,,0.0
0.006902681663632393,0.3901425004005432,37120,0.5869340896606445,-0.023959636688232422,1763260066.9905505,-0.027725785970687866,39.33689641952515,,636,0.02255193516612053,1038.0,0.00027780336677096784,,0.01171875
0.0004637669771909714,0.4292610287666321,37376,0.5910685658454895,-0.011056900024414062,1763260067.2217185,-0.005466978996992111,39.56806445121765,,640,-0.0033041536808013916,1039.0,0.0002776497567538172,,0.0
0.0023883897811174393,0.3715527355670929,38016,0.6021022796630859,-0.013773679733276367,1763260067.842715,0.010071026161313057,40.18906092643738,,650,0.00977066159248352,1039.0,0.0002772657317109406,,0.0
0.002749405801296234,28.99964714050293,39040,0.5161285400390625,-0.0028187036514282227,1763260068.811047,0.0067472681403160095,41.15739297866821,,664,0.003867361694574356,1039.0,0.00027665129164233804,,0.0078125
0.00028437748551368713,81.51752471923828,40576,0.5608630776405334,-0.00224912166595459,1763260070.2203264,-0.005010820925235748,42.56667232513428,,684,-0.0033340677618980408,1041.0,0.00027572966064326465,,0.0
0.0004975209012627602,0.39129912853240967,40960,0.5450606346130371,-0.0421217679977417,1763260070.5932317,0.0074081867933273315,42.93957757949829,,689,-0.006348435766994953,1041.0,0.0002754992456175387,,0.0
0.0004977677017450333,0.6961202621459961,41472,0.5635759830474854,-0.0005108118057250977,1763260071.0589485,-0.009053818881511688,43.40529441833496,,698,0.005600610747933388,1041.0,0.0002751920255832374,,0.0
,,41753,,,1763260071.3624485,,43.708794355392456,169.0,702,,,,169.0,
,,42078,,,1763260071.651558,,43.99790382385254,145.0,707,,,,145.0,
0.006001695059239864,71.74562072753906,43520,0.5394684076309204,-0.00043082237243652344,1763260073.0331545,0.015600120648741722,45.37950038909912,,729,0.02194373309612274,1041.0,0.0002739631454460323,,0.0078125
0.0006314637139439583,15.492778778076172,45440,0.5155138969421387,0.09131789207458496,1763260074.91843,0.004841692745685577,47.26477599143982,,757,0.006537635810673237,1040.0,0.0002728110703174025,,0.0
,,45769,,,1763260075.2295024,,47.57584834098816,143.0,762,,,,143.0,
0.002057368867099285,0.2919100224971771,46080,0.5503319501876831,0.1629495620727539,1763260075.557361,-0.03423939272761345,47.903706789016724,,767,0.007658590562641621,1040.0,0.0002724270452745259,,0.0
0.0024481089785695076,5.323895454406738,46464,0.5297166109085083,0.10317832231521606,1763260075.9555578,0.003746926784515381,48.30190372467041,,775,-0.00795572716742754,1039.0,0.0002721966302487999,,0.0
,,47262,,,1763260076.6650383,,49.01138424873352,122.0,788,,,,122.0,
,,47788,,,1763260077.5930886,,49.93943452835083,122.0,797,,,,122.0,
0.0011338461190462112,86.71717071533203,48384,0.6059707999229431,0.4106396436691284,1763260078.6366205,0.0032458333298563957,50.98296642303467,,806,0.0062872786074876785,1021.0,0.0002710445551201701,,0.0
4.474259912967682e-05,0.2253321409225464,49024,0.5595062971115112,0.7834010720252991,1763260079.7122943,0.000985652208328247,52.058640241622925,,815,0.0036323070526123047,1011.0,0.0002706605300772935,,0.0
0.0005162879824638367,19.8052921295166,52224,0.5941945314407349,0.44013547897338867,1763260084.6529021,-0.021851252764463425,56.999248027801514,,863,0.004779113456606865,978.0,0.0002687404048629105,,0.0
,,52867,,,1763260085.4140315,,57.760377407073975,220.0,872,,,,220.0,
0.0003470107913017273,0.10966037958860397,53248,0.5579626560211182,0.4278554916381836,1763260085.8369415,0.006495809182524681,58.183287382125854,,876,-0.0003720782697200775,975.0,0.00026812596479430795,,0.0
0.0008775237947702408,0.1105121597647667,57216,0.532171905040741,0.5060031414031982,1763260090.8265765,0.004560299217700958,63.17292237281799,,922,0.0026268642395734787,960.0,0.000265745009528473,,0.0
0.0007306477054953575,112.76803588867188,57856,0.6032719016075134,0.0008307099342346191,1763260091.5368981,-0.0005070269107818604,63.883244037628174,,930,0.0032246848568320274,959.0,0.0002653609844855964,,0.0
0.0013768291100859642,24.0391788482666,58496,0.5571567416191101,0.00944530963897705,1763260092.2631657,0.0036197714507579803,64.60951161384583,,938,-0.0011820262297987938,958.0,0.0002649769594427198,,0.001953125
0.0026852907612919807,0.061087995767593384,58880,0.550718367099762,0.9086936712265015,1763260092.6587486,-0.011621296405792236,65.00509452819824,,941,0.015909403562545776,958.0,0.00026474654441699386,,0.0
,,58961,,,1763260092.6992154,,65.04556131362915,500.0,942,,,,500.0,
2.2212043404579163e-05,5.6952619552612305,59520,0.5621713995933533,-0.0007297992706298828,1763260093.370521,-0.0007408261299133301,65.71686697006226,,948,-0.0001376178115606308,958.0,0.00026436251937411726,,0.0
0.010219370014965534,0.044756777584552765,61952,0.4738193452358246,0.46813470125198364,1763260095.822334,-0.03854651749134064,68.16867995262146,,974,0.048357151448726654,959.0,0.00026290322421118617,,0.041015625
0.001704314723610878,0.021648861467838287,62592,0.5223250389099121,0.43894755840301514,1763260096.5504823,0.0040164366364479065,68.89682817459106,,980,-0.0028121452778577805,958.0,0.00026251919916830957,,0.0
0.01835695654153824,0.027548320591449738,63104,0.5236802101135254,0.8797838687896729,1763260097.0089798,-0.020113058388233185,69.35532569885254,,985,0.0030305422842502594,959.0,0.0002622119791340083,,0.09375
0.003786679357290268,0.2569580376148224,64128,0.5725396275520325,0.957821249961853,1763260098.2009728,0.002146940678358078,70.54731869697571,,995,0.008451642468571663,957.0,0.0002615975390654057,,0.0
0.0004527280107140541,81.81768798828125,64256,0.48209401965141296,0.531836748123169,1763260098.323191,0.0014173146337270737,70.66953682899475,,997,0.0063261957839131355,958.0,0.0002615207340568304,,0.0
0.012847945094108582,0.0043777357786893845,66176,0.48407191038131714,0.8444578051567078,1763260100.5977323,-0.017662212252616882,72.94407820701599,,1015,0.034650735557079315,954.0,0.0002603686589282006,,0.046875
0.005557354539632797,0.12285532057285309,66688,0.42873844504356384,-0.0006365776062011719,1763260101.1407206,0.0014057755470275879,73.48706650733948,500.0,1020,0.015198097564280033,954.0,0.0002600614388938993,500.0,0.013671875
0.00024663377553224564,0.016204893589019775,67840,0.5102537870407104,0.17600202560424805,1763260102.6525464,-0.0013286620378494263,74.9988923072815,,1031,0.01092855166643858,950.0,0.00025937019381672144,,0.0
0.0006839847192168236,0.0002030154864769429,69760,0.5615360736846924,0.11890304088592529,1763260105.9610481,-0.007570780813694,78.30739402770996,,1050,-0.0052909208461642265,933.0,0.00025821811868809164,,0.0
0.0015790993347764015,137.33035278320312,70016,0.5109553337097168,-0.00022089481353759766,1763260106.4690053,0.020996002480387688,78.81535124778748,,1053,0.015607473440468311,930.0,0.000258064508670941,,0.0
0.00026525184512138367,31.393627166748047,70528,0.5406764149665833,-0.0001577138900756836,1763260107.472633,-0.00581543892621994,79.8189787864685,,1058,-8.719600737094879e-05,925.0,0.0002577572886366397,,0.0
0.0002776486799120903,0.0024284739047288895,73088,0.579707145690918,0.08901751041412354,1763260112.2743766,-0.005272090435028076,84.62072253227234,,1083,-0.0033647874370217323,902.0,0.0002562211884651333,,0.0
0.0003160173073410988,166.46131896972656,73856,0.5053640604019165,-0.00012230873107910156,1763260113.803104,-0.002850160002708435,86.14944982528687,,1091,0.001690479926764965,894.0,0.0002557603584136814,,0.0
9.13720577955246e-06,159.8632049560547,75392,0.5185875296592712,8.887052536010742e-05,1763260116.692021,-0.0001215226948261261,89.03836679458618,,1106,-0.0019424119964241982,882.0,0.00025483869831077754,,0.0
0.0007863137871026993,4.39401173935039e-06,76672,0.4938543438911438,0.14420032501220703,1763260119.265193,-0.012133514508605003,91.61153888702393,,1118,0.0034611914306879044,871.0,0.00025407064822502434,,0.0
,,77338,,,1763260120.5005844,,92.84693026542664,500.0,1125,,,,500.0,
0.003042992204427719,0.0001534520270070061,78208,0.5068969130516052,0.26718437671661377,1763260122.074004,-0.03558971732854843,94.42034983634949,,1133,0.022669753059744835,861.0,0.0002531489881221205,,0.03125
0.0004996880888938904,16.836280822753906,79360,0.544340968132019,-1.9073486328125e-05,1763260124.0750437,-0.003081509843468666,96.42138957977295,,1145,-0.00164763443171978,855.0,0.0002524577430449426,,0.0
,,81338,,,1763260127.3829749,,99.72932076454163,500.0,1164,,,,500.0,
0.00048689916729927063,8.001165390014648,81408,0.4803953468799591,0.0001589059829711914,1763260127.5660915,-0.00019029341638088226,99.91243743896484,,1165,0.009507961571216583,845.0,0.00025122889201156795,,0.0
0.005139370448887348,0.0002657732693478465,82176,0.47417736053466797,0.04160863161087036,1763260128.8423648,0.0028681904077529907,101.18871068954468,,1172,0.001409265212714672,842.0,0.00025076806196011603,,0.017578125
0.0005052490159869194,0.003657345660030842,83072,0.4757479429244995,0.046077728271484375,1763260130.3538678,-0.005066762678325176,102.70021367073059,,1181,-0.006605126895010471,838.0,0.0002502304269000888,,0.0
0.0026323050260543823,0.0024749035947024822,83584,0.4588639438152313,0.5729779005050659,1763260131.1901195,-0.027040693908929825,103.53646540641785,,1186,0.004540655761957169,836.0,0.0002499232068657875,,0.0078125
0.0001782076433300972,4.4606516894418746e-05,84736,0.5386078357696533,0.20046424865722656,1763260133.0836346,-0.0009945984929800034,105.42998051643372,,1197,0.0006685750558972359,832.0,0.0002492319617886096,,0.0
,,86338,,,1763260135.5575001,,107.90384602546692,500.0,1213,,,,500.0,
