losses/clipfrac,charts/episodic_length,_runtime,global_step,losses/entropy,losses/old_approx_kl,charts/episodic_return,charts/SPS,losses/value_loss,losses/policy_loss,charts/learning_rate,losses/approx_kl,_step,losses/explained_variance,_timestamp
,,1.9213666915893555,0,,,,,,,,,0,,1763260028.8626747
0.0,,3.104712724685669,128,0.693146288394928,0.00021629221737384796,,954.0,4.2084126472473145,-8.562207221984863e-05,0.0003000000142492354,8.66129994392395e-07,7,0.0574987530708313,1763260030.0460207
,16.0,3.574202060699463,635,,,16.0,,,,,,33,,1763260030.51551
,17.0,3.7094759941101074,765,,,17.0,,,,,,41,,1763260030.650784
,11.0,3.819082260131836,835,,,11.0,,,,,,47,,1763260030.7603903
,12.0,4.190795421600342,1169,,,12.0,,,,,,64,,1763260031.1321034
0.0078125,,4.469514846801758,1408,0.6333307027816772,0.02008950524032116,,939.0,3.7090275287628174,-0.027395159006118774,0.0002992319641634822,0.0060425084084272385,74,0.009245336055755615,1763260031.4108229
,61.0,4.507144212722778,1495,,,61.0,,,,,,77,,1763260031.4484522
,84.0,4.860650539398193,1851,,,84.0,,,,,,88,,1763260031.8019586
,51.0,5.470659017562866,2461,,,51.0,,,,,,102,,1763260032.411967
,61.0,5.505520820617676,2550,,,61.0,,,,,,104,,1763260032.4468288
,58.0,6.464831113815308,3509,,,58.0,,,,,,133,,1763260033.4061391
0.0,,7.374118804931641,4480,0.5598372220993042,0.002264969050884247,,1017.0,3.608625888824463,-0.003460802137851715,0.0002973886439576745,7.632188498973846e-05,147,0.8843590021133423,1763260034.3154268
0.0,,7.506218433380127,4608,0.5380146503448486,0.008155656978487968,,1015.0,5.293064117431641,-0.004663584753870964,0.0002973118389490992,0.0012650378048419952,149,0.08111172914505005,1763260034.4475265
,125.0,7.507882833480835,4609,,,125.0,,,,,,150,,1763260034.4491909
,67.0,7.767847299575806,4939,,,67.0,,,,,,155,,1763260034.7091553
0.0,,7.967843532562256,5120,0.57455974817276,-0.005823669955134392,,1024.0,3.374983310699463,-0.0014058835804462433,0.0002970046189147979,0.0009568091481924057,157,0.39744335412979126,1763260034.9091516
0.01171875,,8.911099195480347,6144,0.551923394203186,0.013447157107293606,,1034.0,6.200688362121582,0.014208439737558365,0.00029639017884619534,0.003930315375328064,172,-0.02326202392578125,1763260035.8524072
0.080078125,,10.540133953094482,7936,0.582584023475647,-0.004523914307355881,,1048.0,3.483160972595215,-0.046832241117954254,0.00029531490872614086,0.008142806589603424,195,-0.010937333106994629,1763260037.481442
,294.0,11.056449174880981,8541,,,294.0,,,,,,203,,1763260037.9977572
0.0,,11.73209810256958,9216,0.534044623374939,-0.002161753363907337,,1051.0,2.8613877296447754,-0.005146492272615433,0.00029454685864038765,0.00019825715571641922,213,0.07348406314849854,1763260038.6734061
,45.0,11.892260313034058,9462,,,45.0,,,,,,217,,1763260038.8335683
,156.0,12.89135456085205,10181,,,156.0,,,,,,228,,1763260039.8326626
0.0,,13.244439125061035,10496,0.5560528635978699,-0.002307104878127575,,1021.0,2.1572656631469727,-0.02405024692416191,0.00029377880855463445,0.003141467459499836,233,0.2841418981552124,1763260040.1857471
,138.0,14.298951148986816,11498,,,138.0,,,,,,251,,1763260041.2402592
0.046875,,15.146924018859863,12032,0.5613197684288025,0.020239971578121185,,988.0,5.829316139221191,-0.033115729689598083,0.0002928571484517306,0.006208715029060841,259,0.6046611070632935,1763260042.088232
,106.0,15.575048685073853,12346,,,106.0,,,,,,265,,1763260042.5163567
0.0,,16.21272301673889,12800,0.5723886489868164,0.00043425336480140686,,966.0,4.868607521057129,0.003117334097623825,0.0002923963184002787,5.0222501158714294e-05,273,0.7406001091003418,1763260043.154031
,162.0,16.26135778427124,12909,,,162.0,,,,,,274,,1763260043.2026658
,53.0,17.597665071487427,14048,,,53.0,,,,,,292,,1763260044.538973
,113.0,19.816235303878784,16334,,,113.0,,,,,,327,,1763260046.7575433
0.0,,20.021086931228638,16512,0.5775347948074341,0.000794311985373497,,968.0,2.4610447883605957,0.00010128319263458252,0.0002901689731515944,1.7952173948287964e-05,330,0.8576643466949463,1763260046.962395
,239.0,20.192384243011475,16686,,,239.0,,,,,,332,,1763260047.1336923
0.0,,20.52898097038269,17024,0.4762383699417114,0.005226787179708481,,969.0,2.8097152709960938,-0.019340457394719124,0.0002898617531172931,0.001237848773598671,337,0.9150788187980652,1763260047.470289
0.0,,20.758577823638916,17280,0.4620122015476227,0.003746515139937401,,971.0,1.1839008331298828,-0.0014829263091087341,0.0002897081431001425,0.0003683958202600479,340,0.9933214783668518,1763260047.6998858
0.0,,22.69188094139099,19328,0.44859859347343445,0.01099561620503664,,980.0,1.7161858081817627,-0.011902950704097748,0.00028847926296293736,0.0011582756415009499,370,0.9734281301498413,1763260049.633189
0.0,,24.391034364700317,21120,0.533856213092804,-0.0008785808458924294,,985.0,1.6562374830245972,-0.00018493831157684326,0.00028740399284288287,8.628703653812408e-06,396,0.945190966129303,1763260051.3323424
0.001953125,,26.173500061035156,23040,0.5241540670394897,0.011802463792264462,,992.0,0.8806450963020325,-0.02117890864610672,0.00028625191771425307,0.002361464314162731,425,0.9923907518386841,1763260053.114808
,155.0,27.03540015220642,23944,,,155.0,,,,,,441,,1763260053.9767082
,144.0,27.58012080192566,24551,,,144.0,,,,,,450,,1763260054.5214288
,65.0,28.79413652420044,25853,,,65.0,,,,,,471,,1763260055.7354445
0.0,,29.33262801170349,26368,0.5230169296264648,0.013986454345285892,,1000.0,0.8489409685134888,-0.004098735749721527,0.00028425498749129474,0.000733627937734127,481,0.9963558316230774,1763260056.273936
0.0,,29.847420692443848,26880,0.4345685839653015,0.003321581520140171,,1000.0,41.847049713134766,-0.009264256805181503,0.00028394776745699346,0.0005909791216254234,490,0.8591610789299011,1763260056.7887287
0.00390625,,30.910372495651245,28032,0.4176250398159027,0.015393080189824104,,1003.0,2.3002700805664062,-0.004513263702392578,0.0002832565223798156,0.0033826548606157303,504,0.9862446188926697,1763260057.8516805
,175.0,31.65546464920044,28872,,,175.0,,,,,,515,,1763260058.5967727
0.00390625,,32.960407733917236,30208,0.4387988746166229,0.0037170052528381348,,1007.0,14.719460487365723,-0.013172462582588196,0.00028195083723403513,0.0019327383488416672,530,0.40312254428863525,1763260059.9017158
,500.0,33.79709601402283,31206,,,500.0,,,,,,539,,1763260060.738404
,139.0,34.34170484542847,31857,,,139.0,,,,,,547,,1763260061.2830129
0.0,,34.90592312812805,32384,0.4705878794193268,-0.002065921202301979,,1014.0,31.498987197875977,0.003062094561755657,0.0002806451520882547,8.636713027954102e-05,555,0.22794514894485474,1763260061.8472311
,183.0,35.13989186286926,32648,,,183.0,,,,,,559,,1763260062.0812
,121.0,35.63837909698486,33266,,,121.0,,,,,,568,,1763260062.579687
0.0234375,,37.286444664001465,34944,0.4654521048069,-0.010734783485531807,,1018.0,7.903812885284424,-0.027136625722050667,0.0002791090519167483,0.0024124644696712494,595,0.7214633226394653,1763260064.2277527
,126.0,38.27491545677185,36055,,,126.0,,,,,,612,,1763260065.2162235
,127.0,38.39097285270691,36182,,,127.0,,,,,,614,,1763260065.3322809
,127.0,39.23955011367798,37068,,,127.0,,,,,,630,,1763260066.1808581
,108.0,39.58072471618652,37438,,,108.0,,,,,,636,,1763260066.5220327
,89.0,39.796302318573,37642,,,89.0,,,,,,640,,1763260066.7376103
0.0,,40.43272542953491,38272,0.5118598937988281,0.004052155651152134,,1021.0,0.28187575936317444,-0.0023963265120983124,0.00027711212169378996,0.0007764128968119621,650,0.9811385869979858,1763260067.3740335
0.029296875,,41.28753590583801,39168,0.43472379446029663,0.003850976936519146,,1022.0,4.518572807312012,0.0022295862436294556,0.0002765744866337627,0.0057107796892523766,664,0.961790919303894,1763260068.228844
0.0,,42.59356355667114,40576,0.5359124541282654,-0.014999580569565296,,1024.0,0.18426042795181274,0.002903863787651062,0.00027572966064326465,0.0012158183380961418,684,0.9703699946403503,1763260069.5348716
0.005859375,,42.93743133544922,40960,0.4906109571456909,0.012295890599489212,,1024.0,6.796627044677734,-0.012572136707603931,0.0002754992456175387,0.004928622394800186,689,0.969538688659668,1763260069.8787394
0.0,,43.76896810531616,41856,0.5215080976486206,0.00494136568158865,,1025.0,0.604499876499176,0.0027311909943819046,0.00027496161055751145,0.00028123799711465836,698,0.9482699036598206,1763260070.7102761
,500.0,44.11648607254028,42260,,,500.0,,,,,,702,,1763260071.057794
0.0,,44.592321157455444,42752,0.5525575876235962,0.014890230260789394,,1027.0,126.99809265136719,-0.04267074912786484,0.0002744239754974842,0.004750381223857403,707,-0.0010124444961547852,1763260071.5336292
,175.0,46.33795523643494,44680,,,175.0,,,,,,729,,1763260073.2792633
,135.0,48.344953536987305,46615,,,135.0,,,,,,757,,1763260075.2862616
0.013671875,,48.71275448799133,46976,0.5792492628097534,0.023587066680192947,,1026.0,0.3963940739631653,-0.013281583786010742,0.00027188941021449864,0.0058976104483008385,762,0.8914030194282532,1763260075.6540625
0.005859375,,49.06402921676636,47360,0.5058093667030334,0.007251398637890816,,1027.0,0.1858273297548294,-0.025709856301546097,0.0002716589951887727,0.005874646827578545,767,0.9923458099365234,1763260076.0053372
,207.0,49.55124545097351,47935,,,207.0,,,,,,775,,1763260076.4925535
0.0,,51.57122445106506,49152,0.48951995372772217,0.0043578678742051125,,1011.0,0.05534522980451584,-0.005230896174907684,0.0002705837250687182,0.0003565596416592598,788,0.1514744758605957,1763260078.5125325
0.0,,52.85496950149536,50048,0.5330532789230347,0.0035623135045170784,,1003.0,117.3595199584961,0.0035298559814691544,0.00027004609000869095,0.00019086804240942,797,-0.0020788908004760742,1763260079.7962775
,500.0,54.18640375137329,51010,,,500.0,,,,,,806,,1763260081.1277118
0.009765625,,55.58355903625488,51840,0.5764526128768921,-0.017952650785446167,,985.0,12.594687461853027,-0.008588254451751709,0.00026897081988863647,0.004687999375164509,815,0.002082645893096924,1763260082.524867
0.021484375,,61.04457449913025,56192,0.4071318805217743,0.021633721888065338,,967.0,13.417245864868164,0.004275515675544739,0.0002663594495970756,0.004698252305388451,863,-0.004435896873474121,1763260087.9858825
0.0,,62.213045597076416,57088,0.48455899953842163,-0.0007176017388701439,,963.0,15.840911865234375,-0.0005097277462482452,0.00026582181453704834,0.00017164740711450577,872,0.006810307502746582,1763260089.1543536
