losses/clipfrac,losses/entropy,charts/SPS,global_step,_runtime,losses/approx_kl,losses/explained_variance,losses/old_approx_kl,_step,losses/value_loss,charts/episodic_length,charts/episodic_return,charts/learning_rate,_timestamp,losses/policy_loss
,,,0,2.4773471355438232,,,,0,,,,,1763260030.31956,
,,,125,3.5274646282196045,,,,7,,16.0,16.0,,1763260031.3696775,
,,,676,4.2171385288238525,,,,33,,18.0,18.0,,1763260032.0593514,
,,,851,4.3637776374816895,,,,41,,32.0,32.0,,1763260032.2059906,
,,,966,4.484784841537476,,,,47,,34.0,34.0,,1763260032.3269978,
,,,1490,5.004552602767944,,,,64,,19.0,19.0,,1763260032.8467655,
,,,1806,5.336717367172241,,,,74,,41.0,41.0,,1763260033.1789303,
,,,2016,5.480907678604126,,,,77,,146.0,146.0,,1763260033.3231206,
,,,2556,5.983489274978638,,,,88,,35.0,35.0,,1763260033.8257022,
0.0,0.5854434370994568,1004.0,3072,6.527876138687134,0.00027713924646377563,-0.07497358322143555,-0.001728123053908348,102,3.5019378662109375,,,0.000298233499052003,1763260034.370089,-0.0005542300641536713
,,,3144,6.557112455368042,,,,104,,40.0,40.0,,1763260034.3993254,
,,,4895,8.208445072174072,,,,133,,110.0,110.0,,1763260036.050658,
0.0,0.5088230967521667,1039.0,5632,8.890019416809082,0.0009033801034092903,-0.052217960357666016,-0.005242359824478626,147,6.428808689117432,,,0.0002966973988804966,1763260036.7322323,0.007898954674601555
0.0234375,0.5525161623954773,1040.0,5760,9.006863594055176,0.006233894266188145,0.035786330699920654,0.009087587706744671,149,3.7025935649871826,,,0.0002966205938719213,1763260036.8490765,0.013951973989605904
,,,5805,9.040351390838623,,,,150,,70.0,70.0,,1763260036.8825643,
,,,6105,9.294649839401245,,,,155,,156.0,156.0,,1763260037.1368628,
,,,6180,9.392045021057129,,,,157,,75.0,75.0,,1763260037.234258,
,,,6897,10.010468006134033,,,,172,,47.0,47.0,,1763260037.852681,
,,,8149,11.207868814468384,,,,195,,45.0,45.0,,1763260039.0500817,
0.0,0.5480688810348511,1050.0,8704,11.759544372558594,0.0008861422538757324,-0.04199087619781494,-0.009595036506652832,203,5.944492816925049,,,0.00029485407867468894,1763260039.6017573,0.019688814878463745
0.0,0.5863330960273743,1052.0,9472,12.466665267944336,5.75091689825058e-05,-0.0201948881149292,-0.0009352304041385651,213,2.5716376304626465,,,0.000294393248623237,1763260040.3088782,0.00013792701065540314
0.0,0.540057897567749,1031.0,9856,13.026070594787598,0.0007110703736543655,-0.15339219570159912,-0.005736367776989937,217,2.5281410217285156,,,0.00029416283359751105,1763260040.8682835,0.002834336832165718
,,,10631,13.920058250427246,,,,228,,230.0,230.0,,1763260041.7622712,
0.0,0.5716572403907776,1006.0,11136,14.533616065979004,0.0006032902747392654,0.23744893074035645,-0.0030860882252454758,233,2.414233922958374,,,0.00029339478351175785,1763260042.375829,0.0119859017431736
0.0,0.5473370552062988,991.0,12544,16.126545906066895,0.00019669998437166214,0.25158417224884033,-0.007617478258907795,251,2.167820692062378,,,0.00029254992841742933,1763260043.9687588,0.00044676661491394043
0.0,0.5410472750663757,989.0,13184,16.790622234344482,8.304324001073837e-05,0.02271103858947754,0.0012660613283514977,259,2.040731906890869,,,0.0002921659033745527,1763260044.6328351,0.0024565961211919785
,,,13617,17.151660919189453,,,,265,,237.0,237.0,,1763260044.9938738,
