_runtime,losses/clipfrac,losses/value_loss,charts/learning_rate,losses/explained_variance,charts/SPS,_step,_timestamp,losses/approx_kl,losses/entropy,losses/policy_loss,charts/episodic_length,charts/episodic_return,losses/old_approx_kl,global_step
2.1776020526885986,,,,,,0,1763260011.19632,,,,,,,0
3.4153380393981934,,,,,,7,1763260012.434056,,,,17.0,17.0,,148
3.954394578933716,,,,,,33,1763260012.9731126,,,,18.0,18.0,,710
4.089712142944336,,,,,,41,1763260013.1084301,,,,23.0,23.0,,858
4.208587408065796,,,,,,47,1763260013.2273054,,,,13.0,13.0,,968
4.582657814025879,,,,,,64,1763260013.6013758,,,,33.0,33.0,,1342
4.837771415710449,0.0,3.616636276245117,0.00029915515915490687,-0.39958810806274414,983.0,74,1763260013.8564894,0.001096293330192566,0.6697152256965637,-0.0019426047801971436,,,-0.005184933543205261,1536
4.8626391887664795,,,,,,77,1763260013.8813572,,,,16.0,16.0,,1593
5.023094177246094,,,,,,88,1763260014.0418122,,,,22.0,22.0,,1779
5.266968011856079,,,,,,102,1763260014.285686,,,,18.0,18.0,,2010
5.361351490020752,0.0,3.5170791149139404,0.0002988479391206056,-0.2860097885131836,982.0,104,1763260014.3800695,0.0014920542016625404,0.6496967673301697,-0.012837884947657585,,,0.024687379598617554,2048
5.861552000045776,,,,,,133,1763260014.88027,,,,25.0,25.0,,2537
6.200631141662598,,,,,,147,1763260015.2193491,,,,92.0,92.0,,2838
6.221546411514282,,,,,,149,1763260015.2402644,,,,35.0,35.0,,2886
6.233407258987427,,,,,,150,1763260015.2521253,,,,30.0,30.0,,2916
6.346020460128784,,,,,,155,1763260015.3647385,,,,11.0,11.0,,3002
6.36308479309082,,,,,,157,1763260015.3818028,,,,19.0,19.0,,3036
6.7010438442230225,,,,,,172,1763260015.7197618,,,,45.0,45.0,,3338
7.25139594078064,,,,,,195,1763260016.270114,,,,36.0,36.0,,3889
7.484584808349609,0.0,3.2807018756866455,0.00029761905898340046,0.25850802659988403,973.0,203,1763260016.5033028,7.85626471042633e-05,0.5727303624153137,-0.0005042925477027893,40.0,40.0,0.0006901547312736511,4096
7.744197607040405,,,,,,213,1763260016.7629156,,,,32.0,32.0,,4383
7.869684934616089,0.0,2.6543445587158203,0.0002973886439576745,0.32619738578796387,975.0,217,1763260016.888403,0.00023342948406934738,0.6317539215087891,-0.003195948898792267,,,0.0007951119914650917,4480
8.055445432662964,,,,,,228,1763260017.0741634,,,,21.0,21.0,,4717
8.252278566360474,0.0,2.806231737136841,0.00029715822893194854,0.5391611456871033,977.0,233,1763260017.2709966,0.0007120119407773018,0.6239845752716064,-0.002322746440768242,,,-0.0030566388741135597,4864
8.751548290252686,,,,,,251,1763260017.7702663,,,,25.0,25.0,,5395
9.125180959701538,0.0,3.180100440979004,0.0002966205938719213,0.7595471143722534,984.0,259,1763260018.143899,0.0007763626053929329,0.6124967932701111,-0.019058717414736748,,,-0.0037057390436530113,5760
9.386370420455933,,,,,,265,1763260018.4050884,,,,182.0,182.0,,6074
9.827587366104126,0.009765625,3.6082353591918945,0.0002961597638204694,0.9206494092941284,996.0,273,1763260018.8463054,0.008509118109941483,0.5597726702690125,-0.04296288266777992,,,-0.022396482527256012,6528
9.86142349243164,,,,,,274,1763260018.8801415,,,,229.0,229.0,,6619
10.893208503723145,0.0,3.017210006713867,0.0002954685187432915,0.47639816999435425,1008.0,292,1763260019.9119265,6.382912397384644e-05,0.5777694582939148,-0.00042125582695007324,,,0.000102996826171875,7680
12.892109155654907,,,,,,327,1763260021.9108272,,,,108.0,108.0,,9557
13.110333919525146,0.009765625,2.230756998062134,0.0002942396386060864,0.6781942248344421,989.0,330,1763260022.129052,0.0036398088559508324,0.5825377702713013,0.04698784649372101,,,-0.0018636984750628471,9728
13.14443588256836,,,,,,332,1763260022.163154,,,,68.0,68.0,,9812
13.430033206939697,,,,,,337,1763260022.4487512,,,,107.0,107.0,,10087
13.66225790977478,0.0,4.442349910736084,0.0002939324185717851,0.8583264350891113,985.0,340,1763260022.680976,0.0013505732640624046,0.5365257263183594,0.019043464213609695,,,0.0029032574966549873,10240
16.131553888320923,0.056640625,1.754044532775879,0.0002928571484517306,0.9837489724159241,935.0,370,1763260025.150272,0.02068561501801014,0.5611180067062378,-0.06945532560348511,,,0.07865949720144272,12032
17.665076971054077,,,,,,396,1763260026.683795,,,,80.0,80.0,,13251
19.0532066822052,,,,,,425,1763260028.0719247,,,,121.0,121.0,,14708
20.018505096435547,,,,,,441,1763260029.037223,,,,206.0,206.0,,15685
20.46336579322815,,,,,,450,1763260029.4820838,,,,117.0,117.0,,16149
21.55746340751648,0.02734375,1.062204122543335,0.0002897081431001425,0.9936673045158386,945.0,471,1763260030.5761814,0.0028757089748978615,0.5485348701477051,0.013485204428434372,,,0.007001000456511974,17280
22.1118803024292,,,,,,481,1763260031.1305983,,,,97.0,97.0,,17918
22.645784854888916,0.0,0.9346862435340881,0.0002890168980229646,0.981655478477478,951.0,490,1763260031.6645029,0.0016586193814873695,0.45074477791786194,-0.01498439908027649,,,-0.0018958048895001411,18432
23.351961612701416,,,,,,504,1763260032.3706796,,,,87.0,87.0,,19116
23.918654918670654,0.015625,0.8881494998931885,0.0002882488479372114,0.9944605827331543,954.0,515,1763260032.937373,0.0027638990432024,0.4820268750190735,-0.0010880641639232635,,,-0.011002795770764351,19712
24.671250581741333,0.0,1.0672074556350708,0.00028778801788575947,0.9904823899269104,957.0,530,1763260033.6899686,0.0018089888617396355,0.4952358603477478,-0.019965417683124542,,,-0.016577500849962234,20480
24.955087900161743,,,,,,539,1763260033.973806,,,,26.0,26.0,,20858
25.338648080825806,,,,,,547,1763260034.357366,,,,49.0,49.0,,21148
25.685153245925903,0.0,0.8145861029624939,0.0002871735778171569,0.995218813419342,959.0,555,1763260034.7038713,0.0006518634036183357,0.5477098226547241,0.005093991756439209,,,-0.005558875389397144,21504
25.814269304275513,,,,,,559,1763260034.8329873,,,,25.0,25.0,,21662
26.326443910598755,0.0,0.8257927894592285,0.0002867895527742803,0.994265615940094,960.0,568,1763260035.345162,0.0005711345002055168,0.4722316861152649,-0.003213193267583847,,,-0.006304585374891758,22144
27.57295870780945,,,,,,595,1763260036.5916767,,,,74.0,74.0,,23473
28.68766951560974,,,,,,614,1763260037.7063875,,,,127.0,127.0,,24685
29.734936475753784,,,,,,630,1763260038.7536545,,,,65.0,65.0,,25733
30.189849138259888,0.25,2.566645383834839,0.00028433179249987006,0.6964370012283325,974.0,636,1763260039.2085671,0.046258874237537384,0.5195634961128235,-0.021960929036140442,,,-0.007780507206916809,26240
30.47888731956482,,,,,,640,1763260039.4976053,,,,329.0,329.0,,26577
31.154905557632446,,,,,,650,1763260040.1736236,,,,134.0,134.0,,27320
31.9741690158844,0.0,19.12227439880371,0.00028317971737124026,0.7688909769058228,981.0,664,1763260040.992887,6.984267383813858e-05,0.5415282249450684,-0.0013670995831489563,,,0.006041084416210651,28160
33.164414167404175,,,,,,684,1763260042.1831322,,,,230.0,230.0,,29471
33.53099179267883,,,,,,689,1763260042.5497098,,,,108.0,108.0,,29832
34.02152919769287,,,,,,698,1763260043.0402472,,,,164.0,164.0,,30429
34.700889110565186,0.0,0.6699415445327759,0.0002814132021740079,0.9207867383956909,989.0,707,1763260043.719607,0.0002040863037109375,0.5022767782211304,-0.004106998443603516,,,0.0018750019371509552,31104
36.45841956138611,,,,,,729,1763260045.4771376,,,,385.0,385.0,,33096
38.711987257003784,0.0,0.5286288857460022,0.000278801831882447,-0.053803086280822754,1000.0,757,1763260047.7307053,0.0007862448692321777,0.46854013204574585,0.00018439628183841705,,,-0.007933689281344414,35456
39.192033767700195,0.0,0.5099440217018127,0.0002784946118481457,-0.020119428634643555,1001.0,762,1763260048.2107518,0.0022606151178479195,0.47440099716186523,0.0036953315138816833,,,0.010463719256222248,35968
39.64840650558472,0.0,0.44986435770988464,0.00027818739181384444,0.5230332612991333,1002.0,767,1763260048.6671245,0.0019482262432575226,0.4501347243785858,0.0038737375289201736,,,0.015951238572597504,36480
40.37980842590332,0.0,0.4676266014575958,0.0002777265617623925,0.031019389629364014,1003.0,775,1763260049.3985264,0.00048756226897239685,0.4817715287208557,-0.00834663212299347,,,-7.234886288642883e-05,37248
41.55170917510986,,,,,,788,1763260050.5704272,,,,500.0,500.0,,38549
42.36871647834778,0.0,0.3527446389198303,0.0002764208766166121,-0.03327500820159912,1008.0,797,1763260051.3874345,0.00014658086001873016,0.5079485774040222,-0.0018054693937301636,,,-0.0002625416964292526,39424
43.1893744468689,0.00390625,0.29922792315483093,0.0002758832706604153,-0.014696121215820312,1010.0,806,1763260052.2080925,0.0016465019434690475,0.5000385046005249,0.002360731363296509,,,0.009884556755423546,40320
44.01264190673828,0.0078125,0.28143370151519775,0.00027534563560038805,-0.0047599077224731445,1011.0,815,1763260053.03136,0.005646843463182449,0.5430170297622681,-0.03614720702171326,,,-0.005275951698422432,41216
48.47900128364563,,,,,,863,1763260057.4977193,,,,500.0,500.0,,46073
49.26458668708801,0.0,0.14070473611354828,0.00027196621522307396,-0.0014861822128295898,1018.0,872,1763260058.2833047,0.0013158144429326057,0.5856558084487915,0.0029783546924591064,,,0.009711331687867641,46848
49.550095081329346,,,,,,876,1763260058.568813,,,,269.0,269.0,,47124
56.31965613365173,0.03515625,0.07881316542625427,0.0002691244299057871,0.0040749311447143555,972.0,922,1763260065.3383741,0.01033581793308258,0.570128321647644,-0.014907941222190857,,,-0.006735119968652725,51584
57.14646649360657,0.0,0.11817851662635803,0.0002686635998543352,0.018119215965270996,971.0,930,1763260066.1651845,0.00013007409870624542,0.5325795412063599,-0.0018964558839797974,,,-0.0025265980511903763,52352
58.03597450256348,0.0078125,0.06403909623622894,0.00026820276980288327,0.409726619720459,970.0,938,1763260067.0546925,0.004592130891978741,0.5461457967758179,-0.000611734576523304,,,0.030344657599925995,53120
58.35526657104492,0.0,0.10135019570589066,0.0002680491597857326,-0.0465775728225708,969.0,941,1763260067.3739846,0.0007906006649136543,0.560581386089325,-0.011577526107430458,,,0.004556453786790371,53376
58.49954152107239,0.009765625,0.0622369758784771,0.0002679723547771573,0.8123250007629395,968.0,942,1763260067.5182595,0.0029153404757380486,0.47387003898620605,-0.01044372282922268,,,0.004862700589001179,53504
59.0988495349884,0.0,1.3251826763153076,0.000267665134742856,-0.00012803077697753906,967.0,948,1763260068.1175675,0.00012442376464605331,0.5357232093811035,-0.0021658092737197876,,,-0.0006088605150580406,54016
62.45629024505615,0.00390625,0.05835750699043274,0.0002661290345713496,-0.0405656099319458,955.0,974,1763260071.4750082,0.004306275397539139,0.5116647481918335,-0.04478534311056137,,,0.0050658490508794785,56576
63.17589259147644,0.01171875,0.025633612647652626,0.000265745009528473,-0.0014020204544067383,955.0,980,1763260072.1946106,0.008301586844027042,0.5569732785224915,-0.015572886914014816,,,-0.044941164553165436,57216
63.75381684303284,0.00390625,0.02061864733695984,0.00026543778949417174,0.022414982318878174,954.0,985,1763260072.7725348,0.003672136925160885,0.5436696410179138,-0.00507625937461853,,,0.011054730974137783,57728
64.86585521697998,0.0,0.014896459877490997,0.0002648233494255692,-0.00010597705841064453,953.0,995,1763260073.8845732,2.929382026195526e-05,0.6095335483551025,-0.00031575001776218414,,,2.4121254682540894e-06,58752
65.00883173942566,0.0,27.613433837890625,0.00026474654441699386,-0.00042057037353515625,953.0,997,1763260074.0275497,0.00046035274863243103,0.5625598430633545,-0.001077374443411827,,,-0.007980776950716972,58880
66.89067792892456,,,,,,1015,1763260075.909396,,,,223.0,223.0,,60644
68.1262788772583,0.0,3.400646209716797,0.0002629800292197615,-0.0006262063980102539,953.0,1031,1763260077.144997,0.0012594684958457947,0.5395814180374146,0.012567639350891113,,,0.0044113993644714355,61824
69.81056761741638,0.0,6.595028877258301,0.00026205836911685765,-0.000415802001953125,952.0,1050,1763260078.8292856,0.000668773427605629,0.5628044605255127,-0.002519669011235237,,,0.0007203444838523865,63360
70.23160290718079,0.0,0.004164140671491623,0.0002618279540911317,-0.015435576438903809,952.0,1053,1763260079.250321,0.0011050272732973099,0.5124954581260681,0.003965912386775017,,,-0.00526835024356842,63744
70.7552855014801,0.0,0.025312675163149834,0.0002615975390654057,-0.01907169818878174,950.0,1058,1763260079.7740035,0.00015651900321245193,0.5687657594680786,-0.001837901771068573,,,-0.003342757932841778,64128
73.54669618606567,0.01953125,0.19513118267059326,0.00026021504891104996,-0.00021946430206298828,945.0,1083,1763260082.5654142,0.004082630388438702,0.5316587686538696,0.007911182940006256,,,0.025602277368307114,66432
74.37777018547058,,,,,,1091,1763260083.3964882,,,,349.0,349.0,,67105
76.06019353866577,,,,,,1106,1763260085.0789115,,,,220.0,220.0,,68189
77.89108395576477,0.0,178.03530883789062,0.00025867894873954356,0.00045925378799438477,924.0,1118,1763260086.909802,0.00021957512944936752,0.5510900616645813,-0.004907447844743729,,,-0.0013699596747756004,68992
78.96112418174744,0.033203125,0.10466344654560089,0.0002583717287052423,-0.00042617321014404297,918.0,1125,1763260087.9798422,0.004805003292858601,0.5250871181488037,-0.022451311349868774,,,0.007409997284412384,69504
80.34857177734375,0.0,0.017999080941081047,0.0002579877036623657,-0.04582655429840088,910.0,1133,1763260089.3672898,0.0016711074858903885,0.6211778521537781,-0.0022110603749752045,,,0.009506642818450928,70144
82.37027168273926,0.021484375,65.4317626953125,0.0002573732635937631,-0.0003371238708496094,899.0,1145,1763260091.3889897,0.003504195250570774,0.600674569606781,-0.0025337357074022293,,,-0.007862105034291744,71168
86.00145721435547,0.0,0.009968476369976997,0.00025629799347370863,-0.08184146881103516,881.0,1164,1763260095.0201752,0.000594298355281353,0.6081904172897339,-0.008664734661579132,,,0.0015580905601382256,72960
86.21180939674377,0.001953125,0.0003318575327284634,0.0002562211884651333,0.0010682344436645508,881.0,1165,1763260095.2305274,0.0022019166499376297,0.5708246231079102,-0.02793823927640915,,,-0.01320786401629448,73088
87.5555739402771,,,,,,1172,1763260096.574292,,,,500.0,500.0,,73789
89.58679008483887,0.0,0.00010025772644439712,0.00025522272335365415,-0.17782437801361084,866.0,1181,1763260098.605508,0.0031886231154203415,0.5194024443626404,-0.016993269324302673,,,0.03274214267730713,74752
90.44708967208862,,,,,,1186,1763260099.4658077,,,,391.0,391.0,,75180
92.8116717338562,0.0,207.6314697265625,0.0002543010632507503,-0.0023230314254760742,852.0,1197,1763260101.8303897,0.002040502615272999,0.5482514500617981,-0.025013957172632217,,,-0.00865278672426939,76288
95.86229348182678,0.0,0.00011339605407556519,0.00025330259813927114,-0.046015381813049316,841.0,1213,1763260104.8810115,0.0005886843428015709,0.5816037058830261,-0.006503717973828316,,,0.004618695937097073,77952
96.14396929740906,,,,,,1215,1763260105.1626873,,,,500.0,500.0,,78180
98.22900414466858,0.0,17.489580154418945,0.00025253454805351794,-0.0005513429641723633,834.0,1226,1763260107.2477221,0.0002758074551820755,0.5237337946891785,0.00045245885848999023,,,0.00022988393902778625,79232
98.88865375518799,,,,,,1230,1763260107.9073718,,,,500.0,500.0,,79664
99.73536920547485,0.0,8.557774708606303e-05,0.00025199694209732115,0.023492515087127686,830.0,1234,1763260108.7540872,0.00038295239210128784,0.4860299527645111,-0.002595864236354828,,,-0.001065993681550026,80128
101.58482551574707,,,,,,1245,1763260110.6035435,,,,500.0,500.0,,81164
103.36034226417542,0.0,7.682149887084961,0.00025076806196011603,-7.343292236328125e-05,821.0,1254,1763260112.3790603,0.0002076905220746994,0.512640118598938,-0.0004405379295349121,,,-0.0012352708727121353,82176
106.34877371788025,0.00390625,0.000278392166364938,0.00024969279184006155,0.03092724084854126,814.0,1271,1763260115.3674917,0.0031363312155008316,0.4741846024990082,0.0009564850479364395,,,0.014775406569242477,83968
